"file","upr_euc","upr_cor","upr_cos","upr_seu"
"data/embeddings/baron-human/counts/lda/8.pkl",0.34471723,0.158434027184711,0.10844457,1.33661882432443
"data/embeddings/baron-human/counts/lda/96.pkl",0.64460266,0.54319840130721,0.5349066,30.3594785449649
"data/embeddings/baron-human/counts/lle/16.pkl",0.13992064,0.410808306401355,0.4323125,12.9517775259882
"data/embeddings/baron-human/counts/lle/2.pkl",0.0037688187,2,0.002851069,0.427102741937347
"data/embeddings/baron-human/counts/lle/32.pkl",0.15420863,0.467692407949386,0.49334675,14.2743044301066
"data/embeddings/baron-human/counts/lle/4.pkl",0.028681938,0.792537714638313,1.1190546,2.7003682718488
"data/embeddings/baron-human/counts/lle/48.pkl",0.1676195,0.854249954466309,0.8476442,15.5155947330948
"data/embeddings/baron-human/counts/lle/8.pkl",0.13917337,0.412394188240932,0.4015172,12.8826154002519
"data/embeddings/baron-human/counts/lle/96.pkl",0.26414284,0.806805818208142,0.8072159,24.4499893109035
"data/embeddings/baron-human/counts/mctsne/2.pkl",7.789623,2,0.0012661815,0.346158519300804
"data/embeddings/baron-human/counts/mctsne/4.pkl",16.11099,0.0975217699159493,0.12183446,1.19575657078566
"data/embeddings/baron-human/counts/mctsne/48.pkl",5692.4937,1.27867040310194,1.2533808,271.373047954291
"data/embeddings/baron-human/counts/mctsne/8.pkl",33.744797,0.41459078482747,0.5088129,2.77698659911144
"data/embeddings/baron-human/counts/nmf/16.pkl",46.55671,0.306983618146751,0.20628351,6.93772166820723
"data/embeddings/baron-human/counts/nmf/2.pkl",14.111166,2,0.0016058683,0.484687030838463
"data/embeddings/baron-human/counts/nmf/32.pkl",89.82005,0.450729033651789,0.35153902,14.6124148378423
"data/embeddings/baron-human/counts/nmf/4.pkl",24.512577,0.0463522468541079,0.032049477,1.19531292551887
"data/embeddings/baron-human/counts/nmf/48.pkl",94.21634,0.448705514772774,0.4222626,26.4638827393905
"data/embeddings/baron-human/counts/nmf/8.pkl",34.027706,0.209693940909125,0.13333517,1.66118740402763
