dataset,count,method,dimensions,rho.seuclidean
klein,logcounts,psmf,16,0.6936164735973933
klein,logcounts,psmf,96,0.701917250827001
klein,logcounts,psmf,8,0.6913918975132762
klein,logcounts,psmf,48,0.7023687587457283
klein,logcounts,fica,4,0.3600133028083353
klein,logcounts,fica,32,0.16258809365687357
klein,logcounts,fica,2,0.5685197978334438
klein,logcounts,fica,16,0.15884350170120562
klein,logcounts,fica,96,0.16099433796347443
klein,logcounts,fica,8,0.18181405965133646
klein,logcounts,fica,48,0.15851170842486056
klein,logcounts,lle,4,0.3822071344816645
klein,logcounts,lle,32,0.0003279314792753918
klein,logcounts,lle,2,0.6355945410995613
klein,logcounts,lle,16,0.06427370403596694
klein,logcounts,lle,96,-0.04259529694716474
klein,logcounts,lle,8,0.27148545780724676
klein,logcounts,lle,48,-0.03047113437102751
klein,logcounts,lsnmf,4,0.6891997520978786
klein,logcounts,lsnmf,32,0.6666022783993543
klein,logcounts,lsnmf,2,0.44082138667782983
klein,logcounts,lsnmf,16,0.5734865582070349
klein,logcounts,lsnmf,96,0.8508641549625192
klein,logcounts,lsnmf,8,0.5927979441499155
klein,logcounts,lsnmf,48,0.7651840394029098
klein,logcounts,phate,4,0.20528450565642672
klein,logcounts,phate,32,-0.06954221509843453
klein,logcounts,phate,2,0.31177838936985397
klein,logcounts,phate,16,-0.013653497427309688
klein,logcounts,phate,96,-0.09760185966445337
klein,logcounts,phate,8,0.06143086777837966
klein,logcounts,phate,48,-0.08301457497730676
klein,logcounts,kpca-rbf,4,0.0684886883715901
klein,logcounts,kpca-rbf,32,-0.1480741096903116
klein,logcounts,kpca-rbf,2,0.3180656502402793
klein,logcounts,kpca-rbf,16,-0.09259252902717105
klein,logcounts,kpca-rbf,96,-0.21172420688389718
klein,logcounts,kpca-rbf,8,0.05215057375907812
klein,logcounts,kpca-rbf,48,-0.17395188514053647
klein,logcounts,isomap,4,0.2794129739895398
klein,logcounts,isomap,32,0.1359045107567835
klein,logcounts,isomap,2,0.3683861259735368
klein,logcounts,isomap,16,0.18975584067532475
klein,logcounts,isomap,96,-6.675037748397773e-05
klein,logcounts,isomap,8,0.19170131996369316
klein,logcounts,isomap,48,0.0838131245649235
klein,logcounts,saucie,4,0.00413324122859639
klein,logcounts,saucie,32,0.0005079856484709758
klein,logcounts,saucie,2,0.007284612941635602
klein,logcounts,saucie,16,0.0024724282998719004
klein,logcounts,saucie,96,0.006052388190257594
klein,logcounts,saucie,8,0.0043660725891848514
klein,logcounts,saucie,48,0.0012650061591362696
klein,logcounts,bd,4,0.6633146042304445
klein,logcounts,bd,32,0.8017732292307999
klein,logcounts,bd,2,0.4204134490001571
klein,logcounts,bd,16,0.7023358940007038
klein,logcounts,bd,96,0.5062673489531875
klein,logcounts,bd,8,0.6785496571511822
klein,logcounts,bd,48,0.7082532866541533
klein,logcounts,lda,4,0.5678382113396101
klein,logcounts,lda,32,0.6993135201000829
klein,logcounts,lda,2,0.5733644793387774
klein,logcounts,lda,16,0.5508593211062756
klein,logcounts,lda,96,0.5362066887865872
klein,logcounts,lda,8,0.4809901623160933
klein,logcounts,lda,48,0.6035953111285601
klein,logcounts,spectral,4,0.23187317033834787
klein,logcounts,spectral,32,-0.09174587954363647
klein,logcounts,spectral,2,0.32824999797115184
klein,logcounts,spectral,16,-0.024384599413070276
klein,logcounts,spectral,96,-0.14042094259583027
klein,logcounts,spectral,8,0.07765261932777806
klein,logcounts,spectral,48,-0.11344776360550846
klein,logcounts,grp,4,0.16246641333085593
klein,logcounts,grp,32,0.623547269490853
klein,logcounts,grp,2,0.16788380879869083
klein,logcounts,grp,16,0.48699827703708115
klein,logcounts,grp,96,0.706065427014449
klein,logcounts,grp,8,0.24624562984551254
klein,logcounts,grp,48,0.6213201497163835
klein,logcounts,fa,4,0.3835354582824961
klein,logcounts,fa,32,0.2543242903059251
klein,logcounts,fa,2,0.5995443601123048
klein,logcounts,fa,16,0.26093632104559183
klein,logcounts,fa,96,0.2511384104641412
klein,logcounts,fa,8,0.25403785856096195
klein,logcounts,fa,48,0.2514384159752169
klein,logcounts,mctsne,4,0.520975782506539
klein,logcounts,mctsne,32,nan
klein,logcounts,mctsne,2,0.5064758793981738
klein,logcounts,mctsne,16,0.6694831878068778
klein,logcounts,mctsne,96,nan
klein,logcounts,mctsne,8,0.6738329883174127
klein,logcounts,mctsne,48,nan
klein,logcounts,nmf,4,0.41484173691240894
klein,logcounts,nmf,32,0.4929290520939478
klein,logcounts,nmf,2,0.6298767413465738
klein,logcounts,nmf,16,0.6021653876637856
klein,logcounts,nmf,96,0.3865077628598096
klein,logcounts,nmf,8,0.3528418202212079
klein,logcounts,nmf,48,0.4746488329348324
klein,logcounts,kpca-pol,4,0.48091652458631573
klein,logcounts,kpca-pol,32,0.5138251533569095
klein,logcounts,kpca-pol,2,0.712719992445167
klein,logcounts,kpca-pol,16,0.49564635157992337
klein,logcounts,kpca-pol,96,0.5101737625927433
klein,logcounts,kpca-pol,8,0.44506473805189517
klein,logcounts,kpca-pol,48,0.51319365712138
klein,logcounts,vasc,4,0.28803655591186733
klein,logcounts,vasc,32,0.3976081293577036
klein,logcounts,vasc,2,0.43899218237645643
klein,logcounts,vasc,16,0.32957189747778287
klein,logcounts,vasc,96,nan
klein,logcounts,vasc,8,0.252983496017252
klein,logcounts,vasc,48,nan
klein,logcounts,kpca-cos,4,0.25578915987754786
klein,logcounts,kpca-cos,32,-0.04791991438358431
klein,logcounts,kpca-cos,2,0.4470707324477102
klein,logcounts,kpca-cos,16,-0.01600391532621794
klein,logcounts,kpca-cos,96,-0.05676437619193564
klein,logcounts,kpca-cos,8,0.09853595992584042
klein,logcounts,kpca-cos,48,-0.04932018223747619
klein,logcounts,pca,4,0.36001327483491746
klein,logcounts,pca,32,0.16723176950477836
klein,logcounts,pca,2,0.5685197977200579
klein,logcounts,pca,16,0.17422158211279548
klein,logcounts,pca,96,0.1683573539284053
klein,logcounts,pca,8,0.18214052352894294
klein,logcounts,pca,48,0.1663691873123878
klein,logcounts,pmf,4,0.6054684992662707
klein,logcounts,pmf,32,0.7165265056245843
klein,logcounts,pmf,2,0.6043468480184089
klein,logcounts,pmf,16,0.6972566356220411
klein,logcounts,pmf,96,0.7164957527781322
klein,logcounts,pmf,8,0.7015687337863529
klein,logcounts,pmf,48,0.7103381484437293
klein,logcounts,snmf,4,0.6643510270730371
klein,logcounts,snmf,32,0.5516117527694875
klein,logcounts,snmf,2,0.42284854571072755
klein,logcounts,snmf,16,0.5828669108086914
klein,logcounts,snmf,8,0.5557306542372169
klein,logcounts,snmf,48,0.4081802758055391
klein,logcounts,ipca,4,0.36001330265477216
klein,logcounts,ipca,32,0.16258809372777225
klein,logcounts,ipca,2,0.5685197978242832
klein,logcounts,ipca,16,0.15884350136636777
klein,logcounts,ipca,96,0.16099433817079323
klein,logcounts,ipca,8,0.18181405995779826
klein,logcounts,ipca,48,0.1585117083384135
klein,logcounts,icm,4,0.6735043974093401
klein,logcounts,icm,32,0.5156539005628196
klein,logcounts,icm,2,0.615991441233463
klein,logcounts,icm,16,0.537058249592956
klein,logcounts,icm,96,0.27111965558084505
klein,logcounts,icm,8,0.4097028522433926
klein,logcounts,icm,48,0.401837783890188
klein,logcounts,ivis,4,0.1560231544159464
klein,logcounts,ivis,32,0.06195320784131587
klein,logcounts,ivis,2,0.15453676605589872
klein,logcounts,ivis,16,0.08656348373708878
klein,logcounts,ivis,96,0.06685045223929309
klein,logcounts,ivis,8,0.08855333694417253
klein,logcounts,ivis,48,0.11607844575185858
lake,lognormcounts,spca,4,0.24262967777115507
lake,lognormcounts,spca,32,0.3984282843030166
lake,lognormcounts,spca,2,0.24777995693529425
lake,lognormcounts,spca,16,0.33590017026682273
lake,lognormcounts,spca,96,0.35656061131565453
lake,lognormcounts,spca,8,0.3623239081359465
lake,lognormcounts,spca,48,0.4117170930583392
lake,lognormcounts,tsvd,4,0.2774583524650023
lake,lognormcounts,tsvd,32,0.36497215415299866
lake,lognormcounts,tsvd,2,0.24853082828111245
lake,lognormcounts,tsvd,16,0.30419971524408046
lake,lognormcounts,tsvd,96,0.36309447949609785
lake,lognormcounts,tsvd,8,0.27513257733905044
lake,lognormcounts,tsvd,48,0.3795915419810356
lake,lognormcounts,spca-batch,4,0.24430734618115527
lake,lognormcounts,spca-batch,32,0.2507428187505431
lake,lognormcounts,spca-batch,2,0.2662682805397298
lake,lognormcounts,spca-batch,16,0.2625270080223195
lake,lognormcounts,spca-batch,96,0.2886336894910989
lake,lognormcounts,spca-batch,8,0.26384319497889963
lake,lognormcounts,spca-batch,48,0.3040954071800642
lake,lognormcounts,nsnmf,4,0.041433905543789014
lake,lognormcounts,nsnmf,32,0.07024423064685531
lake,lognormcounts,nsnmf,2,0.058687104370950864
lake,lognormcounts,nsnmf,16,0.053463832281123225
lake,lognormcounts,nsnmf,96,0.11460455862683051
lake,lognormcounts,nsnmf,8,0.04910020909674493
lake,lognormcounts,nsnmf,48,0.11719293819010462
lake,lognormcounts,vpac,4,0.2205574174837702
lake,lognormcounts,vpac,32,0.22236599003367746
lake,lognormcounts,vpac,2,0.1208390709381916
lake,lognormcounts,vpac,16,0.2261234168107679
lake,lognormcounts,vpac,96,0.26512610236728434
lake,lognormcounts,vpac,8,0.2007222041356204
lake,lognormcounts,vpac,48,0.261423784862909
lake,lognormcounts,umap,4,0.17692542694874822
lake,lognormcounts,umap,32,0.17801206452618135
lake,lognormcounts,umap,2,0.27245749487361887
lake,lognormcounts,umap,16,0.20649895231018664
lake,lognormcounts,umap,96,0.17502393929418236
lake,lognormcounts,umap,8,0.22199784681517448
lake,lognormcounts,umap,48,0.20543538353454818
lake,lognormcounts,kpca-sig,4,0.19299041153239396
lake,lognormcounts,kpca-sig,32,0.17912076589237258
lake,lognormcounts,kpca-sig,2,0.24420790178660262
lake,lognormcounts,kpca-sig,16,0.20424697995344152
lake,lognormcounts,kpca-sig,96,0.1495270463802791
lake,lognormcounts,kpca-sig,8,0.20350100701169974
lake,lognormcounts,kpca-sig,48,0.17031041474685474
lake,lognormcounts,nmf2,4,0.052644027545171335
lake,lognormcounts,nmf2,32,0.06708933787986553
lake,lognormcounts,nmf2,2,0.09722491068944443
lake,lognormcounts,nmf2,16,0.06623516694380768
lake,lognormcounts,nmf2,96,0.11247762716536135
lake,lognormcounts,nmf2,8,0.0376576931171258
lake,lognormcounts,nmf2,48,0.061962071683927734
lake,lognormcounts,srp,4,0.05081885378195146
lake,lognormcounts,srp,32,0.17005298313487324
lake,lognormcounts,srp,2,0.02307184158823434
lake,lognormcounts,srp,16,0.1124862315257483
lake,lognormcounts,srp,96,0.2408160880418485
lake,lognormcounts,srp,8,0.08739826468664945
lake,lognormcounts,srp,48,0.18417547524127445
lake,lognormcounts,psmf,4,0.2927573017362148
lake,lognormcounts,psmf,32,0.33017281498391127
lake,lognormcounts,psmf,2,0.2277428293254899
lake,lognormcounts,psmf,16,0.31580390084600973
lake,lognormcounts,psmf,96,0.2827378093942858
lake,lognormcounts,psmf,8,0.34543504465354175
lake,lognormcounts,psmf,48,0.2820131798933263
lake,lognormcounts,fica,4,0.2414768229445683
lake,lognormcounts,fica,32,0.35838528070526166
lake,lognormcounts,fica,2,0.25057463298362703
lake,lognormcounts,fica,16,0.30724163784570196
lake,lognormcounts,fica,96,0.3577603714348924
lake,lognormcounts,fica,8,0.30659791125008395
lake,lognormcounts,fica,48,0.3682182182449937
lake,lognormcounts,lle,4,0.18086089919498918
lake,lognormcounts,lle,32,0.0946831253707529
lake,lognormcounts,lle,2,0.13659606269429167
lake,lognormcounts,lle,16,0.112848445055326
lake,lognormcounts,lle,96,-0.014421421975125633
lake,lognormcounts,lle,8,0.12765310258606313
lake,lognormcounts,lle,48,0.06970668350942559
lake,lognormcounts,lsnmf,4,0.007698175602152113
lake,lognormcounts,lsnmf,32,0.012694669004455131
lake,lognormcounts,lsnmf,2,0.024014729656331012
lake,lognormcounts,lsnmf,16,0.3091173432737092
lake,lognormcounts,lsnmf,96,0.004948125556233844
lake,lognormcounts,lsnmf,8,0.03696824391499927
lake,lognormcounts,lsnmf,48,0.019787446039876557
lake,lognormcounts,phate,4,0.3102264647834344
lake,lognormcounts,phate,32,0.2303759901777103
lake,lognormcounts,phate,2,0.2834273140364526
lake,lognormcounts,phate,16,0.30283583738731856
lake,lognormcounts,phate,96,0.1226727476325002
lake,lognormcounts,phate,8,0.3031847376255032
lake,lognormcounts,phate,48,0.17527398242854675
lake,lognormcounts,kpca-rbf,4,0.1568797478688774
lake,lognormcounts,kpca-rbf,32,0.1947429063295504
lake,lognormcounts,kpca-rbf,2,0.1939643040972065
lake,lognormcounts,kpca-rbf,16,0.17131206689706652
lake,lognormcounts,kpca-rbf,96,0.23421621514716673
lake,lognormcounts,kpca-rbf,8,0.18384165042181225
lake,lognormcounts,kpca-rbf,48,0.24963212886316105
lake,lognormcounts,isomap,4,0.18311366877852855
lake,lognormcounts,isomap,32,0.11594012771381572
lake,lognormcounts,isomap,2,0.21863359601470697
lake,lognormcounts,isomap,16,0.17125870325471276
lake,lognormcounts,isomap,96,0.08488250204338096
lake,lognormcounts,isomap,8,0.19843704069207277
lake,lognormcounts,isomap,48,0.11137331385262696
lake,lognormcounts,saucie,4,nan
lake,lognormcounts,saucie,32,nan
lake,lognormcounts,saucie,2,-0.005039401323653392
lake,lognormcounts,saucie,16,0.00829116646912413
lake,lognormcounts,saucie,96,nan
lake,lognormcounts,saucie,8,nan
lake,lognormcounts,saucie,48,0.04183608510199148
lake,lognormcounts,bd,4,0.29646927709610477
lake,lognormcounts,bd,32,0.3591703019671735
lake,lognormcounts,bd,2,0.24947420547238067
lake,lognormcounts,bd,16,0.3313401981705073
lake,lognormcounts,bd,96,0.35873709356975586
lake,lognormcounts,bd,8,0.2627535973974172
lake,lognormcounts,bd,48,0.4259706810134989
lake,lognormcounts,lda,4,0.26228668889531925
lake,lognormcounts,lda,32,0.13154668675703995
lake,lognormcounts,lda,2,0.22876891348192904
lake,lognormcounts,lda,16,0.2527526116748503
lake,lognormcounts,lda,96,0.13426508368112997
lake,lognormcounts,lda,8,0.2586682382966497
lake,lognormcounts,lda,48,0.14849573431675153
lake,lognormcounts,spectral,4,0.1456197377485473
lake,lognormcounts,spectral,32,0.31591753107262016
lake,lognormcounts,spectral,2,0.20474075118197196
lake,lognormcounts,spectral,16,0.27693017496962496
lake,lognormcounts,spectral,96,0.2985352683063063
lake,lognormcounts,spectral,8,0.28161169149702125
lake,lognormcounts,spectral,48,0.34700506984554613
lake,lognormcounts,grp,4,0.03798820599639628
lake,lognormcounts,grp,32,0.16095391934235898
lake,lognormcounts,grp,2,0.03326325103207697
lake,lognormcounts,grp,16,0.11862184395274611
lake,lognormcounts,grp,96,0.26552165061197286
lake,lognormcounts,grp,8,0.08888036848089766
lake,lognormcounts,grp,48,0.19855392217669415
lake,lognormcounts,fa,4,0.3402051595623278
lake,lognormcounts,fa,32,0.49923533241296014
lake,lognormcounts,fa,2,0.3400239825824349
lake,lognormcounts,fa,16,0.39473924457554643
lake,lognormcounts,fa,96,0.7866287073636665
lake,lognormcounts,fa,8,0.33577980849081174
lake,lognormcounts,fa,48,0.5963828852336183
lake,lognormcounts,mctsne,4,0.23672387440042378
lake,lognormcounts,mctsne,32,nan
lake,lognormcounts,mctsne,2,0.2618348755163432
lake,lognormcounts,mctsne,96,nan
lake,lognormcounts,mctsne,8,0.22006253248326538
lake,lognormcounts,mctsne,48,0.11698817069226708
lake,lognormcounts,nmf,4,0.309223159185068
lake,lognormcounts,nmf,32,0.4039688342818537
lake,lognormcounts,nmf,2,0.24656155279833644
lake,lognormcounts,nmf,16,0.34487663097198895
lake,lognormcounts,nmf,96,0.3686363095954054
lake,lognormcounts,nmf,8,0.3138421850654381
lake,lognormcounts,nmf,48,0.3939986037981836
lake,lognormcounts,kpca-pol,4,0.22298555090272312
lake,lognormcounts,kpca-pol,32,0.32172207648625584
lake,lognormcounts,kpca-pol,2,0.23677351526860074
lake,lognormcounts,kpca-pol,16,0.29303649414450855
lake,lognormcounts,kpca-pol,96,0.2851020953439072
lake,lognormcounts,kpca-pol,8,0.28870434884775353
lake,lognormcounts,kpca-pol,48,0.3381578992453949
lake,lognormcounts,vasc,4,nan
lake,lognormcounts,vasc,32,nan
lake,lognormcounts,vasc,2,nan
lake,lognormcounts,vasc,16,nan
lake,lognormcounts,vasc,96,nan
lake,lognormcounts,vasc,8,nan
lake,lognormcounts,vasc,48,nan
lake,lognormcounts,kpca-cos,4,0.24622183065986522
lake,lognormcounts,kpca-cos,32,0.31824804716662963
lake,lognormcounts,kpca-cos,2,0.2517314134924613
lake,lognormcounts,kpca-cos,16,0.2758623855039346
lake,lognormcounts,kpca-cos,96,0.2380128422014596
lake,lognormcounts,kpca-cos,8,0.2973992441539453
lake,lognormcounts,kpca-cos,48,0.29936550870046175
lake,lognormcounts,pca,4,0.24147681170220267
lake,lognormcounts,pca,32,0.3600869487603229
lake,lognormcounts,pca,2,0.25057463359351523
lake,lognormcounts,pca,16,0.3074668709795109
lake,lognormcounts,pca,96,0.35597115234753524
lake,lognormcounts,pca,8,0.3066002895646042
lake,lognormcounts,pca,48,0.36826872169877184
lake,lognormcounts,pmf,4,0.07031363269017023
lake,lognormcounts,pmf,32,0.21340342559020278
lake,lognormcounts,pmf,2,0.07676654320021963
lake,lognormcounts,pmf,16,0.1728897385304555
lake,lognormcounts,pmf,96,0.2669201301208625
lake,lognormcounts,pmf,8,0.1330717514550601
lake,lognormcounts,pmf,48,0.2341667559147478
lake,lognormcounts,snmf,4,0.30793948184878706
lake,lognormcounts,snmf,32,0.36538981722913666
lake,lognormcounts,snmf,2,0.2424307293881774
lake,lognormcounts,snmf,16,0.3114916285861763
lake,lognormcounts,snmf,8,0.23682388450474384
lake,lognormcounts,snmf,48,0.37366174911037914
lake,lognormcounts,ipca,4,0.2414768227694763
lake,lognormcounts,ipca,32,0.35838528148271764
lake,lognormcounts,ipca,2,0.25057463353082193
lake,lognormcounts,ipca,16,0.30724163763158785
lake,lognormcounts,ipca,96,0.357760370903262
lake,lognormcounts,ipca,8,0.3065979108839434
lake,lognormcounts,ipca,48,0.36821822019945855
lake,lognormcounts,icm,4,0.2691989225691523
lake,lognormcounts,icm,32,0.32968891431592257
lake,lognormcounts,icm,2,0.24079569806258036
lake,lognormcounts,icm,16,0.31255302888187697
lake,lognormcounts,icm,96,0.3562927254455034
lake,lognormcounts,icm,8,0.28877112950354733
lake,lognormcounts,icm,48,0.36969541196371564
lake,lognormcounts,ivis,4,0.202107237788912
lake,lognormcounts,ivis,32,0.1582145347100913
lake,lognormcounts,ivis,2,0.11625974499935594
lake,lognormcounts,ivis,16,0.15557444023851663
lake,lognormcounts,ivis,96,0.20336356946986123
lake,lognormcounts,ivis,8,0.14862464096284145
lake,lognormcounts,ivis,48,0.13147564157323943
lake,normcounts,spca,4,0.03121583327979104
lake,normcounts,spca,32,0.14244198885937817
lake,normcounts,spca,2,0.01184139746596232
lake,normcounts,spca,16,0.09369111756007106
lake,normcounts,spca,96,0.3290294282827194
lake,normcounts,spca,8,-0.017370203671576174
lake,normcounts,spca,48,0.20293606632632105
lake,normcounts,tsvd,4,0.008895898512754134
lake,normcounts,tsvd,32,0.13750721200492333
lake,normcounts,tsvd,2,0.036058002454931175
lake,normcounts,tsvd,16,0.07683157970418163
lake,normcounts,tsvd,96,0.3069599477602344
lake,normcounts,tsvd,8,-0.006252010863577335
lake,normcounts,tsvd,48,0.183127373651614
lake,normcounts,spca-batch,4,0.014598100164820185
lake,normcounts,spca-batch,32,0.11694802009435021
lake,normcounts,spca-batch,2,-0.03096621919039446
lake,normcounts,spca-batch,16,0.05395986673193604
lake,normcounts,spca-batch,96,0.23342833331576088
lake,normcounts,spca-batch,8,0.025848024993008444
lake,normcounts,spca-batch,48,0.16044652876508164
lake,normcounts,nsnmf,4,0.138474030702244
lake,normcounts,nsnmf,32,0.2615371241763243
lake,normcounts,nsnmf,2,0.045911131886497945
lake,normcounts,nsnmf,16,0.17011570354308655
lake,normcounts,nsnmf,96,0.3560029694244589
lake,normcounts,nsnmf,8,0.1292188820291527
lake,normcounts,nsnmf,48,0.253058224838183
lake,normcounts,vpac,4,0.0568244405521745
lake,normcounts,vpac,32,0.23188735918319275
lake,normcounts,vpac,2,0.13120002488610927
lake,normcounts,vpac,16,0.20977672120352386
lake,normcounts,vpac,96,0.3482854658940151
lake,normcounts,vpac,8,0.24263987955078054
lake,normcounts,vpac,48,0.28215428632194584
lake,normcounts,umap,4,-0.003340830107204728
lake,normcounts,umap,32,-0.014643073725175683
lake,normcounts,umap,2,-0.019328811624668374
lake,normcounts,umap,16,-0.01858785921143757
lake,normcounts,umap,96,-0.031083190938396555
lake,normcounts,umap,8,0.006834068585414656
lake,normcounts,umap,48,-0.005820721079963472
lake,normcounts,kpca-sig,4,nan
lake,normcounts,kpca-sig,32,nan
lake,normcounts,kpca-sig,2,nan
lake,normcounts,kpca-sig,16,nan
lake,normcounts,kpca-sig,96,nan
lake,normcounts,kpca-sig,8,nan
lake,normcounts,kpca-sig,48,nan
lake,normcounts,nmf2,4,-0.07548315546814205
lake,normcounts,nmf2,32,-0.003379887948096509
lake,normcounts,nmf2,2,0.0185619772876631
lake,normcounts,nmf2,16,0.014972611070092191
lake,normcounts,nmf2,96,0.041469813757097164
lake,normcounts,nmf2,8,-0.04433575486123229
lake,normcounts,nmf2,48,0.0017771782422545974
lake,normcounts,srp,4,0.2518469946799008
lake,normcounts,srp,32,0.4885952691039915
lake,normcounts,srp,2,0.05561862991040719
lake,normcounts,srp,16,0.3788057443994812
lake,normcounts,srp,96,0.5511283140920084
lake,normcounts,srp,8,0.366011603134989
lake,normcounts,srp,48,0.5338761253716702
lake,normcounts,psmf,4,0.18533012249133088
lake,normcounts,psmf,32,0.2426185794556215
lake,normcounts,psmf,2,0.2174865015263241
lake,normcounts,psmf,16,0.20958133781969213
lake,normcounts,psmf,96,0.42385664048890626
lake,normcounts,psmf,8,0.1733873599816692
lake,normcounts,psmf,48,0.28772299042523786
lake,normcounts,fica,4,0.031215993954507557
lake,normcounts,fica,32,0.1392760727772821
lake,normcounts,fica,2,0.011845036945409339
lake,normcounts,fica,16,0.09372066517727362
lake,normcounts,fica,96,0.30895864005730383
lake,normcounts,fica,8,-0.017363242299162945
lake,normcounts,fica,48,0.1908588852048913
lake,normcounts,lle,32,-0.10995216092747977
lake,normcounts,lle,16,-0.06550220694996182
lake,normcounts,lle,96,-0.20257237402373554
lake,normcounts,lle,48,-0.11731626513752941
lake,normcounts,lsnmf,4,0.009460035715694072
lake,normcounts,lsnmf,32,-0.027419834700431897
lake,normcounts,lsnmf,2,0.00612545163591659
lake,normcounts,lsnmf,16,-0.006940886777806164
lake,normcounts,lsnmf,96,-0.0166066765808352
lake,normcounts,lsnmf,8,-0.0033526758851230077
lake,normcounts,lsnmf,48,-0.006104518934919861
lake,normcounts,phate,4,0.07906572312719719
lake,normcounts,phate,32,0.041180020059229334
lake,normcounts,phate,2,0.10908498800026072
lake,normcounts,phate,16,0.06221999178019022
lake,normcounts,phate,96,0.057866665601148136
lake,normcounts,phate,8,0.10954332589749155
lake,normcounts,phate,48,0.032335629517005894
lake,normcounts,kpca-rbf,4,-0.07688976734367438
lake,normcounts,kpca-rbf,32,-0.03610736316933466
lake,normcounts,kpca-rbf,2,-0.0289173636416892
lake,normcounts,kpca-rbf,16,-0.0541545121206356
lake,normcounts,kpca-rbf,96,-0.023130789446136977
lake,normcounts,kpca-rbf,8,-0.08450984542917422
lake,normcounts,kpca-rbf,48,-0.03018899126875405
lake,normcounts,isomap,4,0.10349065987490647
lake,normcounts,isomap,32,0.20135871845512882
lake,normcounts,isomap,2,0.10275010365969113
lake,normcounts,isomap,16,0.17086711419911985
lake,normcounts,isomap,96,0.24166577711321183
lake,normcounts,isomap,8,0.12215901550103694
lake,normcounts,isomap,48,0.1982106593718925
lake,normcounts,saucie,4,-0.007110370183766915
lake,normcounts,saucie,32,-0.001480945386430877
lake,normcounts,saucie,2,-0.026889489857115874
lake,normcounts,saucie,16,0.005356027362920363
lake,normcounts,saucie,96,-0.011572380458712072
lake,normcounts,saucie,8,-0.01813120800228516
lake,normcounts,saucie,48,0.017034387929280942
lake,normcounts,bd,4,-0.04349547755103883
lake,normcounts,bd,32,0.040951757113018766
lake,normcounts,bd,2,0.014508533124321304
lake,normcounts,bd,16,0.007686244354504098
lake,normcounts,bd,96,0.17663429515227067
lake,normcounts,bd,8,-0.034476396175034285
lake,normcounts,bd,48,0.09759143359448012
lake,normcounts,lda,4,0.08321238740997808
lake,normcounts,lda,32,0.4867545531717563
lake,normcounts,lda,2,0.09412341692832124
lake,normcounts,lda,16,0.2793945822945438
lake,normcounts,lda,96,0.5848018802519588
lake,normcounts,lda,8,0.22195028218454885
lake,normcounts,lda,48,0.5337662868048046
lake,normcounts,spectral,4,-0.00903105451213849
lake,normcounts,spectral,32,0.1304921110296777
lake,normcounts,spectral,2,-0.02040118362327143
lake,normcounts,spectral,16,0.04688467575250294
lake,normcounts,spectral,96,0.24454431103467952
lake,normcounts,spectral,8,-0.0010023293351226939
lake,normcounts,spectral,48,0.19440014220491594
lake,normcounts,grp,4,0.2025419251468438
lake,normcounts,grp,32,0.2661304929640226
lake,normcounts,grp,2,0.13838666853249837
lake,normcounts,grp,16,0.25074694052003493
lake,normcounts,grp,96,0.29996579888042346
lake,normcounts,grp,8,0.1964897211307016
lake,normcounts,grp,48,0.29616744879842044
lake,normcounts,fa,4,0.18798402092202846
lake,normcounts,fa,32,0.4154005431400545
lake,normcounts,fa,2,0.2010766118237976
lake,normcounts,fa,16,0.2904843700537789
lake,normcounts,fa,96,0.7074501367653833
lake,normcounts,fa,8,0.2100394160338914
lake,normcounts,fa,48,0.5426219510129382
lake,normcounts,mctsne,4,0.03595523686400003
lake,normcounts,mctsne,32,nan
lake,normcounts,mctsne,2,0.012416283641905905
lake,normcounts,mctsne,96,-0.1507222483549202
lake,normcounts,mctsne,8,0.07330477212351176
lake,normcounts,mctsne,48,0.12188121325483604
lake,normcounts,nmf,4,0.016808242679839307
lake,normcounts,nmf,32,0.06765500587419554
lake,normcounts,nmf,2,0.014564227920093882
lake,normcounts,nmf,16,0.030366217546275512
lake,normcounts,nmf,96,0.15696730829811315
lake,normcounts,nmf,8,-0.005569695709038882
lake,normcounts,nmf,48,0.0776866659301503
lake,normcounts,kpca-pol,4,-0.04005104512092676
lake,normcounts,kpca-pol,32,-0.11976928836266226
lake,normcounts,kpca-pol,2,0.10570607991324522
lake,normcounts,kpca-pol,16,-0.10610142627565229
lake,normcounts,kpca-pol,96,-0.0733643357460363
lake,normcounts,kpca-pol,8,-0.11766165644218045
lake,normcounts,kpca-pol,48,-0.11911751784547692
lake,normcounts,vasc,4,nan
lake,normcounts,vasc,32,nan
lake,normcounts,vasc,2,nan
lake,normcounts,vasc,16,nan
lake,normcounts,vasc,96,nan
lake,normcounts,vasc,8,nan
lake,normcounts,vasc,48,nan
lake,normcounts,kpca-cos,4,-0.010354730057919044
lake,normcounts,kpca-cos,32,0.21854958419300316
lake,normcounts,kpca-cos,2,0.044703085764667236
lake,normcounts,kpca-cos,16,0.11445537106509868
lake,normcounts,kpca-cos,96,0.3847378998835986
lake,normcounts,kpca-cos,8,-0.0016228713776254625
lake,normcounts,kpca-cos,48,0.24623207702148525
lake,normcounts,pca,4,0.031215964261076482
lake,normcounts,pca,32,0.14052205049153924
lake,normcounts,pca,2,0.011845036286267456
lake,normcounts,pca,16,0.09378600363753796
lake,normcounts,pca,96,0.3087301830380131
lake,normcounts,pca,8,-0.01736359141430941
lake,normcounts,pca,48,0.19081249669241584
lake,normcounts,pmf,4,0.060569294718199794
