dataset,count,method,dimensions,rho.seuclidean
baron-human,counts,grp,4,-0.17904644639677525
baron-human,counts,grp,32,-0.22870164140962645
baron-human,counts,grp,2,-0.050984632097767206
baron-human,counts,grp,16,-0.21588540653396315
baron-human,counts,grp,96,-0.20324043978714199
baron-human,counts,grp,8,-0.12558914646885874
baron-human,counts,grp,48,-0.22501818526743794
baron-human,counts,fa,4,0.27464944076018133
baron-human,counts,fa,32,0.4183184648726421
baron-human,counts,fa,2,0.13768466044844402
baron-human,counts,fa,16,0.3577801968972915
baron-human,counts,fa,96,0.3369601115966756
baron-human,counts,fa,8,0.16009542334866908
baron-human,counts,fa,48,0.44634283305291067
baron-human,counts,mctsne,4,-0.01197593548517789
baron-human,counts,mctsne,32,nan
baron-human,counts,mctsne,2,-0.05653595168373726
baron-human,counts,mctsne,96,nan
baron-human,counts,mctsne,8,0.01865579101736623
baron-human,counts,mctsne,48,-0.0954954108646071
baron-human,counts,nmf,4,-0.31704795822455806
baron-human,counts,nmf,32,-0.004804972601153864
baron-human,counts,nmf,2,-0.15003648937304398
baron-human,counts,nmf,16,-0.1456255119002753
baron-human,counts,nmf,96,0.11086099513940954
baron-human,counts,nmf,8,-0.20265762678711355
baron-human,counts,nmf,48,-0.011511183085927173
baron-human,counts,kpca-pol,4,-0.21103855027465898
baron-human,counts,kpca-pol,32,-0.3535416360128048
baron-human,counts,kpca-pol,2,-0.24030762649998794
baron-human,counts,kpca-pol,16,-0.34479574901335647
baron-human,counts,kpca-pol,96,-0.32564604919150497
baron-human,counts,kpca-pol,8,-0.32834176578751706
baron-human,counts,kpca-pol,48,-0.35883796565335063
baron-human,counts,vasc,4,0.12664125768348714
baron-human,counts,vasc,32,nan
baron-human,counts,vasc,2,0.018270903279683073
baron-human,counts,vasc,16,0.17038440675408792
baron-human,counts,vasc,96,nan
baron-human,counts,vasc,8,0.24907980687194728
baron-human,counts,vasc,48,0.23817829777123817
baron-human,counts,kpca-cos,4,-0.19258372846198324
baron-human,counts,kpca-cos,32,0.3373075658375023
baron-human,counts,kpca-cos,2,-0.18690776541236523
baron-human,counts,kpca-cos,16,0.3002142003084677
baron-human,counts,kpca-cos,96,0.44455518899717705
baron-human,counts,kpca-cos,8,0.0203767460472246
baron-human,counts,kpca-cos,48,0.3605344417423297
baron-human,counts,pca,4,-0.26484256682692475
baron-human,counts,pca,32,-0.027194559208403052
baron-human,counts,pca,2,-0.17607088922988548
baron-human,counts,pca,16,-0.14112133274344965
baron-human,counts,pca,96,0.20398289839880454
baron-human,counts,pca,8,-0.2556382398677046
baron-human,counts,pca,48,0.04297566369372993
baron-human,counts,pmf,4,-0.08560171007006777
baron-human,counts,pmf,32,0.15903771185583848
baron-human,counts,pmf,2,-0.0792490769198641
baron-human,counts,pmf,16,0.02689174934458066
baron-human,counts,pmf,96,0.2783226342819625
baron-human,counts,pmf,8,-0.09989072296118116
baron-human,counts,pmf,48,0.20220920197208048
baron-human,counts,snmf,4,-0.3170480300336313
baron-human,counts,snmf,32,-0.10707264405240703
baron-human,counts,snmf,2,-0.15005159761786674
baron-human,counts,snmf,16,-0.2203578794379654
baron-human,counts,snmf,8,-0.20622467884810103
baron-human,counts,snmf,48,0.1373952035366335
baron-human,counts,ipca,4,-0.26484256682692475
baron-human,counts,ipca,32,-0.027176121106557857
baron-human,counts,ipca,2,-0.17607088922988548
baron-human,counts,ipca,16,-0.14112344806605043
baron-human,counts,ipca,96,0.20300910402916575
baron-human,counts,ipca,8,-0.25563823202592434
baron-human,counts,ipca,48,0.04300759904564411
baron-human,counts,icm,4,-0.11035312245216963
baron-human,counts,icm,32,-0.31228865117475985
baron-human,counts,icm,2,-0.05390834417206417
baron-human,counts,icm,16,-0.19625912801771186
baron-human,counts,icm,96,-0.36180868866761107
baron-human,counts,icm,8,-0.15365494328356508
baron-human,counts,icm,48,-0.3634615977298399
baron-human,counts,ivis,4,0.08907015916035145
baron-human,counts,ivis,32,0.14648839931915367
baron-human,counts,ivis,2,-0.12379743314204766
baron-human,counts,ivis,16,0.1823060498300747
baron-human,counts,ivis,96,0.02967969434111335
baron-human,counts,ivis,8,0.14277658638299418
baron-human,counts,ivis,48,-0.017919706818664442
baron-human,logcounts,spca,4,0.3393206106353492
baron-human,logcounts,spca,32,0.5237476228774725
baron-human,logcounts,spca,2,0.2294460217207348
baron-human,logcounts,spca,16,0.4662524909734457
baron-human,logcounts,spca,96,0.5496534667386618
baron-human,logcounts,spca,8,0.3575794067252469
baron-human,logcounts,spca,48,0.5441364756994985
baron-human,logcounts,tsvd,4,0.27645259606410655
baron-human,logcounts,tsvd,32,0.5193002928322169
baron-human,logcounts,tsvd,2,0.2147406394394156
baron-human,logcounts,tsvd,16,0.4812417440720431
baron-human,logcounts,tsvd,96,0.5601785166072576
baron-human,logcounts,tsvd,8,0.357289416860459
baron-human,logcounts,tsvd,48,0.5506926523370498
baron-human,logcounts,spca-batch,4,0.285258182560985
baron-human,logcounts,spca-batch,32,0.4082250821381031
baron-human,logcounts,spca-batch,2,0.23506928424566695
baron-human,logcounts,spca-batch,16,0.3903993623872759
baron-human,logcounts,spca-batch,96,0.4372873835392172
baron-human,logcounts,spca-batch,8,0.3216911871188603
baron-human,logcounts,spca-batch,48,0.38848949423279144
