dataset,count,method,dimensions,rho.cosine
baron-human,counts,psmf,48,0.27715099712695246
baron-human,counts,psmf,32,0.31686920409560226
baron-human,counts,psmf,2,0.21139628120933018
baron-human,counts,psmf,4,0.17040563654399715
baron-human,counts,psmf,8,0.26477669547616983
baron-human,counts,psmf,16,0.322369052481584
baron-human,counts,kpca-pol,96,0.6397345275860974
baron-human,counts,kpca-pol,48,0.6384546878974288
baron-human,counts,kpca-pol,32,0.6386038784117394
baron-human,counts,kpca-pol,2,0.5492139223379191
baron-human,counts,kpca-pol,4,0.6181202288280172
baron-human,counts,kpca-pol,8,0.6390641788913596
baron-human,counts,kpca-pol,16,0.6389923937884383
baron-human,counts,ivis,96,0.4750079454684063
baron-human,counts,ivis,48,0.5325512354319266
baron-human,counts,ivis,32,0.5905250880333895
baron-human,counts,ivis,2,0.7128164781872017
baron-human,counts,ivis,4,0.5358721070470255
baron-human,counts,ivis,8,0.5943384965365106
baron-human,counts,ivis,16,0.43478790311523974
baron-human,counts,spectral,96,0.13770201389290226
baron-human,counts,spectral,48,0.15677410787706123
baron-human,counts,spectral,32,0.13685265693092782
baron-human,counts,spectral,2,0.5307164650871935
baron-human,counts,spectral,4,0.3884304111365098
baron-human,counts,spectral,8,0.15957034150290703
baron-human,counts,spectral,16,0.17479006971513011
baron-human,counts,nmf2,96,0.9003158086433177
baron-human,counts,nmf2,48,0.9029977158407823
baron-human,counts,nmf2,32,0.8897165011468323
baron-human,counts,nmf2,2,0.6825133207695822
baron-human,counts,nmf2,4,0.7456450616432779
baron-human,counts,nmf2,8,0.8705554722806464
baron-human,counts,nmf2,16,0.885182438766343
baron-human,counts,icm,96,0.11537163089812065
baron-human,counts,icm,48,0.13953898706766021
baron-human,counts,icm,32,nan
baron-human,counts,icm,2,nan
baron-human,counts,icm,4,nan
baron-human,counts,icm,8,nan
baron-human,counts,icm,16,nan
baron-human,counts,pca,96,0.712629277808021
baron-human,counts,pca,48,0.7111063670061939
baron-human,counts,pca,32,0.7098420563640182
baron-human,counts,pca,2,0.5713206729468573
baron-human,counts,pca,4,0.6822467366062678
baron-human,counts,pca,8,0.6971382391300889
baron-human,counts,pca,16,0.7061199776869923
baron-human,counts,saucie,96,0.0022299656945804335
baron-human,counts,saucie,48,0.00043934205298511896
baron-human,counts,saucie,32,-0.0003914595469368689
baron-human,counts,saucie,2,-0.002944208819581724
baron-human,counts,saucie,4,0.005983871043219487
baron-human,counts,saucie,8,0.0026005119115130463
baron-human,counts,saucie,16,-0.0032756308878823383
baron-human,counts,spca,96,0.7132532279314305
baron-human,counts,spca,48,0.7112399864377039
baron-human,counts,spca,32,0.7098426230957305
baron-human,counts,spca,2,0.5713205773377238
baron-human,counts,spca,4,0.6822466364390635
baron-human,counts,spca,8,0.6971382661608996
baron-human,counts,spca,16,0.706120140382419
baron-human,counts,spca-batch,96,0.6398260356793403
baron-human,counts,spca-batch,48,0.39337661676522717
baron-human,counts,spca-batch,32,0.6390133623078803
baron-human,counts,spca-batch,2,0.641608518365061
baron-human,counts,spca-batch,4,0.49128192454147657
baron-human,counts,spca-batch,8,0.5754869551555811
baron-human,counts,spca-batch,16,0.48681284338228736
