dataset,count,method,dimensions,rho.cosine
lake,normcounts,phate,4,0.603491380202517
lake,normcounts,phate,8,0.6114167079670851
lake,normcounts,phate,16,0.6098229462818529
lake,normcounts,fica,96,0.2127183041949068
lake,normcounts,fica,48,0.27741523715085226
lake,normcounts,fica,32,0.3201688130089496
lake,normcounts,fica,2,0.3947419199870788
lake,normcounts,fica,4,0.47785222533988486
lake,normcounts,fica,8,0.4577577763320172
lake,normcounts,fica,16,0.37790387619727744
lake,normcounts,isomap,96,0.5671314774130992
lake,normcounts,isomap,48,0.5642422577029766
lake,normcounts,isomap,32,0.5635639434719913
lake,normcounts,isomap,2,0.5084971544799002
lake,normcounts,isomap,4,0.5483757719038804
lake,normcounts,isomap,8,0.5567647037543917
lake,normcounts,isomap,16,0.5613745097373358
lake,normcounts,tsvd,96,0.948391655363642
lake,normcounts,tsvd,48,0.9204903244515766
lake,normcounts,tsvd,32,0.9032824804732849
lake,normcounts,tsvd,2,0.5552869633047383
lake,normcounts,tsvd,4,0.6876705780259369
lake,normcounts,tsvd,8,0.8096940499066575
lake,normcounts,tsvd,16,0.8709602186234185
lake,normcounts,vpac,96,0.3339356521089498
lake,normcounts,vpac,48,0.3333966683524693
lake,normcounts,vpac,32,0.31717883052285956
lake,normcounts,vpac,2,0.41528094468601334
lake,normcounts,vpac,4,0.25959371130029585
lake,normcounts,vpac,8,0.28327399784540247
lake,normcounts,vpac,16,0.28622686777905815
lake,normcounts,kpca-rbf,96,3.6476005390738245e-05
lake,normcounts,kpca-rbf,48,-0.0004942420250904449
lake,normcounts,kpca-rbf,32,-0.00037971502427832315
lake,normcounts,kpca-rbf,2,-0.006980848354775542
lake,normcounts,kpca-rbf,4,-0.00404553607374155
lake,normcounts,kpca-rbf,8,-0.0016243982288326512
lake,normcounts,kpca-rbf,16,-0.0004012871495657305
lake,normcounts,mctsne,96,0.242079411113186
lake,normcounts,mctsne,48,0.42048833915351363
lake,normcounts,mctsne,32,nan
lake,normcounts,mctsne,2,0.443880767430895
lake,normcounts,mctsne,4,0.4970284322009915
lake,normcounts,mctsne,8,0.5077846537492305
lake,normcounts,nmf,96,0.8271140871452626
lake,normcounts,nmf,48,0.8122059109840573
lake,normcounts,nmf,32,0.8138275912353728
lake,normcounts,nmf,2,0.5615445496339124
lake,normcounts,nmf,4,0.6616536137448638
lake,normcounts,nmf,8,0.776648937551289
lake,normcounts,nmf,16,0.7909033460853411
lake,normcounts,srp,96,0.743136281900131
lake,normcounts,srp,48,0.6141874099029455
lake,normcounts,srp,32,0.6829280985711353
lake,normcounts,srp,2,0.3980872649737138
lake,normcounts,srp,4,0.24774770626486595
lake,normcounts,srp,8,0.24007091024876215
lake,normcounts,srp,16,0.2813954302232129
lake,normcounts,snmf,48,0.7434272800716782
lake,normcounts,snmf,32,0.6985416545258575
lake,normcounts,snmf,2,0.5654371523603882
lake,normcounts,snmf,4,0.6481950589492488
lake,normcounts,snmf,8,0.6933191899893104
lake,normcounts,snmf,16,0.7351987235249551
lake,normcounts,psmf,96,0.4907997749967365
lake,normcounts,psmf,48,0.48783170896057876
lake,normcounts,psmf,32,0.4854203940205852
lake,normcounts,psmf,2,0.07604840040098042
lake,normcounts,psmf,4,0.3792876142714918
lake,normcounts,psmf,8,0.4584766168110072
lake,normcounts,psmf,16,0.4579432294937364
lake,normcounts,kpca-pol,96,0.3922637870863757
lake,normcounts,kpca-pol,48,0.3800340717523898
lake,normcounts,kpca-pol,32,0.3771729371285188
lake,normcounts,kpca-pol,2,0.3520684307964928
lake,normcounts,kpca-pol,4,0.34801134579550647
lake,normcounts,kpca-pol,8,0.3180761551725547
lake,normcounts,kpca-pol,16,0.34866919209571307
lake,normcounts,ivis,96,0.5600088814894181
lake,normcounts,ivis,48,0.5715495130281372
lake,normcounts,ivis,32,0.45280085958539906
lake,normcounts,ivis,2,nan
lake,normcounts,ivis,4,nan
lake,normcounts,ivis,8,0.024526954488513945
lake,normcounts,ivis,16,0.433954202609545
lake,normcounts,spectral,96,0.07073357790257331
lake,normcounts,spectral,48,0.10878702585671522
lake,normcounts,spectral,32,0.14360790419526712
lake,normcounts,spectral,2,0.37168896800396495
lake,normcounts,spectral,4,0.3750020928678476
lake,normcounts,spectral,8,0.3198725930090851
lake,normcounts,spectral,16,0.21093886057383898
lake,normcounts,nmf2,96,0.7971972486049979
lake,normcounts,nmf2,48,0.77585607099726
lake,normcounts,nmf2,32,0.7444736946833452
lake,normcounts,nmf2,2,0.5624732629252636
lake,normcounts,nmf2,4,0.6091426618606178
lake,normcounts,nmf2,8,0.6891083664586352
lake,normcounts,nmf2,16,0.7119746183622776
lake,normcounts,icm,96,0.13656228264199627
lake,normcounts,icm,48,0.09362018381824132
lake,normcounts,icm,32,nan
lake,normcounts,icm,2,nan
lake,normcounts,icm,4,nan
lake,normcounts,icm,8,nan
lake,normcounts,icm,16,nan
lake,normcounts,pca,96,0.6461234081845018
lake,normcounts,pca,48,0.6416992621936228
lake,normcounts,pca,32,0.638673484420209
lake,normcounts,pca,2,0.47196099925189267
lake,normcounts,pca,4,0.5757568623176983
lake,normcounts,pca,8,0.6157419870142018
lake,normcounts,pca,16,0.6332673691283469
lake,normcounts,saucie,96,-0.010705273637929114
lake,normcounts,saucie,48,0.025489673108817286
lake,normcounts,saucie,32,-0.0026024252799885703
lake,normcounts,saucie,2,-0.0188871101306983
lake,normcounts,saucie,4,0.010258721523223869
lake,normcounts,saucie,8,0.005769969734582161
lake,normcounts,saucie,16,0.0026609255576705722
lake,normcounts,spca,96,0.6498212764326095
lake,normcounts,spca,48,0.6449261278651705
lake,normcounts,spca,32,0.640516105094263
lake,normcounts,spca,2,0.4719605962004481
lake,normcounts,spca,4,0.575751486374816
lake,normcounts,spca,8,0.6157458430548004
lake,normcounts,spca,16,0.633274895228449
lake,normcounts,spca-batch,96,0.35518767351092506
lake,normcounts,spca-batch,48,0.44099847272108017
lake,normcounts,spca-batch,32,0.29612810072402024
lake,normcounts,spca-batch,2,0.547412820686146
lake,normcounts,spca-batch,4,0.4104939273997973
lake,normcounts,spca-batch,8,0.23623680314110473
lake,normcounts,spca-batch,16,0.29870347298946187
lake,normcounts,nsnmf,96,0.7646776623712235
lake,normcounts,nsnmf,48,0.7347539752077213
lake,normcounts,nsnmf,32,0.718901345021628
lake,normcounts,nsnmf,2,0.26799852568538113
lake,normcounts,nsnmf,4,0.29267929556828687
lake,normcounts,nsnmf,8,0.5654675151419931
lake,normcounts,nsnmf,16,0.6323834232086932
lake,normcounts,lsnmf,96,-0.009753126181289713
lake,normcounts,lsnmf,48,0.0017848264049164294
lake,normcounts,lsnmf,32,0.0006436155612915841
lake,normcounts,lsnmf,2,0.0007385792389431226
lake,normcounts,lsnmf,4,0.007041613375537368
lake,normcounts,lsnmf,8,-0.015100918918039613
lake,normcounts,lsnmf,16,-0.00823338026469462
lake,normcounts,bd,96,0.5482405178956481
lake,normcounts,bd,48,0.5831017392825383
lake,normcounts,bd,32,0.7252592995939012
lake,normcounts,bd,2,0.05115501856700462
lake,normcounts,bd,4,0.2686783920634087
lake,normcounts,bd,8,0.6942235765856065
lake,normcounts,bd,16,0.6772863192483636
lake,normcounts,fa,96,0.30363256205790035
lake,normcounts,fa,48,0.3440841322518807
lake,normcounts,fa,32,0.3614501008298331
lake,normcounts,fa,2,0.28124683400015044
lake,normcounts,fa,4,0.3900987721443705
lake,normcounts,fa,8,0.327305242798531
lake,normcounts,fa,16,0.35520922073968453
li,counts,zifa,96,0.07651468803260866
li,counts,zifa,48,0.1391564099527492
li,counts,zifa,32,0.17632493176037936
li,counts,zifa,2,0.2476515555837534
li,counts,zifa,4,0.3659355038034394
li,counts,zifa,8,0.2961080918130216
li,counts,zifa,16,0.22482103152241012
li,counts,vasc,96,nan
li,counts,vasc,48,nan
li,counts,vasc,32,0.14853644262052415
li,counts,vasc,2,0.3638181125988712
li,counts,vasc,4,0.2933457977545923
li,counts,vasc,8,0.2334659604615588
li,counts,vasc,16,0.22324773271652018
li,counts,lle,96,-0.08996214171641292
li,counts,lle,48,0.058692702191693105
li,counts,lle,32,0.09603179583409349
li,counts,lle,2,0.17955718581483146
li,counts,lle,4,0.23677242651607378
li,counts,lle,8,0.17753593854829203
li,counts,lle,16,0.032956863082605474
li,counts,kpca-cos,96,0.6039830700237346
li,counts,kpca-cos,48,0.6048794736043012
li,counts,kpca-cos,32,0.6064063846056741
li,counts,kpca-cos,2,0.5221937001548594
li,counts,kpca-cos,4,0.5947420005166282
li,counts,kpca-cos,8,0.6111570082060104
li,counts,kpca-cos,16,0.6092087239503072
li,counts,grp,96,0.9709376038664514
li,counts,grp,48,0.9251258739236433
li,counts,grp,32,0.8994401503792541
li,counts,grp,2,0.5343922610175312
li,counts,grp,4,0.5645826272827164
li,counts,grp,8,0.6020848922739369
li,counts,grp,16,0.8395553906297905
li,counts,pmf,96,0.7822608685928957
li,counts,pmf,48,0.7621874008278158
li,counts,pmf,32,0.7429227624642118
li,counts,pmf,2,0.4555485428561672
li,counts,pmf,4,0.3599889175261238
li,counts,pmf,8,0.5596056288373045
li,counts,pmf,16,0.6680850640429005
li,counts,ipca,96,0.499603739592806
li,counts,ipca,48,0.4986254699950189
li,counts,ipca,32,0.49671507381223207
li,counts,ipca,2,0.26250312340388887
li,counts,ipca,4,0.43211066589937747
li,counts,ipca,8,0.48348254077529557
li,counts,ipca,16,0.49058564857208964
li,counts,lda,96,0.6419765807628248
li,counts,lda,48,0.5670119493652466
li,counts,lda,32,0.5906645142729219
li,counts,lda,2,0.43797216508039494
li,counts,lda,4,0.6199654230720626
li,counts,lda,8,0.4071163779819943
li,counts,lda,16,0.5883817852892108
li,counts,kpca-sig,96,nan
li,counts,kpca-sig,48,nan
li,counts,kpca-sig,32,nan
li,counts,kpca-sig,2,nan
li,counts,kpca-sig,4,nan
li,counts,kpca-sig,8,nan
li,counts,kpca-sig,16,nan
li,counts,umap,96,0.30723961320892745
li,counts,umap,48,0.31164986258831195
li,counts,umap,32,0.26806438953122
li,counts,umap,2,0.1906338885287206
li,counts,umap,4,0.3985920488702419
li,counts,umap,8,0.27385342346448804
li,counts,umap,16,0.2977977216962422
li,counts,phate,96,0.4668195133142183
li,counts,phate,48,0.46775209976773263
li,counts,phate,32,0.46797008086845976
li,counts,phate,2,0.3821105022012251
li,counts,phate,4,0.4653929786059414
li,counts,phate,8,0.46767650895961227
li,counts,phate,16,0.46769845381119624
li,counts,fica,96,0.11917835767550716
li,counts,fica,48,0.18203097725369705
li,counts,fica,32,0.27521637751183475
li,counts,fica,2,0.29977643440879875
li,counts,fica,4,0.535357051761827
li,counts,fica,8,0.5160049646448981
li,counts,fica,16,0.3732009316361985
li,counts,isomap,96,0.331513179947974
li,counts,isomap,48,0.33132185983376466
li,counts,isomap,32,0.33172708235852133
li,counts,isomap,2,0.31230483118403235
li,counts,isomap,4,0.32786920752261717
li,counts,isomap,8,0.33377902916216684
li,counts,isomap,16,0.33292071138476287
li,counts,tsvd,96,0.9942832516639246
li,counts,tsvd,48,0.9845161251591248
li,counts,tsvd,32,0.9736931869312805
li,counts,tsvd,2,0.4989203804665225
li,counts,tsvd,4,0.762024690662187
li,counts,tsvd,8,0.8997292375146567
li,counts,tsvd,16,0.9368069974326246
li,counts,vpac,96,0.44012012585234406
li,counts,vpac,48,0.43937304785888004
li,counts,vpac,32,0.4404058746267571
li,counts,vpac,2,nan
li,counts,vpac,4,0.29829112653607676
li,counts,vpac,8,0.39497403787526403
li,counts,vpac,16,0.43625519283427056
li,counts,kpca-rbf,96,0.0005127838193601838
li,counts,kpca-rbf,48,-0.001205665393711098
li,counts,kpca-rbf,32,-0.0007460918957848135
li,counts,kpca-rbf,2,0.03127968947945055
li,counts,kpca-rbf,4,0.02516298900582058
li,counts,kpca-rbf,8,0.0795044855712254
li,counts,kpca-rbf,16,-0.0018566298908462922
li,counts,mctsne,96,0.5423997830833872
li,counts,mctsne,48,0.37479355813282156
li,counts,mctsne,32,nan
li,counts,mctsne,2,0.2876828156595508
li,counts,mctsne,4,0.3427858986037117
li,counts,mctsne,8,0.3500160716289011
li,counts,mctsne,16,0.3837672162643559
li,counts,nmf,96,0.8470617938053379
li,counts,nmf,48,0.7927115105231545
li,counts,nmf,32,0.8086780844785442
li,counts,nmf,2,0.42023649852172423
li,counts,nmf,4,0.6896414056491491
li,counts,nmf,8,0.7544067503163462
li,counts,nmf,16,0.8332382306245055
li,counts,srp,96,0.8883279800748012
li,counts,srp,48,0.8139812089787799
li,counts,srp,32,0.7613804894163756
li,counts,srp,2,0.46441519188945524
li,counts,srp,4,0.4217572277376129
li,counts,srp,8,0.528781829892988
li,counts,srp,16,0.6897326660797112
li,counts,snmf,48,0.5734830684122126
li,counts,snmf,32,0.7095422388002292
li,counts,snmf,2,0.3637543614542896
li,counts,snmf,4,0.6323407702560851
li,counts,snmf,8,0.7490655083632732
li,counts,snmf,16,0.7360358227931396
li,counts,psmf,96,0.5713299579195684
li,counts,psmf,48,0.5168752580902327
li,counts,psmf,32,0.5007915055387719
li,counts,psmf,2,0.06124168714138372
li,counts,psmf,4,0.2563666135390144
li,counts,psmf,8,0.29162413993342373
li,counts,psmf,16,0.34737312481428806
li,counts,kpca-pol,96,0.5797416088774072
li,counts,kpca-pol,48,0.5418416373909383
li,counts,kpca-pol,32,0.4694724212560282
li,counts,kpca-pol,2,0.1585359963373469
li,counts,kpca-pol,4,0.17702346162538635
li,counts,kpca-pol,8,0.25536252431365103
li,counts,kpca-pol,16,0.2889364469372212
li,counts,ivis,96,0.22558382751773084
li,counts,ivis,48,0.3647349930397085
li,counts,ivis,32,0.28034938093288125
li,counts,ivis,2,0.27308063262430676
li,counts,ivis,4,0.32095744581691626
li,counts,ivis,8,0.17014254674124535
li,counts,ivis,16,0.43247687831931825
li,counts,spectral,96,0.05768450333877477
li,counts,spectral,48,0.06358869083801133
li,counts,spectral,32,0.0653269310799934
li,counts,spectral,2,0.41165839117413583
li,counts,spectral,4,0.3202119990017169
li,counts,spectral,8,0.2258663862255184
li,counts,spectral,16,0.1277740210200195
li,counts,nmf2,96,0.8628264506735748
li,counts,nmf2,48,0.7886963909756991
li,counts,nmf2,32,0.7588336691630913
li,counts,nmf2,2,0.3007028139931836
li,counts,nmf2,4,0.6317308663705892
li,counts,nmf2,8,0.7008339083222247
li,counts,nmf2,16,0.7797710397451225
li,counts,icm,96,0.19456075472756415
li,counts,icm,48,0.16514244735404995
li,counts,icm,32,0.11476094846956433
li,counts,icm,2,-0.038546478444220426
li,counts,icm,4,nan
li,counts,icm,8,nan
li,counts,icm,16,nan
li,counts,pca,96,0.49957842318453377
li,counts,pca,48,0.4985985929984819
li,counts,pca,32,0.49672402406982863
li,counts,pca,2,0.26250311519962666
li,counts,pca,4,0.43211065022113304
li,counts,pca,8,0.4834848719581055
li,counts,pca,16,0.4905859036234475
li,counts,saucie,96,0.0218564560327217
li,counts,saucie,48,-0.010800629865540147
li,counts,saucie,32,-0.012099269131606612
li,counts,saucie,2,-0.01750711914998035
li,counts,saucie,4,0.02263201631718398
li,counts,saucie,8,-0.03433825927141973
li,counts,saucie,16,0.05154723989682818
li,counts,spca,96,0.50050922698508
li,counts,spca,48,0.5008411869525822
li,counts,spca,32,0.5002963179943507
li,counts,spca,2,0.2624799892505876
li,counts,spca,4,0.4321090788282848
li,counts,spca,8,0.48348895383491364
li,counts,spca,16,0.4960587155064459
li,counts,spca-batch,96,0.3652810481315872
li,counts,spca-batch,48,0.42184088327844477
li,counts,spca-batch,32,0.2580876644979015
li,counts,spca-batch,2,0.3990236133971808
li,counts,spca-batch,4,0.39509829130787827
li,counts,spca-batch,8,0.5196608457849
li,counts,spca-batch,16,0.4324383645057981
li,counts,nsnmf,96,0.7839815135313507
li,counts,nsnmf,48,0.7592181863672132
li,counts,nsnmf,32,0.7416900175404472
li,counts,nsnmf,2,0.47470767891651333
li,counts,nsnmf,4,0.5039716258498639
li,counts,nsnmf,8,0.5871170771315939
li,counts,nsnmf,16,0.6738343554857401
li,counts,lsnmf,96,-0.0009748868732932538
li,counts,lsnmf,48,0.01979385819472595
li,counts,lsnmf,32,-0.02430833017253463
li,counts,lsnmf,2,0.021244472958715493
li,counts,lsnmf,4,0.032961899118479854
li,counts,lsnmf,8,0.00699528153001971
li,counts,lsnmf,16,-0.01702379054881947
li,counts,bd,96,0.595204277796053
li,counts,bd,48,0.6447589308589388
li,counts,bd,32,0.48562374719508067
li,counts,bd,2,0.33033492144998894
li,counts,bd,4,0.6732151557718016
li,counts,bd,8,0.7622177089040338
li,counts,bd,16,0.6272078295663809
li,counts,fa,96,0.040691661722340663
li,counts,fa,48,0.13610604661615427
li,counts,fa,32,0.17373638050037954
li,counts,fa,2,0.18925135016869127
li,counts,fa,4,0.3210413231851799
li,counts,fa,8,0.2626759571033907
li,counts,fa,16,0.24112879799121203
li,logcounts,zifa,32,0.15036384906222008
li,logcounts,zifa,2,0.4612266527282403
li,logcounts,zifa,4,0.42118243403577243
li,logcounts,zifa,8,0.26585864512848295
li,logcounts,zifa,16,0.2190891807903294
li,logcounts,vasc,96,nan
li,logcounts,vasc,48,0.30683998679143504
li,logcounts,vasc,32,0.3233635724135106
li,logcounts,vasc,2,0.3934396742582672
li,logcounts,vasc,4,0.5357338963570536
li,logcounts,vasc,8,0.2259058918290977
li,logcounts,vasc,16,0.4150057236289721
li,logcounts,lle,96,0.0968100649084483
li,logcounts,lle,48,-0.026038977993031575
li,logcounts,lle,32,0.15973596047877742
li,logcounts,lle,2,0.2002369496612759
li,logcounts,lle,4,0.28823244386873276
li,logcounts,lle,8,0.08796306844468525
li,logcounts,lle,16,0.07793061837832496
li,logcounts,kpca-cos,96,0.3873639099806376
li,logcounts,kpca-cos,48,0.41011001927139407
li,logcounts,kpca-cos,32,0.42522175446568417
li,logcounts,kpca-cos,2,0.40763108328970554
li,logcounts,kpca-cos,4,0.47320144749060844
li,logcounts,kpca-cos,8,0.45962175828873636
li,logcounts,kpca-cos,16,0.44574263467142256
li,logcounts,grp,96,0.9278635506315374
li,logcounts,grp,48,0.8690443381374778
li,logcounts,grp,32,0.7808424916051928
li,logcounts,grp,2,0.33032034944206107
li,logcounts,grp,4,0.52458017187468
li,logcounts,grp,8,0.6107522348808974
li,logcounts,grp,16,0.7906690518682944
li,logcounts,pmf,96,0.7311006946981151
li,logcounts,pmf,48,0.6438971692902488
li,logcounts,pmf,32,0.50870363432725
li,logcounts,pmf,2,0.23892289597815242
li,logcounts,pmf,4,0.22055354320927242
li,logcounts,pmf,8,0.3769566357027275
li,logcounts,pmf,16,0.4923727613937328
li,logcounts,lda,96,0.5152248919790754
li,logcounts,lda,48,0.529334714087218
li,logcounts,lda,32,0.5633875107983899
li,logcounts,lda,2,0.27537959126215794
li,logcounts,lda,4,0.28452352935683706
li,logcounts,lda,8,0.29027585184020277
li,logcounts,lda,16,0.41185637789694
li,logcounts,kpca-sig,96,0.1373975246098099
li,logcounts,kpca-sig,48,0.16472037185514607
li,logcounts,kpca-sig,32,0.17864706570700764
li,logcounts,kpca-sig,2,0.1295209112634225
li,logcounts,kpca-sig,4,0.23403074896751414
li,logcounts,kpca-sig,8,0.2077850707122381
li,logcounts,kpca-sig,16,0.19295841103394512
li,logcounts,umap,96,0.06370893523168313
li,logcounts,umap,48,0.14685838624978226
li,logcounts,umap,32,0.08583496534187925
li,logcounts,umap,2,0.15389089541683218
li,logcounts,umap,4,0.15072143592971948
li,logcounts,umap,8,0.025816566022833533
li,logcounts,umap,16,0.06272169436417688
li,logcounts,phate,96,0.07867375161797412
li,logcounts,phate,48,0.09790001781520605
li,logcounts,phate,32,0.07851561519231172
li,logcounts,phate,2,0.07550597089089413
li,logcounts,phate,4,0.08940807178334458
li,logcounts,phate,8,0.07462570978624505
li,logcounts,phate,16,0.08440634765060086
li,logcounts,fica,96,0.09668409943745614
li,logcounts,fica,48,0.11107225937067124
li,logcounts,fica,32,0.12134899288718227
li,logcounts,fica,2,0.3167512489715973
li,logcounts,fica,4,0.35062070057891453
li,logcounts,fica,8,0.2217089867082022
li,logcounts,fica,16,0.14460851507724126
li,logcounts,isomap,96,0.12952136456163668
li,logcounts,isomap,48,0.12955287143930586
li,logcounts,isomap,32,0.13046731017314558
li,logcounts,isomap,2,0.14378508482176924
li,logcounts,isomap,4,0.13471612924996396
li,logcounts,isomap,8,0.13579915534549553
li,logcounts,isomap,16,0.13196293427514177
li,logcounts,tsvd,96,0.9677143255317253
li,logcounts,tsvd,48,0.9455313345186168
li,logcounts,tsvd,32,0.9246273489103809
li,logcounts,tsvd,2,0.20117546548815785
li,logcounts,tsvd,4,0.49464729366732685
li,logcounts,tsvd,8,0.7886589188704504
li,logcounts,tsvd,16,0.8791470663046019
li,logcounts,vpac,96,0.5085645581586014
li,logcounts,vpac,48,0.5024174071508787
li,logcounts,vpac,32,0.49470979851911917
li,logcounts,vpac,2,0.3259683991757814
li,logcounts,vpac,4,0.3774783803833572
li,logcounts,vpac,8,0.3919767234832104
li,logcounts,vpac,16,0.5010244176736903
li,logcounts,kpca-rbf,96,0.37443218386637006
li,logcounts,kpca-rbf,48,0.37903890465750983
li,logcounts,kpca-rbf,32,0.3787318179351555
li,logcounts,kpca-rbf,2,0.2797555127742638
li,logcounts,kpca-rbf,4,0.3282609442553444
li,logcounts,kpca-rbf,8,0.3715343257428707
li,logcounts,kpca-rbf,16,0.37539033405607136
li,logcounts,mctsne,96,nan
li,logcounts,mctsne,48,0.20630081472662848
li,logcounts,mctsne,32,nan
li,logcounts,mctsne,2,0.23738731584792166
li,logcounts,mctsne,4,0.26107864356407173
li,logcounts,mctsne,8,0.2916006579878399
li,logcounts,mctsne,16,0.22128534836780733
li,logcounts,nmf,96,0.7767977168789936
li,logcounts,nmf,48,0.7630010996859787
li,logcounts,nmf,32,0.7381637651708131
li,logcounts,nmf,2,0.1364963748001094
li,logcounts,nmf,4,0.30639249132609714
li,logcounts,nmf,8,0.36763942807022365
li,logcounts,nmf,16,0.6435162005254687
li,logcounts,srp,96,0.9342444101044286
li,logcounts,srp,48,0.8917795250568684
li,logcounts,srp,32,0.8329946894225952
li,logcounts,srp,2,0.19795109313564793
li,logcounts,srp,4,0.52984943518251
li,logcounts,srp,8,0.6363900772299819
li,logcounts,srp,16,0.7168172674329516
li,logcounts,snmf,96,0.7884226422344451
li,logcounts,snmf,48,0.7085983317787178
li,logcounts,snmf,32,0.7321745086958654
li,logcounts,snmf,2,0.13127394624063957
li,logcounts,snmf,4,0.3551900700233907
li,logcounts,snmf,8,0.37200049043541755
li,logcounts,snmf,16,0.6458953812483273
li,logcounts,psmf,96,0.6767592479717776
li,logcounts,psmf,48,0.5862337274946182
li,logcounts,psmf,32,0.4979918036399577
li,logcounts,psmf,2,0.2666962329881353
li,logcounts,psmf,4,0.4949556074896831
li,logcounts,psmf,8,0.2938509018545662
li,logcounts,psmf,16,0.3628544262947198
li,logcounts,kpca-pol,96,0.3727635504884695
li,logcounts,kpca-pol,48,0.37908472642335334
li,logcounts,kpca-pol,32,0.3822694705813692
li,logcounts,kpca-pol,2,0.2858804968340011
li,logcounts,kpca-pol,4,0.3277959265274363
li,logcounts,kpca-pol,8,0.3817616273848692
li,logcounts,kpca-pol,16,0.38610386454614726
li,logcounts,ivis,96,0.37364560510947803
li,logcounts,ivis,48,0.1838681281008342
li,logcounts,ivis,32,0.35367092479453593
li,logcounts,ivis,2,0.3629591568772122
li,logcounts,ivis,4,0.29020055543358403
li,logcounts,ivis,8,0.15490673538358313
li,logcounts,ivis,16,0.21830619944705199
li,logcounts,spectral,96,0.043958989156877654
li,logcounts,spectral,48,0.041065058278249904
li,logcounts,spectral,32,0.03897798537850099
li,logcounts,spectral,2,0.2952994627335905
li,logcounts,spectral,4,0.1690244553647138
li,logcounts,spectral,8,0.02453914177182047
li,logcounts,spectral,16,-0.0056851368577983735
li,logcounts,nmf2,96,0.5693230490747776
li,logcounts,nmf2,48,0.6001050560947919
li,logcounts,nmf2,32,0.4827839369547993
li,logcounts,nmf2,2,0.10885265236842045
li,logcounts,nmf2,4,0.19064784434916682
li,logcounts,nmf2,8,0.2449255774629351
li,logcounts,nmf2,16,0.4106342061001387
li,logcounts,icm,96,0.7324469484307076
li,logcounts,icm,48,0.7461300039137987
li,logcounts,icm,32,0.7124528765552204
li,logcounts,icm,2,0.10730768089718612
li,logcounts,icm,4,0.3062911031920799
li,logcounts,icm,8,0.2779786917749609
li,logcounts,icm,16,0.6014801190005401
li,logcounts,pca,96,0.5239017975366056
li,logcounts,pca,48,0.5178248951120432
li,logcounts,pca,32,0.5133866675620431
li,logcounts,pca,2,0.38680389010855254
li,logcounts,pca,4,0.48884484002030626
li,logcounts,pca,8,0.5023018475117998
li,logcounts,pca,16,0.5068748907119034
li,logcounts,saucie,96,-0.058770895832380446
li,logcounts,saucie,48,-0.010049755681398419
li,logcounts,saucie,32,0.014940671866104274
li,logcounts,saucie,2,0.04724599659093878
li,logcounts,saucie,4,0.011810793045547024
li,logcounts,saucie,8,0.030774956221879913
li,logcounts,saucie,16,-0.01298736303495826
li,logcounts,spca,96,0.15677123740200866
li,logcounts,spca,48,0.19723017200227924
li,logcounts,spca,32,0.24269846516083937
li,logcounts,spca,2,0.3887860077177973
li,logcounts,spca,4,0.4637033411491332
li,logcounts,spca,8,0.45718034304512584
li,logcounts,spca,16,0.36213036533124704
li,logcounts,spca-batch,96,0.43639648582465856
li,logcounts,spca-batch,48,0.3967088913474498
li,logcounts,spca-batch,32,0.40808839630014343
li,logcounts,spca-batch,2,0.38040130891388835
li,logcounts,spca-batch,4,0.40011683807349
li,logcounts,spca-batch,8,0.4228843809261281
li,logcounts,spca-batch,16,0.45460106446914184
li,logcounts,nsnmf,96,0.54492814592485
li,logcounts,nsnmf,48,0.4372430225707665
li,logcounts,nsnmf,32,0.3630752354397754
li,logcounts,nsnmf,2,0.04834039506634588
li,logcounts,nsnmf,4,0.09569864573956453
li,logcounts,nsnmf,8,0.20650418876875468
li,logcounts,nsnmf,16,0.2815285001383188
li,logcounts,lsnmf,96,0.920721705728646
li,logcounts,lsnmf,48,0.47914169089132724
li,logcounts,lsnmf,32,0.6050184785389983
li,logcounts,lsnmf,2,0.1349021158018725
li,logcounts,lsnmf,4,0.34543515621572146
li,logcounts,lsnmf,8,0.2702599113048774
li,logcounts,lsnmf,16,0.5037451990001752
li,logcounts,bd,96,0.428831395466597
li,logcounts,bd,48,0.21306247744571893
li,logcounts,bd,32,0.265933894961175
li,logcounts,bd,2,0.14441070856840985
li,logcounts,bd,4,0.12591845590027098
li,logcounts,bd,8,0.2545079523805727
li,logcounts,bd,16,0.4726835054688283
li,logcounts,fa,96,0.11411112119577954
li,logcounts,fa,48,0.13151677850754045
li,logcounts,fa,32,0.14001577489718503
li,logcounts,fa,2,0.3433143565511077
li,logcounts,fa,4,0.31995135905757394
li,logcounts,fa,8,0.21547440160243606
li,logcounts,fa,16,0.1643020744881986
manno_human,counts,zifa,2,0.39993508252932525
manno_human,counts,zifa,4,0.44773772758067193
manno_human,counts,zifa,8,0.4501078916787598
manno_human,counts,vasc,96,nan
manno_human,counts,vasc,48,nan
manno_human,counts,vasc,32,0.2892820858958239
manno_human,counts,vasc,2,0.351456667994742
manno_human,counts,vasc,4,0.2605847995945046
manno_human,counts,vasc,8,0.318838091674274
manno_human,counts,vasc,16,0.31126211813384846
manno_human,counts,lle,96,0.019390094153336715
manno_human,counts,lle,48,0.07093033065071863
manno_human,counts,lle,32,0.10181254335014192
manno_human,counts,lle,2,0.13957576774472485
manno_human,counts,lle,4,0.32691346323070086
manno_human,counts,lle,8,0.24170837559860395
manno_human,counts,lle,16,0.1918282230771278
manno_human,counts,kpca-cos,96,0.7083740965990161
