dataset,count,method,dimensions,rho.euclidean
baron-human,counts,lle,96,0.4023268725728523
baron-human,counts,lle,8,0.14008442317086164
baron-human,counts,lle,48,0.5016854226744991
baron-human,counts,lsnmf,4,0.0005134292217950758
baron-human,counts,lsnmf,32,-0.004070033239169156
baron-human,counts,lsnmf,2,0.002861071255392532
baron-human,counts,lsnmf,16,0.0028450756746974592
baron-human,counts,lsnmf,96,0.0006835084866522076
baron-human,counts,lsnmf,8,-0.002098172307176719
baron-human,counts,lsnmf,48,0.0007677613421680909
baron-human,counts,phate,4,0.8407923636510751
baron-human,counts,phate,32,0.8794097388957781
baron-human,counts,phate,2,0.8381852796549092
baron-human,counts,phate,16,0.895547837065462
baron-human,counts,phate,96,0.8894994540205641
baron-human,counts,phate,8,0.8940640826770866
baron-human,counts,phate,48,0.8929081477059096
baron-human,counts,kpca-rbf,4,-0.009835671397532586
baron-human,counts,kpca-rbf,32,-0.009715188531263802
baron-human,counts,kpca-rbf,2,-0.005554242954910951
baron-human,counts,kpca-rbf,16,-0.009771501297490215
baron-human,counts,kpca-rbf,96,-0.011213330555248459
baron-human,counts,kpca-rbf,8,0.0028665528923843588
baron-human,counts,kpca-rbf,48,-0.011847445762831933
baron-human,counts,isomap,4,0.9744152824565364
baron-human,counts,isomap,32,0.9754535338843201
baron-human,counts,isomap,2,0.9199479011346198
baron-human,counts,isomap,16,0.9754674141148648
baron-human,counts,isomap,96,0.9748338956291454
baron-human,counts,isomap,8,0.9762536518953161
baron-human,counts,isomap,48,0.9752038126460302
baron-human,counts,saucie,4,0.0042563281057313804
baron-human,counts,saucie,32,-0.0005369380775116047
baron-human,counts,saucie,2,-0.009599070757567727
baron-human,counts,saucie,16,-0.00355248843176148
baron-human,counts,saucie,96,0.0034593544533801234
baron-human,counts,saucie,8,0.006024665320263141
baron-human,counts,saucie,48,-0.00357929167231718
baron-human,counts,bd,4,0.883637303751044
baron-human,counts,bd,32,0.6478623762542046
baron-human,counts,bd,2,0.472914396074489
baron-human,counts,bd,16,0.5089372944586663
baron-human,counts,bd,96,0.6060886141860082
baron-human,counts,bd,8,0.6880101649700021
baron-human,counts,bd,48,0.6378057041922561
baron-human,counts,lda,4,0.4455201299336404
baron-human,counts,lda,32,0.48309884135077347
baron-human,counts,lda,2,0.1230606149026367
baron-human,counts,lda,16,0.4844030370739818
baron-human,counts,lda,96,0.3895025536710626
baron-human,counts,lda,8,0.4231883150738297
baron-human,counts,lda,48,0.42818339746271195
baron-human,counts,spectral,4,0.5333519595472992
baron-human,counts,spectral,32,0.1022136987043547
baron-human,counts,spectral,2,0.5613000600798277
baron-human,counts,spectral,16,0.23492271734079292
baron-human,counts,spectral,96,-0.10885462274711387
baron-human,counts,spectral,8,0.5887496209502517
baron-human,counts,spectral,48,-0.00663942781569118
baron-human,counts,grp,4,0.9321802634200599
baron-human,counts,grp,32,0.9891300885455987
baron-human,counts,grp,2,0.6410899701989647
baron-human,counts,grp,16,0.9629927693003978
baron-human,counts,grp,96,0.9970803435883276
baron-human,counts,grp,8,0.9316164523412069
baron-human,counts,grp,48,0.9900301685087202
baron-human,counts,fa,4,-0.04924583458648963
baron-human,counts,fa,32,0.1641561434323835
baron-human,counts,fa,2,0.03336094032247357
baron-human,counts,fa,16,0.32632239418336123
baron-human,counts,fa,96,-0.03390125942219098
baron-human,counts,fa,8,0.5151464047205958
baron-human,counts,fa,48,0.09302226632686017
baron-human,counts,mctsne,4,0.4767111066278019
baron-human,counts,mctsne,32,nan
baron-human,counts,mctsne,2,0.658611609184124
baron-human,counts,mctsne,96,nan
baron-human,counts,mctsne,8,0.45978120330313793
baron-human,counts,mctsne,48,0.860649185870583
baron-human,counts,nmf,4,0.9321011691641129
baron-human,counts,nmf,32,0.9184084218601067
baron-human,counts,nmf,2,0.7870625038629425
baron-human,counts,nmf,16,0.9338186304444944
baron-human,counts,nmf,96,0.9092501634050538
baron-human,counts,nmf,8,0.9552342213388222
baron-human,counts,nmf,48,0.9179013523094555
baron-human,counts,kpca-pol,4,0.85030767953269
baron-human,counts,kpca-pol,32,0.8772030612537861
baron-human,counts,kpca-pol,2,0.7850414729393607
baron-human,counts,kpca-pol,16,0.8774206901164738
baron-human,counts,kpca-pol,96,0.8781333103669673
baron-human,counts,kpca-pol,8,0.8770190836624272
baron-human,counts,kpca-pol,48,0.8771008457491817
baron-human,counts,vasc,4,0.030024181211477364
baron-human,counts,vasc,32,nan
baron-human,counts,vasc,2,0.13393158240927472
baron-human,counts,vasc,16,0.06978975984089289
baron-human,counts,vasc,96,nan
baron-human,counts,vasc,8,-0.012091880432154064
baron-human,counts,vasc,48,0.02354449268447937
baron-human,counts,kpca-cos,4,0.7459817997600793
baron-human,counts,kpca-cos,32,0.8041458832162908
baron-human,counts,kpca-cos,2,0.5140135727693255
baron-human,counts,kpca-cos,16,0.7993399214759813
baron-human,counts,kpca-cos,96,0.8078196624877161
baron-human,counts,kpca-cos,8,0.7935167928546156
baron-human,counts,kpca-cos,48,0.8044698795082269
baron-human,counts,pca,4,0.978516975386109
baron-human,counts,pca,32,0.9996940575521042
baron-human,counts,pca,2,0.8602851257201314
baron-human,counts,pca,16,0.99850665166184
baron-human,counts,pca,96,0.999900778293603
baron-human,counts,pca,8,0.9955073266617093
baron-human,counts,pca,48,0.9998202108226806
baron-human,counts,pmf,4,0.7095618144833423
baron-human,counts,pmf,32,0.40166120462234617
baron-human,counts,pmf,2,0.43593047825825515
baron-human,counts,pmf,16,0.6435971172093651
baron-human,counts,pmf,96,0.37178553416319887
baron-human,counts,pmf,8,0.6347878467201543
baron-human,counts,pmf,48,0.3761978376718674
baron-human,counts,snmf,4,0.819646115306177
baron-human,counts,snmf,32,0.4832547808695745
baron-human,counts,snmf,2,0.7869696640285915
baron-human,counts,snmf,16,0.5849932579304697
baron-human,counts,snmf,8,0.8226676168412662
baron-human,counts,snmf,48,0.861372144336495
baron-human,counts,ipca,4,0.978516975386109
baron-human,counts,ipca,32,0.9996940864677535
baron-human,counts,ipca,2,0.8602851257201314
baron-human,counts,ipca,16,0.9985066335425785
baron-human,counts,ipca,96,0.9999001017074569
baron-human,counts,ipca,8,0.9955073276003216
baron-human,counts,ipca,48,0.9998201621492041
baron-human,counts,icm,4,0.26545011580309213
baron-human,counts,icm,32,0.3741672789496209
baron-human,counts,icm,2,0.116214451751897
baron-human,counts,icm,16,0.4216841008538997
baron-human,counts,icm,96,0.2704144546507752
baron-human,counts,icm,8,0.3890033207228232
baron-human,counts,icm,48,0.33986957003458695
baron-human,counts,ivis,4,0.5078345043956951
baron-human,counts,ivis,32,0.4394912237345098
baron-human,counts,ivis,2,0.39859889371496743
baron-human,counts,ivis,16,0.37224355616323906
baron-human,counts,ivis,96,0.3278292801712838
baron-human,counts,ivis,8,0.4241160186958664
baron-human,counts,ivis,48,0.5216045254635103
baron-human,logcounts,spca,4,0.4864148519948812
baron-human,logcounts,spca,32,0.6213419242856779
baron-human,logcounts,spca,2,0.4247100702317778
baron-human,logcounts,spca,16,0.6112630415084632
baron-human,logcounts,spca,96,0.6746161452290517
baron-human,logcounts,spca,8,0.5665594651493105
baron-human,logcounts,spca,48,0.6318410383372332
baron-human,logcounts,tsvd,4,0.46812747048620035
baron-human,logcounts,tsvd,32,0.6076213898975942
baron-human,logcounts,tsvd,2,0.4192742262201042
baron-human,logcounts,tsvd,16,0.5836027722066817
baron-human,logcounts,tsvd,96,0.654784881879176
baron-human,logcounts,tsvd,8,0.5303415192475848
baron-human,logcounts,tsvd,48,0.6223300232181389
baron-human,logcounts,spca-batch,4,0.4843970150894817
baron-human,logcounts,spca-batch,32,0.5979410008052393
baron-human,logcounts,spca-batch,2,0.4321943157971889
baron-human,logcounts,spca-batch,16,0.551879975240907
baron-human,logcounts,spca-batch,96,0.5876030403747382
baron-human,logcounts,spca-batch,8,0.5156944538633902
baron-human,logcounts,spca-batch,48,0.5389229974100521
baron-human,logcounts,zifa,4,0.267660970075906
baron-human,logcounts,zifa,2,0.1949018452154207
baron-human,logcounts,zifa,16,0.3186744756126016
baron-human,logcounts,zifa,8,0.3177879596770919
baron-human,logcounts,nsnmf,4,0.44976245846866736
baron-human,logcounts,nsnmf,32,0.710843568730903
baron-human,logcounts,nsnmf,2,0.27766326553651116
baron-human,logcounts,nsnmf,16,0.6188429456088034
baron-human,logcounts,nsnmf,96,0.49445089768736916
baron-human,logcounts,nsnmf,8,0.5364240679754099
baron-human,logcounts,nsnmf,48,0.7167668786823225
baron-human,logcounts,vpac,4,0.33355732869184634
baron-human,logcounts,vpac,32,0.4215932728398627
baron-human,logcounts,vpac,2,0.39531137795592314
baron-human,logcounts,vpac,16,0.3727722838492981
baron-human,logcounts,vpac,96,0.5681129859482443
baron-human,logcounts,vpac,8,0.30823375491972776
baron-human,logcounts,vpac,48,0.5319259910179097
baron-human,logcounts,umap,4,0.39326039394544193
baron-human,logcounts,umap,32,0.3842630523891932
baron-human,logcounts,umap,2,0.3748984175047907
baron-human,logcounts,umap,16,0.3831499407864054
baron-human,logcounts,umap,96,0.39436075558997624
baron-human,logcounts,umap,8,0.3914725275067742
baron-human,logcounts,umap,48,0.3901952886956401
baron-human,logcounts,kpca-sig,4,0.07869218886195191
baron-human,logcounts,kpca-sig,32,-0.02160150214188538
baron-human,logcounts,kpca-sig,2,0.10174862106652764
baron-human,logcounts,kpca-sig,16,0.019812104322097873
baron-human,logcounts,kpca-sig,96,-0.12122285518221933
baron-human,logcounts,kpca-sig,8,0.04396013545296444
baron-human,logcounts,kpca-sig,48,-0.05326332804499257
baron-human,logcounts,nmf2,4,0.44727886366275604
baron-human,logcounts,nmf2,32,0.48037356750804067
baron-human,logcounts,nmf2,2,0.3936133127927838
baron-human,logcounts,nmf2,16,0.4337577362389237
baron-human,logcounts,nmf2,96,0.5576301363597193
baron-human,logcounts,nmf2,8,0.4781004846101978
baron-human,logcounts,nmf2,48,0.5062297029268259
baron-human,logcounts,srp,4,0.14169865417311
baron-human,logcounts,srp,32,0.4117433520317667
baron-human,logcounts,srp,2,0.11607793568695554
baron-human,logcounts,srp,16,0.33564249812836017
baron-human,logcounts,srp,96,0.6115544126902419
baron-human,logcounts,srp,8,0.1909261458708645
baron-human,logcounts,srp,48,0.49832988315281856
baron-human,logcounts,psmf,4,0.5470352191297804
baron-human,logcounts,psmf,32,0.5084737717644588
baron-human,logcounts,psmf,2,0.5175107963232608
baron-human,logcounts,psmf,16,0.4199726573535537
baron-human,logcounts,psmf,96,0.517463187267913
baron-human,logcounts,psmf,8,0.5875882971016745
baron-human,logcounts,psmf,48,0.5637236394328832
baron-human,logcounts,fica,4,0.46033375259333503
baron-human,logcounts,fica,32,0.5828682727859712
baron-human,logcounts,fica,2,0.4188144616174757
baron-human,logcounts,fica,16,0.5732179234128298
baron-human,logcounts,fica,96,0.6552241085348843
baron-human,logcounts,fica,8,0.5328157673916433
baron-human,logcounts,fica,48,0.6071022913962245
baron-human,logcounts,lle,4,0.323463354542665
