"dataset","count_type","method","dims","rho.euclidean","rho.seuclidean","rho.correlation","rho.cosine"
"baron-human","counts","bd",2,0.472914396074489,-0.152643410150094,0.00214559032021421,0.246625138778172
"baron-human","counts","bd",4,0.883637303751044,-0.316931403937413,0.736697162190506,0.766057792064257
"baron-human","counts","bd",8,0.688010164970002,-0.202462444938394,0.74814030028244,0.809314651177699
"baron-human","counts","bd",16,0.508937294458666,-0.145705413740326,0.703025894005939,0.784234419626751
"baron-human","counts","bd",32,0.647862376254205,-0.0264363284032707,0.556521529291639,0.801332720260093
"baron-human","counts","bd",48,0.637805704192256,0.0120699439871313,0.675019478222132,0.808273508927904
"baron-human","counts","bd",96,0.606088614186008,0.14639235361032,0.656108607669607,0.779871308767277
"baron-human","counts","fa",2,0.0333609403224736,0.137684660448444,-0.0627821736083704,0.180018837111407
"baron-human","counts","fa",4,-0.0492458345864896,0.274649440760181,0.238821942805865,0.2254410030844
"baron-human","counts","fa",8,0.515146404720596,0.160095423348669,0.538215572456602,0.54007401179989
"baron-human","counts","fa",16,0.326322394183361,0.357780196897292,0.434387966837416,0.43295818766405
"baron-human","counts","fa",32,0.164156143432383,0.418318464872642,0.35249934765837,0.365393453114357
"baron-human","counts","fa",48,0.0930222663268602,0.446342833052911,0.336176343555091,0.346218281456451
"baron-human","counts","fa",96,-0.033901259422191,0.336960111596676,0.266968111489742,0.269290543232428
"baron-human","counts","fica",2,0.862877120454691,-0.176070888804223,0.486556823114345,0.570190132291799
"baron-human","counts","fica",4,0.894725896822745,-0.264842566591052,0.466164141808697,0.630996126595385
"baron-human","counts","fica",8,0.677695011425398,-0.255638231933745,0.516401021350315,0.483363998504219
"baron-human","counts","fica",16,0.391422590961745,-0.141123448588882,0.426890261509137,0.421922676547313
"baron-human","counts","fica",32,0.163396089546829,-0.0271761214626037,0.32413548921808,0.323693626771298
"baron-human","counts","fica",48,0.0361111566817065,0.0430075987417964,0.258517310925282,0.258337600802796
"baron-human","counts","fica",96,-0.104960138541695,0.203009103878203,0.171787698901049,0.172883452949316
"baron-human","counts","grp",2,0.641089970198965,-0.0509846320977672,0.312625776602799,0.411077392808048
"baron-human","counts","grp",4,0.93218026342006,-0.179046446396775,0.525850223927244,0.593304144116557
"baron-human","counts","grp",8,0.931616452341207,-0.125589146468859,0.523740161755449,0.533730670411522
"baron-human","counts","grp",16,0.962992769300398,-0.215885406533963,0.547253766172804,0.59194881270518
"baron-human","counts","grp",32,0.989130088545599,-0.228701641409626,0.756772432650601,0.786582726175737
"baron-human","counts","grp",48,0.99003016850872,-0.225018185267438,0.626119590947524,0.619413428654263
"baron-human","counts","grp",96,0.997080343588328,-0.203240439787142,0.650852873533077,0.658382256060918
"baron-human","counts","icm",2,0.116214451751897,-0.0539083441720642,NA,NA
"baron-human","counts","icm",4,0.265450115803092,-0.11035312245217,NA,NA
"baron-human","counts","icm",8,0.389003320722823,-0.153654943283565,NA,NA
"baron-human","counts","icm",16,0.4216841008539,-0.196259128017712,NA,NA
"baron-human","counts","icm",32,0.374167278949621,-0.31228865117476,NA,NA
"baron-human","counts","icm",48,0.339869570034587,-0.36346159772984,-0.0381967352953995,0.13953898706766
"baron-human","counts","icm",96,0.270414454650775,-0.361808688667611,0.0629457713334555,0.115371630898121
"baron-human","counts","ipca",2,0.860285125720131,-0.176070889229885,0.292481788809984,0.571320672946857
"baron-human","counts","ipca",4,0.978516975386109,-0.264842566826925,0.661656521338079,0.682246736606268
"baron-human","counts","ipca",8,0.995507327600322,-0.255638232025924,0.727769284122101,0.69713823898472
"baron-human","counts","ipca",16,0.998506633542579,-0.14112344806605,0.717611326213105,0.706119972450549
"baron-human","counts","ipca",32,0.999694086467753,-0.0271761211065579,0.713453285783799,0.709842281352276
"baron-human","counts","ipca",48,0.999820162149204,0.0430075990456441,0.711869563502453,0.711103817936503
"baron-human","counts","ipca",96,0.999900101707457,0.203009104029166,0.710669682112713,0.712629429199409
"baron-human","counts","isomap",2,0.91994790113462,-0.168147320454052,0.488394342422001,0.538503995482961
"baron-human","counts","isomap",4,0.974415282456536,-0.223120336131663,0.460509970591945,0.604736738411253
"baron-human","counts","isomap",8,0.976253651895316,-0.113336931855915,0.559128385232122,0.603263438833526
"baron-human","counts","isomap",16,0.975467414114865,-0.0100386987818384,0.595244695882584,0.612093275693237
"baron-human","counts","isomap",32,0.97545353388432,0.0107958398796149,0.609495810856427,0.618234719218257
"baron-human","counts","isomap",48,0.97520381264603,0.0276498474373136,0.614463129606458,0.621175110085646
"baron-human","counts","isomap",96,0.974833895629145,0.0125292951047945,0.620422813666743,0.625381491572049
"baron-human","counts","ivis",2,0.398598893714967,-0.123797433142048,0.399414424009088,0.712816478187202
"baron-human","counts","ivis",4,0.507834504395695,0.0890701591603515,0.601492140855852,0.535872107047025
"baron-human","counts","ivis",8,0.424116018695866,0.142776586382994,0.598865475347704,0.594338496536511
"baron-human","counts","ivis",16,0.372243556163239,0.182306049830075,0.449477668563463,0.43478790311524
"baron-human","counts","ivis",32,0.43949122373451,0.146488399319154,0.596954887240662,0.59052508803339
"baron-human","counts","ivis",48,0.52160452546351,-0.0179197068186644,0.541149141705815,0.532551235431927
"baron-human","counts","ivis",96,0.327829280171284,0.0296796943411133,0.477440367867789,0.475007945468406
"baron-human","counts","kpca-cos",2,0.514013572769325,-0.186907765412365,0.409494334677266,0.566828821650893
"baron-human","counts","kpca-cos",4,0.745981799760079,-0.192583728461983,0.589346784859135,0.612256462363021
"baron-human","counts","kpca-cos",8,0.793516792854616,0.0203767460472246,0.593458899159729,0.615471624530339
"baron-human","counts","kpca-cos",16,0.799339921475981,0.300214200308468,0.624169294634631,0.63586923357292
"baron-human","counts","kpca-cos",32,0.804145883216291,0.337307565837502,0.638382032134855,0.646021774412921
"baron-human","counts","kpca-cos",48,0.804469879508227,0.36053444174233,0.644300589290441,0.650530794414209
"baron-human","counts","kpca-cos",96,0.807819662487716,0.444555188997177,0.652781420572021,0.657259252909407
"baron-human","counts","kpca-pol",2,0.785041472939361,-0.240307626499988,0.366358496704257,0.549213922337919
"baron-human","counts","kpca-pol",4,0.85030767953269,-0.211038550274659,0.648464732483321,0.618120228828017
"baron-human","counts","kpca-pol",8,0.877019083662427,-0.328341765787517,0.646363284712607,0.63906417889136
"baron-human","counts","kpca-pol",16,0.877420690116474,-0.344795749013356,0.638773912209004,0.638992393788438
"baron-human","counts","kpca-pol",32,0.877203061253786,-0.353541636012805,0.635278871602975,0.638603878411739
"baron-human","counts","kpca-pol",48,0.877100845749182,-0.358837965653351,0.633938793961667,0.638454687897429
"baron-human","counts","kpca-pol",96,0.878133310366967,-0.325646049191505,0.634164260266092,0.639734527586097
"baron-human","counts","kpca-rbf",2,-0.00555424295491095,0.018033482468667,-0.000128796892424779,0.0013070417347901
"baron-human","counts","kpca-rbf",4,-0.00983567139753259,0.0443584468058014,-0.00103646482519245,-0.0012083261242883
"baron-human","counts","kpca-rbf",8,0.00286655289238436,0.0331588287433503,-8.91362981736178e-06,-0.000199100575751769
"baron-human","counts","kpca-rbf",16,-0.00977150129749021,0.0302987129907765,8.61662648414306e-05,6.02429973805849e-05
"baron-human","counts","kpca-rbf",32,-0.0097151885312638,0.0275367792033721,-0.000218589899134984,-0.000337430671213531
"baron-human","counts","kpca-rbf",48,-0.0118474457628319,0.024105174391268,-0.000214956489085136,-0.000311608965059989
"baron-human","counts","kpca-rbf",96,-0.0112133305552485,0.0224180271980902,-0.000532373307209655,-0.000539384438739256
"baron-human","counts","kpca-sig",2,NA,NA,NA,NA
"baron-human","counts","kpca-sig",4,NA,NA,NA,NA
"baron-human","counts","kpca-sig",8,NA,NA,NA,NA
"baron-human","counts","kpca-sig",16,NA,NA,NA,NA
"baron-human","counts","kpca-sig",32,NA,NA,NA,NA
"baron-human","counts","kpca-sig",48,NA,NA,NA,NA
"baron-human","counts","kpca-sig",96,NA,NA,NA,NA
"baron-human","counts","lda",2,0.123060614902637,0.230612659147511,0.134474566609919,0.138163577750606
"baron-human","counts","lda",4,0.44552012993364,-0.170026045699331,0.573612762706518,0.635462299846882
"baron-human","counts","lda",8,0.42318831507383,0.0534369949935711,0.586737540449299,0.62751729116292
"baron-human","counts","lda",16,0.484403037073982,0.316232102958276,0.540977199456992,0.651909406644185
"baron-human","counts","lda",32,0.483098841350773,0.392858497890544,0.521530147080965,0.657214273634285
"baron-human","counts","lda",48,0.428183397462712,0.428947109971748,0.520293528565235,0.630171397544695
"baron-human","counts","lda",96,0.389502553671063,0.54230003229011,0.492133805079064,0.573526142563907
"baron-human","counts","lle",2,0.529452274714053,0.0101609671097153,0.413720578721782,0.490468270722024
"baron-human","counts","lle",4,0.432048486367373,0.0479411152435125,0.637084776674739,0.688673435914838
"baron-human","counts","lle",8,0.140084423170862,0.158854928462762,0.545079610977883,0.476596842890012
"baron-human","counts","lle",16,0.430746723002489,0.0853093877600536,0.24106541514512,0.184430234290978
"baron-human","counts","lle",32,0.533416292081422,0.00788752664235456,0.0310374995021436,-0.0307057717534472
"baron-human","counts","lle",48,0.501685422674499,-0.0408029260939259,0.142332852059972,0.156353047114914
"baron-human","counts","lle",96,0.402326872572852,-0.0432450262271769,0.0753897394583116,0.0837452802667774
"baron-human","counts","lsnmf",2,0.00286107125539253,0.00268311987910864,-0.000740517197203051,-0.000618012684839806
"baron-human","counts","lsnmf",4,0.000513429221795076,-0.000614225622040557,-0.000128874522142387,0.00682730517110943
"baron-human","counts","lsnmf",8,-0.00209817230717672,-0.00343367574311651,0.000122719743796986,0.00374694638043994
"baron-human","counts","lsnmf",16,0.00284507567469746,0.00743180006520494,-0.000211981341121098,-0.00422705547485071
"baron-human","counts","lsnmf",32,-0.00407003323916916,-0.00281650780977915,-3.71198083138498e-05,0.00123998519385596
"baron-human","counts","lsnmf",48,0.000767761342168091,-0.000250953455713358,-0.000124916400686486,0.00126377319979269
"baron-human","counts","lsnmf",96,0.000683508486652208,0.000762563142764173,0.000179461637704799,-0.00358449948355473
"baron-human","counts","mctsne",2,0.658611609184124,-0.0565359516837373,0.343421956311517,0.467154596805548
"baron-human","counts","mctsne",4,0.476711106627802,-0.0119759354851779,0.407354826825693,0.410944026512553
"baron-human","counts","mctsne",8,0.459781203303138,0.0186557910173662,0.376522981085023,0.374998616259316
"baron-human","counts","mctsne",32,NA,NA,NA,NA
"baron-human","counts","mctsne",48,0.860649185870583,-0.0954954108646071,0.734434845232916,0.73844582725338
"baron-human","counts","mctsne",96,NA,NA,NA,NA
"baron-human","counts","nmf",2,0.787062503862943,-0.150036489373044,0.26225641268542,0.681958251948614
"baron-human","counts","nmf",4,0.932101169164113,-0.317047958224558,0.736469752968493,0.893305914790188
"baron-human","counts","nmf",8,0.955234221338822,-0.202657626787114,0.806686413044494,0.917258874833745
"baron-human","counts","nmf",16,0.933818630444494,-0.145625511900275,0.76878979014658,0.952931841331654
"baron-human","counts","nmf",32,0.918408421860107,-0.00480497260115386,0.692333029674456,0.937929254241792
"baron-human","counts","nmf",48,0.917901352309455,-0.0115111830859272,0.647297605429749,0.93651544267304
"baron-human","counts","nmf",96,0.909250163405054,0.11086099513941,0.751426029865631,0.941268819456555
"baron-human","counts","nmf2",2,0.786944650230933,-0.150005851425865,0.258737022985735,0.682513320769582
"baron-human","counts","nmf2",4,0.866329460859536,-0.198801106595645,0.690072741084533,0.745645061643278
"baron-human","counts","nmf2",8,0.896554981378873,-0.244019794542843,0.776004249519517,0.870555472280646
"baron-human","counts","nmf2",16,0.876454131586101,-0.239648727402805,0.794586546344874,0.885182438766343
"baron-human","counts","nmf2",32,0.885177726161255,-0.263474099001471,0.847404673677284,0.889716501146832
"baron-human","counts","nmf2",48,0.873611431274986,-0.248907217345717,0.817023835360765,0.902997715840782
"baron-human","counts","nmf2",96,0.849981685657711,-0.222250625209114,0.844647766525653,0.900315808643318
"baron-human","counts","nsnmf",2,0.339443850834187,-0.028147467946192,0.248474297323263,0.423879169934245
"baron-human","counts","nsnmf",4,0.558604936023306,-0.0766644347059449,0.591796537028515,0.69390486241819
"baron-human","counts","nsnmf",8,0.699415696992055,0.0370211777031339,0.49376858604939,0.812842874710508
"baron-human","counts","nsnmf",16,0.689264297560086,0.270208406207635,0.389519520023262,0.843811095719485
"baron-human","counts","nsnmf",32,0.71818160784355,0.331226472409599,0.350755694962721,0.823452727488687
"baron-human","counts","nsnmf",48,0.642087167187277,0.337271976593883,0.374971493208421,0.831314756187664
"baron-human","counts","nsnmf",96,0.595786789053929,0.341452777772258,0.399775920759226,0.823369653023963
"baron-human","counts","pca",2,0.860285125720131,-0.176070889229885,0.292481788809984,0.571320672946857
"baron-human","counts","pca",4,0.978516975386109,-0.264842566826925,0.612494866647619,0.682246736606268
"baron-human","counts","pca",8,0.995507326661709,-0.255638239867705,0.71179473029731,0.697138239130089
"baron-human","counts","pca",16,0.99850665166184,-0.14112133274345,0.713107231629662,0.706119977686992
"baron-human","counts","pca",32,0.999694057552104,-0.0271945592084031,0.711108502521335,0.709842056364018
"baron-human","counts","pca",48,0.999820210822681,0.0429756636937299,0.710344192233291,0.711106367006194
"baron-human","counts","pca",96,0.999900778293603,0.203982898398805,0.709916610939992,0.712629277808021
"baron-human","counts","phate",2,0.838185279654909,-0.0804112830749686,0.370022993909352,0.648542260898191
"baron-human","counts","phate",4,0.840792363651075,-0.139622818548916,0.564830694992586,0.626405671416314
"baron-human","counts","phate",8,0.894064082677087,-0.102413441434229,0.653001186684737,0.663506071787348
"baron-human","counts","phate",16,0.895547837065462,0.0504296584941366,0.649054360582674,0.653588170284503
"baron-human","counts","phate",32,0.879409738895778,0.11808677396855,0.63783505315447,0.641256846091442
"baron-human","counts","phate",48,0.89290814770591,0.154742693761439,0.655662992194308,0.657407474528782
"baron-human","counts","phate",96,0.889499454020564,0.168033149248584,0.643025920656447,0.646444135819823
"baron-human","counts","pmf",2,0.435930478258255,-0.0792490769198641,0.29483792442965,0.525514635953205
"baron-human","counts","pmf",4,0.709561814483342,-0.0856017100700678,0.612236734166735,0.798690677657407
"baron-human","counts","pmf",8,0.634787846720154,-0.0998907229611812,0.561597256079663,0.741747861271594
"baron-human","counts","pmf",16,0.643597117209365,0.0268917493445807,0.57564510850451,0.800844892853413
"baron-human","counts","pmf",32,0.401661204622346,0.159037711855838,0.623656273286872,0.686144896399368
"baron-human","counts","pmf",48,0.376197837671867,0.20220920197208,0.657083320248065,0.696807580602348
"baron-human","counts","pmf",96,0.371785534163199,0.278322634281963,0.666657355536931,0.713013948381809
"baron-human","counts","psmf",2,0.0892703122063882,0.109644499279119,0.204296540922109,0.21139628120933
"baron-human","counts","psmf",4,0.0322299353344985,0.152327968361793,0.138894518324509,0.170405636543997
"baron-human","counts","psmf",8,0.00468310226492106,0.263716954278297,0.260349444461733,0.26477669547617
"baron-human","counts","psmf",16,0.0579891153594044,0.264614753087844,0.352546683623228,0.322369052481584
"baron-human","counts","psmf",32,0.0136106425078373,0.375204927389525,0.340345236140203,0.316869204095602
"baron-human","counts","psmf",48,-0.0093423315183391,0.417643963788314,0.30725214225718,0.277150997126952
"baron-human","counts","psmf",96,-0.0538622078476627,0.558581867944401,0.283312956396508,0.248635873261637
"baron-human","counts","saucie",2,-0.00959907075756773,0.000164613982370598,-0.0107581471185753,-0.00294420881958172
"baron-human","counts","saucie",4,0.00425632810573138,0.00678455082771507,0.00440697581530865,0.00598387104321949
"baron-human","counts","saucie",8,0.00602466532026314,0.000282234373623964,0.00286282922349006,0.00260051191151305
"baron-human","counts","saucie",16,-0.00355248843176148,-0.00220283800942519,-0.00350222460564924,-0.00327563088788234
"baron-human","counts","saucie",32,-0.000536938077511605,-0.00633792317066663,-0.00037708929944634,-0.000391459546936869
"baron-human","counts","saucie",48,-0.00357929167231718,0.0255985637007975,0.000704993689708166,0.000439342052985119
"baron-human","counts","saucie",96,0.00345935445338012,0.00315040232200875,0.00218854797603693,0.00222996569458043
"baron-human","counts","snmf",2,0.786969664028591,-0.150051597617867,0.257895976425895,0.68252874244165
"baron-human","counts","snmf",4,0.819646115306177,-0.317048030033631,0.733962734141562,0.895521116886785
"baron-human","counts","snmf",8,0.822667616841266,-0.206224678848101,0.812941514088313,0.873373531818348
"baron-human","counts","snmf",16,0.58499325793047,-0.220357879437965,0.789510977877991,0.801854143025957
"baron-human","counts","snmf",32,0.483254780869575,-0.107072644052407,0.708796375290581,0.819377300660117
"baron-human","counts","snmf",48,0.861372144336495,0.137395203536634,0.726871316439725,0.786176318295262
"baron-human","counts","spca",2,0.860285156460199,-0.176070914359761,0.296331458012203,0.571320577337724
"baron-human","counts","spca",4,0.978517030917044,-0.264842883759202,0.612494956004922,0.682246636439063
"baron-human","counts","spca",8,0.995507335424697,-0.255638673969841,0.707113331244705,0.6971382661609
"baron-human","counts","spca",16,0.998506640204692,-0.141118363213477,0.708323124632449,0.706120140382419
"baron-human","counts","spca",32,0.999694092533311,-0.0271637810505585,0.708282181031242,0.709842623095731
"baron-human","counts","spca",48,0.999823494650538,0.0531354864651041,0.708545001257497,0.711239986437704
"baron-human","counts","spca",96,0.999912719000238,0.250676407754277,0.709602012719133,0.713253227931431
"baron-human","counts","spca-batch",2,0.917341028995394,-0.189409057699475,0.448556138653921,0.641608518365061
"baron-human","counts","spca-batch",4,0.914474214914412,-0.217968329447122,0.432073993931382,0.491281924541477
"baron-human","counts","spca-batch",8,0.878147049423658,-0.0558056268079694,0.712552856203044,0.575486955155581
"baron-human","counts","spca-batch",16,0.758763985184703,-0.0780699599827476,0.483243615528048,0.486812843382287
"baron-human","counts","spca-batch",32,0.78642793637686,-0.0986890874842298,0.639840629949948,0.63901336230788
"baron-human","counts","spca-batch",48,0.635982772072758,-0.102996650504437,0.368141456304673,0.393376616765227
"baron-human","counts","spca-batch",96,0.723401140287399,0.025727292854248,0.636279977223359,0.63982603567934
"baron-human","counts","spectral",2,0.561300060079828,-0.206051691322328,0.294871857103555,0.530716465087194
"baron-human","counts","spectral",4,0.533351959547299,-0.287603206574347,0.421592133331178,0.38843041113651
"baron-human","counts","spectral",8,0.588749620950252,-0.21867614590007,0.278280798003634,0.159570341502907
"baron-human","counts","spectral",16,0.234922717340793,0.035498655761033,0.191391273376282,0.17479006971513
"baron-human","counts","spectral",32,0.102213698704355,0.251009214278162,0.131849619836948,0.136852656930928
"baron-human","counts","spectral",48,-0.00663942781569118,0.288043355841777,0.148645978041566,0.156774107877061
"baron-human","counts","spectral",96,-0.108854622747114,0.319638114231129,0.134370788352178,0.137702013892902
"baron-human","counts","srp",2,0.0845749414920805,0.0377333814907294,NA,0.0253550979085877
"baron-human","counts","srp",4,-0.0490751100000768,0.118635864068239,0.0762045460526606,0.102028714599952
"baron-human","counts","srp",8,-0.0422232140188856,0.191949980099639,0.208890562435834,0.213598551826038
"baron-human","counts","srp",16,-0.0661226863984267,0.425421015315038,0.182847322442421,0.192224093790596
"baron-human","counts","srp",32,0.818409504691756,0.426125720263003,0.738408235553334,0.755699501261747
"baron-human","counts","srp",48,-0.0583684140010965,0.294873527333697,0.321746337518669,0.315808457217062
"baron-human","counts","srp",96,0.338257044795122,0.235221562985998,0.584063171614407,0.580652771703317
"baron-human","counts","tga",2,0.748601629884469,-0.125708036549313,0.300242720196845,0.574418159462034
"baron-human","counts","tga",4,0.951772272183886,-0.2694364397586,0.689801515342301,0.671937077658146
"baron-human","counts","tga",8,0.956934342405195,-0.259293632483457,0.666768519858352,0.680761079422655
"baron-human","counts","tsvd",2,0.78736211204944,-0.15057630553818,0.283561810803118,0.680457921515911
