"dataset","count_type","method","dims","rho.euclidean","rho.seuclidean","rho.correlation","rho.cosine"
"baron-human","counts","tsvd",4,0.952829888778991,-0.316061210683703,0.783074856215837,0.895702603462485
"baron-human","counts","tsvd",8,0.994410029164805,-0.217606732404025,0.910085576768846,0.976222882816805
"baron-human","counts","tsvd",16,0.998474328128746,-0.1914074670923,0.948350834421307,0.991478839996481
"baron-human","counts","tsvd",32,0.999685991962552,-0.0495752500075333,0.972692041073555,0.99682615394483
"baron-human","counts","tsvd",48,0.999817699807143,0.0214676068294172,0.983656226335182,0.997902005857177
"baron-human","counts","tsvd",96,0.999898480236207,0.19277688501549,0.993082748100329,0.998822695689253
"baron-human","counts","umap",2,0.784348301959066,-0.178156651651429,0.357640369705464,0.569882688095517
"baron-human","counts","umap",4,0.851049226298981,-0.134507018695302,0.551415539443095,0.561282755523087
"baron-human","counts","umap",8,0.857133727648403,0.125600893672098,0.597377524490578,0.594744948573275
"baron-human","counts","umap",16,0.861436757277752,0.0939384400660772,0.552560982944758,0.553551390483044
"baron-human","counts","umap",32,0.881212466859876,0.209988662198807,0.555906629664848,0.557963648801149
"baron-human","counts","umap",48,0.869129713030155,0.17951327851099,0.546387362035554,0.545139558725452
"baron-human","counts","umap",96,0.877620923464875,0.102804208978397,0.554373025684466,0.555131089971078
"baron-human","counts","vasc",2,0.133931582409275,0.0182709032796831,0.186010544105142,0.290889347165415
"baron-human","counts","vasc",4,0.0300241812114774,0.126641257683487,0.292139979419268,0.293069211292186
"baron-human","counts","vasc",8,-0.0120918804321541,0.249079806871947,0.318172569909974,0.345682800830261
"baron-human","counts","vasc",16,0.0697897598408929,0.170384406754088,0.362836931249335,0.356241120935193
"baron-human","counts","vasc",32,NA,NA,NA,NA
"baron-human","counts","vasc",48,0.0235444926844794,0.238178297771238,0.407914460759698,0.408353381497426
"baron-human","counts","vasc",96,NA,NA,NA,NA
"baron-human","counts","vpac",2,0.158865370762858,-0.0507741995026416,0.199234667103232,0.243045712344081
"baron-human","counts","vpac",4,0.149161455458878,-0.00719152437346061,0.232212563134825,0.162554478846772
"baron-human","counts","vpac",8,0.173882778846014,0.12109472970063,0.413535470556318,0.407882808344219
"baron-human","counts","vpac",16,0.121346540246932,0.301002392633777,0.428032258668817,0.422042179623134
"baron-human","counts","vpac",32,0.0616390609683911,0.371815031266638,0.42401452613296,0.414195210654095
"baron-human","counts","vpac",48,0.0453898114409511,0.320492945179247,0.413076365559541,0.405510558479675
"baron-human","counts","vpac",96,0.0507133778860765,0.305774064182592,0.394870834951345,0.38901840821925
"baron-human","counts","zifa",2,0.0598349260733751,0.186990420199639,0.0240247962001125,0.277062309437849
"baron-human","counts","zifa",4,0.0325637105886073,0.329762119310744,0.41633699816278,0.434421019478868
"baron-human","counts","zifa",8,-0.0240056189506939,0.456179017254207,0.449441389906001,0.444318809567866
"baron-human","counts","zifa",16,-0.0321617626951349,0.500496608346922,0.460710805535841,0.455782884154029
"baron-human","logcounts","bd",2,0.374197479774819,0.231431730901556,0.456755213503085,0.360746875943836
"baron-human","logcounts","bd",4,0.596241489628501,0.206094911239169,0.103365848414317,0.196221570572261
"baron-human","logcounts","bd",8,0.36638298482242,0.373850743386786,0.476642208243995,0.444620525543403
"baron-human","logcounts","bd",16,0.528181048373953,0.47904029269291,0.445224115485722,0.410683552523942
"baron-human","logcounts","bd",32,0.305751528989047,0.551902986793291,0.357185645856279,0.277722373175078
"baron-human","logcounts","bd",48,-0.0617213543893096,0.549409829748358,0.316337687890262,0.227264964253626
"baron-human","logcounts","bd",96,0.230619105279373,0.596528559432302,0.38502224671596,0.272742882677394
"baron-human","logcounts","fa",2,0.501256114580666,0.312490730892023,0.350848260002542,0.349897371830336
"baron-human","logcounts","fa",4,0.503432204473976,0.415306280041446,0.391253980344753,0.366693913595851
"baron-human","logcounts","fa",8,0.578762076919688,0.495294480143243,0.340146294031001,0.279915963783105
"baron-human","logcounts","fa",16,0.606572733581307,0.567255014076561,0.29209727297159,0.242032281272894
"baron-human","logcounts","fa",32,0.642109706887591,0.662446719267267,0.244075674926643,0.206354795132057
"baron-human","logcounts","fa",48,0.652562317688961,0.695776085609281,0.238175353800802,0.197058290367131
"baron-human","logcounts","fa",96,0.689917257253091,0.794964016798334,0.213922298815847,0.175862841744279
"baron-human","logcounts","fica",2,0.418814461617476,0.228375219319773,0.189598425654528,0.36711895678574
"baron-human","logcounts","fica",4,0.460333752593335,0.326901120924578,0.431854249900721,0.342096223329213
"baron-human","logcounts","fica",8,0.532815767391643,0.377208879890648,0.363593863677064,0.29163551636388
"baron-human","logcounts","fica",16,0.57321792341283,0.487343228450304,0.283880439474813,0.239763144944736
"baron-human","logcounts","fica",32,0.582868272785971,0.515204770937098,0.213950606279146,0.181123793453917
"baron-human","logcounts","fica",48,0.607102291396225,0.536364596950357,0.18769006079819,0.155999449286871
"baron-human","logcounts","fica",96,0.655224108534884,0.553904854537369,0.160168374180298,0.131002028224065
"baron-human","logcounts","grp",2,0.0602272997380263,0.0458889243233466,0.0605208413340556,0.0522181378353628
"baron-human","logcounts","grp",4,0.181909380837467,0.136930947492211,0.0880874579134202,0.132147658408304
"baron-human","logcounts","grp",8,0.231573629704097,0.173522523224394,0.100543422040665,0.0963548649069725
"baron-human","logcounts","grp",16,0.313279047590751,0.23524826688062,0.259334828062488,0.283577398631879
"baron-human","logcounts","grp",32,0.41121884183851,0.296166748593535,0.449067164148563,0.45846720181125
"baron-human","logcounts","grp",48,0.484137379089005,0.373248871012788,0.432900014226223,0.457531451561689
"baron-human","logcounts","grp",96,0.616287725604766,0.462042704683273,0.534555928045245,0.558105153104162
"baron-human","logcounts","icm",2,0.40680617734324,0.230624475384706,0.485452500393611,0.386296909491728
"baron-human","logcounts","icm",4,0.484048740467818,0.22279443825466,0.499980243008059,0.403571958756209
"baron-human","logcounts","icm",8,0.499886161205639,0.32282566342496,0.565760852296978,0.506116048021348
"baron-human","logcounts","icm",16,0.592746193251794,0.512650074846852,0.461371322291614,0.445387078333714
"baron-human","logcounts","icm",32,0.641599023958152,0.575202297358787,0.478402934898585,0.49730526759991
"baron-human","logcounts","icm",48,0.6532470981968,0.592134281164242,0.397271795321618,0.434747294730812
"baron-human","logcounts","icm",96,0.50293591691531,0.631321372942656,0.179322044508835,0.231117088189779
"baron-human","logcounts","ipca",2,0.424435255920686,0.228375220066506,0.16107835424503,0.375322330267316
"baron-human","logcounts","ipca",4,0.476436167175477,0.326901122034121,0.362109517370277,0.397312834957003
"baron-human","logcounts","ipca",8,0.537791001043513,0.377208882008653,0.471763291655867,0.405325239567689
"baron-human","logcounts","ipca",16,0.586238870604558,0.487343228717092,0.497370281323708,0.40638607985786
"baron-human","logcounts","ipca",32,0.608638080738233,0.51520477120305,0.50410357580351,0.406843207743994
"baron-human","logcounts","ipca",48,0.622740280275168,0.53636459707566,0.505994329858403,0.406512480243842
"baron-human","logcounts","ipca",96,0.65792106265866,0.553904854045111,0.506049403755762,0.404896358053361
"baron-human","logcounts","isomap",2,0.470094848828927,0.334803513960325,0.277309049268189,0.24883825459673
"baron-human","logcounts","isomap",4,0.521454424780231,0.400660976763141,0.442435986682169,0.258519600732787
"baron-human","logcounts","isomap",8,0.554235330307829,0.450893564763218,0.350316098077957,0.273157072058142
"baron-human","logcounts","isomap",16,0.561546660691371,0.45431215460886,0.349242784448974,0.273993001070719
"baron-human","logcounts","isomap",32,0.56559385678041,0.452011868569999,0.360851050532408,0.292670984305873
"baron-human","logcounts","isomap",48,0.569175723924392,0.452466763562021,0.371155610768207,0.30110773576311
"baron-human","logcounts","isomap",96,0.56360132156707,0.442375609962297,0.377096218385887,0.302690150409137
"baron-human","logcounts","ivis",2,0.298413447516913,0.197259343668826,0.109606387569139,0.402464341375424
"baron-human","logcounts","ivis",4,0.206314849614129,0.0806266251846457,0.468867182380224,0.436277637335924
"baron-human","logcounts","ivis",8,0.266002213924695,0.087785164907776,0.473132701330678,0.376312699404556
"baron-human","logcounts","ivis",16,0.263790803937445,0.220699385875606,0.521075019718731,0.441338834478695
"baron-human","logcounts","ivis",32,0.26655441293692,0.12160548354408,0.539072472817182,0.446757535729999
"baron-human","logcounts","ivis",48,0.293726768797443,0.259361282544008,0.568198915925987,0.451272960716795
