dataset,count,method,dimensions,rho.correlation
baron-human,counts,mctsne,48,0.7344348452329165
baron-human,counts,mctsne,32,nan
baron-human,counts,mctsne,2,0.3434219563115165
baron-human,counts,mctsne,4,0.40735482682569335
baron-human,counts,mctsne,8,0.3765229810850226
baron-human,counts,nmf,96,0.7514260298656308
baron-human,counts,nmf,48,0.6472976054297492
baron-human,counts,nmf,32,0.692333029674456
baron-human,counts,nmf,2,0.26225641268542016
baron-human,counts,nmf,4,0.7364697529684929
baron-human,counts,nmf,8,0.8066864130444935
baron-human,counts,nmf,16,0.7687897901465801
baron-human,counts,srp,96,0.5840631716144075
baron-human,counts,srp,48,0.3217463375186686
baron-human,counts,srp,32,0.7384082355533339
baron-human,counts,srp,2,nan
baron-human,counts,srp,4,0.07620454605266061
baron-human,counts,srp,8,0.20889056243583362
baron-human,counts,srp,16,0.18284732244242058
baron-human,counts,snmf,48,0.7268713164397254
baron-human,counts,snmf,32,0.7087963752905811
baron-human,counts,snmf,2,0.257895976425895
baron-human,counts,snmf,4,0.7339627341415618
baron-human,counts,snmf,8,0.8129415140883132
baron-human,counts,snmf,16,0.789510977877991
baron-human,counts,psmf,96,0.28331295639650816
baron-human,counts,psmf,48,0.3072521422571796
baron-human,counts,psmf,32,0.34034523614020284
baron-human,counts,psmf,2,0.20429654092210905
baron-human,counts,psmf,4,0.13889451832450936
baron-human,counts,psmf,8,0.26034944446173347
baron-human,counts,psmf,16,0.35254668362322794
baron-human,counts,kpca-pol,96,0.6341642602660915
baron-human,counts,kpca-pol,48,0.6339387939616666
baron-human,counts,kpca-pol,32,0.6352788716029746
baron-human,counts,kpca-pol,2,0.36635849670425674
baron-human,counts,kpca-pol,4,0.6484647324833207
baron-human,counts,kpca-pol,8,0.6463632847126065
baron-human,counts,kpca-pol,16,0.6387739122090037
baron-human,counts,ivis,96,0.47744036786778943
baron-human,counts,ivis,48,0.541149141705815
baron-human,counts,ivis,32,0.5969548872406624
baron-human,counts,ivis,2,0.39941442400908844
baron-human,counts,ivis,4,0.6014921408558521
baron-human,counts,ivis,8,0.5988654753477036
baron-human,counts,ivis,16,0.44947766856346316
baron-human,counts,spectral,96,0.13437078835217847
baron-human,counts,spectral,48,0.14864597804156582
baron-human,counts,spectral,32,0.13184961983694832
baron-human,counts,spectral,2,0.2948718571035551
baron-human,counts,spectral,4,0.421592133331178
baron-human,counts,spectral,8,0.27828079800363364
baron-human,counts,spectral,16,0.19139127337628192
baron-human,counts,nmf2,96,0.8446477665256532
baron-human,counts,nmf2,48,0.8170238353607654
baron-human,counts,nmf2,32,0.8474046736772838
baron-human,counts,nmf2,2,0.25873702298573514
baron-human,counts,nmf2,4,0.690072741084533
