dataset,fa,fica,isomap,lda,lle,mctsne,nmf,pca,pca-scaled,sdae,umap
baron-human,2216,2969,135,105038,29998,5099,3443,1670,NA,3289,22558
campbell,3129,4632,683,1312434,7859994,4162,6391,4994,NA,8720,20511
chen,4002,3017,4459,126832,618335,9917,6431,5814,NA,NA,NA
macosko,6553,NA,NA,778956,NA,2480,NA,NA,NA,24116,NA
marques,1203,972,NA,30387,NA,2120,NA,1294,1572,2393,2896
shekhar,11223,4608,NA,1379732,NA,10327,NA,9608,10045,11218,26196
