dataset,fa,fica,isomap,lda,lle,mctsne,nmf,pca,pca-scaled,sdae,umap
baron-human,2216,2969,135,105038,29998,5099,3443,1670,,3289,22558
campbell,3129,4632,683,1312434,7859994,4162,6391,4994,,8720,20511
chen,4002,3017,4459,126832,618335,9917,6431,5814,
macosko,6553,,,778956,,2480,,,,24116
marques,1203,972,,30387,,2120,,1294,1572,2393,2896
shekhar,11223,4608,,1379732,,10327,,9608,10045,11218,26196
