dataset,fa,fica,isomap,lda,lle,mctsne,nmf,pca,pca-scaled,sdae,umap
baron-human,0.000726,0.0411,0,0.00057,0.00283,0,0,0.00563,NA,0.00209,0
campbell,0.00662,0.0479,0,0.000101,0.000412,0,0.000634,0.00024,NA,0.0159,0
chen,0.00428,0.00783,0.000108,8.64e-05,0.00528,0,0.000772,0,NA,NA,NA
macosko,0.0146,NA,NA,0.000595,NA,0,NA,NA,NA,0.057,NA
marques,0.00268,0.0123,NA,0.000178,NA,2e-06,NA,6.42e-05,0.00119,0.00162,0
shekhar,0.00306,0.108,NA,0.000111,NA,0,NA,0.00011,0.000478,0.0104,0
