"","criterion","dataset","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","kpca.sig","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac","zifa"
"111","vrc","TabulaMuris_Bladder_10X",0.766685771173889,0.765270633216807,0.70407258907222,0.532350657220381,0.777133193710295,0.763530597406046,0.710565718718403,0.709575944609696,0.772828494655171,0.708696509700719,0.691937082763086,0.770738162023279,0.729428751359644,0.757017550066747,0.776621679194192,0.700588265653304,0.777762764978956,0.774601663348245,0.65729268279711,0.752748048782676,0.756700822939464,0.738857230180237,0.00128653378281998,0.77764592315408,0.715747451997131,0.772997962774691,0.455944469678198,0.555625620556565,0.777133193710295,0.700613001573508,0.785526097871985,0.701244939551176,0.701160318181143
"112","vrc","TabulaMuris_Bladder_FACS",0.360841979906745,0.751773288052152,0.755348871800356,0.286610726083738,0.754276023180548,0.759502157044247,0.753520640584744,0.205899557012345,0.751132843645672,0.759848916654482,0.750686316059056,0.744156485036021,0.206939271495357,0.771445225303146,0.75270153774927,0.755157930421521,0.753281934573903,0.753514184307985,0.220589632607869,0.758318278041266,0.749566057291873,0.509695206714647,-0.00266959325010675,0.752872484620508,0.757019011324614,0.208763327572501,0.748677158741387,0.393654109720741,0.757358817548463,0.736883243460948,0.753308364485856,0.193720244633744,0.754546347309807
"113","vrc","TabulaMuris_Brain_Microglia_FACS",0.362403376720455,0.601002882553316,0.356128152840063,0.362291448097645,0.0777520946144587,0.359665538810118,0.10766102075954,0.359665538810118,0.619330335650729,0.340311361605039,0.621418967126068,0.618924278455087,0.149743258866558,0.264137512061408,0.614584465540059,0.0209165905922346,0.374422316167041,0.367378397155911,0.693305440313303,0.359665538810118,0.24647879356229,0.701399708190093,-0.0070579649387236,0.367378397155911,0.359665538810118,0.359665538810118,0.0219232735927309,0.38427521754305,0.3666388480494,0.359665538810118,0.151029519818362,-0.00986598472556561,0.68762917065533
"114","vrc","TabulaMuris_Brain_Neurons_FACS",0.474064849980092,0.697414910466917,0.699200532793885,0.25191351701387,0.648179185142125,0.550470743911699,0.164356457585202,0.63124563005265,0.61913384791666,0.610912782066466,0.523202505438894,0.484350545298186,0.423882653190388,0.467499318349763,0.679514323385357,0.630667985575808,0.6801169900803,0.623641456320241,0.28150646559595,0.65292070515843,0.727082894314429,0.211678078092062,0.00281116593703588,0.683982102049595,0.650934803276759,0.325645887472543,0.476873006600388,0.151297984400348,0.656043500787865,0.566420174336976,0.640667840256653,0.436483749788962,0.654783439803471
"116","vrc","TabulaMuris_Fat_FACS",0.411922190365465,0.706829873307675,0.708831793120361,0.0674953338453924,0.539768742052388,0.669850158593695,0.268325637456889,0.768869014554823,0.708787856350221,0.258802936073166,0.392169163856031,0.632030864043234,0.292035675237013,0.156206433469463,0.697608847332773,0.415343180551475,0.542240409024907,0.515281692599321,0.171462596650882,0.52915682426565,0.693106199845472,0.492301189142451,0.0024431714672568,0.528180569868292,0.531714942148218,0.662423445001496,0.323620425868323,0.043212905315828,0.68689783162192,0.481775347786775,0.681198830126816,0.250237583824985,0.690785576648969
"117","vrc","TabulaMuris_Heart_10X",0.645643781750907,0.589777760152938,0.812059225891234,0.0596673477734544,0.907354412876004,0.0537885319703626,0.747617809846077,0.805348473856349,0.814375578797411,0.0537885319703626,0.618019086156712,0.796489815367353,0.410482360765341,0.448001392104449,0.795647723566067,0.925066703366869,0.0553292915022115,0.0553292915022115,0.648478303931448,0.0537885319703626,0.915589099437565,0.663726471339682,0.00123713506149707,0.0515090163780411,0.0536191483769291,0.17025454628636,0.61936061347206,0.0690379381321579,0.0515090163780411,0.886609722864146,0.862204206139445,0.751403224280008,0.563424086526166
"118","vrc","TabulaMuris_Heart_FACS",0.384973748317803,0.789140409054458,0.768989984816143,0.271924871490563,0.797416070009463,0.641447961071902,0.249200395749179,0.747789318453448,0.441162136619018,0.578127914405457,0.526761939950991,0.57609522650831,0.258555590696255,0.120644765653664,0.811796303262874,0.654947750490941,0.723022073730251,0.716984820330623,0.268097918277754,0.662703078200034,0.805044335612221,0.274491470766039,-0.00122249918643032,0.723777247231901,0.76935823785926,0.807120615499296,0.402458547017315,0.182550920302274,0.213243942148227,0.640401326761758,0.745566210244945,0.317004168655089,0.731782811638764
"119","vrc","TabulaMuris_Kidney_10X",0.414636023491227,0.481326287350802,0.489510587751602,0.0761985866176202,0.424603288669858,0.433898968988793,0.11246368856237,0.46104332359485,0.781491261466226,0.0137122173104048,0.271591820537559,0.419356879345784,0.195399476626933,0.296142489425614,0.412436280452078,0.371344961312531,0.436342468746128,0.402543868537697,0.268456986840551,0.430816826356986,0.461704760058059,0.355146901924015,0.0179041217848751,0.42076735303715,0.433812184796057,0.43249892189646,0.281015634251743,-0.0821716609031369,0.432875589732062,0.264369175454031,0.492707880961226,0.0709231514830206,0.695630664675634
"120","vrc","TabulaMuris_Kidney_FACS",0.35375531032947,0.399954048590687,0.631863349659922,0.192584516913406,0.536820555230168,0.244333352619752,0.250026259311909,0.553266280082541,0.180936472833814,0.270043161808513,0.543338461712365,0.620197185446995,0.276231456050247,0.369682215857383,0.604367204546306,0.381410767572515,0.477938614798317,0.263008949931847,0.364372446664592,0.254648213716296,0.516832947210137,0.391443432589571,0.00234778932007976,0.610553191089801,0.244299680650002,0.165179037156739,0.230201511843276,0.265701812726784,0.201165965823999,0.383165887652819,0.595867766489293,0.252815165024749,0.558766179590287
"121","vrc","TabulaMuris_Liver_10X",0.489383791465063,0.611950294141493,0.576358927248953,0.159364548401047,0.417162809736864,0.370858529342768,0.469164197746807,0.11742760226242,0.316893772218542,0.0863047810952145,0.414826128835966,0.0639711309294196,0.175392468506957,0.0716603886402085,0.364923471430778,0.0469451909877008,0.562232101077702,0.0941040909845433,0.0506699567984293,0.423023380210893,0.100358822623309,0.0966511732748989,0.000150781565897162,0.554173923584829,0.572559630186847,0.578591034141038,0.0280770809197849,0.475864068877136,0.588198374641078,0.0628160387647115,0.201552682429786,0.0745585372388945,0.0981122938762488
