,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Bladder_10X,0.5986234551958177,0.06702206875666407,0.019956731213965385,0.4631265707498986,0.017083332066168373,0.6605337477551384,0.4609013225313433,0.6686177579291841,0.6699946144089888,0.5467780617537059,0.27405744086503186,0.1335388804768866,0.6689480013711353,0.6617486904145975,0.6693777709543609,0.7620968397013177,0.6711519806070613,0.232315370249888,0.07889332330626007,0.6605337477551384,0.6948472862395008,0.6709369494793308,0.0005941679229159643,0.6689409877776593,0.6590887071712743,0.005668954668414182,0.5473178475932107,0.14072483557497067,0.6690529717977083,0.6667915196257432,0.7726514632190746,0.6715733214917099,0.6514042510428172
dbs,TabulaMuris_Bladder_FACS,0.3499765507983627,0.7241703254715954,0.7251226351834331,0.34961451719524245,0.10484909688617333,0.7277976653445638,0.6901592523501764,0.3516506132667777,0.7256157333359738,0.2966573449000384,0.7094906148733255,0.3621759618260221,0.3499765507983627,0.7075141618015921,0.7238497715564516,0.7156971529671701,0.7204087193783038,0.7224214047962428,0.7178605720402711,0.7232960330785762,0.7169269928973879,0.35080874817885066,0.002426784146471659,0.7238497715564516,0.7236055774413399,0.3499765507983627,0.7148735830615095,0.004186785168847114,0.7222289666952282,0.709988386564704,0.7184461362476909,0.3367535069250415,0.7242139991073232
dbs,TabulaMuris_Brain_Microglia_FACS,0.28186628656081125,0.4571582280715298,0.265647107175459,0.27971075483834285,0.03605783053333717,0.2811035865588164,0.06619184479124916,0.27971075483834285,0.27971075483834285,0.13050185446866774,0.2155030608355541,0.4668225995648165,0.28186628656081125,0.18637987367631068,0.044503672907942084,0.27971075483834285,0.2832502126677987,0.2832502126677987,0.30511493906730475,0.2811035865588164,0.030312775094551606,0.20902812925104144,0.0008114172161618104,0.2832502126677987,0.2811035865588164,0.2811035865588164,0.27971075483834285,0.28186628656081125,0.2785293547737201,0.27971075483834285,0.4530556236733032,0.054293892989946524,0.2528864282359473
dbs,TabulaMuris_Brain_Neurons_FACS,0.21399065544975188,0.5295429280049925,0.0014700915196125494,0.3595042144314057,0.005127487477885357,0.3024375287829689,0.15478156609158955,0.6347907298507932,0.6358684202369735,0.0065028791445943855,0.4669716188314651,0.38845181096116543,0.3976260226821164,0.009216108476086038,0.31797936037269925,0.4577849978855677,0.0014700915196125494,0.0016320716615328592,0.31702372440096865,0.306844066673888,0.19412027625883485,0.3381925845790652,0.0006464670175376062,0.0013080531549237615,0.3026019587142102,0.2321188646951777,0.4506212405165982,0.0014700915196125494,0.5370662922972799,0.3949680247658017,0.0405084615438691,0.5123960356027716,0.4764028393440578
dbs,TabulaMuris_Colon_FACS,0.07424714540219529,0.02803911432069937,0.00425607274408315,0.004341703215600928,0.022084050710065563,0.08589757588262358,0.05884920154160679,0.003367358201835084,0.07686913798980742,0.0043417798475788895,0.0008653035722012512,0.07094567410265827,0.03414987135665135,0.07715877853711461,0.028613426064160518,0.006197963425981853,0.08876884703546929,0.026042770552818246,0.03625958136199019,0.0034828448257881147,0.01962709825747172,0.07163219608028469,0.0007020551076989106,0.07476292263255503,0.08796070523808568,0.07553917272458596,0.018311379528460073,0.07920766669547567,0.0869649950726776,0.07045496410876127,0.01358207995643935,0.1532642476827508,0.2498856569474157
dbs,TabulaMuris_Fat_FACS,0.3976642823878278,0.006247009712025384,0.006917140920534299,0.17611500678729602,0.005431707217581453,0.011647155520957924,0.013045777229911695,0.015219132003207047,0.016876789044526518,0.007960460182842079,0.001159225048122368,0.4724218084188679,0.4035606725924911,0.004979208480026855,0.10170585356842958,0.02268262572651575,0.4400850794185242,0.008364967919927075,0.14553934259872506,0.006704259214208979,0.062183605346276725,0.008290056835612779,0.0010299046054986832,0.006917140920534299,0.008908320801618259,0.012717706623967298,0.4044287144518351,0.005315965919012731,0.011628898821881771,0.16844560835538608,0.04856593213282732,0.3941430649612041,0.05318716059830848
dbs,TabulaMuris_Heart_10X,0.4903106904483471,0.3518418369573941,0.19401170375847104,0.19962529944521795,0.04523599163544025,0.19401170375847104,0.1885819689315183,0.1894947620754905,0.18296414213298065,0.19962529944521795,0.1885819689315183,0.1885819689315183,0.1885819689315183,0.03208767006576382,0.725420013402768,0.8215750381918048,0.1894947620754905,0.1894947620754905,0.24813680857073064,0.19401170375847104,0.05697811947428547,0.18296414213298065,0.0065724929633706,0.1894947620754905,0.19401170375847104,0.1894947620754905,0.2112927906831736,0.21092703289074985,0.1894947620754905,0.347121141798695,0.7617198100766581,0.7575842134188586,0.2153551496598745
dbs,TabulaMuris_Heart_FACS,0.3313504817826323,0.3732446598319444,0.002028183011490753,0.33440974204270596,0.002028183011490753,0.31792732227031834,0.03940095726805797,0.715207271997823,0.11226592009572207,0.004851339197861476,0.3957517471780105,0.5652555993423367,0.4601617450006178,0.0018481551983759827,0.3680326392446653,0.05504605191076545,0.002208212456930053,0.006470915824960011,0.38151806749287054,0.33113678908733235,0.007504460512470551,0.3761289686221745,0.00032539730154177343,0.0018481551983759827,0.33160263769758197,0.03701861439375945,0.5010223120012451,0.034641413212153666,0.2772209880482792,0.06870080207625939,0.06255921203528883,0.4159936768057287,0.5788433842131259
dbs,TabulaMuris_Kidney_10X,0.018281139070542973,0.5009603588205442,0.002522451986434844,0.006570580489701344,0.0018445633725439007,0.002070777981552,0.03553290384970489,0.6109890208060367,0.4500309244986429,0.006948521435596759,0.0017813737335900255,0.367934292053497,0.22274331053753352,0.02514594799867746,0.2513199690422033,0.4429389800861602,0.002522451986434844,0.0022969341693041038,0.2443953935195698,0.0022969341693041038,0.001618879522703031,0.3081921897965196,0.0013038387290653945,0.002522451986434844,0.0022969341693041038,0.002070777981552,0.009432674495419959,0.002522451986434844,0.002522451986434844,0.4937711308039711,0.03540509000499525,0.24286490048121545,0.5189726647032824
dbs,TabulaMuris_Kidney_FACS,0.012261601533825372,0.017458939266973374,0.012261601533825372,0.3157729932751135,0.007908201828191092,0.012261601533825372,0.10082408715156886,0.5713441300018138,0.056938788011108965,0.012261601533825372,0.00707695251221552,0.3911744197127269,0.3442295096257815,0.2661953418858701,0.13896754331369404,0.4346930302933109,0.012261601533825372,0.05364884397964945,0.3837014792587159,0.012261601533825372,0.012261601533825372,0.3669632502451508,0.003926043131377648,0.012261601533825372,0.3300137119545478,0.012261601533825372,0.15383580847991024,0.03161563909107919,0.33040764781712284,0.03915081902397827,0.010462513077857895,0.3296394883673705,0.5365039103495991
dbs,TabulaMuris_Liver_10X,0.027848596009785585,0.011357787973774479,0.011207868285672629,0.03581115696158979,0.08516756650123311,0.015464527452164296,0.0198497037156648,0.05578169176281336,0.002806511136640661,0.06924186447207227,0.1142865980977573,0.07062593318438351,0.14738802500450876,0.013673971956070093,0.05781661980567788,0.01686193520934518,0.01039120131581684,0.004442163555199822,0.014168001207753937,0.0686005883651521,0.20872854745737773,0.019557621517405168,0.0034777365411452358,0.01039120131581684,0.01039120131581684,0.06255430318205374,0.03468448089655662,0.02232001967458733,0.0686590579387811,0.013673971956070093,0.006229724664231456,0.1290393981408654,0.08568355530778939
dbs,TabulaMuris_Liver_FACS,0.2191599125414292,0.3104852062779975,0.20697847882981407,0.22431022654959387,0.04196095806524017,0.2182204303084116,0.13507032403944924,0.024519727912618063,0.14550562338043596,0.15990052538940838,0.2938299970839785,0.5339729337918345,0.3944881467606467,0.4195618079387038,0.40178093115541386,0.044272567737810034,0.21773607630156472,0.21773607630156472,0.15128018709985405,0.21713948726609386,0.05487747743347299,0.03309384964464983,0.002290776575379488,0.21860577147022114,0.2188405588739329,0.005022515021510896,0.2002522296774608,0.22845336583770684,0.2185445228981308,0.4321561871417981,0.2138023309095831,0.2051702873097548,0.19817343595570594
dbs,TabulaMuris_Lung_FACS,0.1508325834785544,0.05567995489236826,0.1397346581967934,0.271229644800127,0.015866683199611584,0.1413076752095537,0.14136770323238046,0.14493754461351682,0.054111141043654026,0.14393270723902554,0.10310308793462224,0.17051251749152238,0.15220518181265655,0.012556089626313957,0.6496951937969905,0.03540982358579192,0.13921191730306853,0.012360872323409362,0.36054782800717705,0.1413076752095537,0.010983559354455585,0.353130394014055,0.0066012911474004465,0.011117692514868157,0.13921191730306853,0.012321461169754534,0.18414115867751601,0.059785340917233185,0.1413076752095537,0.03540982358579192,0.044925866002126516,0.4913086708697003,0.03581374857412162
dbs,TabulaMuris_Mammary_10X,0.0015552418412775105,0.57556197860304,0.006780683708326198,0.047052086628791866,0.2970445710542169,0.002201727284547916,0.006234672099434995,0.2983669797114229,0.00728667024001117,0.01808181268458668,0.0004946505980045055,0.15373132651299115,0.4851045930142024,0.006832793869509851,0.35754696518657464,0.8714812791199447,0.008627270799274145,0.003453489974888781,0.4527457673439765,0.508650955314027,0.6215312222799698,0.5016086801299436,0.0010059424660085175,0.003453489974888781,0.4829042290511626,0.3495803771464783,0.4794598200794553,0.010133731724907264,0.34739716627224754,0.8753784288840903,0.5781471247316753,0.4539799755709996,0.573257443368817
