,k,time,ari,nmi,ss,vrc,dbs,dataset,method,count_type,dimensions,loss_criteria
5,8,0.025952577590942383,0.9324761412593447,0.9076841474947248,0.5844519,1110.1090405934624,0.5566020075480095,TabulaMuris_Heart_10X,ivis,logcounts,8,ari
5,8,0.025952577590942383,0.9324761412593447,0.9076841474947248,0.5844519,1110.1090405934624,0.5566020075480095,TabulaMuris_Heart_10X,ivis,logcounts,8,nmi
3,6,0.012627601623535156,0.8924057110177793,0.858439009493634,0.75622356,3354.814773198946,0.3667953063647565,TabulaMuris_Heart_10X,ivis,logcounts,2,ss
51,54,0.04966902732849121,0.2692557108406963,0.606759866828289,0.39465976,16143.950111580452,0.6545375388982518,TabulaMuris_Heart_10X,ivis,counts,2,vrc
3,6,0.012627601623535156,0.8924057110177793,0.858439009493634,0.75622356,3354.814773198946,0.3667953063647565,TabulaMuris_Heart_10X,ivis,logcounts,2,dbs
5,8,0.022958040237426758,0.91342771878385,0.8870222658574509,0.6198204,578.7953808154907,0.5829931974873883,TabulaMuris_Heart_10X,kpca-cos,logcounts,8,ari
5,8,0.022958040237426758,0.91342771878385,0.8870222658574509,0.6198204,578.7953808154907,0.5829931974873883,TabulaMuris_Heart_10X,kpca-cos,logcounts,8,nmi
0,3,0.6140837669372559,0.4845000525887762,0.5852701412911298,0.63591194,1563.0702537141947,0.4906062189749849,TabulaMuris_Heart_10X,kpca-cos,counts,2,ss
52,55,0.07628154754638672,0.11479120904005645,0.5041866507127292,0.41639802,3000.9571085118264,0.7541852238758746,TabulaMuris_Heart_10X,kpca-cos,counts,2,vrc
0,3,0.6140837669372559,0.4845000525887762,0.5852701412911298,0.63591194,1563.0702537141947,0.4906062189749849,TabulaMuris_Heart_10X,kpca-cos,counts,2,dbs
2,5,0.013826131820678713,0.7836410935501271,0.7330536269718242,0.57465726,1964.944356247217,0.6345924982948529,TabulaMuris_Heart_10X,bd,logcounts,2,ari
0,3,0.6619677543640137,0.6750448402522111,0.7332525163923161,0.7471173000000001,4922.513074250773,0.3359895022041715,TabulaMuris_Heart_10X,bd,logcounts,16,nmi
0,3,0.5342879295349121,0.5223958912618591,0.6382463184534001,0.8092384,9960.184577070988,0.29388435022093473,TabulaMuris_Heart_10X,bd,logcounts,4,ss
52,55,0.05240464210510254,0.1470749742410777,0.4462910483123481,0.52672446,71804.28354575603,0.5287362279545019,TabulaMuris_Heart_10X,bd,logcounts,4,vrc
0,3,0.5342879295349121,0.5223958912618591,0.6382463184534001,0.8092384,9960.184577070988,0.29388435022093473,TabulaMuris_Heart_10X,bd,logcounts,4,dbs
6,9,0.05757594108581542,0.8381334792510846,0.8094262684070898,0.40961272,638.3463583331967,0.7522698209429524,TabulaMuris_Heart_10X,isomap,counts,96,ari
6,9,0.05757594108581542,0.8381334792510846,0.8094262684070898,0.40961272,638.3463583331967,0.7522698209429524,TabulaMuris_Heart_10X,isomap,counts,96,nmi
0,3,0.595566987991333,0.14500197902852854,0.34588702512630776,0.7323919,2121.6025736258384,0.20039878700589306,TabulaMuris_Heart_10X,isomap,counts,2,ss
51,54,0.06456756591796875,0.15317757049927225,0.5307882859677714,0.5142912000000001,13731.995070373567,0.6194380451916119,TabulaMuris_Heart_10X,isomap,counts,2,vrc
0,3,0.595566987991333,0.14500197902852854,0.34588702512630776,0.7323919,2121.6025736258384,0.20039878700589306,TabulaMuris_Heart_10X,isomap,counts,2,dbs
5,8,0.0403745174407959,0.9223994710332504,0.9029446592500684,0.5998188,747.5176100826416,0.5178442931579745,TabulaMuris_Heart_10X,nmf,logcounts,8,ari
5,8,0.0403745174407959,0.9223994710332504,0.9029446592500684,0.5998188,747.5176100826416,0.5178442931579745,TabulaMuris_Heart_10X,nmf,logcounts,8,nmi
0,3,0.3531816005706787,0.05378853197036256,0.19962529944521795,0.90308607,2051.8360402571498,0.07782428084510408,TabulaMuris_Heart_10X,nmf,counts,4,ss
52,55,0.05831456184387208,0.02465902354977785,0.20733597022430847,0.5271206,358849.33625380404,0.4044398227683377,TabulaMuris_Heart_10X,nmf,counts,2,vrc
0,3,0.3531816005706787,0.05378853197036256,0.19962529944521795,0.90308607,2051.8360402571498,0.07782428084510408,TabulaMuris_Heart_10X,nmf,counts,4,dbs
4,7,0.011113643646240234,0.9066484277661052,0.8662764174761163,0.64229065,1811.5439009475565,0.5927753528310735,TabulaMuris_Heart_10X,snmf,logcounts,4,ari
4,7,0.011113643646240234,0.9066484277661052,0.8662764174761163,0.64229065,1811.5439009475565,0.5927753528310735,TabulaMuris_Heart_10X,snmf,logcounts,4,nmi
0,3,0.4025077819824219,0.05150901637804111,0.1894947620754905,0.9420728,20182.494289649447,0.04775399320823712,TabulaMuris_Heart_10X,snmf,counts,2,ss
52,55,0.06647062301635742,0.025534081050953887,0.21104815912406666,0.52234364,720784.3458559617,0.4019068155762919,TabulaMuris_Heart_10X,snmf,counts,2,vrc
0,3,0.4025077819824219,0.05150901637804111,0.1894947620754905,0.9420728,20182.494289649447,0.04775399320823712,TabulaMuris_Heart_10X,snmf,counts,2,dbs
8,11,0.06238198280334473,0.9059951699262608,0.8618562730207431,0.38662379999999996,146.3644348274322,0.9344065916014416,TabulaMuris_Heart_10X,nsnmf,counts,96,ari
4,7,0.05222773551940918,0.8999573037748415,0.8654845258502374,0.5243018,427.1653343017476,0.9389525254874664,TabulaMuris_Heart_10X,nsnmf,counts,32,nmi
1,4,0.23489999771118164,0.6158970702040589,0.6618926733757318,0.76400495,1984.8417177454971,0.2854744025233278,TabulaMuris_Heart_10X,nsnmf,counts,4,ss
52,55,0.05899143218994141,0.1731253702370948,0.4414916199329121,0.60393643,94814.79410206614,0.4307795939457085,TabulaMuris_Heart_10X,nsnmf,counts,2,vrc
1,4,0.23489999771118164,0.6158970702040589,0.6618926733757318,0.76400495,1984.8417177454971,0.2854744025233278,TabulaMuris_Heart_10X,nsnmf,counts,4,dbs
6,9,0.03444957733154297,0.8277428694182196,0.8505651765277993,0.55205685,417.3581952480378,0.7239221777957354,TabulaMuris_Heart_10X,tsvd,logcounts,8,ari
6,9,0.03444957733154297,0.8277428694182196,0.8505651765277993,0.55205685,417.3581952480378,0.7239221777957354,TabulaMuris_Heart_10X,tsvd,logcounts,8,nmi
0,3,0.6323564052581787,0.05150901637804111,0.1894947620754905,0.95448744,33169.16042648241,0.04635290667898198,TabulaMuris_Heart_10X,tsvd,counts,2,ss
50,53,0.06405448913574219,0.02824624197232649,0.21135242536372767,0.50748765,967518.8036573034,0.4120038108247182,TabulaMuris_Heart_10X,tsvd,counts,2,vrc
0,3,0.6323564052581787,0.05150901637804111,0.1894947620754905,0.95448744,33169.16042648241,0.04635290667898198,TabulaMuris_Heart_10X,tsvd,counts,2,dbs
5,8,0.06330418586730957,0.937585010311606,0.9004055801036556,0.12978733,45.774602846914256,1.7473716724559367,TabulaMuris_Heart_10X,pmf,counts,96,ari
5,8,0.0610957145690918,0.9299813297076569,0.906833576507129,0.24522363,78.90765471854297,1.4256079114838358,TabulaMuris_Heart_10X,pmf,counts,48,nmi
18,21,0.040597200393676765,0.0694592725711349,0.21133863698402489,0.6042541,13808.731424572445,0.42013312701789424,TabulaMuris_Heart_10X,pmf,counts,2,ss
52,55,0.07653427124023438,0.03593311876964904,0.2248481580232206,0.5879991,35929.17631753773,0.4285382955893264,TabulaMuris_Heart_10X,pmf,counts,2,vrc
20,23,0.03947758674621582,0.06883193571979669,0.2125353283228221,0.600659,14266.641014847935,0.4088957225879971,TabulaMuris_Heart_10X,pmf,counts,2,dbs
7,10,0.03331708908081055,0.9490427853365,0.9256429557328804,0.7440806,1263.1944515935083,0.3818043894763488,TabulaMuris_Heart_10X,fa,counts,8,ari
6,9,0.03710699081420898,0.9468182145862698,0.9291325051809836,0.73909336,1216.7408384876903,0.29031080012847954,TabulaMuris_Heart_10X,fa,counts,8,nmi
0,3,0.3961625099182129,0.14564164102375626,0.3520312960196739,0.95582736,18329.598768878608,0.07698719202447178,TabulaMuris_Heart_10X,fa,counts,2,ss
52,55,0.06743407249450684,0.07856159429062373,0.3198917342512721,0.5321030999999999,357683.60318329296,0.40117581064989394,TabulaMuris_Heart_10X,fa,counts,2,vrc
0,3,0.3961625099182129,0.14564164102375626,0.3520312960196739,0.95582736,18329.598768878608,0.07698719202447178,TabulaMuris_Heart_10X,fa,counts,2,dbs
3,6,0.017107486724853516,0.8545207588712366,0.8014453113704508,0.5461942,728.4924693309044,0.6959436462476821,TabulaMuris_Heart_10X,vasc,counts,2,ari
3,6,0.017107486724853516,0.8545207588712366,0.8014453113704508,0.5461942,728.4924693309044,0.6959436462476821,TabulaMuris_Heart_10X,vasc,counts,2,nmi
7,10,0.016999483108520508,0.7566954521236189,0.7777048374919698,0.6150574000000001,984.4036197136377,0.5365383962420964,TabulaMuris_Heart_10X,vasc,counts,2,ss
45,48,0.05978250503540039,0.18523761731566646,0.599034450303025,0.45332065,2823.8685676884725,0.6675619805033928,TabulaMuris_Heart_10X,vasc,counts,2,vrc
12,15,0.03527212142944336,0.4984926053977016,0.7345273352540085,0.6118861999999999,1629.502784619515,0.4426476245157752,TabulaMuris_Heart_10X,vasc,counts,2,dbs
5,8,0.034496068954467766,0.919382508557417,0.9003479297628485,0.61479527,742.016442611236,0.5169381863799519,TabulaMuris_Heart_10X,icm,logcounts,8,ari
