,k,time,ari,nmi,ss,vrc,dbs,dataset,method,count_type,dimensions,loss_criteria
5,8,0.034496068954467766,0.919382508557417,0.9003479297628485,0.61479527,742.016442611236,0.5169381863799519,TabulaMuris_Heart_10X,icm,logcounts,8,nmi
0,3,0.5561656951904297,0.011937806889082692,0.04514575946319877,0.9988041999999999,634847.6169906753,0.03890709018388035,TabulaMuris_Heart_10X,icm,counts,2,ss
52,55,0.050456762313842766,0.0062046874568161105,0.13805315175616892,0.8295514,3200590427.2751412,0.3034370197587651,TabulaMuris_Heart_10X,icm,counts,2,vrc
19,22,0.06351208686828612,0.041973732992814414,0.15368768426508153,0.9687075999999999,2525430.3088328545,0.03189287675705625,TabulaMuris_Heart_10X,icm,counts,8,dbs
6,9,0.03118300437927246,0.8269995569243414,0.8466904300037059,0.43056244,234.61045297525317,0.933932523706162,TabulaMuris_Heart_10X,pca,logcounts,16,ari
6,9,0.052463769912719734,0.8268675682692433,0.8467923279430843,0.28151476,105.85211872951284,1.3517624406103008,TabulaMuris_Heart_10X,pca,logcounts,48,nmi
0,3,0.4509963989257813,0.05378853197036256,0.19962529944521795,0.9705271000000001,23748.01340238866,0.03200593948963123,TabulaMuris_Heart_10X,pca,counts,2,ss
51,54,0.06294727325439453,0.05515373822500181,0.30750251503397924,0.43357468,1142782.5311621858,0.519076920482082,TabulaMuris_Heart_10X,pca,counts,2,vrc
0,3,0.4509963989257813,0.05378853197036256,0.19962529944521795,0.9705271000000001,23748.01340238866,0.03200593948963123,TabulaMuris_Heart_10X,pca,counts,2,dbs
5,8,0.04690241813659668,0.9534898332393844,0.9292715375717708,0.52771676,320.51859040355606,0.6619445435534039,TabulaMuris_Heart_10X,fica,logcounts,8,ari
5,8,0.04690241813659668,0.9534898332393844,0.9292715375717708,0.52771676,320.51859040355606,0.6619445435534039,TabulaMuris_Heart_10X,fica,logcounts,8,nmi
0,3,0.5038049221038818,0.05378853197036256,0.19962529944521795,0.8875003,2176.2433345578247,0.07542634140425898,TabulaMuris_Heart_10X,fica,counts,2,ss
52,55,0.046265602111816406,0.047699009595001514,0.3017155409477012,0.55243427,116684.95969386786,0.4171845440147309,TabulaMuris_Heart_10X,fica,counts,2,vrc
0,3,0.5038049221038818,0.05378853197036256,0.19962529944521795,0.8875003,2176.2433345578247,0.07542634140425898,TabulaMuris_Heart_10X,fica,counts,2,dbs
6,9,0.06926584243774414,0.7195284933265736,0.7241795582945297,0.29459040000000003,1898.5114767735247,0.8830337896761271,TabulaMuris_Heart_10X,grp,counts,16,ari
7,10,0.06511640548706055,0.6508831551028402,0.7421403245657443,0.2609925,2196.8355757746413,0.964020074948705,TabulaMuris_Heart_10X,grp,counts,96,nmi
0,3,0.680391788482666,0.05378853197036256,0.19962529944521795,0.9113776,3037.2315687352752,0.08075552682414504,TabulaMuris_Heart_10X,grp,counts,16,ss
0,3,0.5793924331665039,0.2314619392723916,0.37310116646844027,0.52602994,8505.791176729186,0.6071070045030499,TabulaMuris_Heart_10X,grp,counts,4,vrc
0,3,0.5182480812072754,0.05378853197036256,0.19962529944521795,0.8977506,3847.6693001878352,0.0783028771718776,TabulaMuris_Heart_10X,grp,counts,32,dbs
6,9,0.05107331275939941,0.8313222559682706,0.8515445561367927,0.5493813,410.9896006405149,0.7275360021809968,TabulaMuris_Heart_10X,ipca,logcounts,8,ari
6,9,0.05107331275939941,0.8313222559682706,0.8515445561367927,0.5493813,410.9896006405149,0.7275360021809968,TabulaMuris_Heart_10X,ipca,logcounts,8,nmi
0,3,0.4944076538085938,0.05378853197036256,0.19962529944521795,0.9705271000000001,23748.01340238866,0.03200593948963123,TabulaMuris_Heart_10X,ipca,counts,2,ss
52,55,0.04960155487060547,0.05640675459389775,0.3060756641953259,0.42784813,1184882.6518489,0.5091832535965441,TabulaMuris_Heart_10X,ipca,counts,2,vrc
0,3,0.4944076538085938,0.05378853197036256,0.19962529944521795,0.9705271000000001,23748.01340238866,0.03200593948963123,TabulaMuris_Heart_10X,ipca,counts,2,dbs
6,9,0.05351066589355469,0.8791402656859005,0.83773873660816,0.6498294,1350.5197237932684,0.5946648616405932,TabulaMuris_Heart_10X,phate,logcounts,16,ari
7,10,0.07219791412353516,0.8754478018834246,0.8414261205545402,0.6556890999999999,1391.9752528738654,0.5522357024226044,TabulaMuris_Heart_10X,phate,logcounts,96,nmi
4,7,0.03806757926940918,0.7181791634730478,0.7523632123702171,0.71274644,2556.666831064129,0.39760057605879984,TabulaMuris_Heart_10X,phate,logcounts,2,ss
50,53,0.05308389663696289,0.2029391185260335,0.5994614331470398,0.49263084,12966.299976048125,0.5315703576277742,TabulaMuris_Heart_10X,phate,logcounts,2,vrc
3,6,0.020868539810180664,0.6976659572589101,0.7352230397095555,0.7073869,2265.439062416557,0.33080502452312394,TabulaMuris_Heart_10X,phate,logcounts,2,dbs
5,8,0.032082557678222656,0.8656560196731999,0.8429041796986162,0.50097895,256.2080579437011,0.8570046351334657,TabulaMuris_Heart_10X,vpac,counts,48,ari
9,12,0.025181055068969727,0.8312976794751643,0.8569671745084062,0.9411129999999999,12685087.30635712,0.22253580862713596,TabulaMuris_Heart_10X,vpac,counts,8,nmi
1,4,0.3355200290679932,0.7514032242800076,0.7575842134188586,0.99909174,152031625.10475338,0.001574903585123532,TabulaMuris_Heart_10X,vpac,logcounts,4,ss
23,26,0.050627708435058594,0.3778364276279762,0.6798473028402295,0.415993,223632104.15930572,0.7095714837309559,TabulaMuris_Heart_10X,vpac,logcounts,4,vrc
1,4,0.3355200290679932,0.7514032242800076,0.7575842134188586,0.99909174,152031625.10475338,0.001574903585123532,TabulaMuris_Heart_10X,vpac,logcounts,4,dbs
3,6,0.014109134674072266,0.8483894376811345,0.8317789766913979,0.63423467,1278.9432930058686,0.4489885159209226,TabulaMuris_Heart_10X,mctsne,counts,2,ari
4,7,0.018771886825561523,0.8455702743748401,0.8350460378221546,0.65863466,1641.7101437588815,0.4396961921937926,TabulaMuris_Heart_10X,mctsne,counts,8,nmi
0,3,0.4265627861022949,0.000748554221325229,0.00682967524311231,0.9969418999999999,1.3635615229143816e+16,8.544272713052005e-09,TabulaMuris_Heart_10X,mctsne,counts,48,ss
9,12,0.059957027435302734,0.5296326797194715,0.6587278722910231,0.37957690000000005,9.445984482327613e+16,1.2385139776567649,TabulaMuris_Heart_10X,mctsne,counts,48,vrc
0,3,0.6216053962707521,0.000748554221325229,0.00682967524311231,0.9969418999999999,1.8820941240755904e+16,7.277001897263615e-09,TabulaMuris_Heart_10X,mctsne,logcounts,48,dbs
6,9,0.028995275497436523,0.01176543194348168,0.029725111961586833,0.96909416,4843950.365138939,0.2016768075742435,TabulaMuris_Heart_10X,saucie,counts,8,ari
52,55,0.06331562995910645,0.0008419558325247396,0.10194092348381098,0.34822756,386.5043296127797,0.9856674981045902,TabulaMuris_Heart_10X,saucie,logcounts,48,nmi
0,3,0.6253697872161865,0.0012308871553125065,0.0065724929633706,0.99729764,1764413.1345496562,0.000928818227471497,TabulaMuris_Heart_10X,saucie,counts,4,ss
38,41,0.0939788818359375,0.003112675549806727,0.08668314399811107,0.9598950999999999,36748124968994.24,0.007654657532689644,TabulaMuris_Heart_10X,saucie,counts,96,vrc
20,23,0.05892539024353027,0.009357341269419608,0.05702439992302916,0.9770641999999999,8872408433138.541,4.533609612598418e-05,TabulaMuris_Heart_10X,saucie,counts,8,dbs
11,14,0.03962278366088867,0.897768870099001,0.8514091486325922,0.5751531,165.07472422998697,0.6919896181961219,TabulaMuris_Heart_10X,lle,counts,16,ari
11,14,0.03962278366088867,0.897768870099001,0.8514091486325922,0.5751531,165.07472422998697,0.6919896181961219,TabulaMuris_Heart_10X,lle,counts,16,nmi
6,9,0.022263526916503903,0.4472346261213532,0.6608801151562936,0.98790354,285669.71725675336,0.2278046472158485,TabulaMuris_Heart_10X,lle,counts,4,ss
52,55,0.048557519912719734,0.07776181136146716,0.4060556094418316,0.5844057,5312601182.104317,0.332280967220149,TabulaMuris_Heart_10X,lle,counts,2,vrc
14,17,0.028069257736206055,0.4481769423159735,0.6723596451429431,0.9825453000000002,47110476.1420261,0.019157126247675814,TabulaMuris_Heart_10X,lle,counts,4,dbs
3,6,0.05543231964111328,0.6918981621124823,0.6642659342406295,0.022240207999999997,21.969869755803924,3.415720882682068,TabulaMuris_Heart_10X,srp,logcounts,96,ari
11,14,0.08429718017578125,0.682086210005307,0.7878402140089337,0.1946501,165.2413729615524,1.3846556365070477,TabulaMuris_Heart_10X,srp,counts,96,nmi
0,3,0.6330978870391846,0.12559760741616302,0.2957620803040555,0.56752855,368.62413052235934,0.6303692289383691,TabulaMuris_Heart_10X,srp,counts,8,ss
0,3,0.6381516456604004,0.11800102885436947,0.361625299004637,0.4227931,719.1608188724252,0.8188225166921516,TabulaMuris_Heart_10X,srp,counts,16,vrc
52,55,0.07062482833862305,0.013616276866213441,0.16375495834659304,0.3566566,624.8272091629693,0.6075445381998115,TabulaMuris_Heart_10X,srp,counts,2,dbs
4,7,0.01510739326477051,0.8978494211381723,0.86649327267821,0.5781837,612.0237730116635,0.678801463466523,TabulaMuris_Heart_10X,lsnmf,logcounts,8,ari
4,7,0.01510739326477051,0.8978494211381723,0.86649327267821,0.5781837,612.0237730116635,0.678801463466523,TabulaMuris_Heart_10X,lsnmf,logcounts,8,nmi
1,4,0.2440199851989746,0.6880792008587518,0.7319610406313612,0.6484247,995.4787041447968,0.5112509873584877,TabulaMuris_Heart_10X,lsnmf,logcounts,4,ss
52,55,0.07258152961730957,0.12619658000261055,0.5281169095883216,0.4140513,2721.1397037731303,0.7187040592631017,TabulaMuris_Heart_10X,lsnmf,logcounts,2,vrc
1,4,0.2440199851989746,0.6880792008587518,0.7319610406313612,0.6484247,995.4787041447968,0.5112509873584877,TabulaMuris_Heart_10X,lsnmf,logcounts,4,dbs
5,8,0.03146648406982422,0.9338880445377304,0.9134967050742568,0.8950964,4005.4959238957344,0.24275360666866025,TabulaMuris_Heart_10X,lda,counts,8,ari
5,8,0.03146648406982422,0.9338880445377304,0.9134967050742568,0.8950964,4005.4959238957344,0.24275360666866025,TabulaMuris_Heart_10X,lda,counts,8,nmi
0,3,0.5365529060363771,0.1610711447107493,0.4152441536155704,0.96049273,29726.527033172955,0.1499349930379177,TabulaMuris_Heart_10X,lda,counts,2,ss
52,55,0.05318403244018555,0.09912412080458012,0.2853708840015684,0.63428384,18238384.190724432,0.1797259649385424,TabulaMuris_Heart_10X,lda,counts,2,vrc
0,3,0.5365529060363771,0.1610711447107493,0.4152441536155704,0.96049273,29726.527033172955,0.1499349930379177,TabulaMuris_Heart_10X,lda,counts,2,dbs
5,8,0.07025361061096191,0.9549859414462192,0.9322401655526122,0.23150527,38.884721299072034,1.7290709473559926,TabulaMuris_Heart_10X,zifa,counts,48,ari
5,8,0.07025361061096191,0.9549859414462192,0.9322401655526122,0.23150527,38.884721299072034,1.7290709473559926,TabulaMuris_Heart_10X,zifa,counts,48,nmi
0,3,0.5854291915893555,0.3993956763106066,0.52706213138336,0.7033845999999999,2072.9818541428444,0.376610333113923,TabulaMuris_Heart_10X,zifa,counts,2,ss
47,50,0.05776214599609375,0.13069959936336178,0.4950736303828882,0.38469000000000003,4136.613618798445,0.7163781570891122,TabulaMuris_Heart_10X,zifa,counts,2,vrc
0,3,0.5854291915893555,0.3993956763106066,0.52706213138336,0.7033845999999999,2072.9818541428444,0.376610333113923,TabulaMuris_Heart_10X,zifa,counts,2,dbs
4,7,0.09211277961730956,0.8990169416703797,0.8969566306271266,0.18452078,56.90830179181055,1.8004305452351057,TabulaMuris_Heart_10X,spca-batch,logcounts,96,ari
4,7,0.09211277961730956,0.8990169416703797,0.8969566306271266,0.18452078,56.90830179181055,1.8004305452351057,TabulaMuris_Heart_10X,spca-batch,logcounts,96,nmi
0,3,0.6943874359130859,0.05378853197036256,0.19962529944521795,0.6363105,275.5967636495324,0.22205267453676197,TabulaMuris_Heart_10X,spca-batch,counts,16,ss
52,55,0.05585193634033203,0.0721594259382392,0.3595210484530156,0.41402644,267299.23924057663,0.5182236514143888,TabulaMuris_Heart_10X,spca-batch,counts,2,vrc
0,3,0.6943874359130859,0.05378853197036256,0.19962529944521795,0.6363105,275.5967636495324,0.22205267453676197,TabulaMuris_Heart_10X,spca-batch,counts,16,dbs
3,6,0.07225728034973145,0.7991806014354578,0.8247195047269537,0.012070418999999999,28.635870096490287,4.321654099836482,TabulaMuris_Heart_10X,kpca-rbf,logcounts,96,ari
3,6,0.07225728034973145,0.7991806014354578,0.8247195047269537,0.012070418999999999,28.635870096490287,4.321654099836482,TabulaMuris_Heart_10X,kpca-rbf,logcounts,96,nmi
0,3,0.6024537086486816,-0.0016465541001443793,0.004132508588896106,0.8855671,78.29806579670905,0.3639322633777076,TabulaMuris_Heart_10X,kpca-rbf,counts,8,ss
52,55,0.047224760055541985,0.09728178260020204,0.3721952583151608,0.42203674,15581.34505714304,0.6036306109904822,TabulaMuris_Heart_10X,kpca-rbf,logcounts,2,vrc
0,3,0.6024537086486816,-0.0016465541001443793,0.004132508588896106,0.8855671,78.29806579670905,0.3639322633777076,TabulaMuris_Heart_10X,kpca-rbf,counts,8,dbs
9,12,0.07164573669433594,0.528226360512888,0.6150241223360587,0.14336221,25.296899196845786,1.8158940727857475,TabulaMuris_Heart_10X,kpca-pol,logcounts,96,ari
20,23,0.06704092025756836,0.5149338650812895,0.6706168696103498,0.27854022,43.271475256795995,0.8172792716300918,TabulaMuris_Heart_10X,kpca-pol,logcounts,48,nmi
0,3,0.4354968070983887,0.04983443441983328,0.1855298055736064,0.98588634,50773.478746443434,0.23319519346247625,TabulaMuris_Heart_10X,kpca-pol,counts,2,ss
52,55,0.07676219940185547,0.02791379011701867,0.17637316555094834,0.46383640000000004,794735699009721.5,0.33744918259563444,TabulaMuris_Heart_10X,kpca-pol,counts,2,vrc
29,32,0.04723691940307617,0.049433470936308434,0.18568880811296026,0.9525973,2325163123808.1533,4.742003998761277e-07,TabulaMuris_Heart_10X,kpca-pol,counts,2,dbs
5,8,0.008721590042114258,0.8866097228641456,0.8534193487474845,0.78086686,29327.74653216353,0.1954175182068945,TabulaMuris_Heart_10X,umap,counts,2,ari
5,8,0.008721590042114258,0.8866097228641456,0.8534193487474845,0.78086686,29327.74653216353,0.1954175182068945,TabulaMuris_Heart_10X,umap,counts,2,nmi
0,3,0.468414306640625,0.14564164102375626,0.3520312960196739,0.86716986,3623.3536583789655,0.20394766306030374,TabulaMuris_Heart_10X,umap,counts,2,ss
51,54,0.04609203338623047,0.11157793797267117,0.5635666190512629,0.5151029,114376.80092394794,0.6486695729499948,TabulaMuris_Heart_10X,umap,counts,2,vrc
5,8,0.008721590042114258,0.8866097228641456,0.8534193487474845,0.78086686,29327.74653216353,0.1954175182068945,TabulaMuris_Heart_10X,umap,counts,2,dbs
1,4,0.31203222274780273,0.6753150819734077,0.6678327980244768,0.50549537,432.93621788362645,0.8471296474978895,TabulaMuris_Heart_10X,spectral,counts,4,ari
7,10,0.035387277603149414,0.614953627493887,0.7613366375839593,0.55549145,512.1461983896044,0.5863303212474993,TabulaMuris_Heart_10X,spectral,logcounts,8,nmi
0,3,0.4960966110229492,0.42125658811099537,0.5588733618325922,0.7309714,3100.598072890931,0.3237095187055919,TabulaMuris_Heart_10X,spectral,counts,2,ss
52,55,0.06101822853088379,0.13219316582563112,0.5500285433248552,0.5623205,12371.635460671794,0.5481121230679993,TabulaMuris_Heart_10X,spectral,logcounts,2,vrc
0,3,0.4960966110229492,0.42125658811099537,0.5588733618325922,0.7309714,3100.598072890931,0.3237095187055919,TabulaMuris_Heart_10X,spectral,counts,2,dbs
4,7,0.0645287036895752,0.8830289418154978,0.8370036536507245,0.18071245,79.00999822465627,1.687502242480844,TabulaMuris_Heart_10X,nmf2,logcounts,96,ari
6,9,0.07680392265319824,0.8201077945368619,0.8433489243082608,0.12742342,67.77824151290626,1.7879057195884966,TabulaMuris_Heart_10X,nmf2,logcounts,96,nmi
0,3,0.6517972946166992,0.0515970241723028,0.1879078110313155,0.9026034,1680.7290069443247,0.1982751760385775,TabulaMuris_Heart_10X,nmf2,counts,4,ss
52,55,0.04927635192871094,0.02378585102743351,0.20842068046719267,0.54998356,379114.4179139879,0.3867288950051236,TabulaMuris_Heart_10X,nmf2,counts,2,vrc
0,3,0.6517972946166992,0.0515970241723028,0.1879078110313155,0.9026034,1680.7290069443247,0.1982751760385775,TabulaMuris_Heart_10X,nmf2,counts,4,dbs
4,7,0.05440020561218262,0.9287436713720918,0.8990959103936575,0.33590928,124.55885699841251,1.5308387507989212,TabulaMuris_Heart_10X,spca,logcounts,32,ari
4,7,0.05440020561218262,0.9287436713720918,0.8990959103936575,0.33590928,124.55885699841251,1.5308387507989212,TabulaMuris_Heart_10X,spca,logcounts,32,nmi
0,3,0.49900460243225103,0.05378853197036256,0.19962529944521795,0.97052824,23748.640174722168,0.03200564390492309,TabulaMuris_Heart_10X,spca,counts,2,ss
51,54,0.07242679595947266,0.05618042585798151,0.3098689876960712,0.40437449999999997,1146623.343748281,0.5517359216467851,TabulaMuris_Heart_10X,spca,counts,2,vrc
0,3,0.49900460243225103,0.05378853197036256,0.19962529944521795,0.97052824,23748.640174722168,0.03200564390492309,TabulaMuris_Heart_10X,spca,counts,2,dbs
3,6,0.017199039459228516,0.8734958948467652,0.8252404818229094,0.5389082,4230.642760725531,0.6591636743430271,muraro,ivis,lognormcounts,8,ari
5,8,0.04830265045166016,0.7340375859208629,0.8449989977924448,0.5980707,1981.0181339027445,0.6345334577880059,muraro,ivis,normcounts,4,nmi
2,5,0.011717081069946287,0.7380998440299301,0.7466080293962724,0.6800138000000001,7328.05348445135,0.4515006439931707,muraro,ivis,lognormcounts,2,ss
10,13,0.04185342788696289,0.5024427464135526,0.7045507121806458,0.5128815999999999,11819.228776957632,0.6735064974805411,muraro,ivis,lognormcounts,2,vrc
2,5,0.011717081069946287,0.7380998440299301,0.7466080293962724,0.6800138000000001,7328.05348445135,0.4515006439931707,muraro,ivis,lognormcounts,2,dbs
4,7,0.06782197952270508,0.9496148712959088,0.9315933001691468,0.4803292,1040.178837678543,1.0283827591515278,muraro,kpca-cos,normcounts,32,ari
4,7,0.06782197952270508,0.9496148712959088,0.9315933001691468,0.4803292,1040.178837678543,1.0283827591515278,muraro,kpca-cos,normcounts,32,nmi
