dataset,count_type,method,dims,ss_euc,ss_seu,ss_cor,ss_cos,vrc,dbs
baron-human,counts,fica,2,0.1147635,0.11476349726739772,-0.7719864067638277,0.049392436,3029.90005483466,13.246214535012781
baron-human,counts,fica,32,0.010776624,0.01077662503981785,0.0963413342004185,0.101857,174.76365380992735,2.424443178090475
baron-human,counts,fica,4,0.17866145,0.17866143769085732,0.06421893406429861,0.30878,2063.83996838497,4.602909000974878
baron-human,counts,fica,48,0.035379324,0.03537932295475032,0.07908762928315811,0.080859184,124.92976976762365,2.8276370299146474
baron-human,counts,fica,8,0.027885992,0.02788599046933974,0.1439759072133907,0.1739503,670.9455268220175,3.7367672077895997
baron-human,counts,fica,96,-0.02425896,-0.024258961109218935,0.03667604228564269,0.037729237,68.93136122123485,3.62954705980498
baron-human,counts,grp,16,0.21520972,0.21604358753573824,0.48948566939394084,0.50479287,1924.4204727403267,2.3120267743055494
baron-human,counts,grp,2,0.024944797,0.025338796225930466,-0.4401059687357599,0.17637809,1454.2142537379896,6.056047903358347
baron-human,counts,grp,32,0.20301546,0.1961384262755819,0.5843773246030985,0.58511007,1807.5099774322493,2.172658136202474
baron-human,counts,grp,4,0.16759613,0.16422482554157444,0.30720826444841565,0.4419928,2314.3452395214663,2.807667904501038
baron-human,counts,grp,48,0.23947087,0.23825258825574064,0.6019750993270427,0.60032797,1997.5978232771472,2.3720279345365323
baron-human,counts,grp,8,0.24562025,0.21848338101443818,0.5503832677306522,0.56496304,1777.127054456485,2.343411439221463
baron-human,counts,grp,96,0.2352227,0.2203938464809871,0.6191989565811369,0.619738,1947.150062989131,2.3484593622611336
baron-human,counts,icm,16,-0.33239672,-0.29849249356971314,0.0,-0.062263645,72.99419959631508,9.67767900044014
baron-human,counts,icm,2,-0.66405964,-0.6636108031453612,0.0,-0.017506622,75.65374549546692,23.154925127987788
baron-human,counts,icm,32,-0.39691743,-0.32433919840209785,0.0,-0.05330669,56.749244841761204,6.814191141357078
baron-human,counts,icm,4,-0.32963353,-0.3286255713148237,0.0,-0.06138926,88.15619068714597,17.568776322251654
baron-human,counts,icm,48,-0.3551347,-0.2920003450143506,-0.031048871435746573,-0.036219254,50.668817032334616,8.118409463809792
baron-human,counts,icm,8,-0.39951128,-0.40400772885077874,0.0,-0.12150895,76.54354260608049,9.583894680169816
baron-human,counts,icm,96,-0.2656693,-0.22814154060934447,-0.016821616614236472,-0.01680455,37.20991647769733,7.377128278213401
baron-human,counts,ipca,16,0.2040368,0.04453084378945057,0.5229432613473011,0.4652906,2064.8017374595715,2.4434599688674647
baron-human,counts,ipca,2,0.11254382,0.11476349495755891,-0.8523594302127004,0.05670629,2982.5801898097475,13.324143580766101
baron-human,counts,ipca,32,0.19921538,0.01077662383598945,0.4982635340498078,0.4724856,2002.7893794778647,2.1437857049435003
baron-human,counts,ipca,4,0.20449695,0.17866144242373921,0.6441131442587875,0.41635296,2500.904196307493,5.6549967174453375
baron-human,counts,ipca,48,0.2019311,0.03537932301539781,0.49817045005477023,0.48126075,1979.358597155871,2.0497643906328107
baron-human,counts,ipca,8,0.17114428,0.027885993262714254,0.500357354243685,0.38501254,2150.01750793309,4.755341148880076
baron-human,counts,ipca,96,0.21366842,-0.024258961140771185,0.5111179215863243,0.5029057,1953.80686759459,1.9869008416922533
baron-human,counts,isomap,16,0.23552297,0.016158354717517018,0.5140190894713358,0.5211281,2049.754054109578,2.2978730413726423
baron-human,counts,isomap,2,0.11932924,0.1157597178600969,-0.6391809450444128,0.33073932,2711.2928481781955,4.898180402445163
baron-human,counts,isomap,32,0.22572085,-0.023516221207591427,0.5109754290612009,0.51530635,1910.4864191051902,2.2584996595148885
baron-human,counts,isomap,4,0.2586311,0.27792496312115156,0.24931265436241976,0.533464,2648.5333255496453,3.37910272666683
baron-human,counts,isomap,48,0.22099665,-0.0392501754360359,0.5087465432970966,0.51130795,1842.9495982699552,2.2549642312215212
baron-human,counts,isomap,8,0.2509295,0.12310451304165045,0.4919925292463128,0.53008,2267.3495918735425,2.495028659173744
baron-human,counts,isomap,96,0.21584152,-0.08902108397846864,0.5038018443107127,0.5050194,1746.807252073222,2.265391156588354
baron-human,counts,ivis,16,0.22648916,0.1941729700365211,0.3741168957200521,0.3866521,1075.5307795708543,1.8275742479937638
baron-human,counts,ivis,2,0.14756955,0.1458648431714091,-0.4815864220686782,0.2815808,2059.8529352292176,3.017023268477034
baron-human,counts,ivis,32,0.22038649,0.18817063475542298,0.34379545997101374,0.3426027,1027.1598029195832,2.1303037199687456
baron-human,counts,ivis,4,0.27648902,0.27221056392036613,0.4410056189552443,0.41992953,1550.1617779817723,2.121234531067821
baron-human,counts,ivis,48,0.18183549,0.12469181427824622,0.2620662193652145,0.2560922,846.6463922733072,1.6596722785471834
baron-human,counts,ivis,8,0.20851241,0.17900001830963228,0.25784575763530987,0.27386558,1117.6710430363698,2.110210828288184
baron-human,counts,ivis,96,0.1966361,0.13090670265903417,0.2712797588505438,0.26951215,1060.354028545692,2.0480245257627034
baron-human,counts,kpca-cos,16,0.4703799,0.23966040819222006,0.6178785407790789,0.6241005,2619.5284450069703,1.7751104876201877
baron-human,counts,kpca-cos,2,0.5172728,0.5131069485994831,-0.42131790543056363,0.34410033,8644.366817945378,7.60920458214045
baron-human,counts,kpca-cos,32,0.47310466,0.15047415023454436,0.619909049242354,0.6228249,2188.0738894873857,1.6097766515843333
baron-human,counts,kpca-cos,4,0.5392047,0.5022918466349193,0.5201252881666205,0.6063021,6092.814114810052,5.171225539343587
baron-human,counts,kpca-cos,48,0.4713501,0.08193203837904275,0.6211494409016475,0.6223316,2037.477749475711,1.613847991047564
baron-human,counts,kpca-cos,8,0.4930906,0.32325429295835145,0.5865415636764546,0.6172646,3700.057989528274,3.0771956710379973
baron-human,counts,kpca-cos,96,0.4754095,-0.028383509767284997,0.6205030843255804,0.62093705,1872.7318383545853,1.6712715143784018
baron-human,counts,kpca-pol,16,-0.42820904,-0.4034994630135253,-0.24164880985320872,-0.26107472,722.542674980604,3.7685821750883277
baron-human,counts,kpca-pol,2,-0.49225405,-0.49032061994785225,-0.8522769933183821,-0.5301527,766.5143637210463,4.522725097649387
baron-human,counts,kpca-pol,32,-0.42885393,-0.3994061032436983,-0.2549025110186041,-0.26478258,720.3254286342384,3.7662665452955406
baron-human,counts,kpca-pol,4,-0.44332176,-0.43702527548113945,-0.25378797806089204,-0.35921285,734.6145804129629,4.278346238586392
baron-human,counts,kpca-pol,48,-0.43041193,-0.4340607418499135,-0.26014515388054904,-0.26668483,719.1879019382936,3.7076198423117606
baron-human,counts,kpca-pol,8,-0.42802602,-0.39587794800896836,-0.21128430982389673,-0.25792977,725.2073889152722,3.7831265714856257
baron-human,counts,kpca-pol,96,-0.42482433,-0.4533176282664837,-0.2620775931086443,-0.26524135,717.6408350737943,3.148225142916751
baron-human,counts,kpca-rbf,16,-0.065047644,-0.0650476535629254,-0.08152074734060112,-0.07714169,1.1857470576195859,24.13635875475685
baron-human,counts,kpca-rbf,2,-0.34521595,-0.345215980151988,-0.2844833705927329,-0.18743524,1.3583835590092868,61.93567810851055
baron-human,counts,kpca-rbf,32,-0.056967776,-0.05696776804736003,-0.051812715919512045,-0.05095871,1.1778997613029965,24.08118708192936
baron-human,counts,kpca-rbf,4,-0.14736383,-0.1473638121696246,-0.23627625021437798,-0.23942055,1.2174269826271567,27.026729953164267
baron-human,counts,kpca-rbf,48,-0.088356644,-0.08835662849329551,-0.046049184882538716,-0.04529231,1.1069644757809673,24.72727783857658
baron-human,counts,kpca-rbf,8,-0.17023768,-0.17023766685585773,-0.10159927005369652,-0.09667406,2.0107218226210484,17.74275746273533
baron-human,counts,kpca-rbf,96,-0.0729694,-0.07296940246919016,-0.031163038219341785,-0.031048454,1.0305180532954203,24.649133327876537
baron-human,counts,lda,16,0.3515311,0.37005497278240784,0.5737498526947766,0.56343764,1212.7609253000371,2.011610777954968
baron-human,counts,lda,2,-0.15372418,-0.15372418250795217,-0.4125493383954345,-0.26820326,7259.665272982109,43.048817430194944
baron-human,counts,lda,32,0.27998546,0.2106907420294331,0.47108409220091235,0.4705338,799.4397589455123,1.6285094327871177
baron-human,counts,lda,4,0.49041438,0.49246693554315946,0.38259833864661774,0.41514495,10384.64028167633,7.818390850788303
baron-human,counts,lda,48,0.2853268,0.14701921228118073,0.42942998673659805,0.43729183,591.9285387442128,1.1890423263421046
baron-human,counts,lda,8,0.40933377,0.40815501468298243,0.5173443571181349,0.51691914,2362.0580943574246,3.187989953440188
baron-human,counts,lda,96,0.22039302,0.10450435562193362,0.36126052616707854,0.36625594,375.870976875211,1.9078053681389222
baron-human,counts,lle,16,0.25423494,0.285999119881853,0.3073028255676007,0.32216492,369.0932669373284,2.999767281366998
baron-human,counts,lle,2,0.043838054,0.04329598605158521,-0.800484274811326,-0.23141116,8682.822642736197,11.535636658950681
baron-human,counts,lle,32,0.02963526,0.048360680948101,0.16349853526745195,0.16745894,139.6889704985283,3.764897822594118
baron-human,counts,lle,4,0.50615126,0.5063317818742942,0.47825556709295763,0.45944935,10242.05882194847,7.904721845117682
baron-human,counts,lle,48,-0.10470974,-0.0972742593814782,0.0949973572189633,0.10398235,120.46388598770041,3.3572004688875197
baron-human,counts,lle,8,0.35712805,0.39257384951926627,0.468013113241311,0.50095576,1265.4622213067578,3.1413926159478867
baron-human,counts,lle,96,-0.18459584,-0.1807321381901777,0.041781112867823725,0.045192625,60.605059533600915,4.149276066718251
baron-human,counts,lsnmf,16,-0.043593794,-0.043519184269648604,-0.07919389163339338,-0.062568784,1.0970769485724654,36.805104620641295
baron-human,counts,lsnmf,2,-0.11133023,-0.11112914343967883,-0.32656728210034625,-0.35225308,1.0852893193149602,107.47350133254994
baron-human,counts,lsnmf,32,-0.026762132,-0.02665500140120944,-0.054856017207883696,-0.04717825,0.984379161660415,34.12457661035329
baron-human,counts,lsnmf,4,-0.08515256,-0.08524585363766933,-0.2216880059503305,-0.20982453,1.0382852736943187,49.903278647207465
baron-human,counts,lsnmf,48,-0.021708457,-0.0217451973133872,-0.042421277460527464,-0.050718103,0.93364520226066,34.86242536833506
baron-human,counts,lsnmf,8,-0.070834674,-0.07083402602399078,-0.1442152877704822,-0.19546461,1.125998554079643,36.11106696514445
baron-human,counts,lsnmf,96,-0.0122307185,-0.012255531956275639,-0.029547976052962287,-0.020828372,0.9684147345591786,32.0866368845526
baron-human,counts,mctsne,2,0.27965313,0.2782665369714558,-0.5333683825776124,0.22437546,2375.0284189587524,3.7700962600218384
baron-human,counts,mctsne,32,nan,nan,nan,nan,nan,nan
baron-human,counts,mctsne,4,0.23054458,0.19485005133624309,0.0934450385958402,0.21284783,1175.359092668345,2.209445022949344
baron-human,counts,mctsne,48,-0.7638533,-0.7643620635279876,-0.8087345010865417,-0.81599766,0.4213331160042979,4.376340742622366
baron-human,counts,mctsne,8,0.25964388,0.2475208406263729,0.2856839772473085,0.329288,906.0993498190369,1.910499779371353
baron-human,counts,mctsne,96,nan,nan,nan,nan,nan,nan
baron-human,counts,nmf,16,0.19145374,0.13274054327364504,0.5273170801485638,0.52609193,1575.9204525609114,2.451310341709046
baron-human,counts,nmf,2,0.03688634,0.037508364646984316,-0.2946671780766028,0.22782207,2824.174420009201,9.517231539258395
baron-human,counts,nmf2,16,0.097777806,0.11495490459305059,0.3354081178536749,0.38403535,1178.2790960860375,3.2465250075654737
baron-human,counts,nmf2,2,0.03653119,0.03744436606558991,-0.29864033744787366,0.22901922,2850.8689351859935,9.506203654312227
baron-human,counts,nmf2,32,0.021077722,0.024205741149229656,0.26116619882847,0.30483577,864.2600515681924,3.032144212975262
baron-human,counts,nmf2,4,0.14375657,0.13927433851942347,0.4399761796144634,0.42709365,1629.119991676755,5.700482118721766
baron-human,counts,nmf2,48,0.024214568,0.04920043258316855,0.25955997252265994,0.33029604,882.1526550623154,2.6218627881239143
baron-human,counts,nmf2,8,0.11529323,0.11746853783371017,0.3771523110510345,0.39534107,1527.7889507712614,3.5601160744690925
baron-human,counts,nmf2,96,0.0078580305,-0.02910812293601777,0.21984768407847083,0.287599,779.4682137160091,2.515409362356508
baron-human,counts,nmf,32,0.18574576,0.15391300411265924,0.5550406298711493,0.5551515,1382.1610685435576,1.8165421557611567
baron-human,counts,nmf,4,0.18625194,0.1839657272946027,0.5289262422376356,0.5990024,2556.5958337409043,3.9355063982205984
baron-human,counts,nmf,48,0.1852254,0.12140909067988603,0.59335224903125,0.5860006,1367.4234468231834,1.778247643802031
baron-human,counts,nmf,8,0.19388026,0.16925767976150513,0.4234202081168958,0.45027697,1929.2184195757332,3.398217986869696
baron-human,counts,nmf,96,0.2150034,0.09874828293675562,0.5744283431213233,0.567461,1239.9989464977627,1.7380524133189754
baron-human,counts,nsnmf,16,0.49629787,0.3407539888498316,0.6689996994231496,0.66605926,3024.050304680868,2.3180843246174883
baron-human,counts,nsnmf,2,-0.029803542,-0.029803547471057623,-0.7722021239351147,-0.23689382,4255.376970616631,10.167695439764927
baron-human,counts,nsnmf,32,0.41583163,0.27878801676294057,0.6295708363019029,0.6268466,1968.514621415458,1.5196904659815844
baron-human,counts,nsnmf,4,0.417684,0.41702527288426505,0.366911615593727,0.38919467,8253.641818894052,4.590233789584377
baron-human,counts,nsnmf,48,0.4077528,0.2116132354240351,0.617313156412544,0.61893916,1771.9842716154942,1.3729126221002939
baron-human,counts,nsnmf,8,0.46472913,0.43819221563943533,0.527162079750085,0.52954906,3396.6305330196105,2.9494502615337823
baron-human,counts,nsnmf,96,0.3522701,0.1592002080984809,0.6117222429346258,0.61424667,1382.465038229297,1.3843737550834418
baron-human,counts,pca,16,0.2040357,0.04453501113259264,0.4824083625947531,0.46529076,2064.801459228254,2.4433282059052237
baron-human,counts,pca,2,0.11254382,0.11476349495755891,-0.8523594302127004,0.05670629,2982.5801898097475,13.324143580766101
baron-human,counts,pca,32,0.1992128,0.010728693194107295,0.4798645552294493,0.4724828,2002.7898455643297,2.143847486629744
baron-human,counts,pca,4,0.20449695,0.17866144242373921,0.2116415219360174,0.41635296,2500.904196307493,5.6549967174453375
baron-human,counts,pca,48,0.20196636,0.03537162966514857,0.4876256240124851,0.4813977,1979.357711284567,2.049174427034726
baron-human,counts,pca,8,0.17114429,0.02788604239513569,0.3877029104767434,0.38501254,2150.017501776552,4.755345178693774
baron-human,counts,pca,96,0.2134994,-0.024078187928320588,0.5059838866695828,0.50279194,1953.8529652064585,1.9844762284027533
baron-human,counts,phate,16,0.27399865,0.1684448536502668,0.3134247833375128,0.29088765,1630.1584799401378,2.1794963693257334
baron-human,counts,phate,2,0.10851104,0.10076316669600435,-0.48869757994662827,0.07854362,1889.7181529357963,4.848688586432361
baron-human,counts,phate,32,0.27189595,0.12738520170541281,0.2908804488782642,0.28203326,1557.5415739418459,2.2182595270087284
baron-human,counts,phate,4,0.22611243,0.2731599871408127,0.2258177261910657,0.2342779,1532.9917238706894,2.323888463979853
baron-human,counts,phate,48,0.26674128,0.0867673211104176,0.3092404245130346,0.30020055,1606.5806213587746,2.0670915159371206
baron-human,counts,phate,8,0.28712913,0.26914959284155543,0.34462551142643605,0.30621102,1698.1546851959865,2.1317697650092233
baron-human,counts,phate,96,0.27644604,0.028404486863467058,0.29690998039751637,0.2930429,1623.6360115739874,2.1547452768462745
baron-human,counts,pmf,16,0.34591833,0.29895212198301374,0.46303635648548436,0.47884732,1800.8306391819283,2.207398746109999
baron-human,counts,pmf,2,0.2460656,0.24606558841147688,-0.19881457966884047,0.24272586,6699.241818191946,38.86064323072282
baron-human,counts,pmf,32,0.3349009,0.2703135861315624,0.4492011708767949,0.47612298,1280.4780156113836,1.3198001346370885
baron-human,counts,pmf,4,0.39252454,0.39702438099724,0.3831530124480674,0.39467856,6262.34739957939,5.804458206566318
baron-human,counts,pmf,48,0.3064084,0.19936800014094863,0.4348978618084254,0.46624553,1018.8690640458906,1.203795589905161
baron-human,counts,pmf,8,0.27893326,0.2747980265764522,0.35215658774096587,0.34554827,2654.1956375839245,3.58510645122954
baron-human,counts,pmf,96,0.22606984,0.20133461418364412,0.3685138522550379,0.39371455,626.9578412413383,1.6109757393637436
baron-human,counts,psmf,16,0.15447414,0.12109611799152702,0.23564021465374788,0.18387245,1931.7185558507904,2.3058794524059283
baron-human,counts,psmf,2,-0.027656017,-0.023314286075456023,-0.5097668838228994,-0.12298546,3310.391022721012,6.148910552226254
baron-human,counts,psmf,32,0.16954596,0.1362064006734282,0.30172561611920723,0.253997,789.6948282405463,2.0513236509269808
baron-human,counts,psmf,4,-0.0052590114,-0.014733650802623278,-0.10814225055558284,-0.12086643,1943.460030899124,4.979237387109623
baron-human,counts,psmf,48,0.1511203,0.12197151814840886,0.2563630593828831,0.21348937,478.4610833986825,2.4698383680830576
baron-human,counts,psmf,8,0.16652252,0.12768403213249463,0.2434276375816708,0.19380206,2212.3936414895243,2.4684771705134914
baron-human,counts,psmf,96,0.07355389,0.055032524117321985,0.19383795140834217,0.15518585,229.57825269507543,2.9933072451858735
baron-human,counts,saucie,16,-0.19408245,-0.1827304266227323,-0.257732791180436,-0.2759641,1.2722477245587718,59.07814260239308
baron-human,counts,saucie,2,-0.31093282,-0.31137686970938805,-0.8787088496540656,-0.2061286,0.8543813632228405,119.89224160166923
baron-human,counts,saucie,32,-0.11161296,-0.11046813929422465,-0.1675951143937012,-0.16789943,0.7269636235544291,72.8674804392238
baron-human,counts,saucie,4,-0.12950861,-0.1369448243168812,-0.1478584890654238,-0.24767749,1.0936735629353054,66.0634285705743
baron-human,counts,saucie,48,-0.8988637,-0.8978521015097147,-0.9046013030899783,-0.90330976,0.8229668930493139,63.94984399682424
baron-human,counts,saucie,8,-0.115256295,-0.10587421162129576,-0.1456523459698763,-0.13002838,0.2819769307124936,113.0199076567865
baron-human,counts,saucie,96,-0.12568207,-0.12198106319311701,-0.2954336407953534,-0.29513243,0.8021365121931688,71.56434750345298
baron-human,counts,spca,16,0.20403844,0.04453175662661885,0.48006442087317713,0.4652935,2064.8036246347438,2.4434553984466487
baron-human,counts,spca,2,0.112544134,0.11476379879140707,-0.8523594302127006,0.056705732,2982.578844314988,13.323443096229587
baron-human,counts,spca,32,0.19921692,0.010769228450318639,0.4790078371987744,0.47248802,2002.7922682589362,2.1437702799298095
baron-human,counts,spca,4,0.2044965,0.1786607313034972,0.2116417160929378,0.41635266,2500.9031301090813,5.654993843542168
baron-human,counts,spca,48,0.20289347,0.036810041105509,0.4873456970733543,0.48286062,1980.0271075554203,2.0445177193935775
baron-human,counts,spca,8,0.17114414,0.027884493419717316,0.3928116020358825,0.38501206,2150.0181370196087,4.7554410901199144
baron-human,counts,spca,96,0.218824,-0.02242648784185151,0.511448686430129,0.50974864,1954.134949910775,1.9584214967768536
baron-human,counts,spectral,16,0.08227475,0.08850486890118879,0.2020306691345143,0.22298805,354.43559017681383,2.514848372304818
baron-human,counts,spectral,2,0.35665023,0.35658735965243793,-0.44364951997140484,0.18669094,5782.531180914774,26.33073568763024
baron-human,counts,spectral,32,0.081517786,0.09508736696357581,0.12838161879061302,0.1346511,168.6231795189022,2.6589883854236676
baron-human,counts,spectral,4,0.248894,0.25201861444956325,0.14855417337154028,0.24694079,1239.165929521973,4.261916674791183
baron-human,counts,spectral,48,0.0036800436,0.01899347374846895,0.09809296800577288,0.10392379,116.86030140613624,2.8609212964562825
baron-human,counts,spectral,8,0.12893188,0.13345128894125333,0.16999896225434405,0.20259611,525.8689045834889,5.478349906597994
baron-human,counts,spectral,96,-0.08488371,-0.0778912946519273,0.061661305712386684,0.06290114,65.50788849760879,3.8026435966846877
baron-human,counts,umap,16,0.50700414,0.37031915665315207,0.5595433515355768,0.5509278,4282.6044878781295,2.400410519403946
baron-human,counts,umap,2,0.47877055,0.43545311544678567,-0.5640567262741768,0.4689782,6055.486710484012,3.327219593370958
baron-human,counts,umap,32,0.5066801,0.37812686254390954,0.5456527025062642,0.5443006,4266.252508475313,2.3705968532470556
baron-human,counts,umap,4,0.5287937,0.51578461030582,0.497121422624558,0.57462025,4746.174764869917,3.3804099688285376
baron-human,counts,umap,48,0.510758,0.3910031179253657,0.5432012928458515,0.5433955,4357.286325217954,2.4459468860539784
baron-human,counts,umap,8,0.5010184,0.39230040743394645,0.5346058012168723,0.5410175,4360.933695388907,2.6445606857841972
baron-human,counts,umap,96,0.5020587,0.3649164325454666,0.5454298492934361,0.54638684,4263.710573143639,2.3485143781973745
baron-human,counts,vasc,16,0.1249759,0.09937717077052236,0.18049704504582628,0.17805074,805.7886518073728,3.4568317235296147
baron-human,counts,vasc,2,0.14099512,0.11717088931548425,-0.6019241210527307,0.030954693,2785.293181185475,6.359077880453001
baron-human,counts,vasc,32,0.0,0.0,0.0,0.0,659.0134563063777,9.165549420503684
baron-human,counts,vasc,4,0.1735186,0.17330449699978656,0.11106035557098809,0.280916,1459.249448870187,3.8281414852954456
baron-human,counts,vasc,48,0.14630431,0.13129282928127772,0.1889316160825866,0.19558789,665.4935907129743,4.013287035448771
baron-human,counts,vasc,8,0.11567755,0.11640056315123974,0.17067846682356647,0.17650178,747.6549390052857,2.713041805152354
baron-human,counts,vasc,96,0.0,0.0,0.0,0.0,651.6972173899056,14.869428847909619
baron-human,counts,zifa,16,0.15473513,0.14003116375993258,0.2684321538512607,0.26326057,1025.726585295839,2.265190630908904
baron-human,counts,zifa,2,-0.011308968,-0.011105439651273639,-0.5317524996526861,-0.16497715,2350.8522461363837,4.976356307983712
baron-human,counts,zifa,4,0.11487785,0.10835538526452011,0.09874039169861751,0.17827572,1505.4191379154051,3.1408800850827303
baron-human,counts,zifa,8,0.14987472,0.14022062416325767,0.28869542447660296,0.2560074,1123.1298866986333,2.381465759618706
baron-human,logcounts,bd,16,-0.18953748,0.12485948671783718,-0.08196567730442139,-0.08104327,451.77597582490137,3.781167010819991
baron-human,logcounts,bd,2,-0.08002257,-0.08772033666694301,-0.521732403388559,-0.08841079,3675.2597501703667,8.231357066446007
baron-human,logcounts,bd,32,-0.04456832,0.10713466294029152,0.16916124821401307,0.16585891,529.3539169499015,3.8631965311207748
baron-human,logcounts,bd,4,-0.2016108,0.1404165341203055,-0.7576622468384266,-0.8118753,2557.4061632162293,16.90023752654817
baron-human,logcounts,bd,48,0.032830235,0.03248048745414515,0.21625396889381338,0.21394573,644.2656259213105,2.8918749389547784
baron-human,logcounts,bd,8,-0.061510935,0.05420599994424661,0.004639356906289095,0.006608943,1196.9870634180436,5.422342540452617
baron-human,logcounts,bd,96,-0.1741265,0.007629081266201534,-0.26013696221140026,-0.2571757,764.9485185345981,5.466934768471176
baron-human,logcounts,fa,16,0.13674493,0.13609497402613516,0.22871267577709864,0.25707093,615.4753556946891,1.6598730449998294
baron-human,logcounts,fa,2,-0.18051852,-0.18057149490647817,-0.4793330402811874,-0.23167461,748.7335442443552,19.99365068465242
baron-human,logcounts,fa,32,0.12750493,0.1247202178217535,0.21424085830526315,0.22128232,286.0910679626495,1.9370223426406827
baron-human,logcounts,fa,4,0.029514143,0.02953610843337192,-0.05213470572406301,0.059126772,1359.65837549268,3.943913554443907
baron-human,logcounts,fa,48,0.09648572,0.09229770556283902,0.1928704063507515,0.19448924,178.33214902617084,2.523996735435843
baron-human,logcounts,fa,8,0.112528846,0.11238523904278362,0.23054625734795411,0.27340585,1364.17906709347,2.3423609660725115
baron-human,logcounts,fa,96,0.037108816,0.031212976790531,0.1216992983040067,0.12222539,83.79587760970598,4.510832898838425
baron-human,logcounts,fica,16,0.10987446,0.10987445674942597,0.18836729043022396,0.18822226,415.38286290476293,2.210686446900462
baron-human,logcounts,fica,2,-0.15418483,-0.1541848255910133,-0.7645558473062944,-0.23734619,697.8210690252417,8.685260287540151
baron-human,logcounts,fica,32,0.05575611,0.055756111987878554,0.0936283869404746,0.10015195,204.4090041321956,2.405432904165818
baron-human,logcounts,fica,4,0.079360455,0.07936045413919948,0.10320584037877123,0.19708073,1274.1683735755237,3.5250641922256007
baron-human,logcounts,fica,48,0.03139937,0.03139936542282786,0.05227204269496773,0.05600764,129.49514028047153,2.867083794350951
baron-human,logcounts,fica,8,0.053440206,0.05344020616641307,0.1306733399097485,0.16510548,585.7233238205919,2.6842102483635224
baron-human,logcounts,fica,96,-0.026696466,-0.026696466045829915,0.015601858518369455,0.016019426,61.698360764382144,3.9331679691753973
baron-human,logcounts,grp,16,-0.060224283,-0.06089657752111451,-0.07478599183691505,-0.07060139,39.424559602522756,6.943085490389626
baron-human,logcounts,grp,2,-0.15171112,-0.15234484421426978,-0.3958733990934163,-0.25644374,76.55825186442186,89.98207103568006
baron-human,logcounts,grp,32,-0.027795427,-0.027966362271396605,-0.002284298110424667,-0.0011838169,58.49293967575305,6.47802008526311
baron-human,logcounts,grp,4,-0.12546627,-0.1269683757912852,-0.2721153497291,-0.21900302,65.83292349014837,9.40652832207417
baron-human,logcounts,grp,48,-0.013697824,-0.014177567490611083,0.005671598330297167,0.005380032,51.885092842193636,6.0956889150560105
baron-human,logcounts,grp,8,-0.0658156,-0.06560200755839772,-0.12155547149413928,-0.10367053,54.58145885061583,7.779219912178481
baron-human,logcounts,grp,96,-0.0080502285,-0.008442976993154747,0.015512520499830254,0.0149302175,49.624067232716634,6.22104873276514
baron-human,logcounts,icm,16,0.19104144,0.15013517955890826,0.39965065558720275,0.38618678,1016.9567359927432,1.7341943706505112
baron-human,logcounts,icm,2,-0.096691586,-0.09698249076912428,-0.7722021239351136,-0.10891929,4280.986796764781,7.942835486215354
baron-human,logcounts,icm,32,0.1306252,0.1043345734382825,0.3570421740200117,0.34563422,633.4889469219514,1.6496852257031251
baron-human,logcounts,icm,4,0.14908278,0.1543924474165777,0.3443634499089442,0.30825374,3024.9187149421427,3.8423063161421003
baron-human,logcounts,icm,48,0.03113126,0.06263336808788397,0.21975363073343382,0.2107654,280.93391264787516,2.0128599934914666
