dataset,count_type,method,dims,ss_euc,ss_seu,ss_cor,ss_cos,vrc,dbs
baron-human,counts,bd,16,0.11863954,0.1334131669513695,0.330817626046105,0.33355415,1297.7910744512526,2.2239221019197837
baron-human,counts,bd,2,-0.24940632,0.024840484455950846,-0.8425836685613118,-0.7691009,4188.519329808344,44.71156072819772
baron-human,counts,bd,32,0.041859996,0.14276582616397057,0.48020721016929446,0.4768156,2095.022004286281,1.9883215651448143
baron-human,counts,bd,4,0.20244908,0.18329093620639014,0.4188163259776143,0.43670207,2658.5004147914915,9.534009646820916
baron-human,counts,bd,48,0.037733592,0.11957874619806565,0.416788263441918,0.4121216,2133.7401910519206,1.8547683650467073
baron-human,counts,bd,8,0.029357286,0.169722638631367,0.2588476286390927,0.26738697,2004.9741623249877,3.306665862183075
baron-human,counts,bd,96,0.05692941,0.0922586361007748,0.377962532653198,0.37593305,2172.1868370210545,2.107664188125184
baron-human,counts,fa,16,0.2187116,0.21783268713429987,0.34606027180046467,0.3406329,732.5660508468261,1.3015117583158309
baron-human,counts,fa,2,-0.013572521,-0.013586925717271256,-0.4902085138908795,-0.12913443,3680.690450338034,4.367118885976434
baron-human,counts,fa,32,0.18227877,0.18015264999528552,0.27848733162774253,0.28247327,308.80604516946426,2.088078827590089
baron-human,counts,fa,4,0.10433266,0.10436861399242445,0.06943084129699259,0.13231899,3742.6415993311275,2.597071788425386
baron-human,counts,fa,48,0.1301677,0.12803003829218002,0.2420562584335489,0.2467203,188.75151279082095,2.637284589478558
baron-human,counts,fa,8,0.3362836,0.33602288614756437,0.528694392018106,0.47067767,1813.588888452483,1.3136580148834798
baron-human,counts,fa,96,0.022030583,0.019489398323028227,0.14440006324548488,0.14622907,88.67636143940304,3.4983705596000445
baron-human,counts,fica,16,0.044530842,0.04453084307127919,0.1420601206183394,0.13244829,325.2740477050059,2.47960138482705
