"","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","psmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac"
"fa",0.152807061895465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fica",0.730929879105655,0.294456637743797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grp",1.40970814446001e-08,2.12799941084111e-12,1.68361337603446e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"icm",0.0310151984579294,0.502172921240078,0.0751692065050329,2.11145032997046e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ipca",0.735609424702421,0.0706703086790343,0.488036061088503,9.85495903872127e-08,0.0109500364399583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isomap",0.00275871525831731,7.32869882352241e-06,0.000724893041647723,0.00674066085562677,2.26183127253859e-07,0.00859978520439236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ivis",0.164019604336711,0.971880683106957,0.312913687849957,2.66300470438532e-12,0.481552769274154,0.0770246500769369,8.61283555029397e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kpca.cos",0.13699076196081,0.957430549793631,0.268170204222929,1.45610974656712e-12,0.542989469334214,0.0622045815340521,5.5856164738889e-06,0.927657790237256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kpca.pol",0.00441962455155306,1.42768524395322e-05,0.00127123252417256,0.00426823516615924,4.98716373777392e-07,0.0136299097353623,0.898764799623087,1.68847305363142e-05,1.0827045867016e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kpca.rbf",0.220660141818296,0.00597193697559255,0.109071957144879,8.60140040660248e-06,0.000526594463505041,0.393849036246099,0.0918006410165131,0.00676043268911787,0.0050250069505896,0.12656043340591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
