,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Bladder_10X,0.6687428821842407,0.0038827705913456853,0.6213973666493932,0.4051868574150666,0.0018960135586395767,0.7018529753145464,0.4532361638251624,0.6686177579291841,0.5804692959661529,0.001385652844688884,0.005110518872623236,0.6361508238135161,0.7394972791900019,0.7345366049346842,0.0060946157558880425,0.6923301306091147,0.6105480430404301,0.7337957580257012,0.7018529753145464,0.7319330883041962,0.6994453222848759,0.014895765310690768,0.15479881685730876,0.7018529753145463,0.5812796507272726,0.5553312533304718,0.16323077840600905,0.7023761666874345,0.7300287450544456,0.646860982633789,0.5112857705504917,0.4462987791515764
dbs,TabulaMuris_Bladder_FACS,0.7140757765748991,0.0022142209922413588,0.7140757765748991,0.3788538275559109,0.7129113802671149,0.7140757765748991,0.7024433137747061,0.7200776216042283,0.7256157333359738,0.334402680218625,0.7074735813897001,0.713220309289913,0.7077116710007973,0.7140757765748991,0.012566626557337843,0.7129113802671149,0.7140757765748991,0.7125095024399234,0.7140757765748991,0.7252347643309595,0.7178346895686403,0.02966695289015006,0.7129113802671149,0.7140757765748991,0.7140757765748991,0.7181385694088541,0.2207729191265536,0.7167642598386721,0.709988386564704,0.6283153100757004,0.6889841409296111,0.7240840140808062
dbs,TabulaMuris_Brain_Microglia_FACS,0.292259592003721,0.00035687612375637234,0.16781613853162702,0.1787392321690997,0.004496238870976219,0.16659082471614445,0.124530291895503,0.21419762061239805,0.12570407992373053,0.05777126235777723,0.00035687612375637234,0.20985275222788424,0.002753926332924741,0.206577505100143,0.00035687612375637234,0.16501988575794665,0.16594071209677813,0.4494393246874453,0.16659082471614445,0.24749398334624895,0.5192936502748174,0.013860723792693062,0.16569384103481355,0.16659082471614445,0.17539486104660726,0.010238865888449638,0.2734160855030859,0.16256155473215506,0.1025905808560836,0.22124982110968885,0.10769295896242743,0.11340253390971633
dbs,TabulaMuris_Brain_Neurons_FACS,0.4525312247389097,0.0003283431997595317,0.5311308664115384,0.20443863683606467,0.0055593860838563935,0.5333298015281355,0.3715866378062364,0.5198016495808991,0.5676303393090014,0.1771294079684536,0.0032608430208228762,0.6675678750613032,0.21397624539367824,0.6266350380109701,0.0024525969364517664,0.7283443415066049,0.5341411530173686,0.3807525284074072,0.5333298015281356,0.7155389799823402,0.3350715237779635,0.012845867446670923,0.6235687407412213,0.5329461354650188,0.29098927930983537,0.46501457136555796,0.13384513974087314,0.5355265910087934,0.5284549449524372,0.6843181505464395,0.5123960356027716,0.5489045723589546
dbs,TabulaMuris_Colon_FACS,0.0835708261688418,0.003411442760592593,0.08597446877633427,0.08455821561865577,0.008526157679140554,0.1064396741173073,0.08483265551545516,0.3743846696681462,0.08383306664918087,0.05770937790170465,0.003499389620868893,0.21117624609697005,0.08175782499853651,0.0017502039897472367,0.0008765515305387674,0.08670615525029254,0.12770608273978112,0.050442877240224435,0.10711219726205716,0.3954942781514844,0.0726433754267074,0.011687503363422835,0.08609785288253409,0.1064396741173073,0.08567645788971079,0.3164081219787149,0.14185366247848555,0.1066049558930416,0.17808053742885366,0.3639184366078717,0.34909547323919177,0.2463235076463051
dbs,TabulaMuris_Fat_FACS,0.16803475709658375,0.0006267724104368015,0.690107858174486,0.1501130772174857,0.0669716686926452,0.14251382287492118,0.41294639081080187,0.7749170099524558,0.5050458271630096,0.13257097595550713,0.0011268024692873886,0.5947423056636492,0.20914861795438747,0.63596711725315,0.0004342194960294433,0.6811062761837869,0.4739928526467741,0.2780665615629509,0.14254357162060327,0.7003111754619556,0.4794971450976913,0.012408119368516777,0.6799977296105304,0.14261983600758024,0.1361178951430197,0.38652172027344295,0.15573253668138148,0.44688505281002894,0.4670695909847653,0.6770347657783152,0.5552308131847803,0.5100106688996745
dbs,TabulaMuris_Heart_10X,0.6382463184534001,0.3520312960196739,0.19962529944521795,0.19962529944521795,0.15368768426508153,0.19962529944521795,0.34588702512630776,0.858439009493634,0.5852701412911298,0.18568880811296026,0.004132508588896106,0.4152441536155704,0.6723596451429431,0.7319610406313612,0.00682967524311231,0.19962529944521795,0.1879078110313155,0.6618926733757318,0.19962529944521795,0.7352230397095555,0.2125353283228221,0.05702439992302916,0.1894947620754905,0.19962529944521795,0.19962529944521795,0.5588733618325922,0.16375495834659304,0.1894947620754905,0.8534193487474845,0.7345273352540085,0.7575842134188586,0.52706213138336
dbs,TabulaMuris_Heart_FACS,0.3206622957131021,0.0005466854372703674,0.3477842636759498,0.36260918064143016,0.09819557749855876,0.34244558076154025,0.3601198576058103,0.4533259976531444,0.4480427890864405,0.2526371796441845,0.0004873525028657093,0.5870341481660785,0.0013806772080979775,0.7100806898973819,0.0013385554692706824,0.6696839602770929,0.5861904009577605,0.6030135148412866,0.3424455807615401,0.6893981389697407,0.3683616354253356,0.001940824906668825,0.5962936736288471,0.3424455807615401,0.6873890161626454,0.4880241930713599,0.04269245095357749,0.560333960265425,0.3570604326970292,0.6614706052169893,0.6168564591598538,0.6405727618433086
dbs,TabulaMuris_Kidney_10X,0.4923802246820339,0.009640535363408672,0.5199132682896888,0.17117821217674858,0.007383368919838369,0.35850957587690224,0.24706395307124665,0.6046853474216374,0.5096287053420391,0.007816623169134548,0.003169237227042491,0.5929466603520971,0.14234810708353868,0.4641393983462257,0.00023387989709810824,0.5101999653084703,0.1958632296100717,0.3560352260517148,0.35859876094642457,0.5083761430528094,0.456018226878836,0.027381473666762936,0.4661821020561544,0.5039895536348611,0.3612870967899106,0.5029875233847315,0.16423156896133434,0.3639642477141791,0.4700102184600479,0.5243769115037447,0.4325925275656701,0.5146701736602489
dbs,TabulaMuris_Kidney_FACS,0.2836828334997334,0.005153199380742205,0.011863475849620218,0.3260988757208483,0.1071963166771854,0.3141684532878326,0.33695182454079964,0.5724467367777435,0.534022182667372,0.5301232850031409,0.017046877788977274,0.4578213878598653,0.32591507438532663,0.5071073918817609,0.00613558387433603,0.02539794150332717,0.30994689847744256,0.3907372200326976,0.3141684532878326,0.3336849937113697,0.41521216138809625,0.03194573130411374,0.5612841540578121,0.3141684532878326,0.5495265502533419,0.3096956547045944,0.2922082022246881,0.3141684532878326,0.4350673090296415,0.4784614569254978,0.3296394883673705,0.5482391641439304
