dataset,count_type,method,dimensions,seconds,memory
TabulaMuris_Heart_10X,counts,zifa,8,3580.7111670970917,2906784
TabulaMuris_Heart_10X,counts,zifa,2,3088.7505357265472,1555788
TabulaMuris_Heart_10X,counts,zifa,4,3515.232052087784,1944228
TabulaMuris_Heart_10X,counts,zifa,16,4279.020163059235,5299468
TabulaMuris_Heart_10X,counts,zifa,32,5724.387969493866,10084140
TabulaMuris_Heart_10X,counts,zifa,48,7647.2985508441925,14837652
TabulaMuris_Heart_10X,counts,zifa,96,25386.026038646698,29137624
TabulaMuris_Heart_10X,counts,vasc,8,473.9881319999695,1822716
TabulaMuris_Heart_10X,counts,vasc,2,467.37737011909485,1813748
TabulaMuris_Heart_10X,counts,vasc,4,466.82257890701294,1815248
TabulaMuris_Heart_10X,counts,vasc,16,474.3280420303345,1839512
TabulaMuris_Heart_10X,counts,vasc,32,479.59148955345154,1860732
TabulaMuris_Heart_10X,counts,vasc,48,469.4352295398712,1886000
TabulaMuris_Heart_10X,counts,vasc,96,475.9346139431,1994164
TabulaMuris_Heart_10X,counts,sepnmf,8,,479120
TabulaMuris_Heart_10X,counts,sepnmf,2,,479016
TabulaMuris_Heart_10X,counts,sepnmf,4,,479280
TabulaMuris_Heart_10X,counts,sepnmf,16,,479000
TabulaMuris_Heart_10X,counts,sepnmf,32,,479136
TabulaMuris_Heart_10X,counts,sepnmf,48,,479024
TabulaMuris_Heart_10X,counts,sepnmf,96,,479276
TabulaMuris_Heart_10X,counts,lle,8,5.21683669090271,879560
TabulaMuris_Heart_10X,counts,lle,2,5.26265287399292,879464
TabulaMuris_Heart_10X,counts,lle,4,5.342714548110962,879456
TabulaMuris_Heart_10X,counts,lle,16,5.3739354610443115,881596
TabulaMuris_Heart_10X,counts,lle,32,5.3702685832977295,879460
TabulaMuris_Heart_10X,counts,lle,48,5.289599180221558,879548
TabulaMuris_Heart_10X,counts,lle,96,5.286069631576538,881588
TabulaMuris_Heart_10X,counts,kpca-cos,8,0.8853509426116943,883152
TabulaMuris_Heart_10X,counts,kpca-cos,2,0.985156774520874,884872
TabulaMuris_Heart_10X,counts,kpca-cos,4,0.9834411144256592,888828
TabulaMuris_Heart_10X,counts,kpca-cos,16,1.202953577041626,873040
TabulaMuris_Heart_10X,counts,kpca-cos,32,0.9316251277923584,884376
TabulaMuris_Heart_10X,counts,kpca-cos,48,0.9234716892242432,888916
