,metric,eps,minpts,nclust,percnoise,time,ari,nnari,nmi,nnnmi,ss,nnss,vrc,nnvrc,dbs,nndbs,dataset,method,count_type,dimensions,loss_criteria
323,euclidean,0.6383895862569311,10,4,0.026752836852784248,0.6320722103118896,0.9735871637556788,0.9906302814617312,0.9143264047594812,0.9762643258730368,0.41579235,0.43825468,2454.7663640183505,3888.15364349527,1.819069895419948,0.8228969303625373,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,8,ari
980,euclidean,0.17435617838543932,14,5,0.08123543999398812,0.3003215789794922,0.9265119170192544,0.9966007864766652,0.8273090522668964,0.9863703902690422,0.32223046,0.39466232,4694.448010107185,6318.699972324419,1.6441474729580985,0.6306419560199702,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,4,nnari
323,euclidean,0.6383895862569311,10,4,0.026752836852784248,0.6320722103118896,0.9735871637556788,0.9906302814617312,0.9143264047594812,0.9762643258730368,0.41579235,0.43825468,2454.7663640183505,3888.15364349527,1.819069895419948,0.8228969303625373,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,8,nmi
980,euclidean,0.17435617838543932,14,5,0.08123543999398812,0.3003215789794922,0.9265119170192544,0.9966007864766652,0.8273090522668964,0.9863703902690422,0.32223046,0.39466232,4694.448010107185,6318.699972324419,1.6441474729580985,0.6306419560199702,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,4,nnnmi
133,euclidean,6.255734053294967,9,1,0.0003005936725031938,6.493089437484741,0.0030036414990359892,0.0020505904865761844,0.0034938033700004424,0.002551533234467477,0.7876365,0.81001556,344.09114314009736,596.8588486557243,1.4534070737198403,0.30315465751018306,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,16,ss
1257,euclidean,0.005893961554577439,13,1,0.9974449537837228,0.0426487922668457,-0.0037508929279698937,0.0,0.0018452342253783328,1.335196520697126e-15,-0.46377784,0.9861781999999999,5.5936138688532875,68860.87536039122,2.0069540291601977,0.01830450132973241,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,2,nnss
97,euclidean,0.6086964959457279,449,4,0.03982866160667318,0.7789373397827148,0.5826621129642168,0.5806822935133087,0.7178920633835253,0.7665596767642279,0.7170593000000001,0.7825128,32998.32905631554,50383.26785384637,0.7314865950228199,0.3029915045771397,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,4,vrc
1380,euclidean,0.06662751574533053,147,3,0.5447508829939129,0.11029553413391112,-0.014295438498320675,0.35667623083274896,0.2934201509678063,0.6233627381970409,0.040433752999999996,0.6582525,1369.4788676215308,116396.30838776828,1.3573118323407052,0.39183143167905854,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,2,nnvrc
461,euclidean,2.7047296797304314,14,1,0.001502968362515969,2.249361753463745,0.009384283152327092,0.0053035003751666756,0.021957175735530368,0.01694822852418746,0.7075384,0.85430306,944.1739527823078,1521.7333586210748,0.4594900573069523,0.16355753308531698,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,8,dbs
1257,euclidean,0.005893961554577439,13,1,0.9974449537837228,0.0426487922668457,-0.0037508929279698937,0.0,0.0018452342253783328,1.335196520697126e-15,-0.46377784,0.9861781999999999,5.5936138688532875,68860.87536039122,2.0069540291601977,0.01830450132973241,Linnarsson_cortex1_SingCellExp_sparseM,fa,counts,2,nndbs
279,euclidean,0.007897990343585563,116,3,0.11257233035244607,1.5468227863311768,0.8284913850727686,0.9210670052992214,0.7354132349027616,0.8834160780259869,0.40431923,0.49174670000000004,1649.5510624907788,4391.997642538542,2.1491543781752607,0.8640591212635732,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,8,ari
3,euclidean,0.015620979560822878,11,5,0.6815210039828662,6.903303146362305,-0.045236213762934935,0.9917934631418436,0.2120068780974618,0.9516306349715772,-0.107994646,0.25790593,69.86770283951812,139.60851597123238,2.788026610998984,1.3038292092581092,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,32,nnari
279,euclidean,0.007897990343585563,116,3,0.11257233035244607,1.5468227863311768,0.8284913850727686,0.9210670052992214,0.7354132349027616,0.8834160780259869,0.40431923,0.49174670000000004,1649.5510624907788,4391.997642538542,2.1491543781752607,0.8640591212635732,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,8,nmi
78,euclidean,0.01857152420227532,35,2,0.6011121965882619,7.126243829727173,0.054171766324196416,0.985220831448678,0.27220835818200545,0.9639635719035988,-0.030414507,0.27889949999999997,191.4346964167244,503.8427183670957,3.5900392469006563,1.1294317722119744,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,32,nnnmi
113,euclidean,0.025458222422397318,5,1,0.0,1.2857933044433594,0.009255069644917544,0.009255069644917544,0.01939355065007904,0.01939355065007904,0.95785093,0.95785093,10938.778952170509,10938.778982352846,0.3409341725597103,0.3409341725597103,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,2,ss
140,euclidean,0.006074400188221136,6,1,0.001878710453144961,1.2494621276855469,0.00961712594517069,0.0041955145206266035,0.02129044598009003,0.013614224769734038,0.94176984,0.968694,5936.25303453243,8416.250390217321,0.4696254614713277,0.06324549113638422,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,2,nnss
113,euclidean,0.025458222422397318,5,1,0.0,1.2857933044433594,0.009255069644917544,0.009255069644917544,0.01939355065007904,0.01939355065007904,0.95785093,0.95785093,10938.778952170509,10938.778982352846,0.3409341725597103,0.3409341725597103,Linnarsson_cortex1_SingCellExp_sparseM,fica,counts,2,vrc
