"dataset","protocol","species","tissue.type","n_samples","n_genes","n_classes","max_class_perc","min_class_perc","measure","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","psmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac","zifa"
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"vrc",0.745823165110485,0.500741993346848,0.615848957482515,0.521067634847124,0.562915870255583,0.604784880492928,0.644156411179381,0.699010765518827,0.76911607323168,0.0769674773523317,0,1,0.647470669713697,0.535112736902192,0.483545838625785,0.620745094536464,0.643560075995979,0.845776500519939,0.604784880492928,0.56238196686613,0.786019683411226,0.523896863961883,-1.16788687246332,0.647780707536258,0.604784691783407,0.592594487557884,0.863797868780042,0.53083585871544,0.595762276784236,0.734695174551376,0.342973724512016,0.224026497123983,0.324583934334048
"baron-mouse","inDrop","mouse","pancreas",1886,14878,13,0.4740191,0.003181336,"ss_cos",0.704274084049852,0.837487009464932,0.445319262929658,0.896055826114528,0.751632352906865,0.67262866784987,0.747094866302635,0.746828762183596,0.908121627879361,0,0.283680149971222,1,0.820289622467391,0.449777605969181,0.655869216763602,0.948767282185428,0.619926691814959,0.973668708844886,0.672476717117568,0.436040051432879,0.808473064602147,0.600297565067492,-0.0963859327563364,0.7913914396503,0.677396131285728,0.757085903247882,0.384097190507832,0.783756817920313,0.926238443289676,0.678240014126727,0.345284547823773,0.417119127581268,0.563842823459258
"campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,"ss_cos",0.768993459419848,0.997265225102302,0.985598287183996,0.662905634610354,0.918233741953313,0.498722028525692,0.641262329607806,0.269863465294253,0.686856949490997,0.178272307451898,0.725500707442419,1,0.724565425655063,0.723964625957733,0.478427489273485,0.868984690039832,0.611547346366434,0.697467270881359,0.498270500619783,0,0.717322056256603,0.415678139236708,0.662062563703441,0.890677991135715,0.787345421990164,0.707074700379683,NA,0.557729106632395,0.6277602822917,0.195123338506995,0.774657594506846,0.245641247679618,-0.115212085425293
"campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,"ss_cor",0.786445161639621,0.991330838848775,0.977104567133548,0.656067230353425,0.897017453669601,0.511466195075727,0.636978539627069,0.266895216276974,0.690402845715892,0.175562483602226,0.719890546462217,1,0.71897621446896,0.726202081068821,0.418482643454175,0.907319684576507,0.590963842274529,0.707147694881855,0.505416992638765,0,0.709819670059882,0.557807046804942,0.654112142370735,0.899004770873101,0.777504500547386,0.702480454202545,NA,0.769269608096639,0.626710850219265,0.203586019825602,0.769269608096639,0.255756905215483,-0.0377411067561621
"campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,"ss_euc",0.47255607616568,0.89251567299468,1,0.699354223486988,0.864780868564174,0.419460729200849,0.54014165855268,0.299668447260879,0.687318697673751,0.0737768859863828,0.44781801000217,0.864685003380081,0.618002506818439,0.735042581843677,0.593880608737284,0.841858596074086,0.429638053432172,0.540393434215741,0.408602059607767,0,0.660232571066868,0.455965887185998,0.619940732930593,0.888708895260535,0.81272850869407,0.583694437122431,NA,0.695610033729081,0.40218494868912,0.343378646138729,0.780724359353678,0.131660973427366,-0.207169034516272
"campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,"ss_seu",0.701279710372041,0.747489018089422,0.908442923833801,0.582536669417982,0.718676775333723,1,0.543368404694097,0,0.864802616739542,0.59757251680508,0.811021090057477,0.561755952443176,0.398140484609188,0.627822407941421,0.413606401353885,0.781885983157492,0.32593827631201,0.403957743562901,0.973206740701358,0.552430345492352,0.505530614263857,0.0399986744642147,0.4683885208578,0.760481476923749,0.779569138836401,0.49256931367763,NA,0.576031041158717,0.964841960644274,0.367283783922906,0.70055393703526,0.527367517738266,-0.275558941631055
"campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,"vrc",0.405860128258386,0.332283228257592,0.34486170315771,0.228114278942122,0.384261666915234,0.259244573217105,0.284245440607585,0.396174034566478,0.308607454701944,0.15671436292652,0.178598705787091,0.47571515427019,0.389296912509441,0,0.369960963548658,0.350857555173497,0.321100848185527,0.31634405301004,0.259244575331587,0.208320551577935,0.325534075286743,0.260733295896189,-0.314784054599722,0.421934742576309,0.259243341321247,0.313359919818011,NA,0.310874110153469,0.259471115779503,0.440480050752788,1,0.16115164141894,0.192200328455424
"campbell","Drop-seq","mouse","brain",21086,26774,35,0.3797306,0.001422745,"dbs",0.570716000937368,0.919107579345361,1,0.373843521212196,0.914281165304329,0.559371860121387,0.322159816636088,0.240185967742573,0.618590551437903,0.542224065747541,0.541506808104459,0.846360489040893,0.438076757801727,0,0.340418660041965,0.670855395956437,0.37885120663086,0.286106782882156,0.541014196670723,0.193390389917613,0.424948194736467,0.301608001179263,-0.0237804714262745,0.716901649245326,0.703549685472585,0.612929777761053,NA,0.289398011102554,0.527093106087599,0.222809794801568,0.0359220280657718,0.153738312744274,0.0624394123145877
"chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,"ss_euc",0.36991168371738,0.839659560213543,0.469156519436136,0.121888900272384,0.611266375685884,0.461639657496384,0.536345128050758,0.963740878551688,0.539578022501005,0.285604821697871,0.226217694386638,0.795551205708142,0.380748823966603,0,0.758072471991736,0.664316168986365,0.379947301633295,0.736801316608146,0.461339394962463,0.774175831042907,0.621321912434918,0.702228348022839,-0.187401459333061,0.60700604767841,0.553562934509097,0.429752832976083,0.36850947186766,0.106492413124081,0.459677313258987,1,0.497336282608815,0.778029395510899,0.716967729516964
"chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,"ss_cos",0.814600949138426,0.876860338677973,0.684918181585449,0.519109188662852,0.878925584847882,0.729079016173835,0.807588371772495,0.801930537338004,0.775295131826139,0.437073914004292,0.474998373615334,1,0.585491274830983,0,0.88504860453991,0.972368030976982,0.623172409482291,0.866444510061287,0.729024199272207,0.828853096638609,0.815841137444359,0.807155498150666,-0.148218314448532,0.846948970711698,0.781548861961527,0.613686757369767,0.57287952487574,0.529020394894575,0.819221495407369,0.907111931236395,0.618665200861306,0.763912952488676,0.84266224667477
"chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,"vrc",0.594584032112653,0.880638200892494,0.315218343386781,0.108263203374161,0.510274067818215,0.222241535527505,0.591436615311867,0.75544062712319,0.797023241256603,0,0.16467494903364,0.928544536402141,0.832495960986872,0.375189136503436,0.619408988920483,0.584063983782001,0.366125853145892,0.790419930725641,0.222241535647373,0.735546959636417,0.935355422585155,0.816670013764911,-1.27294963487891,0.580265530970416,0.222241418052913,0.592758199860504,0.703647648199642,0.413005718773653,0.223718199271822,0.810140934461619,1,0.701376518724084,0.84688341627166
"chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,"dbs",0.738551202524846,1,0.864077947653527,0.627296994945155,0.532369858229448,0.8045129272272,0.733007976518346,0.39129997241097,0.854686435539771,0.60553288595999,0.409720146662968,0.69816636325147,0.732982977839863,-0.0211618802290887,0.768190021778183,0.834401501501229,0.383980664153315,0.546567495818739,0.806730308036151,0.65761606500687,0.691938083270654,0.481700412336507,0,0.769758512605416,0.805002541286495,0.830400367322364,0.718642560882308,0.611430060052317,0.80378391946102,0.79115017858073,0.0779619639400237,0.0963945597011485,0.291150697139794
"chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,"ss_seu",0.57813649883032,0.857671147406058,0.481889021141754,0.109432603579714,0.645204079996604,0.489062797293927,0.551928684154374,1,0.523719802404325,0.486133917744178,0.241039131194327,0.82001289162528,0.433476819351186,0,0.777760536284139,0.633851987520199,0.301221195786482,0.550517550841094,0.489062959368344,0.715264237397564,0.586134912468402,0.636761376522413,-0.147520107767708,0.611798766273175,0.475142311939778,0.464136305392449,0.392823932653963,0.0218614690031123,0.547551840154944,0.980388973350755,0.528149651299987,0.67911536783181,0.740791514382773
"chen","Drop-seq","mouse","brain",14437,23284,47,0.2452726,0.0009004641,"ss_cor",0.817301884833977,0.876620758853355,0.724187376030862,0.528557575212802,0.853075448773735,0.735242490379388,0.808970069067073,0.754728009852686,0.780976131056295,0.447212501646362,0.482574290144054,1,0.528201670636252,0,0.871275713206417,0.98579574114737,0.658949217523426,0.8652768756796,0.737119546221911,0.836876510168543,0.816664357128579,0.84921271591805,-0.128159930308807,0.824309427397731,0.774764785641805,0.625094113217447,0.586227421323742,0.538597765253691,0.821026970314996,0.905509981117236,0.647782339025669,0.77518554794924,0.865117961668022
"darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,"ss_euc",0.0909680623214503,0.482353142828202,0.572523796542025,0,0.696747257242315,0.488115532252945,0.000586050289822771,0.732080500177698,0.662636004124316,0.112843846836033,0.498788860255522,0.811348679039594,0.318001860685341,0.504736509662066,0.329244748615557,0.765231298037624,0.332912010535007,0.258899927444497,0.488060678420229,0.70136130847884,0.389985028610009,0.383485248577489,-0.130542462571435,0.635277664560705,0.572829617113196,0.385253533911131,0.380028905917099,0.0549608452068614,0.475915990439064,0.32761764632745,0.470604957204726,1,0.625576728131843
"darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,"ss_cor",0.418946322242192,0.679071990524857,0.596493651803189,0,0.95522270918388,0.571838617144233,0.0158917867209489,0.735386536410008,0.800515782058456,0.235372655610881,0.561322108652649,0.803909534685309,0.187071388373047,0.784471393223158,0.325231237845811,1,0.5857383121887,0.33956969961289,0.507362617262019,0.888787396047092,0.566186164485259,0.901505662169941,-0.0327694632201517,0.931481271039936,0.704603833057976,0.39529366986112,0.350658022493632,0.193354073858874,0.840305591518241,0.248982396436394,0.553106379625095,0.932373907034527,0.821317936168008
"darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,"ss_cos",0.426753839532756,0.689652705472552,0.658166368836077,0,0.960296746190134,0.589567929844253,0.0159527400518235,0.833470364840276,0.848778631300494,0.173770948832624,0.586736814818394,0.846149455639812,0.236905346101353,0.788015362601436,0.32959716634807,1,0.583201554623339,0.369744561971459,0.589430917912191,0.820405856869944,0.575849853303273,0.861406044414431,-0.0966840682708913,0.956491536153045,0.703912773762998,0.463500876476304,0.415665030409712,0.196239989953388,0.943696280669615,0.248691877385794,0.528817066725971,0.932142941271151,0.771181448274626
"darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,"dbs",0.321012246373075,0.532083244005865,0.623101094407303,0,0.670236403152168,0.569225578464985,0.212663215792012,0.81072806079359,0.802259497524939,0.424712457971743,0.492831231719988,1,0.298136497136189,0.683697061882527,0.398652723010478,0.617145211746345,0.362239764918867,0.270006623024214,0.569194762286951,0.903048502051576,0.468166736921672,0.497721671707559,-0.0636738171559979,0.537248662703707,0.646864949130449,0.453923621423251,0.399601442701832,0.0836572329918247,0.555335389450088,0.30165403057492,0.804769014191603,0.557478872596521,0.625965792656671
"darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,"ss_seu",0.695822187164408,0.489303692005695,0.581194722894442,0,0.675762404582989,0.581194720777587,0.0356083128549784,0.741192389363811,0.623854238059394,0.215149052476283,0.575249913218717,0.830929591697069,0.107619034461876,0.493394721703607,0.393426877640469,0.74833227919092,0.341717438380569,0.133920327568955,0.581041478379022,0.64969305027375,0.357703688599735,0.293644296215339,-0.118468515049206,0.609730916220944,0.582843492183347,0.446350159371511,0.376171356617638,0.00426307791172622,0.568856297160894,0.345997466042133,0.478405303891588,1,0.612988000172174
"darmanis","SMARTer","human","brain",466,22088,9,0.2811159,0.03433476,"vrc",0.640166265659842,0.369909876930045,0.538519842587463,0,0.769253627073835,0.445693733357666,0.272965899617899,0.834834794670878,0.773806747482229,0.295431978665212,0.418540064512828,0.961388556979264,0.470689846726377,0.551420576212706,0.525910242211297,0.801066119748746,0.550186246055772,0.299113610719363,0.445693721086985,1,0.549929858899104,0.32389187558687,-0.299300540127966,0.761235929224422,0.485560887240585,0.462838303784343,0.602122061236135,0.156707791371788,0.471800152456345,0.490057419431509,0.614023947989769,0.867201178320058,0.553517330314138
"deng-reads","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,"vrc",0.207494841585235,0.207582179627735,0.183951636120994,0,0.190589674457943,0.19854594355813,0.0816331604420822,0.247411522482004,0.193407377829393,0.105921318203642,0.167111419103369,0.238926429474958,0.187234158247699,0.204089437997258,0.191944633716035,0.21848979522775,0.132933055926326,0.124449552317412,0.19854594355813,0.273427188915699,0.236167874723908,0.206747501986237,-0.165841785539938,0.220289290974732,0.195415587293463,0.126696985394395,0.255044701655158,0.0373986111841159,0.111160741914445,0.250027754597754,0.109510317708451,1,0.185014567298653
"deng-reads","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,"ss_euc",0.671124640063313,0.826245338856158,0.797749698513351,0,0.545827235525526,0.803616603510036,0.1403251291369,0.906768659386988,0.817295524246317,0.336574835876288,0.631735215552137,0.861448822968162,0.842332615116262,0.382918714102024,0.736690133538544,0.769026277767512,0.309149189031582,0.18473496610825,0.803616603510036,1,0.603712558096984,0.672688062669282,-0.478373861704239,0.639865507616407,0.801150618174826,0.313643724707907,0.879871323852817,0.105603129736212,0.454359861654217,0.920454484288792,0.480464016982345,0.534297355181562,0.811102754048803
"deng-reads","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,"dbs",0.717824656295179,1,0.93437115042122,0,0.67631344004636,0.978964606914267,0.173227072046126,0.683355360897651,0.797299382788129,0.579718768611593,0.624559310506318,0.730196755844625,0.279690110834012,0.634528697975532,0.53649434247596,0.597552216696362,0.36731370509294,0.119433427176904,0.978964606914267,0.472533854476272,0.407977011866288,0.66166328133145,-0.0824430283177605,0.691986454471034,0.932890002503907,0.702211558397572,0.603687604918011,0.120326180820884,0.588313942700323,0.654681055635592,0.695914259494141,0.499984228090664,0.867396203715204
"deng-reads","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,"ss_seu",0.68742364350939,0.810686088564827,0.788525971522173,0.137840010784658,0.517391156828234,0.788525974850344,0,0.87373251721029,0.79882930487052,0.42354768314907,0.685531859930667,0.867767175714245,1,0.456616078373539,0.726138776997683,0.772856371814959,0.404065115703925,0.268525734111109,0.788525974808902,0.921866560249203,0.637667725313364,0.672718785162062,-0.203924596426948,0.672840531571199,0.797043957880369,0.428255604069566,0.85237011119964,0.178391193679057,0.355031292236299,0.866799431165711,0.475876618294367,0.465800848696726,0.797847689876641
"deng-reads","Smart-Seq2","mouse","embryo",268,22431,6,0.4962687,0.04477612,"ss_cor",0.874079021841039,0.809231336969172,0.184951541537292,0,0.602230930839512,0.384753650402889,0.315258198842604,0.959019422152555,0.716274198798186,0.431663739216633,0.286231815398108,0.785490753374129,0.676095147261514,0.462237483153627,0.89115701380122,0.888214411963964,0.314430315275835,0.102547118607851,0.604748963312049,0.954394163283312,0.383841409494705,0.861723378454837,-0.836488542170133,0.892098474418715,0.322603984169966,0.245665108106686,0.0295444926543664,0.0174704322117929,0.604075389214292,1,0.198152318554453,0.478271965575664,0.955800600010302
