"","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","psmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac"
"lle",1,0.149516460745766,1,0.00680446489845661,0.00779237402287043,1,1,0.171080479535781,0.117861421249657,1,1,3.29729405418466e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lsnmf",1,1,1,8.1230866477291e-05,0.303841813173657,1,1,1,1,1,1,0.000418203259066552,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mctsne",1,0.0996142538917856,1,0.0108403284653457,0.00485707818014329,1,1,0.115812599688264,0.0782762026177341,1,1,1.82918831022476e-06,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nmf",0.61926968325675,1,1,9.61108764316244e-15,1,0.170045904216144,4.23607375109508e-07,1,1,9.99814607198447e-07,0.00379648120715639,1,0.000393987761151412,0.0257660855069819,0.000232732160550655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nmf2",0.599540077415151,0.00140741774385201,0.160441722737803,0.502919890611904,3.79894064743788e-05,1,1,0.00168474631591128,0.00104756326370115,1,1,5.1819781176228e-09,1,1,1,1.12659395307403e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nsnmf",1,1,1,0.000182803234701231,0.171080479535781,1,1,1,1,1,1,0.000191022789849727,1,1,1,0.0133300365011808,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pca",1,1,1,6.957856484627e-07,1,1,0.313165228447517,1,1,0.521157810773199,1,0.022478606077035,1,1,1,0.662958367999867,0.558549585455488,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phate",1,1,1,2.32587484247390e-11,1,1,0.000232732160550655,1,1,0.000489107666923594,0.408954181647664,1,0.06977191274338,1,0.0457396235739461,1,0.000543325901280735,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pmf",1,1,1,1.10347870497988e-06,1,1,0.41675232694403,1,1,0.680826468903452,1,0.0159130799363457,1,1,1,0.508671885169618,0.72054555440263,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"psmf",1,1,1,2.67239993874265e-09,1,1,0.00779237402287043,1,1,0.0150525786682613,1,0.704170342743805,0.956954090413148,1,0.684380818977618,1,0.0164684016715095,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"saucie",7.17499576058907e-34,2.79427185856202e-38,5.34834887957359e-35,3.74095264485798e-16,2.27926816755122e-40,9.33277658534234e-33,1.34400924419544e-24,3.60626102285888e-38,1.84457529839429e-38,4.60199098268847e-25,5.71124926609496e-30,1.00685553322867e-44,1.65689017040753e-28,2.62371172767782e-31,3.48923797065219e-28,3.45636160472496e-42,3.95597134331582e-25,7.85191453400387e-31,6.22072000561315e-34,7.41933869667122e-39,1.09005991585661e-33,1.10222308018764e-36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snmf",1,1,1,1.48545783141629e-12,1,1,2.6881100806915e-05,1,1,5.90850099775154e-05,0.0879107801650513,1,0.0125150700935855,0.441203765426622,0.00781889393608553,1,6.60547639159952e-05,0.254614981443745,1,1,1,1,4.61891178381304e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spca",1,1,1,2.15275253067364e-08,1,1,0.0330481091343715,1,1,0.0612543688747017,1,0.223596549478053,1,1,1,1,0.0665813945680621,1,1,1,1,1,1.11600368500192e-35,1,NA,NA,NA,NA,NA,NA,NA,NA
"spca.batch",1,1,1,4.03153265428205e-05,0.486665717184608,1,1,1,1,1,1,0.000802288507303684,1,1,1,0.0450757158798082,1,1,1,1,1,1,1.01933302520754e-31,0.681767114032737,1,NA,NA,NA,NA,NA,NA,NA
"spectral",1,0.0634677744362725,1,0.0179220854251596,0.00284785472574546,1,1,0.0733496529490096,0.0494095699430505,1,1,9.42405266951977e-07,1,1,1,0.000128054747261347,1,1,1,0.0281622011851393,1,0.473721582700002,7.98909283615768e-28,0.0046428155393692,1,1,NA,NA,NA,NA,NA,NA
"srp",5.90510547545234e-05,1.19280261168258e-08,7.79412974491115e-06,1,1.28023081234148e-10,0.000391976686287815,1,1.50518408668579e-08,8.15085148316607e-09,1,0.0257660855069819,4.30930653746236e-15,0.169551188086312,0.00379648120715639,0.250348122012564,1.97125363933997e-12,1,0.00769371700467294,5.29583053289164e-05,3.52953465355513e-09,8.08462493185473e-05,3.12691551115914e-07,1.50072431538588e-18,2.54027750134405e-10,2.17336671047664e-06,0.00202398926137852,0.378665220184577,NA,NA,NA,NA,NA
"tsvd",1,1,1,5.55572894550666e-09,1,1,0.0131397409143455,1,1,0.0247459728380803,1,0.486665717184608,1,1,0.995168045706058,1,0.0269416353734989,1,1,1,1,1,2.46765041907503e-36,1,1,1,0.686185053371439,6.21941617746667e-07,NA,NA,NA,NA
"umap",1,0.337700052074433,1,0.00243511317132222,0.0206515358085626,1,1,0.386490158310792,0.270960839536796,1,1,1.1442542370734e-05,1,1,1,0.00116301583809044,1,1,1,0.165044070514573,1,1,3.38516579593654e-29,0.0320180332408871,1,1,1,0.0717943964359537,1,NA,NA,NA
"vasc",1,1,1,8.00054668678085e-06,1,1,1,1,1,1,1,0.00329868495892253,1,1,1,0.145380628792163,1,1,1,1,1,1,1.26707274486348e-32,1,1,1,1,0.000483958945278735,1,1,NA,NA
"vpac",0.911832379768884,1,1,2.22868371016431e-14,1,0.267641281804031,8.5701399245334e-07,1,1,2.0057285576974e-06,0.00663178721235669,1,0.00071519978247854,0.0428984130970945,0.000428539824256402,1,2.25652688708592e-06,0.022478606077035,0.973519529573611,1,0.747750910263182,1,7.70906075457538e-42,1,1,0.0733496529490096,0.000238791053511072,4.45670781909432e-12,1,0.00207676700735494,0.228053538710098,NA
"zifa",1,1,1,6.11760427161319e-07,1,1,0.2889916665218,1,1,0.486665717184608,1,0.0247001090489249,1,1,1,0.705305994281057,0.520093914315436,1,1,1,1,1,5.32081693514874e-34,1,1,1,1,4.6984580829586e-05,1,1,1,1
