,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tga,tsvd,umap,vasc,vpac,zifa
vrc,TabulaMuris_Liver_FACS,0.17597363073755684,0.4218946970338153,0.6635162257718871,0.24831531010362995,0.4877749618921757,0.1864283496514176,0.19378615197154733,0.595308715414871,0.3488702804088534,0.4530657703430437,0.5657876104257002,0.6298762716989386,0.3969463673341243,0.4321160072053069,0.5352994008886927,0.04586577057157767,0.1643235298343496,0.14717135103549892,0.15477211703103125,0.16819350433449445,0.5966228214436291,0.18352831475503928,0.0090771010559938,0.18077670621300232,0.620186442765766,0.5837015772482749,0.4473682110903495,0.2135551192383422,,0.1977436159938718,0.3775849874415007,0.3770366292140368,0.2051702873097548,0.586593066629517
vrc,TabulaMuris_Lung_FACS,0.2974439051712001,0.5773801318180992,0.5931476072908018,0.1702780122347082,0.6099678031488068,0.2456551073545886,0.2018692787186651,0.5836208339884023,0.6066439955745396,0.1503853183457378,0.3655699220930217,0.5193143234661728,0.15281635428795973,0.2547581301402936,0.613201813186221,0.4751480289236308,0.3195047648050419,0.316687956850275,0.332942754474703,0.2351535408010874,0.05180236720014806,0.3393100503677551,0.009801358797189087,0.356788726441589,0.24141566080837665,0.15508180560006635,0.28790696983063546,0.19783248504987602,,0.12182172786874094,0.5051966082084182,0.3116784952462855,0.4913086708697002,0.6457860924533091
vrc,TabulaMuris_Mammary_10X,0.452972015160956,0.4158812155415729,0.5614147981252147,0.4123755912571373,0.4620160175556801,0.25429780125922674,0.2732581923523621,0.7035739848599218,0.30499940664337105,0.40733645423982745,0.26242299063645896,0.4322374822189296,0.4781919729428326,0.4968402700765371,0.4641472699697066,0.10211484149279687,0.4661173990585937,0.4500798109847327,0.4416527499644196,0.25429780125922674,0.8079162695687538,0.4966008814152541,0.001902049536902997,0.4655802131968793,0.4257165005186391,0.3512950084262316,0.6097601578445742,0.3062889125921556,,0.5159806665406244,0.8635582718349902,0.4695515910409275,0.4539799755709996,0.2786743609422399
vrc,TabulaMuris_Mammary_FACS,0.20347287058943292,0.6377321113249314,0.6650955549504994,0.14430080502191256,0.7384652600869885,0.34960724163479634,0.4218726849766653,0.6932850142801827,0.7191521515108252,0.3574952302283412,0.454074822365142,0.5183414876868343,0.4617902726403815,0.6088849516798069,0.4599408671337214,0.6372953045130897,0.4600189419799053,0.1426632888220816,0.22486303960438764,0.2044004748856852,0.7426749520383681,0.1454736299371061,0.00023304662431060342,0.4471038893089384,0.1689106290330169,0.6628014758111876,0.01966431833755098,0.1470651886370599,,0.15321574553245798,0.6247458778999943,0.47636831439699,0.4555674655925829,0.20836636274886944
vrc,TabulaMuris_Marrow_10X,0.2680218883898844,0.5419257120678552,0.2840759595384576,0.4357824769624626,0.5150890039174949,0.4155567251221599,0.4742176135379946,0.4730936182763696,0.4885438760186558,0.3281136107133712,0.2980010321437456,0.3524413780341884,0.2960655430126097,0.3018182717519345,0.00042093978707461095,0.5729388729784236,0.4385291671707803,0.21994218306436528,0.2926510282660195,0.4352120539283765,0.4464813058389691,0.3257783967728351,0.004531818433595504,0.4378650114842293,0.44238801698052055,0.4388801628737677,0.28847049852252643,0.2892771562709078,,0.4331546094001468,0.5113313651823597,0.3266970125545444,0.27735829179500404,0.2857283236434391
vrc,TabulaMuris_Marrow_FACS,0.3717344471595793,0.3730003375117844,0.3621346807573165,0.054375207136173186,0.23833284189616005,0.21691825368882925,0.24639366503433954,0.3080938932833672,0.3585708046498106,0.2647753600039119,0.5293399028965043,0.4546907951274306,0.6050660051116328,0.1401119839383323,0.3359826824981748,0.5053454534061135,0.2702409474001058,0.2683675483939686,0.29123439789432803,0.21691825368882925,0.7379022075484057,0.2590187690618168,0.0004997920277943559,0.2580862069969447,0.2214348129802803,0.3398130878795667,0.19620519958657584,0.2909236789476085,,0.07874057263290507,0.30703536107858365,0.3290621996146692,0.2489278210168865,0.3768200665882847
vrc,TabulaMuris_Muscle_10X,0.4529642604966408,0.3875434549114744,0.3834451120226835,0.3769143036377407,0.4723218312463249,0.3782522773522572,0.3422633383730989,0.4666146744351575,0.701242314273399,0.35221660479366945,0.7047394252924994,0.4579857590404201,0.4640862354860979,0.4707076034806351,0.23992365333073845,0.8456884414467172,0.3647316917406159,0.3718411277236615,0.4123337286715015,0.3782522773522572,0.8321461207513593,0.4004050170942821,0.0011780829429162555,0.4593530089193174,0.3915820213150656,0.3844128294595319,0.7774881675994558,0.5031759220538359,,0.7235781610118313,0.8747626418064348,0.4902326698802215,0.5248730829646373,0.8049060638651991
vrc,TabulaMuris_Muscle_FACS,0.3870112543038175,0.4174192271471654,0.22380871367788105,0.0571420757626522,0.3671869594702443,0.6943413952821836,0.4109137213640978,0.547027247323179,0.6886582285534883,0.05664981882253095,0.4318417298004327,0.5581834462588694,0.6896209804459178,0.5418226773722525,0.3682878843951311,0.4643360903951199,0.3600249278729564,0.36247989383278656,0.38504043860911,0.6988800586662618,0.7459186047548293,0.22126257918404346,0.0025020180865881893,0.3577055468867765,0.043836382600666315,0.3928249972510596,0.5988477559610497,0.1071723535959528,,0.6517918189526275,0.4458082111013905,0.4194013861748115,0.4319120432311752,0.3077970272547932
vrc,TabulaMuris_Pancreas_FACS,0.2829177896967409,0.5916063448688733,0.390620345495064,0.1306348529928043,0.3668318599032462,0.1899384735246968,0.18639683389142367,0.4946976958828899,0.4333189343186508,0.2984882855646935,0.21812367294176985,0.19152534940303792,0.5957382069385141,0.5243697243723873,0.4972035542631701,0.3049756260754989,0.36725953911156783,0.2889069761892243,0.3429894799493017,0.3727888878421465,0.3331487670320838,0.5548577760318643,0.0017770947015709145,0.36725953911156783,0.3545039986271176,0.3537982143812993,0.4324760544366341,0.4021378939706377,,0.4386808317407172,0.30069976444704843,0.30585561605485523,0.5419920678107343,0.3653286010280293
vrc,TabulaMuris_Skin_FACS,0.5131456622398143,0.007275211943415563,0.5141178830913627,0.033136610224818626,0.5815575946020483,0.02711854841394921,0.012264730954420738,0.5137722838444663,0.045208477436881785,0.4759420028582496,0.6292145075731332,0.5181523794469988,0.6154939377551744,0.378072783563831,0.5714493538406771,0.4809577378221709,0.5725092665174487,0.040529581906530505,0.008478782886620405,0.026721476040931936,0.5496901962655037,0.035109382985833285,0.0007545558487489146,0.5757031720822853,0.02683284442094856,0.13209099596552154,0.02529876214399393,0.05053651206013244,,0.034661571116092416,0.01659825055377674,0.5688151489600113,0.18673955985989746,0.37854203799874175
