,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
ss,TabulaMuris_Bladder_10X,0.6511840655984148,0.6697168045025385,0.6189207843326222,0.06326492362552652,0.6543606404612269,0.6397506106928835,0.6673903223951188,0.6537159723853607,0.6568677764343658,0.01068235649444096,0.0010537770390177381,0.6720252979189555,0.5762598705111085,0.00041903154453547817,0.06523906175328457,0.612778993268686,0.6169188873890924,0.5736306259961883,0.6397506106928835,0.6541721315786155,0.667854994234239,0.6581717610852519,0.002451955963291257,0.6137870270102923,0.4819218662705098,0.6388146489503096,0.27615663958115483,0.02590771832438098,0.6721158091268749,0.6723768307485585,0.1123292910695049,0.6715733214917099,0.4516839641594692
ss,TabulaMuris_Bladder_FACS,0.53495697364178,0.2293682987877364,0.14365763547162885,0.2824472148857711,0.5712581426666091,0.3158605940936289,0.3697568221737304,0.3516506132667777,0.3355808236111661,0.3127959720009571,0.0009194565474876119,0.3516506132667777,0.7350564600364162,0.0007275088571331228,0.557843199031964,0.3505426244647634,0.3505426244647634,0.3543991212123261,0.3158605940936289,0.4277607535130283,0.30308661700509953,0.5199758203951405,0.0011379091580525859,0.3427851640840412,0.3158605940936289,0.34462457532167845,0.5619275801586435,0.3473570368252363,0.3488598033409348,0.5010198616116344,0.5279908092726345,0.3506971846944036,0.2561744762254145
ss,TabulaMuris_Brain_Microglia_FACS,0.07546617012635755,0.14806768873575574,0.06591278964127782,0.0637003255475513,0.05372661228322968,0.0200451031220645,0.015275830860396624,0.17849637828200396,0.009214230307600955,0.0067790862805456676,0.0005700060460588853,0.30011322662418816,0.0322753497541943,0.00010847865651435314,0.002739118542375757,0.2687523245630459,0.1985665430584453,0.02510858583769539,0.0200451031220645,0.008768978783215713,0.010168780256545716,0.1047392644840647,3.965081735473234e-05,0.2100716036744184,0.025996587363161985,0.019757565597342718,0.004161657055223916,0.14502480760434636,0.27016682727635755,0.2784132308709976,0.0008724288992711383,0.042677228922752115,0.00479109408591076
ss,TabulaMuris_Brain_Neurons_FACS,0.3874540244410355,0.3764880555458017,0.15762492400657893,0.19465973839481607,0.3553334185907816,0.3303804494728642,0.3133769377033575,0.2624847281888861,0.2739839290818766,0.1422681098126517,0.0007501573180512078,0.3232986930152861,0.03707344107134263,0.0009142237451241207,0.26427158134471,0.2974959201667137,0.2950412140513225,0.3081701457359358,0.3303804494728642,0.2438256219062193,0.3418272338576853,0.3205991743099733,0.00048380504084256487,0.29670501665472904,0.1000748197128279,0.2680839373812686,0.10031644419510724,0.2425915800186929,0.28874671403590113,0.3685784749592984,0.3845548816428761,0.5123960356027716,0.2628289014638214
ss,TabulaMuris_Colon_FACS,0.1949025227437257,0.16716106112506002,0.03199998253678092,0.008254327763630257,0.17477243737926598,0.03319503178362477,0.02898917236671496,0.2404310102282413,0.041953514030606064,0.04290286505397226,0.00011170604167678476,0.03450807830756803,0.06826975101389927,0.0001972506726853164,0.032035502471204826,0.06476423125669628,0.005129118513560631,0.0323493845913028,0.03319503178362477,0.02256443409466476,0.03654257086660796,0.2654452548488119,0.0002237007657044687,0.04730953136584242,0.03319503178362477,0.033672231886146,0.0243448031057928,0.07476426672354229,0.07589943730826572,0.016109318705462755,0.10997556970894387,0.1430962376314471,0.1803353469793969
ss,TabulaMuris_Fat_FACS,0.3958603180300787,0.2488954241020505,0.07036115151513278,0.12758350375853295,0.3684760412112771,0.1417873618655708,0.03343013605277455,0.28023739532313297,0.16416170258849175,0.028507933971965417,0.0018082008877975727,0.4058108682998247,0.01848404672181956,0.0007350308172142097,0.3198752636147722,0.1374034164910222,0.1372904105933804,0.18728727307777315,0.1417873618655708,0.2719200972579392,0.15774813934462872,0.4044026314021503,0.0007043027021607824,0.1374593174328983,0.026149105337893167,0.04208876035328702,0.07896603860073959,0.1263254154254056,0.13871138619910736,0.18628663202022205,0.3116621425907885,0.3941430649612041,0.3059768850723421
ss,TabulaMuris_Heart_10X,0.4136798225188025,0.20156092948832627,0.2059280787983511,0.2202900124977792,0.4261516756091199,0.17482928901084485,0.4314750927741018,0.41110946660422776,0.4705512538793484,0.18296414213298065,0.006810885796890415,0.18296414213298065,0.3777471780809693,0.003588477726548493,0.4442077940909843,0.18296414213298065,0.18296414213298065,0.2518288989255298,0.17482928901084485,0.34866064542684194,0.18723064824663155,0.19517153733202147,0.002530370601198372,0.18296414213298065,0.19466037082356846,0.3926426458669222,0.3025389350434294,0.6296250831789291,0.18296414213298065,0.44555550054818416,0.5074348363159215,0.7575842134188586,0.425922009130622
ss,TabulaMuris_Heart_FACS,0.3587052067073627,0.3670931152001272,0.2505619228874922,0.08112424377543727,0.4431483685330618,0.145035315532623,0.2866247061085372,0.2493200794521301,0.2892622942819876,0.32072754820872845,0.0007575206940642066,0.3812416667662352,0.1824956019261619,0.0007407549656606612,0.2921445849787431,0.3134862470118287,0.3095891051227922,0.38059218716454346,0.145035315532623,0.3796788504078241,0.3641707975872001,0.40710262800115343,0.0006197313125207939,0.3126903483838764,0.145035315532623,0.35453726657941875,0.3842156267175682,0.30394801175429154,0.281335842868362,0.3678336504069792,0.27311997126127785,0.4159936768057287,0.3049989359862329
ss,TabulaMuris_Kidney_10X,0.5964372170097506,0.4370141348428771,0.2664139213550765,0.019106857428501624,0.3378012564404375,0.2638951221848476,0.23696616159257056,0.1959751883488932,0.20964305401389155,0.021306992424480847,0.0005619437620446164,0.2186805935864457,0.1194764509495577,0.0008279162512065593,0.2322304913671065,0.2738823529369738,0.2850690250550948,0.2579912465893467,0.2638951221848476,0.1974031940298528,0.13713351479294586,0.6133130891276455,0.0023376626484187557,0.27790719860359026,0.04244162389431977,0.04311761460887114,0.051038484015710164,0.0018445633725439007,0.12905717289676732,0.21094394563909435,0.1440954727321286,0.06847656031670461,0.5354594280862051
ss,TabulaMuris_Kidney_FACS,0.2241295165268153,0.1215469390785442,0.2158335562403373,0.04309428818831354,0.2627681117070234,0.3427873305566809,0.34551527979819674,0.1861561253606404,0.23455550920303705,0.04141138894070431,0.003041984422799941,0.3739791069656633,0.3189702512869595,0.002207373563571867,0.06731280075065654,0.2896462591642101,0.2926172337230244,0.3818829188469621,0.3427873305566809,0.04822807999741546,0.4043263531801533,0.3443578486930574,0.0009493830392321926,0.19660581330959115,0.3427873305566809,0.046753440460141016,0.0676337367762047,0.2539433919156745,0.2335436537797923,0.3175186825501153,0.21906825454594628,0.3623560677879305,0.22024001656558256
