,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
ss,TabulaMuris_Liver_10X,0.002438485368550624,0.4837475784318358,0.2940727071267361,0.08339263386139495,0.009264932143302172,0.4103186643235014,0.4697309345683817,0.002866636519376376,0.036042536974947206,0.05295662213493255,0.0011590716339151008,0.10594919111340566,0.07918323304889084,0.025379184790093164,0.006729561021700088,0.0513950040932579,0.016663917940950814,0.07509240171482415,0.41054271099815054,0.04275901293809777,0.2210576480661756,0.01241565684051577,0.003839743104079629,0.17191030383973804,0.3854518540193758,0.02000738671503037,0.0421378416272264,0.009091514267935284,0.05907187276605541,0.0603317508991085,0.19981844807666907,0.1290393981408654,0.07160246533928442
ss,TabulaMuris_Liver_FACS,0.01367396085231129,0.4158626339057737,0.672756223958371,0.15580710765285594,0.397932155538241,0.4785621030936308,0.19467613422204652,0.4287205094235621,0.5455660305263427,0.4362331983926648,0.41314425722337056,0.3944881467606467,0.42722613192990777,0.4058668489842789,0.04586577057157767,0.4058668489842789,0.4030441051587722,0.16119176274864622,0.4785621030936308,0.4847536844813929,0.4001387952626709,0.5947679321240678,0.004950671143265171,0.4058668489842789,0.6646757077557116,0.6207287278995613,0.3229311452411229,0.09087038094582292,0.2184944018181475,0.20689226901380325,0.6077449479226105,0.2066760466503157,0.6115811502820612
ss,TabulaMuris_Lung_FACS,0.2284725829520769,0.5989543969459226,0.16385737482586665,0.005631775538105992,0.5972818931961662,0.16337085703858667,0.11419418910669908,0.6624329905035884,0.6482741470488421,0.1648811925340018,0.4186493115146358,0.15220518181265655,0.05409816128281157,0.6283814422774394,0.003721565181409562,0.6311842970629926,0.6187563093957924,0.36054782800717705,0.16337085703858667,0.5472190681337779,0.32640134211682725,0.5258131753952423,0.0033307000412833663,0.1539765839433673,0.16337085703858667,0.22039666060877972,0.3640947421482376,0.24521764552649475,0.3229554854507839,0.03540982358579192,0.6605856997456797,0.4913086708697003,0.6500431936988461
ss,TabulaMuris_Mammary_10X,0.004622966034816107,0.6291385609874071,0.5464337389500742,0.0013885480962672991,0.10344845555040123,0.5464173107906564,0.5117859682759907,0.2983669797114229,0.5922955311386399,0.04620222101397179,0.4153466203633706,0.4919185839040461,0.006832793869509851,0.4963088663847415,0.002539271233795568,0.4874720227042577,0.4564501997419228,0.8041813300074871,0.5463144174240464,0.8177208383620064,0.4966008814152541,0.4635994949086713,0.0020310380919126986,0.8600174498709003,0.5409571557403212,0.5522225224309715,0.5212119992977776,0.005792508146303125,0.4639918362225355,0.8353116082769334,0.7959389475950823,0.538636113627121,0.6055116372319921
ss,TabulaMuris_Mammary_FACS,0.008053310158329881,0.4055444530674187,0.11711149825162212,0.1513647309592787,0.4995541140542814,0.11605417552941348,0.5884311542038259,0.4965526376565362,0.4881786370549139,0.1162751166252229,0.4418333612521618,0.15427798383653807,0.2012815919182679,0.4545775945027303,0.0353763291759187,0.15538797975139376,0.15647690944555767,0.3053830075976883,0.1125602881859167,0.7551142360651305,0.6469290825920799,0.4297438745084918,0.00023304662431060342,0.15212718524340954,0.11425034956963775,0.3516270236575972,0.6774140226843163,0.15092371636552576,0.15212718524340954,0.6189679909014776,0.6655304341617281,0.4604339054261574,0.5486949671024206
ss,TabulaMuris_Marrow_10X,0.01005029134140677,0.5174246644670786,0.44158653275321336,0.2751743532057364,0.07265023724333569,0.44312035495873575,0.4744322804400238,0.3777907196269267,0.4318713073228148,0.3063556409340326,0.4939228714249909,0.2865664308980957,0.4135837355823557,0.026998488647016768,0.005123147689602236,0.28316186208407096,0.44142302372474734,0.2955391020322904,0.44312035495873575,0.4413007793288847,0.32591169855441304,0.2776436342989278,0.004112993664051886,0.28316186208407096,0.44312035495873575,0.4412015461490667,0.4477933373602778,0.002464147121817018,0.4356385449263328,0.6782646953334234,0.5622612595958557,0.27735829179500404,0.4795693456471296
ss,TabulaMuris_Marrow_FACS,0.0017579339103691294,0.2269640178030531,0.09823728440621476,0.009798761534273734,0.08447831135981895,0.0989382092338865,0.3168577478951832,0.33677852341672754,0.3682562653128687,0.07670011956343535,0.3259505316170906,0.35442757149302073,0.1313574333392011,0.3412254543081918,0.4868190153016071,0.07755999625260075,0.07755999625260075,0.278440016930542,0.09764103971305553,0.7967952876971228,0.5187040247657855,0.2370564596701784,0.0008788540611309434,0.2494536157102581,0.09894699619432368,0.02377625483730526,0.44537331004133535,0.14818136715121455,0.07800954539358036,0.30814632758039234,0.6754157898229239,0.2489278210168865,0.4994307121088116
ss,TabulaMuris_Muscle_10X,0.002123455525832929,0.6729546133754644,0.4011339785158525,0.009092660653625306,0.11096389516120042,0.4001218860981517,0.5143008609988989,0.7059252819915406,0.6799076747366858,0.007290721780764463,0.7401550044352037,0.5152867476787004,0.4850626936233279,0.8844936988628548,0.7994432293329987,0.7528133883304623,0.4007850230315233,0.4369025194013807,0.4019707239314664,0.8302413293671199,0.7855068837319833,0.7042190699226325,0.0018320602881744085,0.7676077744218338,0.4021696633532657,0.5063887329959912,0.7470683507042003,0.04149351495326625,0.41489719259545865,0.8189483230320609,0.7789720840422141,0.5248730829646373,0.6543231911627563
ss,TabulaMuris_Muscle_FACS,0.381482718468586,0.7166430521161942,0.5340980682701268,0.0447373821935814,0.4027698060245059,0.08356731726642175,0.43439385372459627,0.6000874389444495,0.5990099269759724,0.05891576972293985,0.6821433152493315,0.6909367211866642,0.0876318227172637,0.5341811286326341,0.02645924237843748,0.0356128378891477,0.4784967256368665,0.3845605452480288,0.06450102759543251,0.7438059741107359,0.6249078440152621,0.3852355199660709,0.001234385275177098,0.2687719192709088,0.0640759646017317,0.15795878556322393,0.5539551695371038,0.003026312166710543,0.03594179179029053,0.3636999978488248,0.6857408774652541,0.4231439765423247,0.5646887647583935
ss,TabulaMuris_Pancreas_FACS,0.003044502488173816,0.6043179014888098,0.43546095880136143,0.19979094982753967,0.36725953911156783,0.4197132241685124,0.2760801337221171,0.5875922898023871,0.4496347585403764,0.2183530524250684,0.2260906274240729,0.36725953911156783,0.3474319504667027,0.4970340713284458,0.01393714854360948,0.36725953911156783,0.16358425112755814,0.36143270182600695,0.419920360177771,0.3659836072521391,0.36725953911156783,0.30075516854780115,0.0022082428452468825,0.36725953911156783,0.4196068491336678,0.14960736932888147,0.44130881941104666,0.13813900969470924,0.4043180475238261,0.30069976444704843,0.5560427428557062,0.5419920678107343,0.42480712136664295
