,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
vrc,TabulaMuris_Kidney_10X,0.4840130817587501,0.5686058757163425,0.6118547629998202,0.11858186523308455,0.4934651287375078,0.4919252868948537,0.2353538610333311,0.6153654501526328,0.5475680532830937,0.006948521435596759,0.21168331539433047,0.3419492440803214,0.1490364565654256,0.4820324230057363,0.4786305161305599,0.4928115484754406,0.38098181547137977,0.3368854571506037,0.4804118390687201,0.51307453478724,0.4522931663914981,0.643604783454889,0.00444133539431789,0.4920846664378668,0.4907674564827205,0.5002494947501621,0.3215439292550045,0.0660764006900633,0.5078165218574527,0.4669982111223628,0.6551095034823853,0.24286490048121545,0.569294745154089
vrc,TabulaMuris_Kidney_FACS,0.3660197254407394,0.3558128088735117,0.33236596883143016,0.3134072191291329,0.3687737477186467,0.3345527845542711,0.3332983964840152,0.5701015035116981,0.3187436972531085,0.05981112743199424,0.547706783820608,0.3906434641752432,0.3276354595695153,0.4473232934546104,0.4651954640502829,0.3384230771406788,0.3377431290732431,0.3819877391579823,0.3307360887937928,0.5134125730562457,0.3951705035022608,0.20687435147404146,0.004991442318084389,0.3454932064217907,0.332194061896415,0.28911955646471355,0.3201663227296195,0.1563419725420606,0.32060194841027023,0.4630658358839301,0.5541309484619552,0.3296394883673705,0.5351391520395299
vrc,TabulaMuris_Liver_10X,0.3334546843054862,0.05295685344817423,0.19560075260891013,0.13221386069843394,0.004273717516585989,0.08511720805954459,0.16693350615816094,0.04359092944498169,0.03710444270493468,0.2238253134342776,0.0010922726319469807,0.14738802500450876,0.08550897365749402,0.2433980805947193,0.07327225327867869,0.3023642912492908,0.07882567373194911,0.06015510124663965,0.2074633517607248,0.2064818972601461,0.0916726737350534,0.07472698766451172,0.003118344511844693,0.32988205203936377,0.2751243469072529,0.057847761433107686,0.03058072683228872,0.3731259779693939,0.4683253248982261,0.0855785460903817,0.18680160736007087,0.12590355164822994,0.0976325272138934
vrc,TabulaMuris_Liver_FACS,0.2209224959643021,0.3854647213197699,0.5344569728780166,0.21738400683820724,0.5904014795194056,0.20808901068241886,0.1751466222653568,0.5184477366800708,0.18692278727044112,0.4061738255201805,0.3676792512352517,0.3995437538667999,0.4286614568360946,0.5373943940753123,0.04809085608447679,0.5536603230760335,0.21150381593478504,0.17002066159498713,0.20616359804601275,0.5715625326616784,0.19969519652598802,0.465257153296697,0.008234664532192073,0.5960263886154086,0.20808901068241886,0.5005282432808501,0.2234058295029712,0.2486580822554708,0.5851947016917591,0.4314343362751271,0.6201536651188865,0.2051702873097548,0.5673149516513832
vrc,TabulaMuris_Lung_FACS,0.4291002662181271,0.05567995489236826,0.6656820726624774,0.15352145868290812,0.4511052850572764,0.6592362183427952,0.15469969085827653,0.17718343756942456,0.18479916104513908,0.13222726148910416,0.1729495448489376,0.4664865690275751,0.1212930159349354,0.5245888542398875,0.4089098200383178,0.442013613775972,0.2565494811663678,0.427188246454466,0.6674259648323797,0.6665126756753872,0.3295283400707967,0.3828042839222839,0.006526554607803723,0.44952035477832064,0.6549498118110931,0.1488062445868533,0.16762992946346142,0.2237606043583273,0.3992892750551448,0.03540982358579192,0.6884227653202823,0.4933355580779949,0.6608250209828817
vrc,TabulaMuris_Mammary_10X,0.5165229620198367,0.6395731713785616,0.5399782488639865,0.3633318911765956,0.0022443712871147844,0.5610788566082844,0.6384517557830199,0.29248559010063085,0.5988942452964614,0.4820773202528559,0.4732732176773621,0.5477949947159368,0.3981501255294039,0.5166112916253912,0.8734198944917924,0.5117024041638122,0.4763043933028047,0.4527457673439765,0.4825758788840917,0.907989544384948,0.501037282075481,0.4852084080925576,0.0016209349291964766,0.5202715213059501,0.5669269418746181,0.5404490262879319,0.5028867411653866,0.17963623255452196,0.4849944955312985,0.8626333016210724,0.851434516376738,0.4539799755709996,0.6154749265757387
vrc,TabulaMuris_Mammary_FACS,0.15167000354592272,0.5767085692715427,0.5371807647016904,0.15245164044688306,0.5361776066737503,0.534626887294897,0.5407262329980255,0.4963925979134059,0.1358649756966723,0.002082432282678182,0.2402654324984229,0.15406251474815424,0.5099902665538644,0.5794926625982549,0.6808421512754594,0.5951975591681553,0.15037787921125972,0.4528864803194782,0.5385551765033876,0.6872808052979728,0.2276039029056945,0.3544104245891415,0.00424232967168856,0.5911925085746097,0.5340544189018847,0.1543214157091878,0.6792665113274199,0.2280999531829205,0.532378300984844,0.5875418036939722,0.7163615496226761,0.4555674655925829,0.5858559762884792
vrc,TabulaMuris_Marrow_10X,0.4533714768382933,0.3820078689232794,0.4559082391495145,0.461618759606692,0.09538556020349796,0.4553725011585415,0.35630060582190703,0.4018909339112425,0.43382817669275897,0.3383723164012897,0.5315322229198562,0.305642830903047,0.4091664064047321,0.5870805967374214,0.5276119253674181,0.4558654415506146,0.2830750701919367,0.4962164554374069,0.4553017928887692,0.4539564834181426,0.32591169855441304,0.3583616736540001,0.004585253576314205,0.4577632918227364,0.4557437581481929,0.476153149072823,0.4464050750798999,0.3775733132652648,0.457576604040205,0.6364724875819556,0.6376210515157194,0.27735829179500404,0.5126114713135399
vrc,TabulaMuris_Marrow_FACS,0.09946773872641708,0.4982007155174481,0.6111707281182462,0.09423578115105136,0.3790524698255987,0.6268154539429355,0.2790752424206269,0.7543729735792906,0.2837725108342939,0.2908273112489269,0.3490518321261392,0.41654009535324255,0.12439015176504638,0.5447991753113205,0.4239453891864007,0.3769100481955714,0.09735805694270314,0.2840368378818232,0.6204857256631674,0.764057056235563,0.2704694208661338,0.5364355144143769,0.0005012515852426484,0.09946773872641708,0.6255592162468692,0.0847477003393376,0.4475612424676665,0.11370884817056325,0.5008044391528719,0.30703536107858365,0.6839789737178896,0.2489278210168865,0.4688191824178189
vrc,TabulaMuris_Muscle_10X,0.5496049027192774,0.7535158646661629,0.6422764920779505,0.21141098470010752,0.5639308931675246,0.6494353069028199,0.6116876165798627,0.9100005310474659,0.7271003971574066,0.4718453364902092,0.5498140180161804,0.5137388459921194,0.5815940165686779,0.8419110109234123,0.8804425886067201,0.5527621803650683,0.5653359486164775,0.3957969979858024,0.6379685087107159,0.8725989118953851,0.7395215938421866,0.6900120779125699,0.002445244484548781,0.5727012999341494,0.6425996196111523,0.661735829621018,0.7358615816496207,0.25982231312278803,0.4713021513883178,0.8699992130900567,0.8629416307826785,0.5248730829646373,0.7538083121782033
