,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tga,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Bladder_10X,0.6715733214917099,0.06702206875666407,0.17536957303236847,0.02631923024848172,0.6715733214917099,0.6689130902430065,0.3821589753672297,0.6686177579291841,0.6697938794645951,0.5667143027915107,0.3468269546978535,0.2733568600554172,0.6689480013711353,0.670491555248307,0.6715733214917099,0.7620968397013177,0.6683056538375017,0.2292108056079881,0.5713691010646206,0.6656058188346939,0.7429428359216564,0.6709369494793308,0.0005027188941631506,0.6715733214917099,0.6690830372207865,0.004725552976199682,0.5658737340832423,0.2730855136137143,,0.3154941101545934,0.6667915196257432,0.7677644304842228,0.6715733214917099,0.6479111301091407
dbs,TabulaMuris_Bladder_FACS,0.5654072306080825,0.7252347643309595,0.7251226351834331,0.36678145423487535,0.108511263762208,0.7264018119458219,0.3491386834278733,0.3516506132667777,0.7241703254715954,0.3229561570943575,0.7235006525871226,0.7114095907810312,0.3499765507983627,0.7057920722444707,0.7238497715564516,0.7140473722322018,0.3444210183480268,0.7260318895219428,0.6742450781213701,0.3424943996363152,0.720242591488997,0.35080874817885066,0.002426784146471659,0.7266804073719887,0.7221677768900654,0.3494604203410668,0.7147938412634928,0.21454939812099647,,0.7222289666952282,0.709988386564704,0.7183179522846583,0.3367535069250415,0.7242139991073232
dbs,TabulaMuris_Brain_Microglia_FACS,0.27971075483834285,0.4571582280715298,0.28067717847070595,0.2225884375500044,0.04746638287881495,0.2811035865588164,0.058391564482036064,0.27971075483834285,0.2785293547737201,0.16142174357023673,0.2322236680617183,0.4625368222778208,0.28186628656081125,0.187068974076526,0.06386481211219154,0.27971075483834285,0.2811035865588164,0.2811035865588164,0.3177026543947191,0.2811035865588164,0.030312775094551606,0.19766272670235,0.0008114172161618104,0.2811035865588164,0.28039473128949643,0.2811035865588164,0.27971075483834285,0.044510763317268484,,0.2811035865588164,0.27971075483834285,0.4517966814648455,0.054293892989946524,0.2440778803964622
dbs,TabulaMuris_Brain_Neurons_FACS,0.3981971988632361,0.5330792698348633,0.0014700915196125494,0.35774243289976193,0.0069471480993225174,0.2870770759658443,0.1682200433554194,0.6312053939556469,0.6543206760819216,0.4098477162841291,0.6251534802922604,0.3825364474918362,0.3976260226821164,0.049179728064255884,0.3124092122967935,0.4577849978855677,0.0013080531549237615,0.5361474100937786,0.4620720593049237,0.5353688537268949,0.2088353652209251,0.33899135567873245,0.002346391251145481,0.0013080531549237615,0.2834565302745812,0.2252711268731299,0.4546812739598244,0.034719061918323885,,0.5494633149112916,0.4125455093926656,0.03984789027549627,0.5123960356027716,0.5222960062693953
dbs,TabulaMuris_Colon_FACS,0.07583109965477497,0.03165571723153514,0.003718075876229214,0.060999888240722236,0.009314721984299905,0.05206995793016491,0.07483242581665184,0.00514893509492834,0.0757044066256369,0.0927092217833514,0.0008653035722012512,0.0717842664048402,0.03414987135665135,0.07715877853711461,0.02802709238357131,0.07581511467748303,0.00425607274408315,0.02018363726472561,0.03625958136199019,0.05149507989218277,0.01699638323470199,0.07112032060767462,0.0007020551076989106,0.07583109965477497,0.03086105724551075,0.07417824302195852,0.016519164954038355,0.009918851982247616,,0.016215206097354037,0.07044800256750161,0.01721862655743565,0.1532642476827508,0.2516772669036456
dbs,TabulaMuris_Fat_FACS,0.019774294503460247,0.006247009712025384,0.01469141544891365,0.006117583383445782,0.005538782002804749,0.01469141544891365,0.014143284791477443,0.011110227458625532,0.5934309307634318,0.002550216563580635,0.001159225048122368,0.5009961332726379,0.4035606725924911,0.004979208480026855,0.10025695859643637,0.04507973416012801,0.007446625706759213,0.035428153513341984,0.15061096222902512,0.007535449195846144,0.03398017435666531,0.008290056835612779,0.0005370612565060666,0.4149884033266825,0.015784681878615803,0.0036449020671447015,0.3959387270156488,0.011947479551145114,,0.008633254748917359,0.16844560835538608,0.04856593213282732,0.3941430649612041,0.05345757614731182
dbs,TabulaMuris_Heart_10X,0.18913168657618992,0.3518418369573941,0.19401170375847104,0.19962529944521795,0.04514575946319877,0.19962529944521795,0.1885819689315183,0.1894947620754905,0.18296414213298065,0.19962529944521795,0.1885819689315183,0.1885819689315183,0.1885819689315183,0.03208767006576382,0.725420013402768,0.8230086938878635,0.18913168657618992,0.18913168657618992,0.2534482024739587,0.19962529944521795,0.05697811947428547,0.08020054491314413,0.0065724929633706,0.18913168657618992,0.19401170375847104,0.1894947620754905,0.2112927906831736,0.1852008551422132,,0.19962529944521795,0.347121141798695,0.7530855940954844,0.7575842134188586,0.2153551496598745
dbs,TabulaMuris_Heart_FACS,0.010948203328886708,0.3717178926577057,0.002028183011490753,0.04007349771770457,0.10653702738131304,0.31526731349170795,0.3636745724810385,0.7107868660494631,0.14948210116291796,0.004262916246531898,0.00373235016692713,0.5881190164938334,0.462914053197577,0.0018481551983759827,0.350082529631918,0.05479904202046413,0.06419319181818124,0.5114853434037353,0.38151806749287054,0.2638838823676952,0.007504460512470551,0.3738693313299306,0.0016835699821275286,0.002208212456930053,0.002028183011490753,0.037666251181274084,0.4998136341117643,0.0778864172521819,,0.03230783288439599,0.03295287603937362,0.06334477956943924,0.4159936768057287,0.5884190929450831
dbs,TabulaMuris_Kidney_10X,0.006050136999005114,0.4813011307076139,0.5690870873237823,0.006570580489701344,0.001616768538105908,0.5699114536295404,0.030113761624477382,0.6129744114164324,0.4356337389629267,0.006948521435596759,0.0017813737335900255,0.3332252451682771,0.2264882433988709,0.033529525578762286,0.2513199690422033,0.4137113270941291,0.5162994471128399,0.002070777981552,0.2419065123992726,0.002746915950075653,0.004625431215796807,0.30658076027228914,0.0009145348250846226,0.0022969341693041038,0.002746915950075653,0.002070777981552,0.009432674495419959,0.014254559070688191,,0.001844108441356684,0.494689477751301,0.037668567593211216,0.24286490048121545,0.5189726647032824
dbs,TabulaMuris_Kidney_FACS,0.012261601533825372,0.017458939266973374,0.012261601533825372,0.32836097618321364,0.3852777191761151,0.012261601533825372,0.09416419884929587,0.5701015035116981,0.03878241102451382,0.012261601533825372,0.00707695251221552,0.3261647702573786,0.4852008736405374,0.2689080311584646,0.18606947555514847,0.3752164981865647,0.009606197686947806,0.012261601533825372,0.3810658060495462,0.023662406487644592,0.012261601533825372,0.3669632502451508,0.002554580718224812,0.06256762686591688,0.012261601533825372,0.012261601533825372,0.27918121416895075,0.01811585727856722,,0.012261601533825372,0.034652094867080215,0.030810783984393342,0.3296394883673705,0.5388876284985924
