,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Bladder_10X,0.7666857711738887,0.7377869400285485,0.7020369130536473,0.000481575901129606,0.7739181581429838,0.7031847318155451,0.3069574475378703,0.7095759446096963,0.7005882656533038,0.6168835294637364,-0.0005382259585087916,0.7005882656533038,0.7564302257234206,0.7695173509765869,0.7005882656533038,0.7772672520149188,0.7655069871770936,0.6197749766832588,0.7005882656533038,0.7005882656533038,0.05398957968251319,0.7421408197616414,0.0012796035663687358,0.7739181581429838,0.7036835171755952,0.000999876774414999,0.4559444696781975,0.0493539012799645,0.765162080470254,0.7006130015735079,0.7855260978719847,0.7012449395511755,0.6981818391506058
dbs,TabulaMuris_Bladder_FACS,0.20452738814024868,0.7517732880521516,0.7500894047398217,0.20452738814024868,0.017025877984957364,0.2049046352869416,0.7248678478976812,0.2058995570123449,0.7511328436456723,0.20308865386862485,0.7538857444622931,0.20452738814024868,0.7338885698970198,0.7515864015669947,0.7510156209014291,0.7532819345739031,0.7535141843079852,0.2117129611458906,0.2049046352869416,0.7495660572918729,0.4948139991561259,0.7459450041993527,-0.007263908152431666,0.7549780242119128,0.7551675206190194,0.20452738814024868,0.7600403336625401,0.012634838545171109,0.206278053739922,0.7383798217027066,0.530160569899941,0.1937202446337441,0.7479531837936777
dbs,TabulaMuris_Brain_Microglia_FACS,0.3624033767204548,0.6010028825533164,0.35612815284006283,0.3596655388101184,0.04405633568224916,0.3596655388101184,0.03051459750772198,0.3596655388101184,0.3596655388101184,0.0006695294946015862,0.05175946734547855,0.3624033767204548,0.2713595734983479,0.6132314947745089,0.3596655388101184,0.3686563988521758,0.3624033767204548,0.4136071954656784,0.3596655388101184,0.6839444095494389,0.4554271079565412,0.0494345579976175,-0.010927713944901241,0.3624033767204548,0.3641327279298574,0.3596655388101184,0.021923273592730944,0.3624033767204548,0.3596655388101184,0.3596655388101184,0.6076482588867801,-0.009865984725565605,0.32623838463075866
dbs,TabulaMuris_Brain_Neurons_FACS,0.1717446428447033,0.6201690948464252,-0.001526570541666833,0.478807549889935,0.7143215185626798,0.5399847999022761,0.1372318092807899,0.6312456300526502,0.738041212713255,0.0009948071747973171,0.5047515904227152,0.4210132300448245,0.0033860512452576733,0.6414480339968957,0.007743388526701996,0.5421287636354585,0.6140652607182202,0.4724190737150815,0.5395140819191133,0.6351664072594656,0.1784557991113916,0.03919162518330184,-0.0007922228495700704,-0.001526570541666833,0.5469631913458144,0.04497588604543022,0.4606351938156056,0.5401445283175104,0.5201979568767272,0.2994834513354194,0.5207387002249527,0.4364837497889624,-0.0021479943352429
dbs,TabulaMuris_Colon_FACS,0.024953169140428087,0.19055759886338344,0.024953169140428087,0.02155975745303241,0.2762548286946707,0.024999155362382442,0.0750297722424289,0.002121838016415643,0.05847920007458177,-0.028349551838669725,-0.0006519358648663054,0.013921034285708732,0.02583691697886119,0.01313840541173563,0.0016453575392191833,0.024250541623911458,0.024866431849631644,0.0009350800206661623,0.027865964018682042,0.0045883138964061465,0.006877499314416936,0.022743935164323274,0.000501735488125261,0.025371214433984025,0.02568276353738732,0.02592944044738026,0.23375403410301074,-0.04687827000569705,0.02568724187492871,-0.00047232752202795676,0.015527034372383829,0.08109241836032298,0.0018485737975083227
dbs,TabulaMuris_Fat_FACS,0.24646452692778265,0.014552627259146744,3.328375965365907e-05,0.03420647657774095,0.5059829945577003,0.04297094134127224,0.0010078972283195221,0.013942580691006779,0.5257846834372298,0.0004906870600893897,-0.00026170540142181543,0.29010395517635784,0.004321722035840662,-0.00026325324466938184,0.01324194605486191,-0.001245793057862495,0.4968891759937068,0.17114345869315714,0.008313813673886864,0.001507539526404794,0.0181397864966774,0.0010162255505214376,0.001528589523146875,0.6962729927708465,0.04387692675031029,0.006490006395597731,0.2795547343630248,-0.00030918993855737377,-0.001939340531565949,0.05005834925817868,0.013858124960367531,0.2502375838249853,-0.011857066258918502
dbs,TabulaMuris_Heart_10X,0.08667304013950468,0.14512188583392802,0.05333744942506586,0.05378853197036256,0.011937806889082692,0.05333744942506586,0.051871002763742326,0.05141994688028698,0.05024287092022537,0.051871002763742326,0.051871002763742326,0.156762524533117,0.43561819143159375,0.7947480222687555,0.9310276167586504,0.05150901637804111,0.05150901637804111,0.6242568917235071,0.05333744942506586,0.01535696424239129,0.05141994688028698,0.14813681267165055,0.0012308871553125065,0.05150901637804111,0.05333744942506586,0.05150901637804111,0.4050888661686307,0.3622284764722347,0.05150901637804111,0.1434054663054505,0.8549898069276479,0.7514032242800076,0.051871002763742326
dbs,TabulaMuris_Heart_FACS,0.1764848839204994,0.2608843585894105,0.0004122778593865008,0.16352361339623786,0.7233230348826795,0.2255831620598051,0.22367817780839155,0.7867778065127948,0.2850289165441072,0.5287032463599013,0.3115655507657106,0.248495647185286,0.0004122778593865008,0.4137952086673166,0.001984200857113008,0.0004122778593865008,0.7169848203306235,0.2612882152523597,0.2273681099049737,0.0021887548768407352,0.2596003383950032,0.7342596200491186,-0.0016170983020521615,0.0004122778593865008,0.2273306704453431,-0.008703654940003566,0.3935235297840231,-0.009046453553455907,0.18575943089176647,0.6089367798073795,0.017053173191442776,0.31700416865508946,0.7177862264187078
dbs,TabulaMuris_Kidney_10X,-0.025681988326211363,0.38136491144925416,-0.0070700642477899015,0.00021499943560936296,-0.004364300821691267,-0.006530459654669607,0.01806093795503676,0.457105321803228,0.43130932284320794,-0.0018428107087156687,-0.06313612556067866,0.09924488716063913,0.20660489698047352,0.17029550104765667,0.12609553857061276,0.4109092763117397,0.3271502695978323,0.26832276672732386,-0.007608119245126365,-0.003816948367410121,0.14120413142843738,0.788307158540981,0.017904121784875122,-0.006530976679986073,-0.012397943151247596,-0.0076065681633004124,0.281321552956844,-0.16812652146376114,-0.007069030195197253,0.2640606691505914,0.032634634614305984,0.07092315148302063,0.3902182247123616
dbs,TabulaMuris_Kidney_FACS,0.4326006366027249,0.2872867520078663,0.20232601325795668,0.18424752467306468,0.27468551469311353,0.19417917626630493,0.19775644736512266,0.5568089985974379,0.11146122585864657,0.0034002562060002108,0.3404978840365468,0.2970102424823558,0.19254109526278645,0.04996561579190955,0.4238628747004726,0.0019523542243613664,0.2042446956634116,0.35320851411956355,0.1966598567227453,0.19159895400742688,0.3163291795513004,0.06246072242157045,-0.003230995824638425,0.0034002562060002108,0.1991083159842432,0.0034002562060002108,0.2042373569993572,0.1217005054405578,0.2011659658239988,0.3831658876528188,0.5474919802472911,0.2528151650247487,0.558766179590287
dbs,TabulaMuris_Liver_10X,0.026650302069699944,0.035536575315051215,0.08960782746099695,0.00024578288202632757,0.5542137233620644,0.23220954756329185,-0.003733899084900153,0.03303216119338906,-0.0009847333005961422,0.6829127820438906,0.022669535605523858,0.17539246850695664,0.07002718353171294,0.004000223349409182,0.0008340233030586233,-0.0015309806298510276,0.00599422627428183,0.034297522482825284,0.2232617743981656,0.0864591669441966,0.0005180492415445354,0.08430086291200646,-0.0034144522536560147,-0.0012915940501098727,0.22474503229401488,0.058692641084393066,0.011696678616369971,0.0017373955760285713,0.5817483137597164,0.02181087210980628,0.03892366814726335,0.07455853723889452,0.09772471205457464
dbs,TabulaMuris_Liver_FACS,0.09807818017779152,0.3364428787469549,0.6037736981839452,0.09936708512209756,0.5668995971272269,0.09529581650328764,0.016155680333749874,-0.025567156563503068,0.0667155424210792,0.09330876640838807,0.07930650473399686,0.37364774415410135,0.31223925628739424,0.07013076915539695,0.014840942673718606,0.0954112815981439,0.05984060077024801,0.04576934023076275,0.09650449786895084,0.3849560082758727,0.09310410891058273,0.3459147932049306,0.001929617283289732,0.09432765494503774,0.0962323445668747,0.034492046508519184,0.0211192016106384,0.06425148867989135,0.09525378041862408,0.2840450453822981,0.13102599354188246,0.061481307158507886,0.5893961316979947
dbs,TabulaMuris_Lung_FACS,0.11817652022181928,0.012913814069028228,0.7240662830730562,-0.0021902827242792004,0.30499709390935903,0.050383043982515294,0.05720674659776478,0.058305788238707926,0.7169425092529628,0.049400734298914686,0.07272923410648567,0.05627678676583578,0.05350374994287308,0.705622689458799,0.3803317144818748,0.04927442750453901,0.3723546653832665,0.3089896517775483,0.050383043982515294,0.0021431912321945505,0.26177022182744136,0.01350227202322185,0.004579214098040322,0.0008540051721380236,0.050383043982515294,0.0611931296002441,0.03876180268148957,0.05074287237684255,0.050383043982515294,0.008642539107793178,0.7067919364518924,0.5162143634682694,0.7200481260499507
dbs,TabulaMuris_Mammary_10X,0.0009638448351070043,0.4927220918467433,-0.002846231334847836,-0.020496202287130668,-0.003933704709203545,0.4066146072953291,0.7188332188478019,0.13919765875966378,0.5351372237966061,0.4416324484009282,0.4746567317657734,0.4699381687261997,0.0018257608800422871,0.4557507284046986,0.8922846184514833,0.44840903966702655,0.0012687088750156273,0.4178350947773034,0.3972458798061642,0.027300239599114144,0.4339132278891742,0.4256921166054749,0.0002005620827730028,0.0012687088750156273,0.1856550786665199,-0.0042911640636592715,0.36070148789909706,-0.0022191709617925964,0.5069753441422971,0.8937042605767254,0.8890704761489777,0.36373797125472,0.5070793139105779
dbs,TabulaMuris_Mammary_FACS,0.0733595796181193,0.4697697994513526,-0.0017750972203825872,-0.0017750972203825872,0.47273447950025,-0.0017750972203825872,0.06957323743743034,0.1232463964866683,0.09082734771090747,-0.0017750972203825872,0.13394106824176782,0.07298836759827504,0.4709145049528932,0.4529472755989221,0.7610296281065231,0.07018983338541772,0.0733595796181193,0.4724324338399309,-0.0017750972203825872,0.7669397732826144,0.0733595796181193,-0.0017750972203825872,5.8207041541732883e-05,0.0733595796181193,-0.0017750972203825872,0.0733595796181193,0.014886119906897047,0.0707252866671689,-0.0017750972203825872,0.7531875308646319,0.016464897552905457,0.40523583695688303,0.4638482837329521
dbs,TabulaMuris_Marrow_10X,0.1066764071311354,0.15457118274805193,0.24150262041745216,0.2404427836037977,0.022642707823721842,0.24246409745224495,0.2464109218212813,0.1200730674536022,0.12904871361131134,0.12335599038343155,0.2903722696781139,0.04459589838045748,-0.005509227880336865,0.0012770326774767407,-0.00446579025651736,0.24066072730546426,0.12463228408139965,0.18258511943136013,0.2421612475623605,0.2403183539784237,0.15544977961498627,0.14831610227249162,-0.0008234528541834976,0.23848213778525665,0.24372171227669925,0.24391864533002203,0.2342045841558697,0.10786491109336087,0.2444681672256409,0.4175282211451306,0.046476061791083705,0.0966717224762907,0.117839547294768
