criterion,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Bladder_10X,0.7083610557366098,0.7101826953435143,0.6817198954419577,0.4856367898553246,0.7012449395511755,0.7103893189652959,0.7105657187184033,0.7095759446096963,0.7063401136804686,0.7086965097007194,0.2555874280716576,0.7629457774981411,0.7074002134675459,0.7114319425120704,0.7036551113706823,0.7907381184404659,0.7043301526538446,0.7008751396679135,0.6577325637515175,0.7097053691654356,0.7573612644928348,0.7103367690925052,0.001286533782819978,0.7014293236973427,0.7097053691654356,0.7600359709097999,0.5031108261912208,0.6297507540245215,0.7020691098511763,0.7006130015735079,0.7882973777234566,0.7012449395511755,0.7135301097002754
dbs,TabulaMuris_Bladder_FACS,0.5378291841963677,0.7517732880521516,0.7536089823921203,0.2639455005710855,0.5378291841963677,0.7554431833573967,0.7538962833162259,0.2058995570123449,0.7511328436456723,0.20540009797013514,0.7544369114858726,0.7527286580101012,0.2058995570123449,0.7763446975858789,0.7515864015669947,0.7582510120399228,0.7527761205456714,0.7544735785067429,0.7396390315172239,0.7532166637318575,0.7476917179211457,0.2086822091799816,-0.007976995393249465,0.7549780242119128,0.7539012125018331,0.2087633275725012,0.7596032441181871,0.2041304916616516,0.7525222178140537,0.7383798217027066,0.7544899150719059,0.1937202446337441,0.7506796634975441
dbs,TabulaMuris_Brain_Microglia_FACS,0.3624033767204548,0.5891542590123858,0.3614970939482198,0.3875165752580512,0.05849467563453459,0.3623746216396001,0.32308149799226155,0.3596655388101184,0.3596655388101184,0.6136439717510835,0.3060909453349219,0.6147535757536037,0.3624033767204548,0.2610694129750684,0.17641369354655995,0.3596655388101184,0.37442231616704136,0.3704151430620134,0.4226889275504376,0.3623746216396001,0.2741055624681764,0.3808175033312127,0.010612083911921779,0.3673783971559115,0.3659757505104017,0.3623746216396001,0.3596655388101184,0.3624033767204548,0.3623746216396001,0.3596655388101184,0.6186386792220611,-0.009865984725565605,0.32623838463075866
dbs,TabulaMuris_Brain_Neurons_FACS,0.4979712930485199,0.5640908886093344,0.004389092617968386,0.2792639483683205,0.003135217105083884,0.5731958366687421,0.16435645758520195,0.6306205162846695,0.6418733576197652,0.3452824994805654,0.6546545402074966,0.4847029822772093,0.30033043916220153,0.017359491370466176,0.655746141989425,0.4583753045351616,0.0032041735507770397,0.6724592179189266,0.30766183199199737,0.5303130223852637,0.4570654889580962,0.2116780780920625,0.0006050262146844064,0.6589986466141071,0.5742416333662993,0.2610966546984905,0.4980426928940661,0.10427110026597854,0.5468457134341173,0.3079740938394334,0.3202135739050503,0.4364837497889624,0.5464722043242788
dbs,TabulaMuris_Colon_FACS,0.06482486950292553,0.037417714054161486,0.008587700121511143,0.02794388734357656,0.00466150747658899,0.016183826882255475,0.025191527503552292,0.026473599631750264,0.02671528515420771,0.04883982377174388,-0.00022118126445668846,0.0275858350914409,0.013921034285708732,0.02583691697886119,0.008298780287425813,0.13235218954976788,0.024828000690723856,0.014006187871832271,0.0067093162948623645,0.015982934254356283,0.011637943176044805,0.023842533407595654,0.0011332408900071199,0.02558113511230729,0.00923394427804156,0.02570562955954736,0.016163224091844987,0.022683662685461525,0.024828000690723856,0.024953169140428087,0.0069923171217671,0.08109241836032298,0.1957735596160377
dbs,TabulaMuris_Fat_FACS,0.28048803445308,0.001099819141641556,0.000668458323973674,0.0580403567521112,0.26758689269008873,0.02332580341284974,0.004488105800573518,0.029235770504904782,0.5349259331048041,0.2565156941154225,0.01655917784373412,0.41826690496518976,0.292035675237013,0.0008701196376921918,0.01788521696317243,0.25498166552975826,0.2730980524926089,0.2728659348245052,0.09026568008463576,0.011579779989029444,0.4089489081555287,0.000503463821739703,0.0009447668805704024,0.2698123045888299,0.0032785563856169877,0.004995368971988247,0.2795547343630248,0.032092390383303145,0.03459564806139465,0.050052836289160615,0.6828905188382794,0.2502375838249853,0.6798276662650286
dbs,TabulaMuris_Heart_10X,0.6434966475728692,0.17277408518939072,0.05333744942506586,0.05378853197036256,0.7646984842344704,0.05378853197036256,0.051871002763742326,0.09515554799597366,0.09126160779102313,0.05378853197036256,0.051871002763742326,0.054072669291031335,0.051871002763742326,0.3368838954037671,0.734131411655286,0.854775054978597,0.05150901637804111,0.05150901637804111,0.6236819744057113,0.05378853197036256,0.05241278090442136,0.05141994688028698,0.0012371350614970734,0.05150901637804111,0.05333744942506586,0.05333744942506586,0.4364801652774132,0.08728531630855073,0.05378853197036256,0.8868387908147259,0.7092146774811279,0.7514032242800076,0.0868463054063534
dbs,TabulaMuris_Heart_FACS,0.3761454762404272,0.29373956400385803,0.010190121243801205,0.16352361339623786,0.33583242803301955,0.2253640649411322,0.27857405926220397,0.7718992846162048,0.32413758450105595,0.17278286695602402,0.3269500937232654,0.5717226338338621,0.3741468040322216,0.005119199817729053,0.523855651330335,0.014470478275816375,0.0009793526068027543,0.4620335838544083,0.2629094447897337,0.20129757950444,0.0021887548768407352,0.2744914707660389,-0.00015559773603282187,0.17953802086171422,0.1968417913361325,-0.0005042218579706658,0.4043632973976257,0.2279467382202017,0.19793594199007872,0.01960306777991318,0.07889245067658776,0.31700416865508946,0.6077733430269773
dbs,TabulaMuris_Kidney_10X,0.026663468837868527,0.38136491144925416,0.02211553111329989,-0.003058221604314024,0.005914331950908397,-0.004908552657292131,0.01806093795503676,0.4529178918538689,0.7814912614662257,-0.0018428107087156687,0.01513407703820127,0.4850239764694276,0.1013741018416919,0.01953177954982431,0.09623548747167432,0.3079842959608544,0.4138485610109197,-0.004908552657292131,0.14136547622030254,-0.005449703856482196,0.3988520063811362,0.145452361664862,0.012452387526903606,0.09301363071890133,-0.005449703856482196,-0.004908552657292131,0.23913366775402825,0.010327105427586258,-0.0043658518858498575,0.29211217115659643,0.2943265472048129,0.07092315148302063,0.39970716378900506
dbs,TabulaMuris_Kidney_FACS,0.02370776681421794,0.5062233276303258,0.627499978661588,0.2915150170020585,0.2610209101487924,0.006443108061085585,0.07968567465032571,0.5568089985974379,0.5630400761363259,0.15368320227215196,0.4037740336056776,0.5711528290282893,0.2762314560502473,0.3560102353325211,0.6043672045463063,0.3265989742622063,0.2908226295243222,0.29047221479662155,0.3806520414292501,0.2546482137162964,0.0034002562060002108,0.3914434325895707,0.0023477893200797646,0.2610209101487924,0.4202369562076605,0.04920468375193118,0.14412858497284425,0.004226415673758208,0.2011659658239988,-0.0011432644760826435,0.010993453224616215,0.2528151650247487,0.5916911636698393
