,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
ss,li,0.003981771082000559,0.8189866189141396,0.002657987356327148,0.005743296856299622,0.004048419676194972,0.002657987356327148,0.3591804008630384,0.16307746243067886,0.8939718370703745,0.0031679693493328357,0.5561555747203556,0.0034417416856457844,0.33246823930222,0.6187891160783965,0.1872885980306225,0.8487201787614146,0.004330333861124562,0.0012855377435808952,0.09770250290816987,0.002657987356327148,0.6781408088024286,0.10545424215737087,0.002460102663829382,0.004210887377971049,0.002088324417803251,0.002435786866191057,0.4338860749501461,0.06831044967173322,0.0006447848831223487,0.8131838850314437,0.9370831234963544,0.18472308168130014,0.8040156628130778
ss,manno_human,-0.00015779937137492286,-0.00019665944415534894,-0.00015779937137492286,3.206293725937785e-05,0.00038106291819153685,-0.00015779937137492286,-0.00016775082433695854,0.034296361896262895,-0.0002302190261871424,0.00032625303850183235,0.00014995429784265898,-0.0004143516029233497,-4.1254051400023476e-07,0.031286041911291286,0.02829633848443385,0.006244982606356422,-0.00015779937137492286,-0.00015871165394899567,-0.0002923416512763261,-0.00015779937137492286,-0.00017546459628550167,-0.00028715860874999646,-0.00011220643970782922,0.00016456656679172575,-0.0001289861753943064,-0.00015779937137492286,0.04038846603477224,-8.658832387518541e-05,-0.00015779937137492286,0.05813876290453501,0.010859586946657923,0.12117324750989225,0.03282263883589528
ss,manno_mouse,0.0004055947054530837,0.0012121965885877515,0.00039554535152546555,0.0002249121048806233,-0.0012221993844779438,0.00039554535152546555,0.04208042934407983,0.0004127327633645429,0.0004127327633645429,0.00019350143380163893,-0.0006074273770081932,0.0002708976821493294,0.06429442841163069,0.029367477260761637,0.09457578355738476,0.03092659826100732,0.0004055947054530837,0.0004055947054530837,0.00039643040948438046,0.00039170178279297865,0.10006594685222132,0.032039306859953404,-3.522072423058206e-05,0.00039554535152546555,0.00039170178279297865,0.0002249121048806233,0.051832160677264164,0.00028989493667349773,0.00039170178279297865,0.0305026991906758,0.0499734145566255,0.15788543307129688,0.02357174429586593
ss,marques,0.0006537681256965482,0.0003870999592867132,0.00095029595445275,0.0006968409850150818,-0.0067209945121773475,0.0010017147427966544,0.0006961932957225468,0.0008467800094232857,0.0002323012379812724,-0.0007718941302057553,0.00010677793292912241,0.005804137814836066,0.07936690064838163,-0.0002983300489268138,0.09500773489906884,-0.0024604716234482155,0.0008318219874946803,-0.000634244096497113,0.00012977284373364857,0.0008319260514256144,-0.00034739137306021706,0.08896463781589052,-0.0012778315353901661,0.0005964778923207659,0.00095029595445275,0.0004911630465930512,0.002278460218880621,0.0007727238159762642,0.0008833024719296068,0.0033758870965444198,0.0044880612605697505,0.08296525217643337,0.003669643898604853
ss,muraro,0.3027486030051925,-0.00022070549547410624,0.4704449709878682,0.01295588493768906,0.2965271469980675,0.4680007980549435,0.6319524150742798,0.6427668133685278,0.5339054731771319,0.0063826097742075575,-0.003377056572838967,0.0091633525476394,0.3079757915846341,0.00397936965769972,0.30294149369613416,0.5361978376495367,0.30300817289688764,0.4842192705622424,0.000998264041277389,0.4705336553143699,0.0005726666035683494,0.0006430424588094872,0.005316048088749185,0.30158553852054604,0.4603175286411378,0.4352384158138056,0.4675761825222696,0.006912338552167733,0.4447413909451304,0.7027377638804856,0.30203547318751994,0.3054381243139197,0.0
ss,pollen,0.8060266235164195,0.1688390566414559,-0.005035929270240664,-0.006967973027023849,0.01374014224455929,-0.00517387347354957,0.7366197154342146,0.6178897124900082,0.9343235672192384,0.002607344125255329,-0.00142659467163539,0.007971182790550795,0.4257426295694877,0.17380049463715536,0.7975496134352512,0.7991535263396038,0.8863235433633895,0.0038593048646173352,0.20734620787884453,-0.00517387347354957,0.3929807069103368,0.21980631178517965,0.0014440301805101025,0.8863235433633895,-0.005219858572335367,0.0035161480585497503,0.2152035969307803,0.029581489651723775,0.0035161480585497503,0.8351228750299039,0.7983343156709318,0.1934475666279084,0.0
ss,romanov,0.001821175775162911,0.005760021319034236,0.0013330202970540928,0.002809019108730821,-0.011642958475435916,0.00034515901595448013,0.4590341752699536,0.09604094571786974,-0.0005089896741448025,2.707403284110724e-06,-0.002336075843688987,0.02879153281702948,0.002098914637167665,0.22729643292288002,0.4855737271918645,0.017583691984681217,-0.0020830929805349184,0.0006264637099457472,0.6522941333602817,0.00034515901595448013,-0.0005664919538722492,0.5474018204866821,-0.002108346906075468,0.0006640456976900777,0.0001584876289603242,0.002514693626106716,0.4792532521274354,0.004914729417021768,-0.0019733831473776626,0.5382987544945028,0.5093776401976018,0.14121403964105106,0.6067626229308979
ss,segerstolpe,0.01016229294119591,0.0147637839983568,0.007376090285261902,0.006944762334392886,-0.04547060059993236,0.27606374145426466,0.1272561083661902,0.36389912741187147,0.4279345971927334,0.003796209107699892,0.0024528817532460754,0.016838676265151478,0.3474802533485213,0.31919137909074663,0.3357493712945711,0.3195414216071613,0.010286381935390693,0.010286381935390693,0.5485917598509603,0.25969471263373856,0.25513210751213194,0.6983965180109488,0.0024777449587842105,0.010286381935390693,0.27632734524076225,0.12388370333492978,0.3816702527924646,0.006027694067840334,0.19404207497712456,0.03265051133334259,0.3832389109611725,0.3415904715290761,0.3689141819429215
ss,shekhar,0.9051603270929052,0.27906371443336603,0.01696369869885786,0.021571725193751848,0.9215153757532232,0.00443853958097987,0.006550999000432082,-0.022462431615057846,0.2757387055032405,0.7107455558020424,0.00012489612717490108,0.274100363495154,0.9200084162587924,0.927996067722076,-0.0001426165311099084,0.9111421817037236,0.04632914584968234,0.01086925829478248,0.9001548494372847,0.01696369869885786,0.006302463170761228,0.28909574985277753,-0.0021282063963052327,0.8906603194918765,0.01740979418939948,0.21628424432732385,0.0,-0.00048732820097826965,0.012505387991804277,0.9496086736026188,0.2807001716399857,0.259027521162918,0.2793620888752865
ss,tasic-reads,0.04199741414509521,0.0023648011726940467,0.0011553669570709972,0.005047323287682071,0.000145465364829536,0.0005761547226210277,0.2684884110352794,0.044960469355732106,0.2709249363071631,0.00553283646105464,-0.0007878931483418812,0.013959917439350326,0.20031250421910549,0.021330650954813988,0.3337471673365969,0.0017047287000777312,0.04163734652719407,0.04214620387197334,0.0018887748559999688,0.0011553669570709972,0.5825468446790699,0.04455428827608442,-0.0008876424111203549,0.041787559487679794,0.0006697948221252607,0.0036947367520412406,0.2679480854126038,0.008000969728270036,0.0004898545807018507,0.2665756835417923,0.009165342827493369,0.2582910453737957,0.015445214290206788
