measure,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca.cos,kpca.pol,kpca.rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,psmf,saucie,snmf,spca,spca.batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,21,11,12,29,9,14,24,6,8,21,16,7,26,19,16,8,27,22,13,7,17,14,32,13,11,17,22,29,14,24,11,9,13
ss-cor,17,11,18,29,7,18.5,25,12,11,23,17,4,21,16,24,5,23,17,18,10,18,8,32,9,12,19,25,25,9,21,20,10,14
ss-cos,18,10,16,29,6,19,26,10,11,25,20,3,20,16,25,5,21,16,19,10,14,8,32,7,14,19,23,26,7,22,19,10,13
ss-euc,24,8,12,29,8,16,24,9,9,26,22,3,20,18,19,7,25,19,16,5,15,13,32,10,13,19,19,29,17,18,13,2,12
ss-seu,9,10,13,29,9,13,24,9,11,22,21,6,21,21,21,7,26,21,13,6,19,17,32,9,12,19,21,30,15,17,13,4,13
vrc,7,14,18,30,7,19.5,22,8,13,27,24,2,19,14,17,6,20,18,20,6,13,14,32,7,19,19,14,29,21,11,17,5,14
