"","r.euc","r.seu","r.cos","r.cor"
"bd",0.0656756241661902,-0.072463768115942,0.182148040638607,0.196419932268989
"fa",0.101124452067848,0.259697810669133,-0.391872278664731,-0.0900661183680051
"fica",-0.214502164502164,-0.141905642923219,-0.526447347202064,-0.353733268827608
"grp",0.0105584143319992,-0.0342275670675301,0.141509433962264,0.137155297532656
"icm",-0.0769582618639222,-0.181251927227875,-0.147556845670053,-0.229882277052088
"ipca",0.269220506956356,-0.0564292321924144,-0.137477826157071,-0.03870343492985
"isomap",0.113550600343053,0.0394079555966697,-0.246169972585067,-0.18682470569263
"ivis",-0.121254884932696,-0.025609756097561,-0.0542770299609205,0.0588363004776379
"kpca-cos",0.000266819134743663,-0.0119025593586186,-0.253991291727141,-0.003870343492985
"kpca-pol",-0.000800457404230989,-0.258711069996916,-0.402596355426544,-0.338251894855668
"kpca-rbf",-0.157431457431457,-0.280296022201665,-0.381309466215127,-0.14602483470408
"lda",-0.148084619782733,0.00931236509404872,0.0356394129979036,-0.134575068537333
"lle",-0.19047619047619,-0.0719703977798335,-0.590540425168616,-0.367028088448732
"lsnmf",-0.31962481962482,-0.33777366635831,-0.0914368650217707,-0.348008385744235
"mctsne",-0.0144463502954069,-0.304717853839038,-0.164005805515239,-0.0526527979358168
"nmf",-0.0793215170573661,-0.0061054579093432,-0.169166263505886,-0.181744879858087
"nmf2",0.0721500721500721,-0.231945729263028,0.0832123850991775,-0.0258022899532333
"nsnmf",0.0534632034632035,0.0136293555349985,0.0102402838251895,0.0974842767295597
"pca",0.150371640937679,-0.0902251002158495,-0.244718593775198,-0.0882922109337203
"phate",0.0837662337662338,-0.0857847671908726,-0.235123367198839,-0.16505402354459
"pmf",0.022527158376215,0.0975023126734505,0.138848572810837,0.0724883083373649
"psmf",-0.232251082251082,0.0489053345667592,-0.104338009998387,0.0531365908724399
"saucie",0.193520106727654,0.110576626580327,0.0310433800999839,0.208597285067873
"snmf",-0.121936344577854,-0.064199814986124,-0.0251572327044025,-0.0360425737784228
"spca",0.103535353535354,-0.0216466234967623,-0.277132720528947,-0.0786969843573617
"spca-batch",-0.194949494949495,-0.023250077089115,-0.195936139332366,0.0763586518303499
"spectral",-0.404773423641348,0.0834412580943571,-0.471441987535217,-0.553060701784342
"srp",-0.0994227994227994,0.19740980573543,-0.130859728506787,-0.110204081632653
"tsvd",0.133405483405483,-0.0688868331791551,-0.0137880986937591,0.139090469279149
"umap",0.00266955266955267,-0.278075855689177,-0.267053701015965,-0.222060957910014
"vasc",-0.339024390243903,0.196358543417367,-0.449718574108818,-0.024765478424015
"vpac",-0.425829725829726,-0.0230033919210607,-0.265521690049992,-0.123367198838897
"zifa",-0.129699879951981,-0.178222996515679,-0.117142857142857,0.0913265306122449
