"","r.euc","r.seu","r.cos","r.cor"
"bd",0.636156263563044,0.631234122329898,0.191224569757926,0.158284376266194
"fa",0.46576602853346,0.0815043919891528,0.0039431881572438,0.520204789504674
"fica",0.115698824639489,0.345684164442135,6.63698195612833e-05,0.00970675825242207
"grp",0.939605934958537,0.820943864724779,0.311178001798489,0.32641698145043
"icm",0.579191450518584,0.227240443212153,0.290786808929076,0.0977468393397955
"ipca",0.0493059452006493,0.708742562517766,0.325272177641459,0.782687585312808
"isomap",0.412525183939897,0.79434931933553,0.0757433075544068,0.179928494729869
"ivis",0.410466324162445,0.87356446758465,0.713309121518481,0.690373986724573
"kpca-cos",0.998685857034231,0.937490229293057,0.0666842686996415,0.978208141420613
"kpca-pol",0.995619543040337,0.08270078592175,0.00300559754768889,0.0136133132142751
"kpca-rbf",0.250246464060343,0.0595083261499067,0.0051111866062896,0.295867455432628
"lda",0.284350994282375,0.95114524030443,0.799534822131045,0.335667404744519
"lle",0.163251825995677,0.633566226604317,6.32460764752602e-06,0.00776278318030678
"lsnmf",0.0177494246368845,0.0221634601335744,0.51385224478938,0.0110196630006537
"mctsne",0.917354093685599,0.0399184006387623,0.239858087482528,0.707347501731645
"nmf",0.567563213483349,0.968070404367739,0.225232117996433,0.192221724376324
"nmf2",0.599699118767419,0.120750504054259,0.552550268239474,0.854206033494399
"nsnmf",0.697525763212169,0.928396589229417,0.942007809648386,0.486305009728786
"pca",0.276914697905245,0.549798208048877,0.0775275851735515,0.528484089243116
"phate",0.542139538831978,0.569677715520967,0.0901800940272069,0.236835469251857
"pmf",0.871326569710333,0.517956594493947,0.320435293900406,0.605017292538382
"psmf",0.0880219907309022,0.746212798422599,0.456054737004269,0.704779488594427
"saucie",0.160515226112072,0.463181268628247,0.824975366961169,0.14157150301148
"snmf",0.378683773665155,0.67075286230283,0.85781805842057,0.797312679162789
"spca",0.45083052888931,0.886313602721685,0.0448737073591459,0.574374374954689
"spca-batch",0.153452072561821,0.877930618282251,0.159327292032953,0.585830722752636
"spectral",0.00284152169486434,0.580302619705786,0.000485676027373015,2.90815702948881e-05
"srp",0.469092902402512,0.18792937612462,0.358945580295397,0.44496374134256
"tsvd",0.330579033262152,0.648221611092985,0.921891602839438,0.319586523037115
"umap",0.984723530874684,0.0616195981238434,0.0535146509012414,0.109949791241953
"vasc",0.0306725192063689,0.257180952128948,0.00391562718988677,0.879317932284508
"vpac",0.00131095199316518,0.879219463818224,0.0549396993978336,0.37773805174506
"zifa",0.368216445621964,0.263912596798804,0.421602503230076,0.53143080630058
