"","r.euc","r.seu","r.cos","r.cor"
"bd",0.573551224931259,0.80572036467324,0.987382640745833,0.890448647504461
"fa",0.522894806827484,0.0831529894052597,4.27365002159124e-05,0.00558838733710843
"fica",0.141607976172264,0.387273598889296,0.001412331465212,0.00397501188190785
"grp",0.000344581722087018,0.505800685189048,0.0181367693477172,0.0204754166325697
"icm",0.826149407243337,0.542158318452156,0.581077593648564,0.0802665562988425
"ipca",0.678720082309835,0.190179838903285,0.145182818305168,0.489568905362516
"isomap",0.548307144168752,0.504750609306391,0.138473326785789,0.547925990768355
"ivis",0.955219244853451,0.536043221112613,0.620573541345489,0.9336416955513
"kpca-cos",0.069149528415633,0.16391941870013,0.0931495395836106,0.521705238127566
"kpca-pol",0.331170805274895,0.99869641257737,0.00044663739417511,0.00775237099332735
"kpca-rbf",0.000207093625174437,0.0325431574958727,0.0273851572200707,0.151292645587468
"lda",0.0133567050478233,0.888895522563851,0.881363987094459,0.111271891377708
"lle",0.000709813150074136,0.000981798761450523,0.000293757284016128,4.81002003773618e-05
"lsnmf",0.0618744182494226,0.0103719835191032,0.146487951207095,0.000710208827729041
"mctsne",0.745908361236788,0.0983356110337583,0.159327292032953,0.166410241293398
"nmf",0.539891955963802,0.81395790433535,0.255369415569506,0.121014197033349
"nmf2",0.143508268572953,0.971327081454307,0.868671324564031,0.0615316592630956
"nsnmf",0.696359919507463,0.0579069352164008,0.000268079245340191,0.0190557816583171
"pca",0.897772027123835,0.249753979734488,0.0502595743341148,0.470159558688062
"phate",0.541093143507533,0.229490644856669,0.133672831536927,0.465196253014483
"pmf",0.634194412099744,0.300369369375426,0.845639574935681,0.293988920943146
"psmf",0.215653414665583,0.227404191883523,0.183961081810102,0.344488003535893
"saucie",0.167134137777443,0.614434371055618,0.173907675085853,0.920978293949465
"snmf",0.630278255376244,0.900528001535497,0.932858832427017,0.217720637760014
"spca",0.126011886785979,0.411713736479505,0.00383357491971008,0.124450804202225
"spca-batch",0.0154028829337275,0.137061459546109,0.00807430370193715,0.497962082949206
"spectral",0.000896327135537501,0.681528665630023,4.21465016371386e-05,0.000523827529059706
"srp",0.427105561105211,0.759876793622547,0.19492386531991,0.215703707175504
"tsvd",0.967152250502075,0.736940541717309,0.685202455719631,0.188846591640765
"umap",0.323776172501941,0.376941626373031,0.0220194961575601,0.0169705636075233
"vasc",0.679128471078829,0.580087437158819,0.00205247582201508,0.0488170062390775
"vpac",0.00974791412801734,0.415006977322967,0.0522653056677495,0.237530649113599
"zifa",0.0398072970529647,0.164359920182592,0.920704173942556,0.512722483919169
