"","method","ss_euc","ss_seu","ss_cor","ss_cos","vrc","dbs"
"1","bd",0.569155844727709,0.382840739793007,0.472892902154366,0.473337907070498,0.546361651311272,0.546548642090811
"2","fa",0.578313497463461,0.446629555557922,0.373706480933089,0.337333577371134,0.533693057420065,0.513659077456116
"3","fica",0.622308891707232,0.388326116682046,0.356341435756023,0.347582819843653,0.651751776649158,0.66447582850046
"4","grp",0.823070155955203,0.305661485995087,0.854620480859435,0.856217779181808,0.767394762258819,0.33352139924734
"5","icm",0.579663131561011,0.413068425929199,0.422805629505693,0.477410772833654,0.57409845177815,0.145718121946059
"6","ipca",0.766730395607935,0.389503268700299,0.529732778147547,0.512025518048511,0.725770317541357,0.812335757047803
"7","isomap",0.720431234817899,0.225946280810423,0.419152901173989,0.389640478666198,0.655828486966507,0.668438550057373
"8","ivis",0.365893494607001,0.152243737280546,0.462955527311567,0.430418912971632,0.415171663078728,0.403712937532145
"9","kpca-cos",0.582655567134809,0.241939214965124,0.569764491201246,0.53627510005089,0.540360882173649,0.612021818573924
"10","kpca-pol",0.737573225645794,0.475164938554698,0.343856296480811,0.296744360559792,0.686174573976954,0.690200955407747
"11","kpca-rbf",0.300399627227503,0.181387510584908,0.472481560505975,0.452446101414801,0.321975836997874,0.0215040005297959
"12","lda",0.436793573427188,0.273455270501252,0.453787249923668,0.525381270925586,0.491530750904202,0.466839177349637
"13","lle",0.392758324260783,0.112213044988436,0.264531199251456,0.251081830544025,0.438208426739688,0.307747534739387
"14","lsnmf",0.549587265609902,0.384726757818265,0.336649380221676,0.45239258348178,0.57915303907012,0.015917420654263
"15","mctsne",0.640522591561762,0.240787884973061,0.395538449993706,0.372879574330123,0.639852184981087,0.499717816486215
"16","nmf",0.627090274728947,0.402322586152525,0.523423172848998,0.558011592919297,0.618398681403568,0.704978281682282
"17","nmf2",0.715843096824046,0.28203352969203,0.506242689179482,0.699559501145106,0.664005183725276,0.697481206823434
"18","nsnmf",0.628620098765906,0.349394478493305,0.399960226536447,0.651575318368265,0.557222240930463,0.482273620827826
"19","pca",0.758967540615181,0.387553095929467,0.517699800596252,0.502667441395824,0.713806950122437,0.812370971580467
"20","phate",0.489702992380413,0.276197581005558,0.42649633684123,0.374638936663005,0.491017210246646,0.686008609289561
"21","pmf",0.650180077000798,0.352954526602821,0.47675539383485,0.644681872498495,0.581986272222777,0.568972889486021
"22","psmf",0.556915305977746,0.400237257174363,0.510100549546826,0.55220592101371,0.511649058984949,0.508720513855941
"23","saucie",0.00520316201188648,0.00996785225615564,0.00696390702011155,0.00720149365214432,0.0057987190329232,0.00210344746083459
"24","snmf",0.620610811692405,0.414621999412599,0.492822807310168,0.536750738665918,0.621901760288643,0.677209731565529
"25","spca",0.752496061562159,0.390259216203403,0.49208642795346,0.471038051089475,0.71086920473961,0.798547649804051
"26","spca-batch",0.708311088173221,0.352680211386795,0.486241726956121,0.444171333005998,0.690325372606017,0.733913331638511
"27","spectral",0.504048703438505,0.250726657400882,0.196971626594799,0.231842014706157,0.57463666775922,0.491004994342532
"28","srp",0.588119261074812,0.451624171547714,0.620906174163639,0.611738794894374,0.438045695042286,0.17427304249075
"29","tsvd",0.746719231579086,0.409626004565544,0.788106081695529,0.737276139551333,0.683900500411984,0.794495529509648
"30","umap",0.601633110093075,0.190632929187246,0.432937885545085,0.403830345578525,0.604205312266069,0.551671174818388
"31","vasc",0.33539172732166,0.281653045801535,0.301372308322491,0.310539478375532,0.402334577162956,0.489605300960441
"32","vpac",0.419399176522031,0.274232453230719,0.405147856980583,0.41260369458539,0.43276616819401,0.457719081573592
"33","zifa",0.484902760780598,0.382753887582737,0.510877908236192,0.508479229635069,0.462295762429366,0.407629606583424
