"","r.euc","r.seu","r.cos","r.cor"
"bd",0.83986518444501,0.247029295954939,0.589805089959961,0.473008523442176
"fa",0.420772798153688,0.081653189264551,0.000261816220155036,0.221012528348933
"fica",0.40381150201327,0.892770548804443,0.00178278321596909,0.145345482205422
"grp",0.000439810675362463,0.395934270412519,0.0758415673754102,0.0808855258464426
"icm",0.480065130837254,0.391361903019703,0.757166880284598,0.352849765273354
"ipca",0.055274250062201,0.724022100701495,0.468383673674824,0.641299921751161
"isomap",0.26054276272538,0.644691913999585,0.0311616024702123,0.192421602913052
"ivis",0.885747776463378,0.711684405409506,0.646570517175671,0.766360099455855
"kpca-cos",0.602770222009316,0.875997942104225,0.0741849122357018,0.923718521683706
"kpca-pol",0.838577240433696,0.776746187167196,0.000180110024646844,0.0145792758860263
"kpca-rbf",0.0345460002190096,0.0245628282357916,0.105036194467193,0.778270274812826
"lda",0.0593137031139094,0.754899365592863,0.87093554032357,0.0964325883578245
"lle",0.0325707760431708,0.0074522274805188,0.000400775997183035,0.00529345975725586
"lsnmf",0.00518151842810944,0.00450067749792005,0.0135198246181905,0.000248373879993148
"mctsne",0.700191143778099,0.419737822185599,0.00889824704300515,0.165333295979708
"nmf",0.71122133706744,0.661823051493854,0.92737353082394,0.365318093571068
"nmf2",0.166181552775711,0.21314050733915,0.653727100061807,0.0245398745752676
"nsnmf",0.063100855205688,0.129666294080907,0.000235564714502376,0.0505421879247952
"pca",0.207854572199608,0.515831999031991,0.129148053197952,0.94750086649723
"phate",0.435762360853777,0.78427727557359,0.145345482205422,0.471939074362866
"pmf",0.745076276893128,0.298825852007717,0.716361051291213,0.549850498052255
"psmf",0.909572432919562,0.502130326716135,0.69198923002258,0.504582502844456
"saucie",0.165247290251394,0.840345140972392,0.41252044381371,0.607031636713219
"snmf",0.986859145837079,0.735707022878938,0.402677299256443,0.804874414305974
"spca",0.425263377339709,0.561907190171748,0.112472235422239,0.969036460529384
"spca-batch",0.253328070250774,0.588188917448304,0.0275558093832405,0.570056164027019
"spectral",0.00631740669396608,0.160147288329037,8.90845948843181e-05,0.0043153498179007
"srp",0.911236322804992,0.287414132329401,0.43373555105372,0.346369155461788
"tsvd",0.219232451696785,0.583676548035193,0.0711449758901437,0.00638985347021713
"umap",0.927478134426355,0.280336887745449,0.0106351029031234,0.013151386455032
"vasc",0.928823405425733,0.480423185850048,0.00858969989986362,0.239008450613126
"vpac",0.0164775243465814,0.970024351737019,0.0799584847270313,0.163549794744014
"zifa",0.100635619169916,0.696796736759582,0.150867856326025,0.58902231609488
