"","r.euc","r.seu","r.cos","r.cor"
"bd",0.258426038026092,0.642343104672885,0.97683218063272,0.860980972839701
"fa",0.35227979951014,0.0560094401494702,7.84118187546018e-05,4.81002003773618e-05
"fica",0.0773826844359049,0.834956867314325,0.00166894355451695,0.00145409597572981
"grp",0.000250970370396902,0.395475624247911,0.0181968353464244,0.0184084074582076
"icm",0.992553292345753,0.452221039910817,0.755853600383014,0.102519431932843
"ipca",0.556045516949375,0.413123271715365,0.180691613025293,0.15246978459335
"isomap",0.824866143224157,0.79750378260603,0.0979872897125607,0.150122287337608
"ivis",0.714819462621231,0.984800486080089,0.472054471330863,0.939802540072105
"kpca-cos",0.00307581061156919,0.0364601909199001,0.013151386455032,0.0150839909414118
"kpca-pol",0.45903918920008,0.88050862132785,0.00332500770867067,0.00297459194712378
"kpca-rbf",0.00802890536435303,0.320502161807854,0.0674862638616558,0.239858087482529
"lda",0.00194901280112206,0.845820423243514,0.496131133360146,0.0141860346846024
"lle",0.000993915791077311,0.00287318222885476,0.000124823140877774,1.34147537751507e-05
"lsnmf",0.00847047172067975,0.0061265306016758,0.0322198334249899,0.00017623661231744
"mctsne",0.71737505203706,0.30777164812302,0.145182818305168,0.105928295123219
"nmf",0.615877316958573,0.660635909941732,0.34123713741881,0.182032718644657
"nmf2",0.125082452973225,0.581426272672658,0.588611504357085,0.0429807456701066
"nsnmf",0.645791094160477,0.195890417901333,0.000108740163569772,0.0735112159391182
"pca",0.681138388431406,0.592716931685813,0.147143798362062,0.298294232489609
"phate",0.638635791838325,0.621362759735449,0.219691611285569,0.122723316384702
"pmf",0.373012664064772,0.90635221423555,0.666248896411599,0.19584241520264
"psmf",0.967152250502075,0.0129739173625678,0.822736123452785,0.34805635999277
"saucie",0.312002154284036,0.336709132806476,0.0870317872667976,0.822273263768733
"snmf",0.830858572609754,0.992830360101535,0.917782523102469,0.315925151023097
"spca",0.0671417932695128,0.916070001681274,0.0126149878885819,0.0723676900217567
"spca-batch",0.0140568740910789,0.604676389639998,0.00927802251921534,0.017313481410689
"spectral",0.0143569390182169,0.868917710049581,0.00473849676096285,0.000366715067873205
"srp",0.0246005299659692,0.648556012020085,0.0454495891266435,0.174527516966894
"tsvd",0.999790720785763,0.917366662155157,0.685625908792496,0.176523424154407
"umap",0.838895532517401,0.19937495536906,0.0205087002842856,0.064152096571875
"vasc",0.735090512175124,0.941557287464272,0.00627277883877475,0.0547083277849791
"vpac",0.0455658569661256,0.606966286618787,0.0646695283666928,0.114630784424681
"zifa",0.0747263095930706,0.371610589020572,0.961278385128392,0.70455579469278
