"","r.euc","r.seu","r.cos","r.cor"
"bd",-0.0380789022298456,0.234042553191489,-0.104983067247218,-0.274552491533624
"fa",-0.116752429959977,-0.259574468085106,0.473794549266247,0.160216094178358
"fica",0.122222222222222,0.0204131976564909,0.418561522335107,0.198435736171585
"grp",0.502420430722317,-0.236262719703978,0.285760361232059,0.281890017739074
"icm",-0.0732990280160091,0.0681467776749923,0.0135462022254475,0.0965166908563135
"ipca",-0.14190966266438,0.080604378661733,0.153281728753427,-0.0248347040799871
"isomap",-0.227977892128836,-0.0160962072155412,0.234236413481696,0.0438638929204967
"ivis",0.0689176688251619,0.0412955465587045,0.13691026827012,0.0833718778908418
"kpca-cos",0.141452258433391,-0.0246068455134135,0.327930978874375,0.016610224157394
"kpca-pol",0.171869639794168,-0.0105457909343201,0.409933881631995,0.245847443960651
"kpca-rbf",0.283044733044733,0.438791242676534,0.172472181906144,-0.109901628769553
"lda",0.0990661330283972,-0.155720012334258,-0.085711981938397,0.109820996613449
"lle",0.368253968253968,0.427197039777983,0.446460248347041,0.367601999677471
"lsnmf",0.342135642135642,0.389207523897626,0.311804547653604,0.474439606515078
"mctsne",0.0766533257099295,0.190502621029911,0.216336074826641,-0.0724883083373649
"nmf",0.0578235182008767,-0.037804502004317,0.0212868892114175,0.097323012417352
"nmf2",0.213780663780664,0.104162812210916,0.0380583776810192,0.298016448959845
"nsnmf",0.0441558441558442,-0.307431390687635,0.0936945653926786,0.0952265763586518
"pca",-0.0417381360777587,0.0313906876349059,0.253184970166102,-0.0200774068698597
"phate",-0.192640692640693,0.222448350292939,0.241896468311563,-0.0603934849217868
"pmf",-0.0307604345340194,-0.108849830403947,-0.00661183680051605,0.0075794226737623
"psmf",-0.00822510822510823,0.0538390379278446,-0.0499113046282858,-0.0844218674407353
"saucie",-0.0310653706880122,-0.0760210803689064,0.149975810353169,0.0195129817771327
"snmf",0.0379264341528492,0.12809127351218,-0.0903886469924206,0.0563618771165941
"spca",-0.0192640692640693,0.196669750231267,0.274229962909208,0.0826479600064506
"spca-batch",0.177777777777778,0.13240826395313,0.29519432349621,-0.0179809708111595
"spectral",0.349621028866312,-0.161270428615479,0.48766328011611,0.37283360368821
"srp",-0.0572871572871573,0.128584643848289,-0.0433706138478613,-0.000542986425339366
"tsvd",-0.023015873015873,0.00524205982115325,-0.0728108369617804,-0.210933720367683
"umap",-0.038023088023088,0.229478877582485,0.250927269795194,0.14392839864538
"vasc",-0.117238384715588,-0.0796531885584637,0.308048103607771,0.0947039777983349
"vpac",-0.00966810966810967,-0.186308973172988,0.16610224157394,0.0404773423641348
"zifa",0.164753901560624,-0.0414634146341464,0.214387755102041,-0.114591836734694
