method,r.euc,r.seu,r.cor,r.cos
bd,0.540730709941275,0.38284073979300653,0.41362990148060796,0.4053744404672699
fa,0.5783134974634612,0.4466295555579224,0.3609670875732693,0.3691165909823198
fica,0.6223088917072324,0.38832611668204603,0.34439648189577526,0.3581461151607637
grp,0.8172505035789628,0.30566148599508663,0.7699137143472411,0.7941683626314516
icm,0.5858918775938048,0.4130684259291985,0.3956546144879015,0.425648450806999
ipca,0.7725929009221679,0.3895032687002988,0.4764299891980427,0.47997201933759
isomap,0.7334887981065833,0.22594628081042323,0.37323482111835815,0.4052536430465715
ivis,0.3549095582648248,0.15224373728054622,0.3714760624302784,0.3824399040116088
kpca-cos,0.5870236912435702,0.24193921496512444,0.5136392333169284,0.5324937152032111
kpca-pol,0.7499429357643741,0.475164938554698,0.31047914710542973,0.27714970357115
kpca-rbf,0.3134994773272718,0.18138751058490782,0.4466862046184777,0.4666647673656425
lda,0.43881815026796656,0.2734552705012519,0.4776726912523185,0.5331483890623848
lle,0.38293651345217655,0.11221304498843596,0.2602763788997063,0.2755611639746415
lsnmf,0.5589610638497566,0.38472675781826526,0.33458022422697953,0.40919503141342844
mctsne,0.6492483700918908,0.2407878849730606,0.3504611852019902,0.37708631694106026
nmf,0.630267023893926,0.4023225861525253,0.47599501977058545,0.5000143333206146
nmf2,0.7324667251845939,0.28203352969202966,0.42450428740420754,0.5808295477468355
nsnmf,0.636268480281573,0.34939447849330457,0.43217843934251043,0.6427859548774156
pca,0.7636787505809572,0.3875530959294668,0.4695723704744197,0.4696541610205066
phate,0.4973348961196752,0.27619758100555764,0.347983609621658,0.35719225834271706
pmf,0.6533651910930941,0.35295452660282084,0.46901768959784235,0.6128017007658898
psmf,0.511760767398107,0.4002372571743628,0.4614036005542153,0.4848779197647317
saucie,0.0054007098059059904,0.009967852256155636,0.0029350413676424263,0.003999459244423694
snmf,0.6122643514221802,0.41462199941259886,0.4458144102318926,0.4881972348210489
spca,0.7536566993837319,0.390259216203403,0.4589337878226585,0.46520561305706665
spca-batch,0.7090718849976658,0.35268021138679534,0.42993790406224497,0.4381883337243266
spectral,0.5091984066824017,0.2507266574008817,0.22430397487431628,0.25431213280108317
srp,0.6143932002796704,0.45162417154771406,0.6600123853621812,0.6517532330217148
tsvd,0.7414343204784741,0.409626004565544,0.6308065861992678,0.647585684213299
umap,0.6132422470817803,0.19063292918724634,0.3533845931894236,0.37857911788473225
vasc,0.3485472018746832,0.28165304580153544,0.24654285127956052,0.3300390852067853
vpac,0.4614388796122679,0.27423245323071865,0.40639362670500995,0.41586474943334134
zifa,0.45340292979116065,0.38275388758273654,0.47474745905818544,0.5528111577616801
