method,r.euc,r.seu,r.cor,r.cos
bd,0.5691558447277092,0.3434244017936207,0.48268516545684753,0.49503457834234676
fa,0.5783134974634612,0.4466295555579224,0.3609670875732693,0.3691165909823198
fica,0.6223088917072324,0.38832611668204603,0.34439648189577526,0.3581461151607637
grp,0.8230701559552028,0.32020134142805395,0.7899220907881378,0.8082088427001877
icm,0.5796631315610106,0.4052983110533044,0.39564439498230863,0.4314795723142613
ipca,0.7667303956079349,0.45405783731499916,0.483763377417506,0.48090985902181926
isomap,0.7204312348178994,0.2398414753128484,0.38100328770911673,0.4040948369605588
ivis,0.36589349460700077,0.13698274618153822,0.37151231332855605,0.3902440629456639
kpca-cos,0.5826555671348087,0.2483862338162653,0.5346951691098993,0.5354173000465696
kpca-pol,0.7375732256457935,0.530541114046895,0.3201158217050092,0.27465754090453803
kpca-rbf,0.3003996272275025,0.20185313534794613,0.4634090912531682,0.47022454404996755
lda,0.4367935734271878,0.27816997381935,0.4507522990800721,0.5360223457953115
lle,0.39275832426078283,0.11812982431710076,0.2511822056375584,0.28481330722095494
lsnmf,0.5495872656099021,0.38173836114473025,0.33177700113620223,0.40840277983323886
mctsne,0.6405225915617622,0.24338490604889038,0.3357201521389638,0.36264879016784846
nmf,0.6270902747289469,0.41950327512425134,0.47566816490630637,0.5035973775261123
nmf2,0.7158430968240458,0.2955450797289924,0.41135232667627225,0.6063633548366715
nsnmf,0.6286200987659064,0.392917063500475,0.4030338820895342,0.6520676462248294
pca,0.7589675406151813,0.44435288469113116,0.47962509558344035,0.4708944950597546
phate,0.48970299238041304,0.25583261671747126,0.39842287138211896,0.36908551300346654
pmf,0.6501800770007983,0.36917725922529043,0.47679336764233676,0.6208593075182607
psmf,0.5569153059777457,0.4088283724769472,0.5017037221142654,0.5438482773335769
saucie,0.005203162011886476,0.010707020835421592,0.001984449078272044,0.0032443628138196026
snmf,0.620610811692405,0.40884437208318347,0.4475162920403057,0.48820784510343873
spca,0.7524960615621589,0.4571705508955514,0.47129797419445324,0.4666274389952971
spca-batch,0.7083110881732207,0.36531563133606265,0.433653729062489,0.44014447580010013
spectral,0.5040487034385046,0.23935512147669363,0.2432529366667025,0.2735819255944541
srp,0.5881192610748119,0.4704962496853664,0.6355412938480368,0.6403219655351258
tsvd,0.746719231579086,0.46291679228828914,0.7035480744689656,0.7107070328282784
umap,0.601633110093075,0.19705556653913647,0.34266820958568067,0.35511383687513626
vasc,0.33539172732166045,0.2621382464265407,0.248047835928761,0.32145945148678595
vpac,0.41939917652203135,0.2714047785332829,0.39273674291372085,0.41542397407655446
zifa,0.48490276078059785,0.3984421588697868,0.4539433424463685,0.5297471604594796
