"","r.euc","r.seu","r.cos","r.cor"
"bd",0.784060969268148,0.117357453239861,0.453261973699106,0.0469680328779267
"fa",0.399402022802203,0.081653189264551,0.000395731246654559,0.251007326787806
"fica",0.372992600930422,0.892770548804443,0.00197515953754295,0.153993242782778
"grp",0.000133423430459968,0.113844747151636,0.038422081972728,0.0412140397503665
"icm",0.597409134730579,0.651759028783835,0.923261754705602,0.490659427279783
"ipca",0.305083767773677,0.593284026656741,0.272311626007568,0.859625168049167
"isomap",0.097326048031886,0.915421752833073,0.0914271817236679,0.754541009977962
"ivis",0.644340976064185,0.802433999338269,0.357635666343551,0.576319288923113
"kpca-cos",0.306657588777958,0.8708476908388,0.0169139801649533,0.905924283348608
"kpca-pol",0.213349401580269,0.944640869173256,0.00248402974965665,0.0761369567179992
"kpca-rbf",0.0366202778655693,0.00249879965795834,0.216196274802019,0.43228028391524
"lda",0.474931602960527,0.300369369375426,0.540642696268725,0.432619748691158
"lle",0.00594214455287189,0.0033160309151554,0.000904783273810387,0.00707539461705067
"lsnmf",0.0109051517112236,0.00788060741167105,0.023436644375997,0.000387779719322549
"mctsne",0.580699801528931,0.204089300353789,0.119603884542817,0.605017292538381
"nmf",0.6771096725101,0.802557614024435,0.879548847151581,0.487029324098453
"nmf2",0.116951265058539,0.489651255234461,0.786226381588025,0.0305967691475233
"nsnmf",0.748285799046928,0.0381167089705513,0.503475957397098,0.496497042082855
"pca",0.763866856764093,0.835595071906526,0.0675758510568275,0.886358737808284
"phate",0.158453890273125,0.137061459546109,0.0810926884877701,0.666667884552937
"pmf",0.824866143224157,0.470230361986462,0.962618595638217,0.957119437917115
"psmf",0.952521078355582,0.721569979263297,0.721960391649689,0.546772851342535
"saucie",0.823155837190746,0.618609186108967,0.28288222893291,0.889539528422872
"snmf",0.78490558907236,0.395017291037049,0.51870651949011,0.687744620615124
"spca",0.888808845857423,0.189615419437133,0.0472353816784602,0.555256382638613
"spca-batch",0.193574112762932,0.379173499073242,0.0322686407889527,0.898181731355937
"spectral",0.0106351029031234,0.283302596269343,0.000292004321329247,0.00679268950163668
"srp",0.677034345936034,0.393187089629489,0.759555082681491,0.997223902228367
"tsvd",0.867293840897545,0.972629885733021,0.603407930481049,0.129296981215482
"umap",0.782341819643426,0.124837442287644,0.0701233458332733,0.302913507813908
"vasc",0.426233494589796,0.614963233631668,0.0355956670361973,0.525421207740409
"vpac",0.944167125839401,0.214368325770408,0.233839275221061,0.772978748097082
"zifa",0.252063640779274,0.796383663198694,0.138821374688366,0.43183939237882
