method,r.euc,r.seu,r.cor,r.cos
bd,0.5166157450940199,0.34333610221214794,0.4728929021543654,0.47373617624111564
fa,0.5438735922783613,0.49744010743461253,0.37370648093308867,0.3437874372057933
fica,0.6314418760926429,0.41867432515962183,0.3563414357560225,0.3464869769826648
grp,0.8947617251727232,0.2888860610857509,0.8546204808594349,0.8607389641011236
icm,0.5937300651981919,0.46841370477887734,0.42280562950569256,0.4826564813511602
ipca,0.808378738662305,0.4595507373569691,0.5297327781475468,0.5023008297235624
isomap,0.7308594521428227,0.20793255686635298,0.4191529011739893,0.4139495456856639
ivis,0.3853044225044399,0.132729775770067,0.46295552731156736,0.42214249739635307
kpca-cos,0.5979727860156283,0.24605660456892914,0.5697644912012455,0.553148705697505
kpca-pol,0.7555229922273256,0.5218594890457169,0.34385629648081106,0.28677900239820736
kpca-rbf,0.2693950711217568,0.18782604401145403,0.47248156050597506,0.452361402291374
lda,0.42236738621982384,0.31031274628829697,0.4537872499236681,0.5424811255621885
lle,0.37488029184824073,0.13848572129720413,0.2645311992514561,0.2501642918699293
lsnmf,0.5472011473278469,0.3991255739907042,0.33664938022167645,0.43622077903408435
mctsne,0.6538100833173992,0.20105091966751737,0.3955384499937056,0.378113584202351
nmf,0.6439001012689403,0.4053131968823923,0.5234231728489982,0.5756607147808027
nmf2,0.7661221327998434,0.25443719340721743,0.5062426891794817,0.6937557479603748
nsnmf,0.6434805686672663,0.3928351467493549,0.3999602265364467,0.666841464799138
pca,0.785616002641081,0.4547785734677411,0.5176998005962516,0.49466545815982954
phate,0.5019942621941322,0.20389003619034313,0.42649633684122934,0.3744670127840776
pmf,0.6550563613489937,0.405805349595864,0.4767553938348496,0.6414447114728883
psmf,0.6129556681524956,0.43182560494024214,0.5101005495468263,0.5832224017986803
saucie,0.007694771862326201,0.008925341412239607,0.0069639070201115505,0.007994077421902494
snmf,0.637662286667411,0.4218244460143285,0.49282280731016825,0.5438399738176108
spca,0.7763495956828853,0.4790150384141947,0.4920864279534596,0.47070571609001216
spca-batch,0.7044071323855813,0.393052134803463,0.4862417269561205,0.4510903327278903
spectral,0.4479693894483576,0.28908145356284176,0.19697162659479897,0.18077908760479747
srp,0.6108254605376571,0.48332784900336123,0.6209061741636391,0.6081326615584451
tsvd,0.7792699663263492,0.4918236922578144,0.7881060816955289,0.7676260795281726
umap,0.613215914686976,0.1802789271045537,0.4329378855450854,0.41553263481525515
vasc,0.31297091046487674,0.3072553042586332,0.30137230832249073,0.3081412727749358
vpac,0.40290842205604377,0.3250069507319307,0.40514785698058275,0.396636424582929
zifa,0.4705397928470003,0.45262098615926916,0.5108779082361922,0.5417099807054192
