dataset,method,r.euc,r.seu,r.cor,r.cos,opt.type,opt.value
TabulaMuris_Bladder_10X,bd,0.7671090487075379,0.32954803185145004,0.692837342789413,0.687752626910836,ss_euc,0.29706034
TabulaMuris_Bladder_10X,fa,0.7597775636195829,0.28394663698419004,0.676967007994477,0.7289083640613431,ss_euc,0.30043355
TabulaMuris_Bladder_10X,fica,0.889570797953687,0.342521610426683,0.736803330264898,0.757102195340548,ss_euc,0.17299718
TabulaMuris_Bladder_10X,grp,0.98651912410973,0.504526608783156,0.978196144461206,0.979065485205587,ss_euc,0.10967715
TabulaMuris_Bladder_10X,icm,0.7814326117058911,0.329799104983636,0.6809659457613481,0.61077078092665,ss_euc,0.3117652
TabulaMuris_Bladder_10X,ipca,0.9378786317829398,0.34252161139369397,0.7690777561236909,0.7749316141513429,ss_euc,0.23763166
TabulaMuris_Bladder_10X,isomap,0.8846431530673492,0.5065721070398089,0.754717792824284,0.7743311814418911,ss_euc,0.27454945
TabulaMuris_Bladder_10X,ivis,0.64333988708486,0.0878937590035169,0.605951769885375,0.6084443951800289,ss_euc,0.43451026
TabulaMuris_Bladder_10X,kpca-cos,0.829975311953308,0.49285503448219004,0.7343151552272421,0.637819339487056,ss_euc,0.24470268
TabulaMuris_Bladder_10X,kpca-pol,0.765776835791228,0.723743436166067,0.666381213867621,0.52969787058895,ss_euc,0.15911378
TabulaMuris_Bladder_10X,kpca-rbf,0.6032517369517549,0.467360684394925,0.670146892758687,0.5477698025788189,ss_euc,0.17385334
TabulaMuris_Bladder_10X,lda,0.604250733187896,0.456630658497245,0.6430402581463579,0.5893368764355861,ss_euc,0.44314799999999993
TabulaMuris_Bladder_10X,lle,0.6374634915367821,0.0832371873905179,0.00377715017307025,0.634071404794145,ss_euc,0.49753496
TabulaMuris_Bladder_10X,lsnmf,0.7821613192902399,0.331298585931891,0.6803901999072471,0.6036532434938541,ss_euc,0.30526440000000005
TabulaMuris_Bladder_10X,mctsne,0.7621793097865981,0.412389864079313,0.150861262627981,0.57975834383692,ss_euc,0.30012736
TabulaMuris_Bladder_10X,nmf,0.7830352869918291,0.32974282777368796,0.673469330159004,0.569031990706152,ss_euc,0.31567731
TabulaMuris_Bladder_10X,nmf2,0.7882905037287501,0.3368650932858939,0.6822084240790561,0.6093480543806379,ss_euc,0.27603203
TabulaMuris_Bladder_10X,nsnmf,0.701541221564572,0.0472390563109854,0.591687661620152,0.733677241506836,ss_euc,0.342321
TabulaMuris_Bladder_10X,pca,0.9378786317541858,0.342521611384758,0.7610130085660691,0.774931614118569,ss_euc,0.23763166
TabulaMuris_Bladder_10X,phate,0.7763305014398589,0.43548287327685,0.694498031674145,0.5698756311393111,ss_euc,0.34876344
TabulaMuris_Bladder_10X,pmf,0.8206729021816801,0.263041301076638,0.7371968929416579,0.8353605300373471,ss_euc,0.31416708
TabulaMuris_Bladder_10X,psmf,0.7368623135238279,0.265047641333841,0.7666962500405959,0.794682926541977,ss_euc,0.26574296
TabulaMuris_Bladder_10X,saucie,-0.00422573984431323,0.011211547248728996,-0.0039209301225791296,-0.00489516364177144,ss_euc,-0.022727237999999997
TabulaMuris_Bladder_10X,snmf,0.78002311949161,0.329838427151272,0.687820307990095,0.626959463127306,ss_euc,0.30987123
TabulaMuris_Bladder_10X,spca,0.937878855478822,0.342520530879343,0.7571127634861671,0.7749294961354459,ss_euc,0.23763360000000003
TabulaMuris_Bladder_10X,spca-batch,0.8043835933641701,0.38332940438209995,0.687688491393323,0.582199102344975,ss_euc,0.17157824
TabulaMuris_Bladder_10X,spectral,0.347637582682568,0.34634653816069105,0.25646619181076696,0.23544005875031895,ss_euc,0.108399466
TabulaMuris_Bladder_10X,srp,0.5522783369012739,0.252850248704666,,0.6296302075379999,ss_euc,0.11383328599999999
TabulaMuris_Bladder_10X,tsvd,0.9290923834173629,0.33177793452128496,0.9124384405614159,0.933373981555948,ss_euc,0.2454826
TabulaMuris_Bladder_10X,umap,0.708154926662948,0.13794119038468397,0.6842807533141351,0.7223268045497909,ss_euc,0.37075877
TabulaMuris_Bladder_10X,vasc,0.6639366088508021,0.21803151087071804,0.0867792530305821,0.670434644547453,ss_euc,0.24039698
TabulaMuris_Bladder_10X,vpac,0.72928330345025,0.291390174140156,0.6868198945108211,0.678031510299824,ss_euc,0.422692
TabulaMuris_Bladder_10X,zifa,0.7356568990115709,0.577870629988936,0.6623307774830961,0.7122439122405709,ss_euc,0.10589077
TabulaMuris_Bladder_FACS,bd,0.780862950602337,-0.170711240190695,0.498978386710914,0.5572136332249449,ss_euc,0.39705482
TabulaMuris_Bladder_FACS,fa,0.6909152136580269,-0.143583235238044,0.24953378136490603,0.305379698438973,ss_euc,0.4114494000000001
TabulaMuris_Bladder_FACS,fica,0.854661490485542,0.0956304455089539,0.4202714630020471,0.518150419330332,ss_euc,0.37727059999999996
TabulaMuris_Bladder_FACS,grp,0.7693242435440509,0.21299069961629896,0.875339121806643,0.8879084293399879,ss_euc,0.14181913
TabulaMuris_Bladder_FACS,icm,0.715709241478689,0.353565767920279,0.435155633394531,0.419201921341876,ss_euc,0.36054376
TabulaMuris_Bladder_FACS,ipca,0.85837539491888,0.0956304446971544,0.43378320311018603,0.635834591920967,ss_euc,0.35978946
TabulaMuris_Bladder_FACS,isomap,0.8094497030787529,-0.19897818728546698,0.227835634248309,0.721999258763774,ss_euc,0.39262745
TabulaMuris_Bladder_FACS,ivis,0.698546867807238,-0.0649687002807364,0.545839967637673,0.473113802461695,ss_euc,0.48806047
TabulaMuris_Bladder_FACS,kpca-cos,0.803976821008803,-0.22201643839282,0.6681566963212929,0.8925467308228029,ss_euc,0.44877762
TabulaMuris_Bladder_FACS,kpca-pol,0.8715079240906299,0.248848301373224,0.43143100032626097,0.499983271947044,ss_euc,0.35708603
TabulaMuris_Bladder_FACS,kpca-rbf,0.7347112557780648,-0.0224770599102549,0.40515345420476295,0.7830184023675071,ss_euc,0.35512826
TabulaMuris_Bladder_FACS,lda,0.670640635691393,-0.10421815251069098,0.38109444246247204,0.7724824118281161,ss_euc,0.40287638
TabulaMuris_Bladder_FACS,lle,0.804379999419346,0.0520227045993789,0.0055166100005654,0.5260918471818921,ss_euc,0.18928795
TabulaMuris_Bladder_FACS,lsnmf,0.7095376788175671,0.35009205413830696,0.434449774595253,0.3679284036048529,ss_euc,0.37574443
TabulaMuris_Bladder_FACS,mctsne,0.7341939515577701,0.17800870967669896,0.42223944111629796,0.43397109223848707,ss_euc,0.3848439
TabulaMuris_Bladder_FACS,nmf,0.687134432821183,0.353528748315919,0.42895056921605496,0.371556545242633,ss_euc,0.38188043
TabulaMuris_Bladder_FACS,nmf2,0.757111323028633,0.222228159190005,0.43174100973290896,0.42792092551500605,ss_euc,0.38876694
