path,calinski-harabaz,davies-bouldin,dunn-index,silhouette-score
data/embeddings/koh/sdae/koh_10000_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,70.73853587217442,3.1750049779408394,0.21141155677186646,-0.027470404
data/embeddings/koh/sdae/koh_10000_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,15.505069771187998,4.45478897002738,0.3564721773015961,0.034340255
data/embeddings/koh/sdae/koh_9796-1959-1000_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,62.331952859299584,3.222694369601667,0.19657406694448526,-0.031460002
data/embeddings/koh/sdae/koh_9796-1959-1000_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
data/embeddings/koh/sdae/koh_9796-1959-1000_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,103.08863685982797,4.229416190040762,0.317302868936233,0.011214872
data/embeddings/koh/sdae/koh_9796-1959-391-100_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,65.59861896116972,3.4354313515305193,0.1764152802540469,-0.051929675
data/embeddings/koh/sdae/koh_9796-1959-391-100_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
data/embeddings/koh/sdae/koh_9796-1959-391-100_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,116.81154982274987,5.128423911536769,0.19039989027809173,-0.034434926
data/embeddings/koh/sdae/koh_9796-1959-391-250_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,63.938035309833026,3.259578853337158,0.1904019400965205,-0.040867984
data/embeddings/koh/sdae/koh_9796-1959-391-250_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
data/embeddings/koh/sdae/koh_9796-1959-391-250_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,86.74851426431626,4.921214303133481,0.23511249311016377,-0.016013714
data/embeddings/koh/sdae/koh_9796-1959-391-78-15-10_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,36.25694851057147,3.4612317872729936,0.17898871240323394,-0.07390828
data/embeddings/koh/sdae/koh_9796-1959-391-78-15-10_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
data/embeddings/koh/sdae/koh_9796-1959-391-78-15-10_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,218.31614857447394,6.518956463437767,0.05926218460241328,-0.08970082
data/embeddings/koh/sdae/koh_9796-1959-391-78-15-5_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,26.797806779150303,5.805284695120633,0.11635854636629349,-0.14975563
data/embeddings/koh/sdae/koh_9796-1959-391-78-15-5_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
data/embeddings/koh/sdae/koh_9796-1959-391-78-15-5_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,221.30158095243056,5.698980920155651,0.09411029587059244,-0.102145046
data/embeddings/koh/sdae/koh_9796-1959-391-78-25_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,72.125575147575,3.2069258541537744,0.21167752118309754,-0.026356611
data/embeddings/koh/sdae/koh_9796-1959-391-78-25_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
data/embeddings/koh/sdae/koh_9796-1959-391-78-25_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-true.pt.pickle,144.22978365481757,6.091040998861273,0.10632747117468458,-0.07516178
data/embeddings/koh/sdae/koh_9796-1959-391-78-50_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-false_scale-true.pt.pickle,73.06629584317976,3.719862020704733,0.13690840224099218,-0.05456278
data/embeddings/koh/sdae/koh_9796-1959-391-78-50_plr-1.0_tlr-0.1_step-0.985_pepoch-500_tepoch-1000_log-true_scale-false.pt.pickle,1.0,0.0,nan,0.0
