Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
baron-human,pca,90,2,44.394,3,35.793,0,21.909
baron-human,isomap,90,7,5.846,33,41.391,1,6.927
baron-human,lle,90,6,41.325,33,28.638,0,58.618
baron-human,spectral,90,9,4.497,64,2.641,0,19.576
baron-human,mds,90,27,22.619,151,12.423,74,53.202
baron-human,fa,90,9,33.551,61,13.003,11,38.662
baron-human,fica,90,5,5.782,27,52.911,0,57.923
baron-human,nmf,90,9,10.014,60,41.126,10,54.363
baron-human,lda,90,38,4.175,195,5.358,220,30.434
baron-human,mctsne,90,4,8.838,8,27.967,0,46.282
baron-human,umap,100,24,39.096,24,7.377,0,14.305
baron-human,pca,100,2,48.122,3,50.191,0,18.125
baron-human,isomap,100,7,4.748,34,0.806,1,10.069
baron-human,lle,100,6,42.929,33,35.084,1,0.253
baron-human,spectral,100,8,48.198,63,27.111,0,18.338
baron-human,mds,100,27,24.845,152,51.337,73,52.462
baron-human,fa,100,8,30.007,52,42.740,8,45.029
baron-human,fica,100,5,4.916,27,9.404,0,50.246
baron-human,nmf,100,9,34.967,61,36.315,13,13.639
baron-human,lda,100,39,7.660,205,1.405,221,46.656
baron-human,mctsne,100,7,51.252,19,7.458,0,18.230
baron-human,umap,125,26,9.805,25,53.796,0,13.852
baron-human,pca,125,2,45.968,3,51.488,0,19.087
baron-human,isomap,125,7,9.874,33,55.201,1,13.852
baron-human,lle,125,6,40.345,33,33.163,1,1.529
baron-human,spectral,125,9,14.635,64,46.732,0,22.462
baron-human,mds,125,28,18.419,165,49.202,80,16.065
baron-human,fa,125,10,46.791,74,8.767,11,50.997
baron-human,fica,125,5,7.925,28,30.925,1,28.559
baron-human,nmf,125,11,0.214,67,20.418,12,45.592
baron-human,lda,125,45,39.308,243,0.901,257,17.284
baron-human,mctsne,125,4,22.128,8,38.897,0,47.359
baron-human,umap,150,26,4.792,25,58.536,0,13.693
baron-human,pca,150,2,54.882,4,3.612,0,21.979
baron-human,isomap,150,7,7.962,34,8.535,1,14.731
baron-human,lle,150,6,44.928,33,36.982,1,3.677
baron-human,spectral,150,9,29.914,65,21.899,0,25.768
baron-human,mds,150,29,7.421,173,58.913,80,26.768
baron-human,fa,150,9,54.395,67,20.447,10,21.141
baron-human,fica,150,5,9.236,28,40.581,1,42.378
baron-human,nmf,150,13,0.105,76,40.267,14,51.412
baron-human,lda,150,51,58.785,278,14.469,296,56.919
