dataset,method,file,opt_res,clusters,epsilon,min_samples,vrc,ss,db,di,ari,nmi
baron-human,fa,2-log-False.pickle,vrc,2,0.09983390555080185,40,2216.313898069135,0.1999369,0.7493150528371691,2.061327456142915,0.2616963979785001,0.3766970591342158
baron-human,fa,2-log-False.pickle,ss,2,2.119557913760812,2,106.91292804193002,0.8343642,0.14820540895258943,8.759879236728603,9.104027043693813e-05,0.005237071135351772
baron-human,fa,2-log-False.pickle,db,2,0.0014756332715326408,3,3.284120822192556,-0.2783099,0.0007256631711548001,2506.6478970527555,0.00013280085389405158,0.011409350078068002
baron-human,fa,2-log-False.pickle,di,2,0.0014756332715326408,3,3.284120822192556,-0.2783099,0.0007256631711548001,2506.6478970527555,0.00013280085389405158,0.011409350078068002
baron-human,fa,2-log-False.pickle,ari,295,0.04297522278585719,2,38.950437879219,-0.4957541,0.5982735753784618,0.07598604941734985,0.28206570605228415,0.3760022911432837
baron-human,fa,2-log-False.pickle,nmi,7,0.0808654634961495,17,888.662363098062,0.09899397,0.705599627844483,0.7216710559283714,0.27697219616243135,0.3844220820151481
baron-human,fa,3-log-False.pickle,vrc,2,0.2576887603660059,50,1234.625945634821,0.2011633,0.69087606934826,2.0009064518498834,0.1793954536100392,0.2926067379758466
baron-human,fa,3-log-False.pickle,ss,3,3.589489938459265,2,107.36154087777582,0.8061191,0.14502630316528076,7.602924838283052,0.0002818228510530064,0.012474397939420206
baron-human,fa,3-log-False.pickle,db,5,0.0038088674022933268,2,0.6604668039332445,-0.5550238,0.013375370213606658,80.96544901731544,-2.3556683995667034e-05,0.013708024184576914
baron-human,fa,3-log-False.pickle,di,2,0.003427980662063994,2,0.25544829823143567,-0.4149942,0.020766349093545026,89.82261252347014,-3.237588092167453e-05,0.007772059385485891
baron-human,fa,3-log-False.pickle,ari,197,0.13694637249767055,2,32.22824620980342,-0.4803418,0.9708139798107467,0.06005943230973603,0.3097744886017749,0.4105058228917737
baron-human,fa,3-log-False.pickle,nmi,16,0.15216263610852285,8,279.4479359656194,0.02953119,0.9003353336566678,0.36448507684718423,0.2993931876495713,0.4407758405756629
baron-human,fa,4-log-False.pickle,vrc,2,0.5387631832152914,36,1542.6982046301669,0.5012503,0.7152700035413697,2.7633957268524165,0.08153331094818937,0.2494166343602262
baron-human,fa,4-log-False.pickle,ss,3,3.589489938459265,2,58.72334242605229,0.69891113,0.16418450526037617,6.574241423065546,0.00035565811284970323,0.014110423717481814
baron-human,fa,4-log-False.pickle,db,3,0.004702305434930033,2,0.4071411644087153,-0.52820265,0.009710310093181218,158.44003326876413,-0.00027274592380684923,0.006677489154987234
baron-human,fa,4-log-False.pickle,di,3,0.004702305434930033,2,0.4071411644087153,-0.52820265,0.009710310093181218,158.44003326876413,-0.00027274592380684923,0.006677489154987234
baron-human,fa,4-log-False.pickle,ari,279,0.13694637249767055,2,20.749639983825272,-0.50294954,0.8125898793809747,0.12760384014554313,0.38222148935563177,0.43475521151335766
baron-human,fa,4-log-False.pickle,nmi,47,0.13694637249767055,5,80.65768079082808,-0.32064387,0.7883505557187965,0.26841667263625074,0.3632328284511997,0.45952442502024465
baron-human,fa,5-log-False.pickle,vrc,2,0.5986257591281016,50,1281.9223853699627,0.4688249,0.7000173613171091,2.780182332847405,0.11372769228999982,0.27123423368676475
baron-human,fa,5-log-False.pickle,ss,2,4.431469059826253,2,175.96229957587158,0.87463814,0.13538784213186095,11.730055325259165,0.00019073675299194215,0.012405130830713222
baron-human,fa,5-log-False.pickle,db,2,0.007167055989833917,2,0.27654301041985124,-0.47751397,0.006643413714752976,266.02956485253145,-0.0001727062134609281,0.006711311901030418
baron-human,fa,5-log-False.pickle,di,2,0.007167055989833917,2,0.27654301041985124,-0.47751397,0.006643413714752976,266.02956485253145,-0.0001727062134609281,0.006711311901030418
baron-human,fa,5-log-False.pickle,ari,347,0.15216263610852285,2,12.169163600344664,-0.4469607,0.7167162809386051,0.20130140073470174,0.3527572503854116,0.4452096483208656
baron-human,fa,5-log-False.pickle,nmi,5,0.2576887603660059,22,401.64965564191635,0.14051327,0.6952006578263329,1.6331717208666983,0.3502861923236512,0.4943937571506313
baron-human,fa,8-log-False.pickle,vrc,2,0.5387631832152914,36,683.1809167571203,0.32651275,0.808801031478059,2.180368996318817,0.1386669699837735,0.27061521989066795
baron-human,fa,8-log-False.pickle,ss,2,4.431469059826253,4,265.19639630392777,0.84220475,0.18612462605521696,10.43090279149611,0.0007466274924344799,0.03255543816942382
baron-human,fa,8-log-False.pickle,db,2,0.022838795372538738,2,0.592180858880574,-0.39288706,0.010474655612813468,186.12833646367866,1.2771516823174824e-05,0.008992295074924505
baron-human,fa,8-log-False.pickle,di,2,0.022838795372538738,2,0.592180858880574,-0.39288706,0.010474655612813468,186.12833646367866,1.2771516823174824e-05,0.008992295074924505
baron-human,fa,8-log-False.pickle,ari,375,0.2087278958964648,2,8.771146769268357,-0.548243,0.8560878342710108,0.145524079476691,0.33412615865973394,0.44178854032615217
baron-human,fa,8-log-False.pickle,nmi,6,0.31813427205679745,22,221.91727326575435,0.0043791123,0.8368121407975894,1.1461657671645729,0.31622363359798816,0.4723002244339387
baron-human,fa,10-log-False.pickle,vrc,2,0.6651397323645573,50,534.3594005396309,0.26035175,0.871135432210791,1.9561864391122759,0.15021549683637161,0.2768109011910108
baron-human,fa,10-log-False.pickle,ss,2,4.431469059826253,4,197.43763970532447,0.7882563,0.20131623524163153,9.715989185124263,0.0008442273653106488,0.03210841695312914
baron-human,fa,10-log-False.pickle,db,2,0.04297522278585719,2,0.4270248938350925,-0.37783703,0.02513767326586633,71.55069872358214,1.2771516823174824e-05,0.008992295074924505
baron-human,fa,10-log-False.pickle,di,2,0.04297522278585719,2,0.4270248938350925,-0.37783703,0.02513767326586633,71.55069872358214,1.2771516823174824e-05,0.008992295074924505
baron-human,fa,10-log-False.pickle,ari,9,0.35348252450755274,11,170.06030894239464,-0.079329774,1.144147531821816,0.8785080023300975,0.3157694085929339,0.46401221423362365
baron-human,fa,10-log-False.pickle,nmi,9,0.35348252450755274,11,170.06030894239464,-0.079329774,1.144147531821816,0.8785080023300975,0.3157694085929339,0.46401221423362365
baron-human,fa,15-log-False.pickle,vrc,2,8.33859084983329,2,271.75457510383706,0.8092108,0.23626397820609835,7.614438838030758,0.00042173402293432534,0.019769497916294156
baron-human,fa,15-log-False.pickle,ss,2,14.121476824050006,2,219.37272139423965,0.8779411,0.252576189719992,5.916999538081549,0.00024292140908639182,0.013058234733173565
baron-human,fa,15-log-False.pickle,db,2,8.33859084983329,2,271.75457510383706,0.8092108,0.23626397820609835,7.614438838030758,0.00042173402293432534,0.019769497916294156
baron-human,fa,15-log-False.pickle,di,2,7.504731764849961,3,248.53609206333758,0.82379943,0.24827021635973293,7.848945144142227,0.0008510909491500413,0.027619304072945938
baron-human,fa,15-log-False.pickle,ari,359,0.5986257591281016,2,5.1404367224136625,-0.4937265,0.8347099634126136,0.281305778915866,0.11957445519552998,0.27820415655942315
baron-human,fa,15-log-False.pickle,nmi,395,0.5387631832152914,2,4.082544798209755,-0.51252407,0.8651535687915849,0.27471087245973197,0.11631094619633625,0.2893553661272938
baron-human,fa,25-log-False.pickle,vrc,2,23.914845000000007,2,206.8830853919596,0.8718708,0.3203163485789119,4.299861241502214,0.0003569740609698195,0.01597779060980188
baron-human,fa,25-log-False.pickle,ss,2,23.914845000000007,2,206.8830853919596,0.8718708,0.3203163485789119,4.299861241502214,0.0003569740609698195,0.01597779060980188
baron-human,fa,25-log-False.pickle,db,2,0.31813427205679745,3,0.48516053967925077,-0.34510905,0.16260952681819169,11.596071680995935,-0.0002586597653389888,0.008405703825823155
baron-human,fa,25-log-False.pickle,di,2,0.31813427205679745,3,0.48516053967925077,-0.34510905,0.16260952681819169,11.596071680995935,-0.0002586597653389888,0.008405703825823155
baron-human,fa,25-log-False.pickle,ari,6,1.1264199772469596,9,55.105947867507574,-0.11974958,1.0763946021328272,1.112983530800589,0.10940359206973482,0.22478075700446482
baron-human,fa,25-log-False.pickle,nmi,282,0.8211601634130337,2,2.6161768118398516,-0.49354464,0.9550881839438143,0.3543526806651878,0.06791068834522744,0.27092099280207793
baron-human,fa,30-log-False.pickle,vrc,2,21.523360500000006,2,184.15640265583704,0.86423624,0.2722982546235246,5.551813086410941,0.0009077581632721306,0.02304161894116145
baron-human,fa,30-log-False.pickle,ss,2,21.523360500000006,2,184.15640265583704,0.86423624,0.2722982546235246,5.551813086410941,0.0009077581632721306,0.02304161894116145
baron-human,fa,30-log-False.pickle,db,2,0.3927583605639475,3,0.4639238670876381,-0.35032398,0.21140568457728082,8.809343656493544,-0.00030152287658910017,0.009164812064794322
baron-human,fa,30-log-False.pickle,di,2,0.3927583605639475,3,0.4639238670876381,-0.35032398,0.21140568457728082,8.809343656493544,-0.00030152287658910017,0.009164812064794322
baron-human,fa,30-log-False.pickle,ari,5,1.3906419472184688,13,54.187652132608626,-0.08000566,1.1701405709125676,1.1503705898335725,0.11702932963841939,0.22324052381566675
baron-human,fa,30-log-False.pickle,nmi,236,0.9124001815700373,2,2.195677373756527,-0.4940992,0.9527114256891025,0.41847264397749084,0.05428603621291488,0.25247968808015575
baron-human,fa,35-log-False.pickle,vrc,2,26.572050000000008,2,167.45121605892692,0.86618865,0.3353175202369087,4.101334581939945,0.0009496072964973867,0.023034428917266928
baron-human,fa,35-log-False.pickle,ss,2,26.572050000000008,2,167.45121605892692,0.86618865,0.3353175202369087,4.101334581939945,0.0009496072964973867,0.023034428917266928
baron-human,fa,35-log-False.pickle,db,2,8.33859084983329,2,72.72251039937903,0.7497101,0.31939100366535406,5.899254507678691,0.004200699671549432,0.04367339264042033
baron-human,fa,35-log-False.pickle,di,2,8.33859084983329,2,72.72251039937903,0.7497101,0.31939100366535406,5.899254507678691,0.004200699671549432,0.04367339264042033
baron-human,fa,35-log-False.pickle,ari,2,2.119557913760812,22,73.3162147248131,0.05112395,1.0430758165260345,1.3211471149829632,0.09682614359336404,0.1435659986283709
baron-human,fa,35-log-False.pickle,nmi,233,1.0137779795222637,2,1.9450169819158067,-0.484413,0.9686308969216918,0.4159931926929141,0.01833544564575476,0.2226644330487702
baron-human,fa,40-log-False.pickle,vrc,2,17.433922005000007,3,104.13183077803063,0.7846227,0.41380630474703906,3.7918487939948484,0.0018795748068139598,0.03323106234301717
