dataset,method,dimensions,log,variance.ratio.criterion,davies.bouldin,dunn.index,silhouette.score
baron-human,pca,2,1,714.3003383824137,9.742253460154874,0.05077656580706581,-0.14327146
baron-human,pca,3,1,853.5206289094995,8.153911375410235,0.060777405028748524,-0.085533634
baron-human,pca,4,1,976.9089496459998,5.729059629709232,0.0721915997570734,0.016334733
baron-human,pca,5,1,1009.2433772504336,4.755904846738618,0.07181282110943597,0.04660358
baron-human,pca,8,1,878.2576108927794,3.3384539735535017,0.12066419801401927,0.06239113
baron-human,pca,10,1,836.1982461933964,2.934392943582264,0.1282341281477716,0.06691764
baron-human,pca,15,1,768.8278591640529,2.5489431161534912,0.16356731944607045,0.06348908
baron-human,pca,25,1,706.1443484333721,2.1282081238408037,0.1780707672714469,0.06793565
baron-human,pca,30,1,679.4518769634624,2.122801147950988,0.1805565122656359,0.06367677
baron-human,pca,35,1,659.9508725467973,2.1007694962123686,0.18653431056958925,0.06113343
baron-human,pca,40,1,641.8849963199548,2.0824423288349214,0.19840110527275978,0.057985935
baron-human,pca,45,1,626.9849109368901,2.056751236348709,0.21410757510428696,0.058374766
baron-human,pca,50,1,613.9670499713905,2.056616790327115,0.21456593126984905,0.057659175
baron-human,pca,60,1,592.1848862837818,2.0745734961192137,0.2301368796321876,0.054848466
baron-human,pca,70,1,574.3287514250585,2.0532733273946873,0.2558436847639695,0.05404302
baron-human,pca,80,1,558.9156258424002,2.0559318013436405,0.2667361872886493,0.055031024
baron-human,pca,90,1,545.1397585505172,2.043887679286605,0.2884793029187514,0.055876475
baron-human,pca,100,1,532.7719139283507,2.020804286282133,0.3143209934633769,0.05775079
baron-human,lle,2,1,7214.533727495215,14.318327234397742,0.0008207253452428231,-0.5343953
baron-human,lle,3,1,934.1040064268504,35.825170524753794,0.009479139669887244,-0.00017112584
baron-human,lle,4,1,8291.875113070271,1.3851670666902787,0.15369294430699754,0.48947692
baron-human,lle,5,1,1785.0904377341376,2.4863752676377864,0.2535944014858163,0.17722642
baron-human,lle,8,1,2537.057585308071,1.2710031980230987,0.5086419020548374,0.4025365
baron-human,lle,10,1,1268.670354288988,1.272740483614068,0.6680209534203043,0.41334125
baron-human,lle,15,1,553.1033440753517,1.5090793254636137,0.629429765012227,0.18196893
baron-human,lle,25,1,349.31848200256803,1.8653240956684016,0.39252734369367354,0.13555738
baron-human,lle,30,1,259.21501851110463,2.016286214242099,0.4234988630148137,0.087838665
baron-human,lle,35,1,225.8517409016107,2.14151440253551,0.35549327241104767,0.08235302
baron-human,lle,40,1,192.09524941491836,2.347919122215948,0.34054588252666906,0.060951572
baron-human,lle,45,1,170.03854005329828,2.4861955136907383,0.3231250383012852,0.032529928
baron-human,lle,50,1,147.60994463930592,3.083234660843737,0.218985425293599,0.002097238
baron-human,lle,60,1,119.17877368267385,2.96186723872172,0.3236134739537528,-0.03286229
baron-human,lle,70,1,107.44920825347228,3.1582912539412047,0.22500541590746198,-0.036740694
baron-human,lle,80,1,88.86510099681975,3.4068989709669055,0.21788829880784458,-0.03885932
baron-human,lle,90,1,76.9863784634227,3.8078775906618363,0.19029129481734092,-0.04111714
baron-human,lle,100,1,66.94050066657098,4.563395166054467,0.14734179028634806,-0.04157297
baron-human,isomap,2,1,3808.093151825904,4.583918084285366,0.0800335187545069,0.25417143
baron-human,isomap,3,1,3468.1151705269144,2.8796446201728303,0.25489968201773566,0.3092222
baron-human,isomap,4,1,3099.5033904366783,2.302117307663377,0.22919039910216246,0.3256473
baron-human,isomap,5,1,2757.698292569342,1.7676725904558008,0.4862651667590896,0.33386606
baron-human,isomap,8,1,1972.5975385699915,1.7008466375193616,0.5192967717469331,0.28039032
baron-human,isomap,10,1,1707.240512592174,1.746621394626253,0.4920356731681355,0.26444674
baron-human,isomap,15,1,1341.2364020584694,1.7179543101342933,0.5324135755155318,0.23680705
baron-human,isomap,25,1,1051.4408501782962,1.6956188753394754,0.5462029689632545,0.21278098
baron-human,isomap,30,1,972.0583082225949,1.7295076224004913,0.531519702584549,0.20700026
baron-human,isomap,35,1,910.7897745629291,1.770956566298019,0.5160943343531856,0.19883406
baron-human,isomap,40,1,863.6252756804516,1.8082777310945364,0.5094653028544259,0.19593595
baron-human,isomap,45,1,824.2233168682003,1.8514079374694605,0.5032552028600806,0.19097961
baron-human,isomap,50,1,791.8089538972199,1.8870760458745603,0.4956905724237454,0.18678917
baron-human,isomap,60,1,740.2878255247448,1.947483786822105,0.4836758504522776,0.18006715
baron-human,isomap,70,1,700.4269002407103,1.9960419057046621,0.4742618537316467,0.17446359
baron-human,isomap,80,1,668.4753800386551,2.040893466121451,0.46576930587782794,0.17026812
baron-human,isomap,90,1,642.0553520032443,2.0737940997905544,0.4585871269706465,0.16525625
baron-human,isomap,100,1,619.9777965327585,2.101524443590763,0.45578772366904546,0.16264354
baron-human,fa,2,1,565.8504771031726,9.66163604278665,0.051669044945237885,-0.19914411
baron-human,fa,3,1,903.7022096942048,7.098983876928821,0.04864978479790414,-0.09087427
baron-human,fa,4,1,1141.5815965090746,4.6641825490993485,0.04247501227748133,-0.03267775
baron-human,fa,5,1,1290.5244152808923,2.9778022084792326,0.06723144703087955,0.06285147
baron-human,fa,8,1,1123.7630462218415,2.352605863758504,0.05808132514068153,0.05924896
baron-human,fa,10,1,702.7906019026794,2.445910002932158,0.11516629139353812,0.03289053
baron-human,fa,15,1,396.98315337044136,2.0643277831947957,0.16804458104179293,0.022693824
baron-human,fa,25,1,289.5200613315683,2.1158900697593586,0.09932518673461434,0.07335508
baron-human,fa,30,1,255.26169044405793,2.1257952470261485,0.10773460083096448,0.05458702
baron-human,fa,35,1,214.60688206246178,2.158353476068344,0.11571851005181218,0.06388608
baron-human,fa,40,1,187.66889445867437,2.3026753064067296,0.1106713803170885,0.06287337
baron-human,fa,45,1,166.09661963642182,2.472173721733797,0.0861499943881571,0.06154732
baron-human,fa,50,1,143.9398347027062,2.62700388892824,0.049231527934834735,0.056799933
baron-human,fa,60,1,122.29509372525271,3.0519120747129236,0.04869041445792955,0.05471608
baron-human,fa,70,1,105.64122760656905,3.3506801675691653,0.04824658937510868,0.042387877
baron-human,fa,80,1,92.37656165308482,3.728043328160497,0.046919367631040966,0.03690114
baron-human,fa,90,1,82.438079078115,4.004148122639881,0.04666294323148159,0.026544388
baron-human,fa,100,1,74.54953475031962,4.301134290497421,0.046414604681887586,0.016483286
baron-human,fica,2,1,626.3956099541548,9.700250998809546,0.05115318287574144,-0.14519326
baron-human,fica,3,1,946.8953070669435,7.4183114456669506,0.062165956126274326,-0.056878343
baron-human,fica,4,1,1290.9484656406205,4.725838768961248,0.08781926370933896,0.10500834
baron-human,fica,5,1,1376.7026847891925,3.982666299157384,0.08283873629469451,0.13217796
baron-human,fica,8,1,669.171646062594,2.5663946382163934,0.1877618992906076,0.07541298
baron-human,fica,10,1,545.7959562926995,2.4060962408426065,0.1924405630402036,0.060660228
baron-human,fica,15,1,384.30231359001596,2.171717859708236,0.25987759265226196,0.028092774
baron-human,fica,25,1,261.37090791273414,2.200865780288449,0.2582371862881296,0.009820441
baron-human,fica,30,1,211.81093723081386,2.410451430331677,0.2558895064567714,-0.008137174
baron-human,fica,35,1,182.67753416894274,2.544971453090125,0.2723607553925393,-0.021156387
baron-human,fica,40,1,155.82920744143283,2.6597321692555305,0.30644765028866283,-0.03331894
baron-human,fica,45,1,136.4070476156352,2.7661753953285193,0.3358390359189011,-0.024985567
baron-human,fica,50,1,120.94366652262048,2.907205129527846,0.31859642717277337,-0.034018315
baron-human,fica,60,1,99.01373559268518,3.1327791526015667,0.2898398892699042,-0.02866793
baron-human,fica,70,1,84.08892492187238,3.349784313276575,0.2678925039418793,-0.024046928
baron-human,fica,80,1,73.06988349902994,3.5590888118705886,0.25100713903016925,-0.029265001
baron-human,fica,90,1,65.03162851306642,3.727779616143774,0.23674798382673468,-0.020472959
baron-human,fica,100,1,58.28027989079535,3.9198001637734814,0.2252560523766625,-0.023499051
baron-human,nmf,2,1,2903.941032332068,7.513907680774669,0.06675719482480605,-0.09406585
baron-human,nmf,3,1,2657.129800321858,6.4931138848552985,0.06990114520913904,-0.024626734
baron-human,nmf,4,1,3168.210402157705,4.949395339060206,0.09342989608193168,0.20541579
baron-human,nmf,5,1,3235.649684030428,3.021090010306835,0.0889301251750262,0.2593231
baron-human,nmf,8,1,1888.8119968069632,2.7011016802042627,0.10188855033079594,0.16931945
baron-human,nmf,10,1,1493.2653103060484,1.882194823242235,0.13198490577387473,0.15647672
baron-human,nmf,15,1,1308.6941685123493,1.6715445212325777,0.2210545407243878,0.161373
baron-human,nmf,25,1,640.811070368248,1.9205075727937582,0.21873296602646308,0.102975614
baron-human,nmf,30,1,610.8605023398961,1.9526352183991398,0.1906038165726266,0.11394311
baron-human,nmf,35,1,764.3450586698028,1.651186414405092,0.16394791082206342,0.104673296
baron-human,nmf,40,1,626.8210498413854,1.596836360353231,0.2664197638301742,0.10895647
baron-human,nmf,45,1,487.63419381656627,1.7928143335825322,0.45011825906843406,0.03204747
baron-human,nmf,50,1,392.95406694894837,2.0163600503626418,0.32557313905376123,-0.011549274
baron-human,nmf,60,1,338.5117826218394,1.9791133174891995,0.4333386259705835,-0.036531396
baron-human,nmf,70,1,285.03891722909077,2.1400983930178374,0.38769061140272304,-0.03612275
baron-human,nmf,80,1,273.81205209162135,2.291616085443866,0.346359674292443,-0.03487151
baron-human,nmf,90,1,263.0357081123701,2.320946774018489,0.22110002989326827,-0.028203132
baron-human,nmf,100,1,273.3269567144622,2.202698064885744,0.34264886242006326,0.022918923
baron-human,spectral,2,1,4194.042300802571,5.305742736535729,0.05380861793604062,0.21973087
baron-human,spectral,3,1,3326.6961301866995,4.233167484691741,0.06127464873945068,0.24408889
baron-human,spectral,4,1,2048.1105148565916,3.48399894429664,0.11461057563276697,0.2737387
baron-human,spectral,5,1,1372.2992948708925,2.8025199520534754,0.13782011120491366,0.20862481
baron-human,spectral,8,1,725.3490388072294,2.8933447217308506,0.15352691255513698,0.13570979
baron-human,spectral,10,1,543.6046478909095,2.4470593571386554,0.15332569300808585,0.07957988
baron-human,spectral,15,1,393.61071173094786,2.5322086829510626,0.13087244861719094,0.021995224
baron-human,spectral,25,1,209.8984374818332,2.933429222504768,0.11033460951630877,-0.056127775
baron-human,spectral,30,1,173.810028187638,2.904511709314931,0.13742903300568451,-0.08387194
baron-human,spectral,35,1,151.9588571209003,2.8795957826314336,0.19603811273740437,-0.097290725
baron-human,spectral,40,1,138.25599091989608,2.9811921202728695,0.1834309992517033,-0.11296805
baron-human,spectral,45,1,121.81386550709854,3.102064964533374,0.18878225359767298,-0.1254119
baron-human,spectral,50,1,109.88986948422797,3.237169715345806,0.19073822811447533,-0.12675029
baron-human,spectral,60,1,90.39216396819187,3.4772698872148924,0.19143113844005985,-0.1482342
baron-human,spectral,70,1,77.11187013459732,3.6881141709255965,0.19956204520664475,-0.1560854
baron-human,spectral,80,1,66.98437768850211,3.879007567236217,0.2077329946808312,-0.16794926
baron-human,spectral,90,1,59.326301534622914,4.077020381212955,0.20164217617246943,-0.17360431
baron-human,spectral,100,1,53.41081493205392,4.2659981355619605,0.19229184070213198,-0.17933424
baron-human,mctsne,2,1,5539.668380234663,1.289403201258511,0.08084792223480175,0.40167803
baron-human,mctsne,3,1,4786.807059289925,0.9545960655099589,0.1943379296785218,0.4451767
baron-human,mctsne,4,1,4327.2410596398995,0.8841180343961106,0.20244992030181394,0.4287096
baron-human,mctsne,5,1,4461.900919746315,0.8845482363446039,0.22486612028815442,0.44495952
baron-human,mctsne,8,1,4111.2192896451825,0.9071642290234826,0.22408730614722722,0.45356977
baron-human,mctsne,10,1,4305.906490221824,0.897195548790257,0.2178761969494325,0.4669863
baron-human,mctsne,45,1,0.16527189946276358,397.6034371278814,1.6078233776658533e-08,-0.8017389
baron-human,mctsne,50,1,0.7565932180276544,190.6826701902521,9.985460401674411e-09,-0.8283294
baron-human,mctsne,70,1,0.9605278702214992,13.211030211039338,1.3065072607519705e-07,-0.9419071
baron-human,mctsne,80,1,0.9665713736956718,10.82531070302308,2.2854647815654612e-07,-0.9393788
baron-human,mctsne,100,1,1.2540644916834693,60.64567340783389,7.56655310725424e-08,-0.9413302
baron-human,lda,2,1,19445.107472658467,84.1713003666541,0.0033191561984806397,-0.049270306
baron-human,lda,3,1,18389.852004670145,17.974646486421886,0.00945091804533893,0.04228687
baron-human,lda,4,1,3734.607447792348,5.533992820689071,0.08201236445394379,0.042769432
baron-human,lda,5,1,3630.299578615528,4.87528801158125,0.04670104396995392,0.2590882
baron-human,lda,8,1,1522.2660782928767,3.0535142055738893,0.13377205385013893,0.21634288
baron-human,lda,10,1,1114.7889296018984,4.084413930399491,0.0454666973683232,0.26556057
baron-human,lda,15,1,1123.3855356166357,3.5674559319975336,0.05246001207165997,0.24571949
baron-human,lda,25,1,987.752252065793,1.675522728299071,0.34885656329091974,0.23168589
baron-human,lda,30,1,973.3960258050116,1.4380271625514323,0.5722754926509077,0.22526863
baron-human,lda,35,1,974.8623334400179,2.39336510652927,0.17196322139721731,0.25505197
baron-human,lda,40,1,979.8167572940606,3.2303401264114266,0.047203399076757774,0.21559843
baron-human,lda,45,1,792.9336090367244,2.7677460195953763,0.14495883465179485,0.23524262
baron-human,lda,50,1,815.2635132012724,2.2068378515840568,0.18207163872720333,0.1811644
baron-human,lda,60,1,716.5546243273651,1.683427038426799,0.21840577881921408,0.20547019
baron-human,lda,70,1,770.2434688973799,1.9953911377569482,0.1973749847982729,0.15450218
baron-human,lda,80,1,673.3646319664635,1.3924213667787044,0.639254699595731,0.19492285
baron-human,lda,90,1,738.332822316341,1.5551012333358492,0.3618488313164662,0.18340884
baron-human,lda,100,1,564.1724207282914,1.6374688127267905,0.41404896555326925,0.14662316
baron-human,mds,2,1,344.3718522184829,26.47231453739727,0.01250793205829002,-0.1415848
baron-human,mds,3,1,312.8749424524897,6.405066093244357,0.09458254704216432,-0.10832703
baron-human,mds,4,1,286.6149690587487,8.122514724100483,0.08484441201459607,-0.071485326
baron-human,mds,5,1,304.16345648347794,7.279252764167812,0.11627888756473785,-0.031310912
baron-human,mds,8,1,239.77738772702705,6.152940801797732,0.16938929929687616,-0.023233863
baron-human,mds,10,1,208.06598430638633,6.689441707550128,0.15589917244588247,-0.02810413
baron-human,mds,15,1,176.44066791223818,7.801429514003404,0.10606258608154935,-0.029539516
baron-human,mds,25,1,149.0418196758886,7.7790309828678526,0.12863748416704165,-0.030449444
baron-human,mds,30,1,141.87158839020648,7.89278929322765,0.1216731519103197,-0.02896844
baron-human,mds,35,1,136.5053581504537,8.173363057732974,0.11721965484707246,-0.030980535
baron-human,mds,40,1,130.4660517157394,7.869200018099955,0.12653945904264885,-0.032210413
baron-human,mds,45,1,128.10101220341312,8.097009605758167,0.11782915225194691,-0.03149764
baron-human,mds,50,1,123.50553394910634,8.062990226062007,0.12474945861351874,-0.033200644
baron-human,mds,60,1,120.54298521955903,7.891288286836054,0.12504516314906788,-0.03337522
baron-human,mds,70,1,116.978547979683,8.003361027258928,0.12284805547881318,-0.033173352
baron-human,mds,80,1,114.60420036291656,8.053583646072584,0.12849972814136998,-0.03333441
baron-human,mds,90,1,112.25049764454029,8.04841968734513,0.12936219102573385,-0.034157638
baron-human,mds,100,1,112.11463343489648,8.10806380855202,0.12700842601271267,-0.03400291
baron-human,umap,2,1,10036.519418233462,6.567120247743179,0.014038690886460557,0.54718834
baron-human,umap,3,1,9428.458579164806,2.694798499956846,0.02058446466971504,0.5075896
baron-human,umap,4,1,10416.243146659972,2.0586376202324796,0.022542063355792927,0.5250775
baron-human,umap,5,1,9881.671243345147,2.1070777595251475,0.025029793185686135,0.520986
baron-human,umap,8,1,10058.963352373257,1.7348750011985181,0.03208167401694398,0.52219564
baron-human,umap,10,1,9950.226804981517,1.5357576065477805,0.06363486067664625,0.50075376
baron-human,umap,15,1,10268.863695115495,1.9081934867744632,0.03375526620612294,0.5265291
baron-human,umap,25,1,10113.488247413683,1.733010121583953,0.03005442083095698,0.5182283
baron-human,umap,30,1,9772.808938896424,2.151648462135736,0.028026704979281294,0.51782316
baron-human,umap,35,1,10634.248184736774,1.8514788582213655,0.026962746275649166,0.5396049
baron-human,umap,40,1,10004.15097767583,1.7194371878442969,0.038340201993345875,0.5324163
baron-human,umap,45,1,9780.451365063736,1.991477764268949,0.022807006538438954,0.5363982
baron-human,umap,50,1,9913.290184192469,2.5629637581887343,0.03245590452291593,0.5306255
baron-human,umap,60,1,10143.026612986503,1.874001964796075,0.027087839759452115,0.53417337
baron-human,umap,70,1,10297.41984183267,1.640175934302284,0.027865172512632357,0.5144875
baron-human,umap,80,1,10657.323311589595,1.7945337870602838,0.03282020667520027,0.5376155
baron-human,umap,90,1,10536.206465483141,1.7833985743585945,0.03134593968571346,0.5269178
baron-human,umap,100,1,10081.457667359155,1.7617437641402294,0.03212800817809427,0.53678906
campbell,pca,2,1,312.0967944119988,60.82326044999092,0.004285141623492027,-0.1426809
campbell,pca,3,1,291.50168873855284,44.67034630715544,0.01036423819052376,-0.18137585
campbell,pca,4,1,282.6654685002001,26.24125487537512,0.020015845278857844,-0.1647887
campbell,pca,5,1,278.2555855453146,18.396827826297283,0.02732660289305214,-0.16225736
campbell,pca,8,1,271.8336412600204,13.834237902885627,0.05163150493489713,-0.14853379
campbell,pca,10,1,265.80190840713607,13.231468648815104,0.05307640563912375,-0.1513054
campbell,pca,15,1,260.90288653114953,10.410733761089386,0.07239490402526087,-0.14951803
campbell,pca,25,1,260.93313298761046,7.551102126644009,0.09728685828199973,-0.123696834
campbell,pca,30,1,259.32431725667465,6.9501413077608385,0.10130911423700194,-0.11816384
campbell,pca,35,1,257.6285192563333,6.578606339242037,0.10555629772488455,-0.11437276
campbell,pca,40,1,255.8655637242663,6.316691739565537,0.10950663389475235,-0.1108244
campbell,pca,45,1,254.7942079120567,6.101374283926165,0.11393675458893827,-0.10646577
campbell,pca,50,1,253.56770859817394,5.9015957369689005,0.11483316502986143,-0.10444233
campbell,pca,60,1,251.1824240231574,5.522066118708989,0.11564192177679714,-0.10124933
campbell,pca,70,1,248.81511271515146,5.367994914074319,0.11595830807803689,-0.09876105
campbell,pca,80,1,246.3445245109832,5.284048505695395,0.11660383981707234,-0.09760122
campbell,pca,90,1,243.9657330425116,5.281386875391374,0.11711125577476406,-0.09640321
campbell,pca,100,1,241.5969107602053,5.28479785309993,0.11671659357477772,-0.0950412
campbell,lle,2,1,211.4611867257704,2688.4399135148756,5.055680791474592e-09,-0.13654144
campbell,lle,3,1,128.8471769102142,9829.889221091515,1.102694686647296e-09,-0.17567647
campbell,lle,4,1,102.21637364890447,786.9658685052744,3.4424144006397015e-08,-0.20575511
campbell,lle,5,1,79.84805568027986,1223.4918580775902,2.8869010586034308e-08,-0.1668271
campbell,lle,8,1,87.28700356029135,44739.324677187986,9.369964561854306e-07,-0.11615093
campbell,lle,10,1,79.5754861198695,957.4758761360913,1.782583959170914e-05,-0.33616123
campbell,lle,15,1,98.30701692193078,17.136083372827,0.018650738633196395,-0.23108594
campbell,lle,25,1,102.16604583349164,8.32623835211734,0.05426839188424982,-0.19690274
campbell,lle,30,1,105.71059473654479,7.937834045480145,0.05025006598881267,-0.18832111
campbell,lle,35,1,87.48255264058058,6.99772099036951,0.08189757289427349,-0.1919889
campbell,lle,40,1,82.45804374813999,6.973960535439588,0.08027363021997294,-0.1893895
campbell,lle,45,1,76.63813735978802,6.724727875914368,0.0914586528288873,-0.17793004
campbell,lle,50,1,73.74021284014341,6.572445221872656,0.0990728584717847,-0.17424557
campbell,lle,60,1,63.650323615909755,6.554559457333649,0.10518904243655391,-0.15950519
campbell,lle,70,1,66.11091853704635,6.336831503795267,0.11424892347322659,-0.1400603
campbell,lle,80,1,63.34702914084527,6.38138400285986,0.11298061517795333,-0.13576256
campbell,lle,90,1,59.2654213153359,6.498274489664657,0.11307964103871708,-0.12637278
campbell,lle,100,1,56.47764204620845,6.637149362350324,0.11760738623898885,-0.12354632
campbell,isomap,2,1,685.2745747360602,20.87292561021091,0.028580650888011448,-0.105961315
campbell,isomap,3,1,692.4172121985348,13.929618295192814,0.03929615262623444,-0.045852546
campbell,isomap,4,1,595.9714189601661,12.06138633789875,0.06911161962597542,-0.057014987
campbell,isomap,5,1,531.5396937434692,10.740491213526298,0.07315750307105964,-0.06678975
campbell,isomap,8,1,428.96744107416725,8.692253660738652,0.07353635890175228,-0.07267846
campbell,isomap,10,1,397.9659062354209,7.802461288950924,0.08505552299595091,-0.06614649
campbell,isomap,15,1,352.37582988766894,6.692968556501088,0.106479251004741,-0.06468671
campbell,isomap,25,1,310.221979490634,6.224712921887981,0.1131578548897687,-0.053213913
campbell,isomap,30,1,295.90320232058355,6.098007766688268,0.1118931307672521,-0.046353966
campbell,isomap,35,1,284.71897536859206,6.026839732197612,0.11635615385516591,-0.044950776
campbell,isomap,40,1,275.3201332561468,6.021664033796246,0.11842011293255232,-0.043359872
campbell,isomap,45,1,267.40202147184874,6.045788132417465,0.11523641649405965,-0.037420776
campbell,isomap,50,1,260.4711125857768,6.023628737918305,0.11544504894700547,-0.03650847
campbell,isomap,60,1,248.53192668056812,6.048276850928741,0.11181996655255876,-0.03380678
campbell,isomap,70,1,238.88480368380172,6.068865548268051,0.11172600955621573,-0.03248781
campbell,isomap,80,1,230.73988956628344,6.120880947258014,0.11027309863642872,-0.030963534
campbell,isomap,90,1,223.75000517581572,6.143314132756381,0.10891741920306036,-0.030168284
campbell,isomap,100,1,217.5825606973116,6.18927031450478,0.10756645327491124,-0.029405184
campbell,umap,2,1,916.0771296693109,34.373505983900074,0.003726721137517206,-0.0049858475
campbell,umap,3,1,1062.3703157247235,15.997289027602573,0.01562499169012685,0.017339142
campbell,umap,4,1,1140.4769839053392,11.789072707979388,0.023717649282873537,0.03326605
campbell,umap,5,1,853.5956480334897,12.059493395113764,0.022630220211902728,0.007724878
campbell,umap,8,1,771.6566207924996,10.618004143253442,0.0265356086579778,0.0009832309
campbell,umap,10,1,910.6978285117225,11.089010612451474,0.028221395970020435,0.019068044
campbell,umap,15,1,896.581392211964,11.236592556728088,0.021859169650624215,0.01446011
campbell,umap,25,1,946.1841557978535,11.18324724370476,0.021486360243978188,0.023290128
campbell,umap,30,1,939.259636306498,10.801151551929715,0.021370456371463835,0.024210436
campbell,umap,35,1,933.9261032486761,10.812826103550103,0.020889102796683198,0.02008902
campbell,umap,40,1,933.214655519215,10.753010952924889,0.02219544254725908,0.021736901
campbell,umap,45,1,947.8436441092459,11.367097824322272,0.01950950345569102,0.02516428
campbell,umap,50,1,966.840001123113,10.788911391475626,0.025027392644712116,0.0273275
campbell,umap,60,1,954.2716139293263,10.82501754673924,0.021859094399054542,0.023908675
campbell,umap,70,1,976.9591171905206,10.740543536635759,0.02365694900460644,0.030188223
campbell,umap,80,1,963.0107938233157,10.77933792365916,0.026507885848707786,0.02527831
campbell,umap,90,1,979.9494014448754,10.605936837731194,0.024560747896180245,0.025565855
campbell,umap,100,1,944.0498725316291,10.769128077250459,0.027658089678298012,0.0190345
campbell,fa,2,1,323.8443950442997,34.00447244636445,0.011904792118810013,-0.16500445
campbell,fa,3,1,206.43654315729202,23.721455519951824,0.01360837494557774,-0.2551445
campbell,fa,4,1,139.49771130638544,23.124150738934453,0.011811649754572584,-0.30757612
campbell,fa,5,1,125.85313666338173,18.239095594259243,0.021882046502967344,-0.27575043
campbell,fa,8,1,91.4524334901926,15.656975245166615,0.032082446042665344,-0.24936199
campbell,fa,10,1,103.1358683005782,9.117278447912799,0.0549859453481716,-0.20744307
campbell,fa,15,1,87.15621782546816,7.508636778809979,0.06365769543277014,-0.18855879
campbell,fa,25,1,64.92998336199294,6.21441140309358,0.06125769943686666,-0.17758352
campbell,fa,30,1,73.57088948372376,4.721245226303925,0.0827985869044656,-0.15760191
campbell,fa,35,1,66.1577440022983,4.581562855202269,0.08503062733006356,-0.15456887
campbell,fa,40,1,62.667774047985695,4.324177591101399,0.1072120465785737,-0.15371083
campbell,fa,45,1,62.29507744841486,3.9623657890852004,0.09576536531232153,-0.13979115
campbell,fa,50,1,65.56943934254834,3.6280777238292043,0.08305615910588184,-0.14275791
campbell,fa,60,1,61.46012184321186,3.5121005626634676,0.09405718551061812,-0.1375825
campbell,fa,70,1,57.32064404716155,3.5089727880445847,0.0959834769714443,-0.13142188
campbell,fa,80,1,51.47012455615314,3.5262200673472486,0.10357690661665288,-0.1318348
campbell,fa,90,1,48.016849889446306,3.5199458589292085,0.0663134035308748,-0.13459869
campbell,fa,100,1,45.39954741947827,3.5244597632481107,0.06825348792917285,-0.13391575
campbell,nmf,2,1,1054.3851773256383,30.579248599644384,0.022872345182296357,-0.047547676
campbell,nmf,3,1,811.1673823491859,23.152446052319135,0.025944653049416618,-0.045095574
campbell,nmf,4,1,467.92666489959197,20.9047996948612,0.026477083438532646,-0.13416791
