dataset,method,file,opt_res,clusters,epsilon,min_samples,vrc,ss,db,di,ari,nmi
baron-human,fa,2-log-False.pickle,vrc,2,0.09983390555080185,40,2216.313898069135,0.1999369,0.7493150528371691,2.061327456142915,0.2616963979785001,0.3766970591342158
baron-human,fa,2-log-False.pickle,ss,2,2.119557913760812,2,106.91292804193002,0.8343642,0.14820540895258943,8.759879236728603,9.104027043693813e-05,0.005237071135351772
baron-human,fa,2-log-False.pickle,db,4,0.04775024753984132,36,291.8817200075514,-0.44815114,1.7604183803598423,0.42797112945947763,0.03845425244020259,0.1861250694826747
baron-human,fa,2-log-False.pickle,di,252,0.016649481826580742,4,11.214501230311477,-0.45838472,0.900115017309871,0.036902167711598634,-0.01887686553042408,0.17045042754218098
baron-human,fa,2-log-False.pickle,ari,295,0.04297522278585719,2,38.950437879219,-0.4957541,0.5982735753784618,0.07598604941734985,0.28206570605228415,0.3760022911432837
baron-human,fa,2-log-False.pickle,nmi,7,0.0808654634961495,17,888.662363098062,0.09899397,0.705599627844483,0.7216710559283714,0.27697219616243135,0.3844220820151481
baron-human,fa,2-log-True.pickle,vrc,2,0.1690695956761365,50,4455.264873629984,0.4480373,0.8323272073609663,2.285936981244921,0.30220617875569294,0.44713852717243724
baron-human,fa,2-log-True.pickle,ss,2,0.7390441470717303,2,44.82971310958979,0.73093444,0.1958824519681265,5.333485308245658,9.104027043693813e-05,0.005237071135351772
baron-human,fa,2-log-True.pickle,db,5,0.13694637249767055,6,129.41876964986162,-0.38579756,1.790669637552543,0.481489036337136,0.005607661187158633,0.028218830400073183
baron-human,fa,2-log-True.pickle,di,244,0.04297522278585719,2,52.469974793879494,-0.5933346,1.2482136887076103,0.014366797100537808,0.28953349181064936,0.38728380644115973
baron-human,fa,2-log-True.pickle,ari,7,0.1232517352479035,7,1144.9428061125573,0.07822575,0.6164342408988718,0.48176876675860536,0.3158956854953475,0.4957421852271677
baron-human,fa,2-log-True.pickle,nmi,7,0.1232517352479035,7,1144.9428061125573,0.07822575,0.6164342408988718,0.48176876675860536,0.3158956854953475,0.4957421852271677
baron-human,fa,3-log-False.pickle,vrc,2,0.2576887603660059,50,1234.625945634821,0.2011633,0.69087606934826,2.0009064518498834,0.1793954536100392,0.2926067379758466
baron-human,fa,3-log-False.pickle,ss,3,3.589489938459265,2,107.36154087777582,0.8061191,0.14502630316528076,7.602924838283052,0.0002818228510530064,0.012474397939420206
baron-human,fa,3-log-False.pickle,db,2,0.0808654634961495,40,156.0409226435853,-0.31710565,2.003135615997491,0.5801830270375449,-0.00599314843553341,0.08871561937091826
baron-human,fa,3-log-False.pickle,di,197,0.13694637249767055,2,32.22824620980342,-0.4803418,0.9708139798107467,0.06005943230973603,0.3097744886017749,0.4105058228917737
baron-human,fa,3-log-False.pickle,ari,197,0.13694637249767055,2,32.22824620980342,-0.4803418,0.9708139798107467,0.06005943230973603,0.3097744886017749,0.4105058228917737
baron-human,fa,3-log-False.pickle,nmi,16,0.15216263610852285,8,279.4479359656194,0.02953119,0.9003353336566678,0.36448507684718423,0.2993931876495713,0.4407758405756629
baron-human,fa,3-log-True.pickle,vrc,3,0.2863208448511177,32,2465.3063845156767,0.40035927,0.8279176124964991,2.049959760518824,0.347997598729572,0.5338115669059349
baron-human,fa,3-log-True.pickle,ss,2,1.545157719131632,2,29.70466910260292,0.68168086,0.23033515402592644,4.529510191383686,9.104027043693813e-05,0.005237071135351772
baron-human,fa,3-log-True.pickle,db,2,0.09983390555080185,45,298.3323137066526,-0.2623208,2.2553874378335546,0.5537361911514823,0.0006457008407175402,0.1417460604001952
baron-human,fa,3-log-True.pickle,di,565,0.05305583059982369,2,6.777703265016109,-0.5866416,0.6322559783590085,0.10101297415319734,0.13639551259582267,0.28100519548500474
baron-human,fa,3-log-True.pickle,ari,11,0.23191988432940533,9,809.2714452491937,0.3140331,0.8011873763284144,0.34712853147994,0.357146546566071,0.5436972244614391
baron-human,fa,3-log-True.pickle,nmi,11,0.23191988432940533,9,809.2714452491937,0.3140331,0.8011873763284144,0.34712853147994,0.357146546566071,0.5436972244614391
baron-human,fa,4-log-False.pickle,vrc,2,0.5387631832152914,36,1542.6982046301669,0.5012503,0.7152700035413697,2.7633957268524165,0.08153331094818937,0.2494166343602262
baron-human,fa,4-log-False.pickle,ss,3,3.589489938459265,2,58.72334242605229,0.69891113,0.16418450526037617,6.574241423065546,0.00035565811284970323,0.014110423717481814
baron-human,fa,4-log-False.pickle,db,5,0.07277891714653455,15,97.86809544289433,-0.43297186,1.4268011814166484,0.4964779777358899,-0.0019940246567375962,0.16718885666067068
baron-human,fa,4-log-False.pickle,di,453,0.0808654634961495,2,7.7023614888195455,-0.5438933,0.6318665253693101,0.09028204008044577,0.2781587724482916,0.3724178343566846
baron-human,fa,4-log-False.pickle,ari,279,0.13694637249767055,2,20.749639983825272,-0.50294954,0.8125898793809747,0.12760384014554313,0.38222148935563177,0.43475521151335766
baron-human,fa,4-log-False.pickle,nmi,47,0.13694637249767055,5,80.65768079082808,-0.32064387,0.7883505557187965,0.26841667263625074,0.3632328284511997,0.45952442502024465
baron-human,fa,4-log-True.pickle,vrc,3,0.48488686489376226,50,2011.7333487200535,0.434895,0.710978389288608,2.463469571663505,0.2908823941391713,0.5101287012993477
baron-human,fa,4-log-True.pickle,ss,2,1.1264199772469596,4,70.75395918150186,0.6188768,0.20235410821738664,6.455186111880222,0.0011822754719193658,0.018414107765837694
baron-human,fa,4-log-True.pickle,db,2,0.11092656172311316,22,276.3784593770094,-0.29829672,1.9840600302489808,0.5759522286615631,0.021833576695713456,0.1670618104938554
baron-human,fa,4-log-True.pickle,di,597,0.06550102543188109,2,2.6135088445381736,-0.5853031,0.8269540368836301,0.11448433782524606,-0.010543890416230953,0.21555622103852248
baron-human,fa,4-log-True.pickle,ari,5,0.31813427205679745,25,1081.8477366789089,0.30218515,0.6481145960613227,1.2513899470619645,0.3406054940862373,0.5499955923637723
baron-human,fa,4-log-True.pickle,nmi,7,0.2863208448511177,17,775.8803223554673,0.28907374,0.8669952080225671,0.5648674327854497,0.3406024000989648,0.550996299765285
baron-human,fa,5-log-False.pickle,vrc,2,0.5986257591281016,50,1281.9223853699627,0.4688249,0.7000173613171091,2.780182332847405,0.11372769228999982,0.27123423368676475
baron-human,fa,5-log-False.pickle,ss,2,4.431469059826253,2,175.96229957587158,0.87463814,0.13538784213186095,11.730055325259165,0.00019073675299194215,0.012405130830713222
baron-human,fa,5-log-False.pickle,db,11,0.0808654634961495,15,17.9462717454283,-0.4488638,1.2807627702410458,0.48868842725490064,-0.025769099443579743,0.08267698394126824
baron-human,fa,5-log-False.pickle,di,154,0.07277891714653455,3,4.578757299979489,-0.60483557,0.882973396181011,0.1179116183006228,0.013793224235832112,0.21404774239096033
baron-human,fa,5-log-False.pickle,ari,347,0.15216263610852285,2,12.169163600344664,-0.4469607,0.7167162809386051,0.20130140073470174,0.3527572503854116,0.4452096483208656
baron-human,fa,5-log-False.pickle,nmi,5,0.2576887603660059,22,401.64965564191635,0.14051327,0.6952006578263329,1.6331717208666983,0.3502861923236512,0.4943937571506313
baron-human,fa,5-log-True.pickle,vrc,2,0.6651397323645573,40,1427.696143407668,0.34170634,0.956683003850633,1.774786530215105,0.1656978437887309,0.37262544481575754
baron-human,fa,5-log-True.pickle,ss,3,1.7168419101462575,2,31.73491566447884,0.5289703,0.2876325582716173,3.367795598651542,0.0004423964382758791,0.016341799200850313
baron-human,fa,5-log-True.pickle,db,4,0.2087278958964648,19,216.75508177915222,-0.32486627,4.921821468667653,0.1266716940277843,0.11044081099578774,0.24935918834342916
baron-human,fa,5-log-True.pickle,di,70,0.1690695956761365,4,27.89873281177412,-0.58765787,0.8697704195235053,0.11164258231982327,0.17747325601518277,0.31977660504852207
baron-human,fa,5-log-True.pickle,ari,10,0.31813427205679745,7,455.9208087543646,0.056186326,0.7988235050251147,0.82213153911674,0.3466855698416592,0.5508086657062057
baron-human,fa,5-log-True.pickle,nmi,10,0.31813427205679745,7,455.9208087543646,0.056186326,0.7988235050251147,0.82213153911674,0.3466855698416592,0.5508086657062057
baron-human,fa,8-log-True.pickle,vrc,2,1.545157719131632,40,686.1642291958618,0.47930136,0.7005429437674561,2.4919442484511847,0.03943930953020848,0.239889932707673
baron-human,fa,8-log-True.pickle,ss,2,3.9883221538436278,28,529.7725446660965,0.72466105,0.34330635868214104,5.057669989494684,0.004068061899670798,0.09716672792944016
baron-human,fa,8-log-True.pickle,db,16,0.2576887603660059,9,45.96681539639777,-0.43433994,1.6539939285165608,0.1889368338649489,0.039239088317723346,0.2502211341209074
baron-human,fa,8-log-True.pickle,di,70,0.23191988432940533,4,11.755284023808061,-0.6026116,1.312429386737417,0.09524185669376205,0.07164659399212103,0.23329679954265342
baron-human,fa,8-log-True.pickle,ari,139,0.43639817840438605,2,31.724719027917068,-0.36257404,0.7939403255127035,0.3000983225143273,0.3520003046089809,0.5419845752197908
baron-human,fa,8-log-True.pickle,nmi,7,0.5986257591281016,17,442.8537246955719,0.15121937,0.8624241468485554,1.4535482551091023,0.3508070553470475,0.5624041383178571
baron-human,fa,8-log-False.pickle,vrc,2,0.5387631832152914,36,683.1809167571203,0.32651275,0.808801031478059,2.180368996318817,0.1386669699837735,0.27061521989066795
baron-human,fa,8-log-False.pickle,ss,2,4.431469059826253,4,265.19639630392777,0.84220475,0.18612462605521696,10.43090279149611,0.0007466274924344799,0.03255543816942382
baron-human,fa,8-log-False.pickle,db,10,0.09983390555080185,7,27.17919470205286,-0.4406452,1.3652181306189104,0.2728282549121986,0.02895387937511237,0.2323869154206162
baron-human,fa,8-log-False.pickle,di,47,0.23191988432940533,5,28.772878932536237,-0.4216453,0.8707873172394707,0.12194869135132162,0.17832658358437928,0.2999682398476608
baron-human,fa,8-log-False.pickle,ari,375,0.2087278958964648,2,8.771146769268357,-0.548243,0.8560878342710108,0.145524079476691,0.33412615865973394,0.44178854032615217
baron-human,fa,8-log-False.pickle,nmi,6,0.31813427205679745,22,221.91727326575435,0.0043791123,0.8368121407975894,1.1461657671645729,0.31622363359798816,0.4723002244339387
baron-human,fa,10-log-False.pickle,vrc,2,0.6651397323645573,50,534.3594005396309,0.26035175,0.871135432210791,1.9561864391122759,0.15021549683637161,0.2768109011910108
baron-human,fa,10-log-False.pickle,ss,2,4.431469059826253,4,197.43763970532447,0.7882563,0.20131623524163153,9.715989185124263,0.0008442273653106488,0.03210841695312914
