dataset,method,dimensions,log,variance.ratio.criterion,davies.bouldin,dunn.index,silhouette.score
baron-human,pca,2,0,3.8455679951205397,-1,-1,-0.5227674
baron-human,pca,3,0,3.755857161549343,-1,-1,-0.49156356
baron-human,pca,4,0,3.6119564711254846,-1,-1,-0.5115922
baron-human,pca,5,0,3.598107919130869,-1,-1,-0.51512915
baron-human,pca,8,0,4.137806139434048,-1,-1,-0.34806928
baron-human,pca,10,0,4.262604367859938,-1,-1,-0.33237582
baron-human,pca,15,0,5.945577902988057,-1,-1,-0.23804416
baron-human,pca,25,0,6.098166283873762,-1,-1,-0.2143301
baron-human,pca,30,0,6.3673305747822715,-1,-1,-0.19744854
baron-human,pca,35,0,7.751997028950705,-1,-1,-0.15454727
baron-human,pca,40,0,7.814855829096977,-1,-1,-0.15094331
baron-human,pca,45,0,7.881100710289618,-1,-1,-0.1494148
baron-human,pca,50,0,7.889072671391021,-1,-1,-0.14730985
baron-human,pca,60,0,7.912816744081094,-1,-1,-0.1403847
baron-human,pca,70,0,7.905257259064116,-1,-1,-0.13859487
baron-human,pca,80,0,7.89389449831959,-1,-1,-0.13858989
baron-human,pca,90,0,7.881001650991497,-1,-1,-0.13813299
baron-human,pca,100,0,7.862795665674523,-1,-1,-0.13838458
baron-human,pca,125,0,7.838423922671701,-1,-1,-0.13721316
baron-human,pca,150,0,7.81701495060558,-1,-1,-0.13877487
baron-human,lle,2,0,1.7472131603901668,-1,-1,-0.4110801
baron-human,lle,3,0,0.82758605443353,-1,-1,-0.38769954
baron-human,lle,4,0,1.472001674307219,-1,-1,-0.1845079
baron-human,lle,5,0,1.7268041035984205,-1,-1,-0.23789027
baron-human,lle,8,0,1.1419148707867717,-1,-1,-0.10713521
baron-human,lle,10,0,2.115459690129973,-1,-1,-0.27897018
baron-human,lle,15,0,1.9482878573800857,-1,-1,-0.2505407
baron-human,lle,25,0,1.9183761338019416,-1,-1,-0.21780302
baron-human,lle,30,0,2.3360308161621606,-1,-1,-0.17964543
baron-human,lle,35,0,36.03341806187287,-1,-1,0.1316996
baron-human,lle,40,0,39.770848534117604,-1,-1,0.21499787
baron-human,lle,45,0,38.459748778449715,-1,-1,0.2991723
baron-human,lle,50,0,38.01437349424166,-1,-1,0.32205284
baron-human,lle,60,0,47.65940152343008,-1,-1,0.3400073
baron-human,lle,70,0,46.30106016785312,-1,-1,0.34153283
baron-human,lle,80,0,45.234819982310974,-1,-1,0.33550718
baron-human,lle,90,0,38.96246892089307,-1,-1,0.27941638
baron-human,lle,100,0,38.344933372230194,-1,-1,0.27754533
baron-human,lle,125,0,21.693552823808815,-1,-1,0.20522054
baron-human,lle,150,0,20.609823287360694,-1,-1,0.1929308
baron-human,isomap,2,0,4.686301628128785,-1,-1,-0.38169828
baron-human,isomap,3,0,4.691459434259377,-1,-1,-0.36110112
baron-human,isomap,4,0,4.634339808647448,-1,-1,-0.32546905
baron-human,isomap,5,0,4.600841127669867,-1,-1,-0.33113733
baron-human,isomap,8,0,4.732371045145563,-1,-1,-0.26272562
baron-human,isomap,10,0,5.338868579207096,-1,-1,-0.23398054
baron-human,isomap,15,0,5.655696742854977,-1,-1,-0.19604784
baron-human,isomap,25,0,7.0930990737680375,-1,-1,-0.14192441
baron-human,isomap,30,0,7.079010787656222,-1,-1,-0.1359803
baron-human,isomap,35,0,7.059227709191184,-1,-1,-0.13232973
baron-human,isomap,40,0,7.126545667049864,-1,-1,-0.12876327
baron-human,isomap,45,0,7.140516733558823,-1,-1,-0.12692359
baron-human,isomap,50,0,7.135787718340828,-1,-1,-0.12352291
baron-human,isomap,60,0,7.244104827345541,-1,-1,-0.102395415
baron-human,isomap,70,0,7.191427410973581,-1,-1,-0.096794836
baron-human,isomap,80,0,7.228170001000025,-1,-1,-0.08962201
baron-human,isomap,90,0,7.254969467335447,-1,-1,-0.08540512
baron-human,isomap,100,0,7.405240896849521,-1,-1,-0.080446996
baron-human,isomap,125,0,7.669348995557156,-1,-1,-0.07159451
baron-human,isomap,150,0,7.729595762338037,-1,-1,-0.067611955
baron-human,fa,2,0,10.790236067374506,-1,-1,-0.12614137
baron-human,fa,3,0,19.853813391971055,-1,-1,-0.00026698536
baron-human,fa,4,0,16.632262110382694,-1,-1,-0.06587195
baron-human,fa,5,0,15.844641197227554,-1,-1,-0.03362982
baron-human,fa,8,0,35.38064124628953,-1,-1,0.13997483
baron-human,fa,10,0,35.40028658000583,-1,-1,0.13527082
baron-human,fa,15,0,30.865498443693077,-1,-1,0.16122134
baron-human,fa,25,0,7.490113904431381,-1,-1,0.06040463
baron-human,fa,30,0,5.085183091046716,-1,-1,0.07190182
baron-human,fa,35,0,3.810727394943868,-1,-1,0.043128587
baron-human,fa,40,0,5.167553673836915,-1,-1,0.039494373
baron-human,fa,45,0,6.719516310801511,-1,-1,0.036560047
baron-human,fa,50,0,7.752550297668381,-1,-1,0.061072893
baron-human,fa,60,0,5.9685148362218285,-1,-1,0.06366654
baron-human,fa,70,0,3.0039989502093234,-1,-1,0.028239803
baron-human,fa,80,0,2.968645499160108,-1,-1,0.03964083
baron-human,fa,90,0,2.843694214986194,-1,-1,0.064396724
baron-human,fa,100,0,2.8677691494620112,-1,-1,0.05324349
baron-human,fa,125,0,2.0935813085533947,-1,-1,0.0378945
baron-human,fa,150,0,1.7739947708305028,-1,-1,0.023974545
baron-human,fica,2,0,3.960662607769223,-1,-1,-0.50681186
baron-human,fica,3,0,3.812060145394232,-1,-1,-0.47064757
baron-human,fica,4,0,3.356971766555055,-1,-1,-0.51434827
baron-human,fica,5,0,3.174033467582074,-1,-1,-0.4978515
baron-human,fica,8,0,11.73208516647163,-1,-1,-0.21486062
baron-human,fica,10,0,12.794766043070602,-1,-1,-0.18946114
baron-human,fica,15,0,23.733986721958033,-1,-1,-0.09269712
baron-human,fica,25,0,14.866461973310221,-1,-1,-0.07130803
baron-human,fica,30,0,17.33224456777275,-1,-1,-0.025764205
baron-human,fica,35,0,28.811150391113934,-1,-1,-0.0015084165
baron-human,fica,40,0,27.044127934854963,-1,-1,-0.0025385257
baron-human,fica,45,0,25.552306247808776,-1,-1,-0.002415308
baron-human,fica,50,0,23.971085514744008,-1,-1,-0.0024680186
baron-human,fica,60,0,22.002856844595428,-1,-1,0.0026258319
baron-human,fica,70,0,20.899470613311824,-1,-1,-0.0072013554
baron-human,fica,80,0,19.29933623208948,-1,-1,-0.022064552
baron-human,fica,90,0,17.528949173735338,-1,-1,-0.02765849
baron-human,fica,100,0,15.050164737562987,-1,-1,-0.041652247
baron-human,fica,125,0,12.374659614332517,-1,-1,-0.05998203
baron-human,fica,150,0,10.525642132440524,-1,-1,-0.07111383
baron-human,nmf,2,0,3.8258809942117016,-1,-1,-0.5194674
baron-human,nmf,3,0,3.890909507540472,-1,-1,-0.42536658
baron-human,nmf,4,0,3.7523838785133927,-1,-1,-0.4734938
baron-human,nmf,5,0,3.794453140035673,-1,-1,-0.45791897
baron-human,nmf,8,0,6.27024998498218,-1,-1,-0.26051983
baron-human,nmf,10,0,6.119388806202527,-1,-1,-0.26257694
baron-human,nmf,15,0,11.86271248367664,-1,-1,-0.15515064
baron-human,nmf,25,0,9.673016683138705,-1,-1,-0.1612763
baron-human,nmf,30,0,9.292013880706081,-1,-1,-0.15286277
baron-human,nmf,35,0,21.338060598194787,-1,-1,-0.06592382
baron-human,nmf,40,0,20.382157827765703,-1,-1,-0.05864348
baron-human,nmf,45,0,20.05281665109106,-1,-1,-0.06452428
baron-human,nmf,50,0,20.459589569347525,-1,-1,-0.013868738
baron-human,nmf,60,0,19.872032187771257,-1,-1,-0.010379591
baron-human,nmf,70,0,19.768049451525055,-1,-1,-0.021995382
baron-human,nmf,80,0,19.474021795443978,-1,-1,-0.031438448
baron-human,nmf,90,0,19.189939275177395,-1,-1,-0.038063202
baron-human,nmf,100,0,16.318484445711793,-1,-1,-0.05911841
baron-human,nmf,125,0,17.605961480450286,-1,-1,-0.04903693
baron-human,nmf,150,0,17.902121887710724,-1,-1,-0.035092775
baron-human,spectral,2,0,0.5251236114308658,-1,-1,-0.40768763
baron-human,spectral,3,0,1.577793656551291,-1,-1,-0.36344817
baron-human,spectral,4,0,1.6277657140961441,-1,-1,-0.36171487
baron-human,spectral,5,0,1.480783875907945,-1,-1,-0.3693154
baron-human,spectral,8,0,5.239157460013953,-1,-1,-0.17317094
baron-human,spectral,10,0,5.826903856134392,-1,-1,-0.19794558
baron-human,spectral,15,0,5.758204191878233,-1,-1,-0.07930022
baron-human,spectral,25,0,29.48499663075845,-1,-1,0.0630784
baron-human,spectral,30,0,30.773144882942386,-1,-1,0.06675079
baron-human,spectral,35,0,26.49262000193113,-1,-1,0.044630677
baron-human,spectral,40,0,22.802491810817923,-1,-1,0.030178748
baron-human,spectral,45,0,18.8762506030853,-1,-1,0.0194532
baron-human,spectral,50,0,14.886576472921542,-1,-1,-0.004713298
baron-human,spectral,60,0,11.864734676578191,-1,-1,-0.038769152
baron-human,spectral,70,0,10.651753038572433,-1,-1,-0.052697156
baron-human,spectral,80,0,10.914538053788633,-1,-1,-0.05573248
baron-human,spectral,90,0,10.153008361820326,-1,-1,-0.072334446
baron-human,spectral,100,0,10.94921390763847,-1,-1,-0.077297576
baron-human,spectral,125,0,9.290344561108366,-1,-1,-0.096806265
baron-human,spectral,150,0,8.05951926417664,-1,-1,-0.10622756
baron-human,mctsne,2,0,7.4973335818616915,-1,-1,0.14244376
baron-human,mctsne,3,0,10.32438289272981,-1,-1,0.21515359
baron-human,mctsne,4,0,13.88522661520538,-1,-1,0.22465314
baron-human,mctsne,5,0,20.83898396459119,-1,-1,0.2369141
baron-human,mctsne,8,0,20.797994285677227,-1,-1,0.2437306
baron-human,mctsne,10,0,19.826169331290675,-1,-1,0.31159326
baron-human,mctsne,45,0,4.943318761677011,-1,-1,-0.38075298
baron-human,mctsne,50,0,4.935143058794334,-1,-1,-0.23352908
baron-human,mctsne,70,0,1.3983526862761302,-1,-1,-0.72074145
baron-human,mctsne,80,0,0.8841319905862149,-1,-1,-0.69791234
baron-human,lda,2,0,1.8027197762844227,-1,-1,-0.16037382
baron-human,lda,3,0,126.84778489158315,-1,-1,0.12823278
baron-human,lda,4,0,21.504955434663742,-1,-1,0.054826517
baron-human,lda,5,0,127.65733359044619,-1,-1,0.12848537
baron-human,lda,8,0,66.14334346675551,-1,-1,0.3499596
baron-human,lda,10,0,31.80281790901909,-1,-1,0.03123789
baron-human,lda,15,0,107.18780185636601,-1,-1,0.45388702
baron-human,lda,25,0,74.46846450214589,-1,-1,0.42686468
baron-human,lda,30,0,31.67339570965388,-1,-1,0.2661455
baron-human,lda,35,0,70.24750508255953,-1,-1,0.40799546
baron-human,lda,40,0,115.99912025664476,-1,-1,0.44606695
baron-human,lda,45,0,97.74246974683889,-1,-1,0.5091191
baron-human,lda,50,0,69.81493858278482,-1,-1,0.40865043
baron-human,lda,60,0,38.83792237822548,-1,-1,0.2393862
baron-human,lda,70,0,70.60579484491426,-1,-1,0.4525801
baron-human,lda,80,0,27.013002075712315,-1,-1,0.21932872
baron-human,lda,90,0,37.57713675449943,-1,-1,0.2934381
baron-human,lda,100,0,70.1045226138239,-1,-1,0.48901242
baron-human,lda,125,0,52.55345329707455,-1,-1,0.45959178
baron-human,lda,150,0,20.293331811585006,-1,-1,0.25804862
baron-human,mds,2,0,2.988583283724143,-1,-1,-0.33433345
baron-human,mds,3,0,3.642325071991058,-1,-1,-0.32378477
baron-human,mds,4,0,4.801240725013629,-1,-1,-0.3351391
baron-human,mds,5,0,3.055375005125883,-1,-1,-0.30669895
baron-human,mds,8,0,2.649408098031458,-1,-1,-0.29972646
baron-human,mds,10,0,2.8671707147790535,-1,-1,-0.30197337
baron-human,mds,15,0,2.892588939470407,-1,-1,-0.28516072
baron-human,mds,25,0,3.0242265260163665,-1,-1,-0.2799895
baron-human,mds,30,0,2.885569013278279,-1,-1,-0.28461254
baron-human,mds,35,0,2.9257755474212006,-1,-1,-0.28929904
baron-human,mds,40,0,2.9582620284422236,-1,-1,-0.27913138
baron-human,mds,45,0,2.9556874155567616,-1,-1,-0.28347608
baron-human,mds,50,0,2.852291091489636,-1,-1,-0.28520656
baron-human,mds,60,0,2.8991645571288474,-1,-1,-0.2822032
baron-human,mds,70,0,3.0094543272981364,-1,-1,-0.2837768
baron-human,mds,80,0,2.8960877764717363,-1,-1,-0.27981636
baron-human,mds,90,0,2.8640250011596025,-1,-1,-0.2812197
baron-human,mds,100,0,3.041916255868414,-1,-1,-0.27655613
