method,measure,dimension,nclusters,score,ari,nmi
umap,vrc,2,6,22557.6,0.8459264,0.8035064
mctsne,vrc,2,7,5098.941,0.8379477,0.791607
lle,vrc,3,4,29998.25,0.3553246,0.5659405
lda,vrc,2,3,105037.8,0.3238052,0.5548507
pca-scaled,vrc,2,3,2797.859,0.2797141,0.3942621
fa,vrc,2,2,2216.314,0.2616964,0.3766971
isomap,vrc,2,14,135.4148,0.1956899,0.3687662
fica,vrc,2,2,2969.433,0.06333581,0.2969226
nmf,vrc,2,2,3442.649,0.06177744,0.2915182
pca,vrc,2,2,1669.791,0.05939747,0.2471475
sdae,vrc,3,2,3289.21,0.03165896,0.09885239
umap,ss,3,6,0.6805081,0.8465172,0.8039873
lda,ss,2,3,0.862961,0.3238052,0.5548507
pca,ss,2,3,0.6016425,0.05994768,0.2425362
lle,ss,2,2,0.9248015,-0.002936652,0.02887683
isomap,ss,8,2,0.5882415,0.0002957405,0.01368579
fa,ss,15,2,0.8779411,0.0002429214,0.01305823
fica,ss,50,2,0.8198134,0.0001512688,0.009915369
nmf,ss,2,2,0.8118515,0.0001477091,0.009671606
pca-scaled,ss,2,2,0.8496857,9.10E-05,0.005237071
sdae,ss,3,2,0.8092485,9.10E-05,0.005237071
mctsne,ss,70,2,0.939824,0.0003046494,0.00241412
lle,db,8,5,0.2849676,0.2942146,0.4821791
mctsne,db,50,2,0.1262869,0.06397574,0.2953218
nmf,db,30,2,0.3142662,0.02623622,0.1531969
pca-scaled,db,90,3,0.6033384,0.027444,0.09388359
sdae,db,4,2,0.1629193,0.004218379,0.04231104
umap,db,35,2,0.0003672081,0.0006762822,0.03322589
isomap,db,50,3,0.004932955,0.0008112707,0.0244384
fica,db,100,2,0.4054421,0.0001124352,0.01826198
pca,db,100,2,0.4548234,0.0003905161,0.01818087
lda,db,70,2,0.01139822,0.0002001007,0.0160679
fa,db,45,2,0.3277271,-0.0003564077,0.008829946
