dataset,method,dimensions,log,variance.ratio.criterion,davies.bouldin,dunn.index,silhouette.score
baron-human,pca,2,0,1795.6792321253108,7.137091022038838,0.005041235145559725,-0.08096484
baron-human,pca,3,0,1662.419646351974,4.065200980330478,0.009284838095153894,-0.045729063
baron-human,pca,4,0,1425.0749691817673,4.013651892373656,0.009219551681790054,-0.033618033
baron-human,pca,5,0,1421.0717496092448,3.9748871152803225,0.009405932208660372,-0.030343946
baron-human,pca,8,0,1274.558723268431,4.013681181686952,0.011170045196836936,-0.01779673
baron-human,pca,10,0,1244.6971266478847,3.7158645170575797,0.011359050360902736,-0.01814494
baron-human,pca,15,0,1209.1547602610394,2.6788767031707232,0.016559010319534172,-0.010180953
baron-human,pca,25,0,1180.743368806886,2.574102017671389,0.023526675772322064,-0.011274677
baron-human,pca,30,0,1173.6624442419775,2.4686567740699306,0.025483246569476724,-0.011569232
baron-human,pca,35,0,1168.8966393358105,2.4034488645032264,0.028449820670542244,-0.010910722
baron-human,pca,40,0,1164.8541731370892,2.381631942182576,0.031050464068552195,-0.009984989
baron-human,pca,45,0,1161.5519805994688,2.380142707328962,0.03169920030560072,-0.010381187
baron-human,pca,50,0,1158.947694703576,2.3659048806855414,0.03328767805327965,-0.01009133
baron-human,pca,60,0,1155.616649434428,2.29951797075251,0.03639933918648544,-0.008677993
baron-human,pca,70,0,1153.359262499488,2.2625697906969733,0.038256011346546236,-0.008188524
baron-human,pca,80,0,1151.6579859206518,2.206516254495864,0.03895588512445824,-0.007956819
baron-human,pca,90,0,1150.2634417938048,2.193110752391621,0.04045502096351559,-0.0076924996
baron-human,pca,100,0,1149.102780594965,2.187015466128935,0.041318460147678704,-0.0076128393
baron-human,lle,2,0,523.3521610371198,18.074136479472166,0.004104870771626754,0.39771253
baron-human,lle,3,0,600.9611695619014,22.584772928349757,0.004371247431027055,0.41390398
baron-human,lle,4,0,312.9578249959582,37.62792142631469,0.014878601889871246,-0.03695343
baron-human,lle,5,0,576.926699205404,21.93211287838943,0.022202149240796824,-0.0150388805
baron-human,lle,8,0,404.9365193718885,11.835958856435889,0.020286069946317122,0.08721104
baron-human,lle,10,0,336.11477163113045,4.594273387698935,0.027062911008636868,0.03081642
baron-human,lle,15,0,187.70898902373725,4.6294378232138005,0.020098873084876723,-0.07475541
baron-human,lle,25,0,128.65791647449896,4.648554884049983,0.0205316318321849,-0.14896233
baron-human,lle,30,0,105.59236594325394,4.764676254115761,0.018749759810402042,-0.15726693
baron-human,lle,35,0,105.4812631848693,4.17719891057695,0.03243363571203552,-0.119723015
baron-human,lle,40,0,105.22363283362874,4.007179623882707,0.05422092740288391,-0.09340085
baron-human,lle,45,0,105.99200160187158,3.868646204288091,0.0777826985045914,-0.0594883
baron-human,lle,50,0,99.01066327313315,3.9407495405199526,0.13577183181621388,-0.04585289
baron-human,lle,60,0,90.53401533477854,3.9765048610185443,0.2023283527435231,-0.036002673
baron-human,lle,70,0,76.84752723862364,4.022348266222602,0.19453414766448293,-0.06746026
baron-human,lle,80,0,66.19074637323754,4.161898579767308,0.18960141547180195,-0.08393777
baron-human,lle,90,0,63.534981955043634,4.335698397339681,0.17750055295099698,-0.08317053
baron-human,lle,100,0,56.216547664019,4.678556915005353,0.17243974489290495,-0.08780929
baron-human,isomap,2,0,1691.495796449875,9.314405864435548,0.0043103943422106985,-0.044127803
baron-human,isomap,3,0,1611.448924376627,3.4415707770839368,0.011422347453821933,-0.051450312
baron-human,isomap,4,0,1591.6016683424677,3.5148961427824026,0.011718448413150395,0.036106955
baron-human,isomap,5,0,1504.2613641008927,3.4862642925292993,0.012042639328731269,0.02928988
baron-human,isomap,8,0,1404.6949735751614,2.7583776646615688,0.03175513667846807,0.046617463
baron-human,isomap,10,0,1369.7771062596687,2.6847754640098493,0.03402062054446284,0.045229807
baron-human,isomap,15,0,1314.4730706001985,2.586450701164196,0.040596013828918524,0.040659197
baron-human,isomap,25,0,1253.6292125662355,2.4458308190917397,0.048544308598368835,0.037422452
baron-human,isomap,30,0,1234.053444095228,2.4514504070280885,0.05124571632972075,0.035802502
baron-human,isomap,35,0,1218.2839741058144,2.4064703133400753,0.05648357027773813,0.03528245
baron-human,isomap,40,0,1205.6905405870416,2.395936725943318,0.057954720045312685,0.03296363
baron-human,isomap,45,0,1194.841043505692,2.3851789403330845,0.059729309783850236,0.031564225
baron-human,isomap,50,0,1185.52235197971,2.3476012379862587,0.0626530645405221,0.03101701
baron-human,isomap,60,0,1169.9080737708407,2.2876255637721057,0.07264217838004171,0.032763124
baron-human,isomap,70,0,1157.1543256156515,2.26111056971895,0.07542407464283558,0.03308836
baron-human,isomap,80,0,1146.364289965004,2.2351519162147135,0.08025108219701867,0.031975146
baron-human,isomap,90,0,1137.0368885980758,2.2229178829082668,0.08129850617939728,0.03251433
baron-human,isomap,100,0,1128.9352633017174,2.215176837145212,0.083879164212654,0.03224428
baron-human,fa,2,0,445.04951258431777,9.380514010525124,0.056187123501387354,-0.24488123
baron-human,fa,3,0,632.0678242350849,7.918416328312842,0.035183565181099455,-0.1665301
baron-human,fa,4,0,847.1844837996008,5.267074889635557,0.03521751050032311,-0.10449007
baron-human,fa,5,0,919.5751110687598,3.8880927756814674,0.0299704702645734,-0.057905346
baron-human,fa,8,0,1027.1888574197933,3.147311306687982,0.01488042667338396,0.1603873
baron-human,fa,10,0,870.7900656112802,2.6719129659120213,0.01637535845124442,0.11950446
baron-human,fa,15,0,419.9420808560025,1.7622165105247052,0.18970027924059923,-0.014942
baron-human,fa,25,0,217.27085196750227,2.0163697409466343,0.1892047540848075,-0.027279947
baron-human,fa,30,0,184.3343259184711,2.090878913001166,0.1774480030862469,-0.0016039726
baron-human,fa,35,0,157.14018099579292,2.2071591572664553,0.15450027063448205,0.010765319
baron-human,fa,40,0,143.49057726704888,2.319465582458924,0.14069988519360252,0.0012059385
baron-human,fa,45,0,135.66908510677052,2.347219919590637,0.1282928018589288,0.05711854
baron-human,fa,50,0,134.09663137638378,2.4378080966130695,0.10746997113761823,0.0543194
baron-human,fa,60,0,112.10422737885621,2.7251160661792078,0.08210127439130725,0.040284522
baron-human,fa,70,0,92.8463128274975,3.273874168018685,0.04877393486448985,0.04027222
baron-human,fa,80,0,81.13491964816065,3.540083980000683,0.04868900860783527,0.0222627
baron-human,fa,90,0,73.66935427861499,3.8340751027426707,0.048502859257714595,0.011129794
baron-human,fa,100,0,67.90327640592805,4.0079618874700484,0.045748256366275816,0.0015882512
baron-human,fica,2,0,1831.8559713979269,6.896119940132823,0.005106812896896006,-0.0785557
baron-human,fica,3,0,1626.7752634545325,3.9628101878328796,0.008404717947344233,-0.044454694
baron-human,fica,4,0,1093.0035565991589,4.075614637120685,0.008254140150660018,-0.037499085
baron-human,fica,5,0,1117.4383201196515,4.0978255617040915,0.0067461304208905875,-0.03182372
baron-human,fica,8,0,470.0719609310932,5.5880061912699714,0.015353024079494397,-0.100650795
baron-human,fica,10,0,357.48778200523293,3.8203049223588788,0.013293618727115198,-0.11017147
baron-human,fica,15,0,257.7626895113054,2.4985660678970403,0.03434336332232643,-0.12823243
baron-human,fica,25,0,143.58921210201186,3.031940858670029,0.05864232374987341,-0.16147967
baron-human,fica,30,0,121.9944654490193,3.16331718755443,0.06765604861502475,-0.17274572
baron-human,fica,35,0,115.11618369095257,3.247444409683496,0.07928374576361409,-0.19476448
baron-human,fica,40,0,101.8603972051919,3.43667910181314,0.0987362389057323,-0.20056409
baron-human,fica,45,0,92.4052076463491,3.625512952043574,0.10020609764942019,-0.21252708
baron-human,fica,50,0,83.95795477474815,3.8249554960402508,0.10791291709984029,-0.21627575
baron-human,fica,60,0,74.88177570406306,4.026712856387951,0.13599654832099203,-0.22118858
baron-human,fica,70,0,65.71954272473175,4.205061498754566,0.1519945758581542,-0.22710228
baron-human,fica,80,0,59.66385714719369,4.356213797793657,0.15485965221428577,-0.2346021
baron-human,fica,90,0,53.576834934029264,4.515507538854166,0.16803768322160198,-0.2314166
baron-human,fica,100,0,48.81417009997172,4.679370528763257,0.161064001939354,-0.22835036
baron-human,nmf,2,0,1625.4901253326905,11.920845728935543,0.004411869484940011,-0.11881705
baron-human,nmf,3,0,1558.545290183971,3.947561423548045,0.008543286736024511,-0.07041915
baron-human,nmf,4,0,1400.040933265918,3.749634477798572,0.00860830466329106,-0.035848614
baron-human,nmf,5,0,1402.0963568288985,3.891410862841059,0.00867473933015831,-0.01117146
baron-human,nmf,8,0,1085.0935219630037,4.771511411554281,0.013689594194164146,-0.023420673
baron-human,nmf,10,0,1045.5186419958834,4.628829195807753,0.012800891423208394,-0.019959968
baron-human,nmf,15,0,987.5571123018003,2.1741775365590637,0.03275985941451204,-0.010026857
baron-human,nmf,25,0,919.4990168701215,2.3642065956620484,0.045149755405459784,-0.022767382
baron-human,nmf,30,0,894.324220992184,2.1610240033867174,0.043890894179021964,-0.028315676
baron-human,nmf,35,0,855.6629398004291,2.0728753624253846,0.04038098346504697,-0.031518493
baron-human,nmf,40,0,845.5454897674057,2.0714539832979737,0.05648536671135153,-0.029122302
baron-human,nmf,45,0,817.6390579744249,2.1009491746744646,0.05434595541674182,-0.033415396
baron-human,nmf,50,0,825.3369992184712,1.9881174161696402,0.0800556507466896,-0.025378078
baron-human,nmf,60,0,776.5510881318877,2.0396168465499054,0.09364966055915404,-0.029534549
baron-human,nmf,70,0,752.5016006487486,1.8788020246645956,0.07495654063629342,-0.016987853
baron-human,nmf,80,0,745.284879718981,1.8007902390492647,0.07082997374671939,-0.014631211
baron-human,nmf,90,0,744.2212896112019,1.8576067570723285,0.07327736660588188,-0.01893948
baron-human,nmf,100,0,723.9167725011737,1.9024401550962433,0.06518814404432385,-0.026405228
baron-human,mctsne,2,0,2181.6289335756574,3.3984587510042537,0.063539356665723,0.2173479
baron-human,mctsne,3,0,1213.7393542300645,2.283502945567069,0.06285550230978552,0.18873146
baron-human,mctsne,4,0,952.896847858661,1.9781041040883065,0.107863048581838,0.17496458
baron-human,mctsne,5,0,870.0616132794595,1.8806393193709323,0.08494767633198307,0.21591826
baron-human,mctsne,8,0,846.2247156934686,1.6988268198376422,0.15531088313519592,0.21896051
baron-human,mctsne,10,0,822.6662192901332,1.67127714997128,0.14585271905311634,0.23674078
baron-human,mctsne,45,0,0.16529269722369508,10.45504935363988,1.9827760049792553e-06,-0.42741957
baron-human,mctsne,50,0,0.7566041319033776,9.886907706515098,6.834627501724568e-07,-0.7834326
baron-human,mctsne,70,0,1.2920246123037353,9.441904736193669,0.016932908707541976,-0.9506665
baron-human,mctsne,80,0,1.3100300386491286,8.66715175242186,1.3639654818623128e-06,-0.9607221
baron-human,lda,2,0,8779.902056228413,22.942849412715486,0.007909698908837259,-0.111485794
baron-human,lda,3,0,6799.10025893256,15.821591678192565,0.03473141157564162,-0.11361792
baron-human,lda,4,0,10230.560871908487,15.50600137122971,0.0175493791543552,-0.0073892106
baron-human,lda,5,0,8191.529431398413,4.1146769020771385,0.15227119154369825,0.2675629
baron-human,lda,8,0,6272.456528598648,4.744807624837664,0.06363775543076812,0.3239788
baron-human,lda,10,0,1526.9995957186325,2.780080199358997,0.08280986206742279,0.1826241
baron-human,lda,15,0,1732.2479359531546,1.2194570299997343,0.48326514824075134,0.4384591
baron-human,lda,25,0,928.6922350808713,1.3373154425865705,0.56845895754137,0.2786707
baron-human,lda,30,0,800.2754622376276,1.48374327143592,0.6599242554532956,0.24536218
baron-human,lda,35,0,826.6347195064852,1.4868854340698585,0.3499057756019753,0.26382917
baron-human,lda,40,0,612.1673643459844,1.4464092250651939,0.32978643027658217,0.24411356
baron-human,lda,45,0,684.6975360954082,1.3582854727640115,0.5819530520517247,0.22268583
baron-human,lda,50,0,775.4821715270228,1.2648884752982636,0.55792375091678,0.24871938
baron-human,lda,60,0,617.7024325166736,1.4853732714224088,0.4455957449889451,0.1872856
baron-human,lda,70,0,545.8342399891609,1.4440890507265745,0.660817841322569,0.23552166
baron-human,lda,80,0,592.6147294939605,1.412946714866201,0.5312948553346248,0.21728355
baron-human,lda,90,0,558.4613757123713,1.543414618933521,0.5620395520570779,0.16903651
baron-human,lda,100,0,481.6747458638201,1.7275820786649192,0.4618152012168858,0.21337473
baron-human,umap,2,0,5086.820966768531,3.087220360955031,0.12197099131133064,0.41137367
baron-human,umap,3,0,4020.686739049161,3.267038141963141,0.10532762075619503,0.41179922
baron-human,umap,4,0,3898.6574235539424,2.5305330455563775,0.15406829273086456,0.4198467
baron-human,umap,5,0,3653.450643112695,2.7936173592043034,0.13886564573621993,0.4063126
